Frequency (Hz)	Level (dB)
0.672913	-96.417168
1.345825	-96.280281
2.018738	-96.454369
2.691650	-96.579498
3.364563	-96.183937
4.037476	-95.679070
4.710388	-96.133163
5.383301	-95.948875
6.056213	-95.719963
6.729126	-94.244209
7.402039	-95.310371
8.074951	-95.845345
8.747864	-95.559341
9.420776	-94.633858
10.093689	-94.794716
10.766602	-93.497795
11.439514	-94.459099
12.112427	-92.820969
12.785339	-92.844536
13.458252	-92.685226
14.131165	-92.947823
14.804077	-92.585266
15.476990	-93.319481
16.149902	-93.306648
16.822815	-94.239532
17.495728	-93.669174
18.168640	-92.375793
18.841553	-92.095871
19.514465	-92.491844
20.187378	-92.059189
20.860291	-91.182602
21.533203	-92.095581
22.206116	-91.361801
22.879028	-91.023827
23.551941	-92.603592
24.224854	-92.193871
24.897766	-91.419540
25.570679	-90.075134
26.243591	-90.554062
26.916504	-91.312180
27.589417	-90.717140
28.262329	-91.333839
28.935242	-91.031311
29.608154	-88.953636
30.281067	-90.050179
30.953979	-91.744987
31.626892	-89.565598
32.299805	-90.552361
32.972717	-89.924652
33.645630	-90.549232
34.318542	-90.737885
34.991455	-90.669388
35.664368	-89.748856
36.337280	-89.939476
37.010193	-89.408752
37.683105	-88.897865
38.356018	-90.961472
39.028931	-90.244034
39.701843	-90.374863
40.374756	-89.349442
41.047668	-89.286469
41.720581	-88.623047
42.393494	-89.680771
43.066406	-89.476044
43.739319	-88.345604
44.412231	-87.703972
45.085144	-87.769203
45.758057	-87.688515
46.430969	-88.520020
47.103882	-87.682632
47.776794	-88.085579
48.449707	-87.813263
49.122620	-88.187355
49.795532	-87.275772
50.468445	-87.521988
51.141357	-87.846451
51.814270	-88.086510
52.487183	-86.852760
53.160095	-86.800804
53.833008	-85.728226
54.505920	-85.699120
55.178833	-86.650375
55.851746	-85.274261
56.524658	-85.604935
57.197571	-84.193275
57.870483	-84.700943
58.543396	-84.420418
59.216309	-80.943169
59.889221	-84.569901
60.562134	-83.845055
61.235046	-84.073181
61.907959	-84.234200
62.580872	-83.482681
63.253784	-83.866356
63.926697	-84.432129
64.599609	-85.448380
65.272522	-85.608910
65.945435	-84.797287
66.618347	-84.617226
67.291260	-84.421043
67.964172	-85.526604
68.637085	-82.456573
69.309998	-81.661583
69.982910	-80.552910
70.655823	-82.920303
71.328735	-82.335533
72.001648	-83.561661
72.674561	-82.215767
73.347473	-80.717789
74.020386	-79.946510
74.693298	-81.043015
75.366211	-82.130394
76.039124	-82.979767
76.712036	-81.958176
77.384949	-82.641693
78.057861	-81.937073
78.730774	-83.188332
79.403687	-82.508698
80.076599	-82.406456
80.749512	-82.955261
81.422424	-83.518135
82.095337	-83.460251
82.768250	-84.007530
83.441162	-83.665604
84.114075	-84.076607
84.786987	-83.740776
85.459900	-83.499496
86.132812	-82.881615
86.805725	-83.163338
87.478638	-83.240265
88.151550	-83.562073
88.824463	-81.991997
89.497375	-82.125252
90.170288	-83.066353
90.843201	-83.268112
91.516113	-82.607643
92.189026	-82.539719
92.861938	-81.256798
93.534851	-81.227432
94.207764	-80.924309
94.880676	-82.594795
95.553589	-82.920380
96.226501	-83.037292
96.899414	-82.355171
97.572327	-82.360085
98.245239	-82.875275
98.918152	-82.882408
99.591064	-82.731354
100.263977	-82.353958
100.936890	-82.770767
101.609802	-82.340385
102.282715	-82.230148
102.955627	-82.086578
103.628540	-82.873695
104.301453	-82.155098
104.974365	-81.906914
105.647278	-82.389259
106.320190	-82.374245
106.993103	-81.862869
107.666016	-81.701088
108.338928	-82.208107
109.011841	-81.846169
109.684753	-81.762688
110.357666	-81.924141
111.030579	-81.779396
111.703491	-81.546814
112.376404	-81.629395
113.049316	-81.732506
113.722229	-79.944458
114.395142	-80.040764
115.068054	-79.660980
115.740967	-79.769073
116.413879	-79.107948
117.086792	-78.868904
117.759705	-75.982468
118.432617	-68.307564
119.105530	-65.170715
119.778442	-74.271210
120.451355	-78.065369
121.124268	-79.569412
121.797180	-80.008278
122.470093	-80.614288
123.143005	-80.764778
123.815918	-80.582161
124.488831	-80.818192
125.161743	-81.234444
125.834656	-80.870499
126.507568	-81.258690
127.180481	-81.502472
127.853394	-80.760368
128.526306	-81.221367
129.199219	-80.833267
129.872131	-80.407066
130.545044	-81.149551
131.217957	-81.093643
131.890869	-80.909576
132.563782	-81.379349
133.236694	-80.999229
133.909607	-80.625732
134.582520	-81.052071
135.255432	-81.037994
135.928345	-80.667755
136.601257	-81.180923
137.274170	-80.523628
137.947083	-80.773842
138.619995	-80.532028
139.292908	-80.824432
139.965820	-80.772797
140.638733	-80.780846
141.311646	-80.614960
141.984558	-80.746223
142.657471	-80.993843
143.330383	-80.527695
144.003296	-80.381203
144.676208	-80.260864
145.349121	-80.272331
146.022034	-80.681442
146.694946	-80.318878
147.367859	-80.651917
148.040771	-79.800087
148.713684	-80.262383
149.386597	-80.315224
150.059509	-80.157112
150.732422	-80.396111
151.405334	-79.890533
152.078247	-80.140533
152.751160	-80.349747
153.424072	-79.832596
154.096985	-80.127632
154.769897	-79.811646
155.442810	-79.856468
156.115723	-79.967201
156.788635	-79.777824
157.461548	-80.006454
158.134460	-79.579178
158.807373	-79.729164
159.480286	-79.476944
160.153198	-79.697357
160.826111	-79.544899
161.499023	-79.469719
162.171936	-79.586952
162.844849	-79.499336
163.517761	-79.766792
164.190674	-79.039978
164.863586	-79.270760
165.536499	-79.243271
166.209412	-79.237999
166.882324	-79.259865
167.555237	-78.746498
168.228149	-79.082565
168.901062	-78.918831
169.573975	-79.149529
170.246887	-78.639763
170.919800	-78.983490
171.592712	-78.662346
172.265625	-78.699821
172.938538	-78.534561
173.611450	-78.454857
174.284363	-78.364113
174.957275	-78.490021
175.630188	-78.333252
176.303101	-78.292442
176.976013	-78.273674
177.648926	-77.929474
178.321838	-78.151299
178.994751	-77.727638
179.667664	-78.142250
180.340576	-77.702789
181.013489	-77.570175
181.686401	-77.388832
182.359314	-77.576950
183.032227	-77.291687
183.705139	-77.579582
184.378052	-77.062965
185.050964	-77.015892
185.723877	-76.800209
186.396790	-76.807899
187.069702	-76.390320
187.742615	-76.385803
188.415527	-76.094009
189.088440	-76.177467
189.761353	-75.636536
190.434265	-75.671700
191.107178	-75.329155
191.780090	-75.170090
192.453003	-74.868179
193.125916	-74.825935
193.798828	-74.375748
194.471741	-74.194466
195.144653	-73.925812
195.817566	-73.747566
196.490479	-73.370674
197.163391	-73.275497
197.836304	-73.080894
198.509216	-72.994385
199.182129	-72.676689
199.855042	-72.728775
200.527954	-72.555794
201.200867	-72.375999
201.873779	-72.476463
202.546692	-72.281799
203.219604	-72.329910
203.892517	-72.352020
204.565430	-72.564781
205.238342	-72.369926
205.911255	-72.688286
206.584167	-72.782379
207.257080	-72.559715
207.929993	-72.570206
208.602905	-72.496719
209.275818	-72.330055
209.948730	-72.182243
210.621643	-71.954880
211.294556	-71.614639
211.967468	-71.449646
212.640381	-71.224434
213.313293	-70.983093
213.986206	-70.940132
214.659119	-70.849396
215.332031	-70.963608
216.004944	-70.960403
216.677856	-71.117630
217.350769	-71.041901
218.023682	-70.983269
218.696594	-70.762939
219.369507	-70.337151
220.042419	-70.223213
220.715332	-70.064262
221.388245	-69.845352
222.061157	-69.822235
222.734070	-69.619827
223.406982	-69.724419
224.079895	-69.744362
224.752808	-69.643745
225.425720	-69.660461
226.098633	-69.341942
226.771545	-69.059708
227.444458	-68.818230
228.117371	-68.580612
228.790283	-68.610069
229.463196	-68.469009
230.136108	-68.462799
230.809021	-68.380600
231.481934	-68.220985
232.154846	-67.971710
232.827759	-67.703735
233.500671	-67.510239
234.173584	-67.424606
234.846497	-67.225517
235.519409	-67.310555
236.192322	-67.169121
236.865234	-66.927643
237.538147	-66.486328
238.211060	-66.475090
238.883972	-66.190468
239.556885	-66.163841
240.229797	-66.095253
240.902710	-65.932732
241.575623	-65.768806
242.248535	-65.417168
242.921448	-65.240227
243.594360	-65.075211
244.267273	-64.942726
244.940186	-64.818771
245.613098	-64.633423
246.286011	-64.368912
246.958923	-64.098946
247.631836	-63.872665
248.304749	-63.669147
248.977661	-63.616028
249.650574	-63.394630
250.323486	-63.099277
250.996399	-62.793156
251.669312	-62.577797
252.342224	-62.337669
253.015137	-62.171825
253.688049	-62.031281
254.360962	-61.818840
255.033875	-61.449570
255.706787	-61.280464
256.379700	-61.111794
257.052612	-60.839153
257.725525	-60.644169
258.398438	-60.376804
259.071350	-60.156208
259.744263	-60.046776
260.417175	-59.761627
261.090088	-59.481709
261.763000	-59.295555
262.435913	-59.129177
263.108826	-58.928585
263.781738	-58.834606
264.454651	-58.643780
265.127563	-58.452549
265.800476	-58.322121
266.473389	-58.290386
267.146301	-58.211891
267.819214	-58.085258
268.492126	-57.984039
269.165039	-58.030865
269.837952	-58.110916
270.510864	-58.006653
271.183777	-58.074276
271.856689	-58.186970
272.529602	-58.321724
273.202515	-58.321949
273.875427	-58.316822
274.548340	-58.512501
275.221252	-58.699131
275.894165	-58.824898
276.567078	-58.919304
277.239990	-59.158051
277.912903	-59.419209
278.585815	-59.508797
279.258728	-59.671398
279.931641	-59.901131
280.604553	-60.200806
281.277466	-60.264278
281.950378	-60.410805
282.623291	-60.761189
283.296204	-60.988583
283.969116	-61.167595
284.642029	-61.226513
285.314941	-61.565777
285.987854	-61.855396
286.660767	-61.875011
287.333679	-62.091187
288.006592	-62.394547
288.679504	-62.575996
289.352417	-62.649296
290.025330	-62.827656
290.698242	-63.101204
291.371155	-63.244949
292.044067	-63.384628
292.716980	-63.681004
293.389893	-63.767899
294.062805	-63.892063
294.735718	-64.187126
295.408630	-64.468689
296.081543	-64.434944
296.754456	-64.478386
297.427368	-64.808449
298.100281	-64.977928
298.773193	-65.026024
299.446106	-65.293770
300.119019	-65.390991
300.791931	-65.426247
301.464844	-65.686317
302.137756	-65.957687
302.810669	-65.938698
303.483582	-65.986328
304.156494	-66.255264
304.829407	-66.333946
305.502319	-66.507935
306.175232	-66.793961
306.848145	-66.692535
307.521057	-66.751793
308.193970	-67.062218
308.866882	-67.128654
309.539795	-67.278214
310.212708	-67.525543
310.885620	-67.478912
311.558533	-67.421120
312.231445	-67.795074
312.904358	-67.928230
313.577271	-67.949654
314.250183	-68.290611
314.923096	-68.112892
315.596008	-68.119682
316.268921	-68.360992
316.941833	-68.394814
317.614746	-68.565735
318.287659	-68.900970
318.960571	-68.690445
319.633484	-68.822052
320.306396	-68.975105
320.979309	-68.768745
321.652222	-69.132812
322.325134	-69.366547
322.998047	-69.288246
323.670959	-69.720406
324.343872	-69.345215
325.016785	-69.370926
325.689697	-69.661652
326.362610	-69.504280
327.035522	-69.850380
327.708435	-70.081841
328.381348	-69.982620
329.054260	-70.308548
329.727173	-70.094337
330.400085	-69.951302
331.072998	-70.197113
331.745911	-70.018112
332.418823	-70.493736
333.091736	-70.487679
333.764648	-70.580002
334.437561	-71.065788
335.110474	-70.569672
335.783386	-70.957878
336.456299	-70.736977
337.129211	-70.613968
337.802124	-70.854309
338.475037	-70.627953
339.147949	-71.083977
339.820862	-71.094681
340.493774	-71.235970
341.166687	-71.604218
341.839600	-71.384560
342.512512	-71.761719
343.185425	-71.440353
343.858337	-71.531425
344.531250	-71.387360
345.204163	-71.183464
345.877075	-71.433685
346.549988	-71.123848
347.222900	-71.662949
347.895813	-71.456978
348.568726	-71.861191
349.241638	-71.970398
349.914551	-72.070511
350.587463	-72.471901
351.260376	-72.251068
351.933289	-72.659576
352.606201	-72.221916
353.279114	-72.526154
353.952026	-72.085960
354.624939	-72.230003
355.297852	-71.937813
355.970764	-71.832230
356.643677	-71.843651
357.316589	-71.634789
357.989502	-71.843002
358.662415	-71.520775
359.335327	-71.925964
360.008240	-71.597496
360.681152	-72.065331
361.354065	-71.914406
362.026978	-72.368996
362.699890	-72.213928
363.372803	-72.612869
364.045715	-72.627419
364.718628	-72.888390
365.391541	-73.024300
366.064453	-73.181206
366.737366	-73.418945
367.410278	-73.433334
368.083191	-73.754036
368.756104	-73.711906
369.429016	-74.161880
370.101929	-73.824219
370.774841	-74.373795
371.447754	-73.993263
372.120667	-74.599014
372.793579	-74.023506
373.466492	-74.445274
374.139404	-74.046143
374.812317	-74.419060
375.485229	-74.015274
376.158142	-74.112091
376.831055	-73.823395
377.503967	-73.904854
378.176880	-73.670700
378.849792	-73.603195
379.522705	-73.526726
380.195618	-73.264877
380.868530	-73.213959
381.541443	-72.887444
382.214355	-73.061523
382.887268	-72.569359
383.560181	-72.931061
384.233093	-72.383835
384.906006	-72.774910
385.578918	-72.269669
386.251831	-72.846176
386.924744	-72.368973
387.597656	-72.922012
388.270569	-72.733788
388.943481	-73.091064
389.616394	-73.140564
390.289307	-73.308876
390.962219	-73.774933
391.635132	-73.522804
392.308044	-74.308037
392.980957	-73.602623
393.653870	-74.428497
394.326782	-73.541031
394.999695	-73.923454
395.672607	-73.578529
396.345520	-73.266441
397.018433	-73.380112
397.691345	-72.874870
398.364258	-73.437630
399.037170	-72.826263
399.710083	-73.335754
400.382996	-73.289619
401.055908	-73.451111
401.728821	-73.979683
402.401733	-73.528610
403.074646	-74.288246
403.747559	-73.559166
404.420471	-73.791145
405.093384	-73.507912
405.766296	-73.052689
406.439209	-73.487854
407.112122	-72.872635
407.785034	-73.322823
408.457947	-73.355957
409.130859	-73.335709
409.803772	-74.156189
410.476685	-73.468864
411.149597	-73.854103
411.822510	-73.424332
412.495422	-73.038490
413.168335	-73.488739
413.841248	-72.834213
414.514160	-73.410088
415.187073	-73.556610
415.859985	-73.287636
416.532898	-73.977623
417.205811	-73.259796
417.878723	-73.281792
418.551636	-73.485657
419.224548	-72.811470
419.897461	-73.362183
420.570374	-73.485260
421.243286	-73.149452
421.916199	-73.855354
422.589111	-73.259720
423.262024	-73.014572
423.934937	-73.443405
424.607849	-72.740456
425.280762	-73.245796
425.953674	-73.683060
426.626587	-73.023384
427.299500	-73.372482
427.972412	-73.283264
428.645325	-72.602150
429.318237	-73.297302
429.991150	-73.220619
430.664062	-72.979218
431.336975	-73.577492
432.009888	-73.080246
432.682800	-72.517235
433.355713	-73.093399
434.028625	-72.924843
434.701538	-72.761047
