Frequency (Hz)	Level (dB)
0.672913	-97.917854
1.345825	-97.989494
2.018738	-97.775696
2.691650	-97.666176
3.364563	-97.366180
4.037476	-95.526947
4.710388	-97.093628
5.383301	-95.910217
6.056213	-94.859848
6.729126	-93.928291
7.402039	-95.606255
8.074951	-95.485451
8.747864	-94.396812
9.420776	-93.853928
10.093689	-93.203720
10.766602	-91.073952
11.439514	-91.129906
12.112427	-90.219070
12.785339	-91.265999
13.458252	-90.406776
14.131165	-93.720894
14.804077	-92.225014
15.476990	-92.554543
16.149902	-90.687347
16.822815	-94.313316
17.495728	-91.290100
18.168640	-91.006897
18.841553	-90.198105
19.514465	-90.425926
20.187378	-91.415192
20.860291	-89.694862
21.533203	-89.888283
22.206116	-90.460007
22.879028	-88.406578
23.551941	-89.188339
24.224854	-91.910866
24.897766	-89.196877
25.570679	-90.057007
26.243591	-89.458900
26.916504	-89.027710
27.589417	-89.118164
28.262329	-89.005234
28.935242	-88.102730
29.608154	-86.522781
30.281067	-89.772682
30.953979	-89.098763
31.626892	-89.001732
32.299805	-89.544670
32.972717	-85.520912
33.645630	-87.619461
34.318542	-88.983208
34.991455	-90.008476
35.664368	-90.674530
36.337280	-90.271439
37.010193	-90.140465
37.683105	-90.308022
38.356018	-89.443481
39.028931	-89.239708
39.701843	-88.602936
40.374756	-89.570518
41.047668	-87.993652
41.720581	-88.972084
42.393494	-89.177910
43.066406	-89.725334
43.739319	-89.342400
44.412231	-89.402748
45.085144	-88.020935
45.758057	-89.424179
46.430969	-87.575516
47.103882	-89.221039
47.776794	-89.215988
48.449707	-89.025932
49.122620	-88.725060
49.795532	-88.783340
50.468445	-89.728683
51.141357	-88.891434
51.814270	-88.694611
52.487183	-88.928123
53.160095	-89.649040
53.833008	-89.231911
54.505920	-87.909538
55.178833	-88.163811
55.851746	-88.314865
56.524658	-88.301903
57.197571	-89.042862
57.870483	-87.086555
58.543396	-86.027084
59.216309	-79.980400
59.889221	-84.324303
60.562134	-84.823143
61.235046	-85.367035
61.907959	-86.919029
62.580872	-86.459442
63.253784	-86.104393
63.926697	-85.719269
64.599609	-86.353447
65.272522	-87.610970
65.945435	-86.827271
66.618347	-84.432983
67.291260	-85.420471
67.964172	-83.508636
68.637085	-82.616959
69.309998	-82.062477
69.982910	-78.703621
70.655823	-81.857597
71.328735	-83.169609
72.001648	-80.476242
72.674561	-79.521461
73.347473	-78.949867
74.020386	-79.600685
74.693298	-80.273178
75.366211	-80.870163
76.039124	-82.179543
76.712036	-83.138565
77.384949	-83.116089
78.057861	-83.861641
78.730774	-82.700974
79.403687	-82.910713
80.076599	-81.738846
80.749512	-83.266541
81.422424	-84.749283
82.095337	-84.817635
82.768250	-85.540749
83.441162	-85.519623
84.114075	-85.069580
84.786987	-85.898407
85.459900	-85.619125
86.132812	-84.730156
86.805725	-85.222069
87.478638	-86.174149
88.151550	-85.473541
88.824463	-83.003799
89.497375	-84.270485
90.170288	-85.402084
90.843201	-83.933426
91.516113	-83.866615
92.189026	-78.036415
92.861938	-82.479912
93.534851	-80.878555
94.207764	-83.353271
94.880676	-85.316536
95.553589	-85.111671
96.226501	-85.824043
96.899414	-85.172272
97.572327	-84.837921
98.245239	-85.278999
98.918152	-85.743507
99.591064	-85.416283
100.263977	-85.225250
100.936890	-84.409035
101.609802	-86.016083
102.282715	-85.711708
102.955627	-85.548691
103.628540	-84.915199
104.301453	-84.737328
104.974365	-84.675682
105.647278	-84.712540
106.320190	-85.123161
106.993103	-84.533768
107.666016	-84.363258
108.338928	-85.095009
109.011841	-84.598869
109.684753	-84.144165
110.357666	-84.699692
111.030579	-83.954361
111.703491	-84.770866
112.376404	-83.887344
113.049316	-82.827454
113.722229	-81.831848
114.395142	-82.178978
115.068054	-80.164734
115.740967	-80.899963
116.413879	-80.265404
117.086792	-80.570755
117.759705	-78.618629
118.432617	-71.138840
119.105530	-66.734909
119.778442	-74.570145
120.451355	-79.627182
121.124268	-81.797966
121.797180	-81.255302
122.470093	-82.736824
123.143005	-82.910973
123.815918	-83.398407
124.488831	-81.885002
125.161743	-82.104752
125.834656	-82.834686
126.507568	-83.083839
127.180481	-83.028519
127.853394	-82.915497
128.526306	-83.411636
129.199219	-83.516319
129.872131	-82.961899
130.545044	-83.626015
131.217957	-83.070351
131.890869	-82.453918
132.563782	-82.815025
133.236694	-83.247437
133.909607	-83.040230
134.582520	-83.600365
135.255432	-83.125473
135.928345	-83.517853
136.601257	-83.722321
137.274170	-83.552017
137.947083	-83.326805
138.619995	-82.887955
139.292908	-82.533371
139.965820	-82.831955
140.638733	-82.929543
141.311646	-83.544136
141.984558	-83.440506
142.657471	-82.506828
143.330383	-82.366516
144.003296	-82.472473
144.676208	-82.493889
145.349121	-82.849731
146.022034	-82.803391
146.694946	-82.237885
147.367859	-82.387459
148.040771	-82.109055
148.713684	-82.658257
149.386597	-82.560234
150.059509	-82.234863
150.732422	-82.805481
151.405334	-82.338585
152.078247	-82.212578
152.751160	-82.132393
153.424072	-82.058929
154.096985	-82.279587
154.769897	-81.975716
155.442810	-81.621788
156.115723	-82.005890
156.788635	-81.934692
157.461548	-82.077629
158.134460	-81.537842
158.807373	-81.992020
159.480286	-81.490562
160.153198	-81.782837
160.826111	-81.814964
161.499023	-80.954391
162.171936	-81.677269
162.844849	-81.335571
163.517761	-81.509636
164.190674	-81.140938
164.863586	-81.476959
165.536499	-81.342690
166.209412	-81.059990
166.882324	-81.031975
167.555237	-80.469376
168.228149	-80.902290
168.901062	-80.583206
169.573975	-80.866890
170.246887	-80.433266
170.919800	-80.371719
171.592712	-80.348793
172.265625	-80.528702
172.938538	-80.143524
173.611450	-80.303291
174.284363	-80.076904
174.957275	-79.754326
175.630188	-79.927895
176.303101	-79.348465
176.976013	-79.895966
177.648926	-79.322029
178.321838	-79.672607
178.994751	-79.151077
179.667664	-79.398140
180.340576	-79.322670
181.013489	-79.236877
181.686401	-78.912842
182.359314	-78.619644
183.032227	-78.395241
183.705139	-78.835793
184.378052	-78.120735
185.050964	-78.223396
185.723877	-77.894089
186.396790	-77.949921
187.069702	-77.571884
187.742615	-77.281837
188.415527	-77.106430
189.088440	-77.018875
189.761353	-76.623367
190.434265	-76.469841
191.107178	-76.124046
191.780090	-75.906113
192.453003	-75.491753
193.125916	-75.305717
193.798828	-74.978798
194.471741	-74.860298
195.144653	-74.412315
195.817566	-74.273834
196.490479	-73.857506
197.163391	-73.796417
197.836304	-73.382919
198.509216	-73.417343
199.182129	-72.963127
199.855042	-72.802895
200.527954	-72.936378
201.200867	-72.522148
201.873779	-72.634941
202.546692	-72.519005
203.219604	-72.426659
203.892517	-72.345322
204.565430	-72.344742
205.238342	-72.357368
205.911255	-72.345184
206.584167	-72.291573
207.257080	-72.232658
