Frequency (Hz)	Level (dB)
0.672913	-104.762779
1.345825	-104.936394
2.018738	-104.524162
2.691650	-104.122498
3.364563	-102.684929
4.037476	-101.359947
4.710388	-101.557098
5.383301	-100.840500
6.056213	-99.789375
6.729126	-98.421028
7.402039	-99.454941
8.074951	-99.588860
8.747864	-98.412399
9.420776	-98.445236
10.093689	-97.224785
10.766602	-95.566605
11.439514	-93.077881
12.112427	-93.433533
12.785339	-93.578926
13.458252	-93.815735
14.131165	-94.309616
14.804077	-94.217445
15.476990	-94.251617
16.149902	-93.250938
16.822815	-94.001884
17.495728	-95.052452
18.168640	-92.859886
18.841553	-92.859779
19.514465	-93.809174
20.187378	-94.345154
20.860291	-91.703316
21.533203	-92.115204
22.206116	-91.668045
22.879028	-89.734566
23.551941	-91.018074
24.224854	-90.838692
24.897766	-90.669464
25.570679	-90.986687
26.243591	-89.274620
26.916504	-90.200111
27.589417	-91.596840
28.262329	-90.733604
28.935242	-90.158577
29.608154	-89.473267
30.281067	-91.241440
30.953979	-90.835136
31.626892	-88.684807
32.299805	-90.739220
32.972717	-88.141159
33.645630	-89.471413
34.318542	-89.033356
34.991455	-88.940605
35.664368	-89.951302
36.337280	-88.742043
37.010193	-88.164116
37.683105	-89.666451
38.356018	-90.137192
39.028931	-89.557899
39.701843	-89.267609
40.374756	-87.225792
41.047668	-88.140106
41.720581	-88.225105
42.393494	-86.997101
43.066406	-87.230560
43.739319	-86.933952
44.412231	-85.957123
45.085144	-86.820183
45.758057	-86.896141
46.430969	-86.871284
47.103882	-86.399788
47.776794	-86.007446
48.449707	-86.705650
49.122620	-86.293251
49.795532	-85.762901
50.468445	-85.648460
51.141357	-84.584587
51.814270	-85.599701
52.487183	-86.136391
53.160095	-85.269913
53.833008	-85.648109
54.505920	-84.950768
55.178833	-84.204300
55.851746	-84.093689
56.524658	-83.830750
57.197571	-82.696426
57.870483	-83.453636
58.543396	-83.932991
59.216309	-82.544556
59.889221	-83.627502
60.562134	-83.183258
61.235046	-83.711494
61.907959	-83.267265
62.580872	-82.344879
63.253784	-80.141022
63.926697	-82.017563
64.599609	-84.687881
65.272522	-84.188538
65.945435	-84.603424
66.618347	-82.938431
67.291260	-83.716171
67.964172	-82.742332
68.637085	-83.266464
69.309998	-82.505623
69.982910	-80.525101
70.655823	-84.155266
71.328735	-82.095688
72.001648	-83.484261
72.674561	-81.921814
73.347473	-82.213547
74.020386	-82.837494
74.693298	-81.856880
75.366211	-81.985184
76.039124	-82.364273
76.712036	-83.451057
77.384949	-81.879669
78.057861	-83.980774
78.730774	-82.271713
79.403687	-82.487747
80.076599	-81.723061
80.749512	-82.270882
81.422424	-82.202858
82.095337	-82.922081
82.768250	-82.905006
83.441162	-82.497742
84.114075	-82.907730
84.786987	-82.129608
85.459900	-83.319321
86.132812	-83.084709
86.805725	-82.800842
87.478638	-82.020592
88.151550	-81.985161
88.824463	-81.912704
89.497375	-81.627983
90.170288	-81.352135
90.843201	-82.519547
91.516113	-82.264923
92.189026	-82.185188
92.861938	-81.938583
93.534851	-82.712379
94.207764	-83.895676
94.880676	-81.503716
95.553589	-81.508377
96.226501	-81.478325
96.899414	-82.133072
97.572327	-81.717468
98.245239	-82.208519
98.918152	-81.954605
99.591064	-82.446953
100.263977	-82.032646
100.936890	-81.219131
101.609802	-81.180290
102.282715	-82.288048
102.955627	-81.211014
103.628540	-81.805580
104.301453	-81.709183
104.974365	-82.926270
105.647278	-82.196434
106.320190	-81.061302
106.993103	-80.150925
107.666016	-80.380798
108.338928	-82.443588
109.011841	-81.676422
109.684753	-80.814766
110.357666	-82.250137
111.030579	-80.450928
111.703491	-82.561684
112.376404	-81.981720
113.049316	-81.859337
113.722229	-82.172859
114.395142	-81.586884
115.068054	-80.908676
115.740967	-80.770073
116.413879	-80.305923
117.086792	-81.206726
117.759705	-82.574997
118.432617	-80.617706
119.105530	-78.419266
119.778442	-80.367149
120.451355	-80.732758
121.124268	-81.700142
121.797180	-81.514305
122.470093	-81.593040
123.143005	-81.990784
123.815918	-81.167915
124.488831	-80.617508
125.161743	-81.488701
125.834656	-82.219620
126.507568	-81.367287
127.180481	-81.765671
127.853394	-82.081100
128.526306	-81.385162
129.199219	-80.812851
129.872131	-80.508911
130.545044	-81.774979
131.217957	-81.149872
131.890869	-81.933044
132.563782	-80.061417
133.236694	-79.861633
133.909607	-80.456963
134.582520	-81.524483
135.255432	-80.415375
135.928345	-81.353378
136.601257	-80.179787
137.274170	-81.200737
137.947083	-81.342377
138.619995	-81.116035
139.292908	-80.819359
139.965820	-80.937805
140.638733	-79.378983
141.311646	-80.789558
141.984558	-81.003510
142.657471	-80.514931
143.330383	-82.004494
144.003296	-81.280769
144.676208	-82.118668
145.349121	-81.611832
146.022034	-81.584229
146.694946	-81.440903
147.367859	-80.797134
148.040771	-81.661415
148.713684	-82.065323
149.386597	-80.611259
150.059509	-82.064735
150.732422	-81.202003
151.405334	-80.668121
152.078247	-80.065269
152.751160	-80.180428
153.424072	-82.315948
154.096985	-80.734955
154.769897	-81.876778
155.442810	-82.281174
156.115723	-81.721153
156.788635	-81.557205
157.461548	-81.684792
158.134460	-81.915070
158.807373	-81.551453
159.480286	-81.354141
160.153198	-81.589172
160.826111	-81.300774
161.499023	-81.503403
162.171936	-81.411186
162.844849	-81.821571
163.517761	-81.050003
164.190674	-81.725578
164.863586	-81.612167
165.536499	-82.572861
166.209412	-82.476967
166.882324	-82.458565
167.555237	-82.178627
168.228149	-82.225319
168.901062	-80.524826
169.573975	-81.276672
170.246887	-81.909531
170.919800	-81.541702
171.592712	-82.766975
172.265625	-81.601334
172.938538	-82.268372
173.611450	-82.091293
174.284363	-81.942062
174.957275	-81.743042
175.630188	-82.032219
176.303101	-82.334732
176.976013	-82.588875
177.648926	-81.320442
178.321838	-81.496033
178.994751	-82.234169
179.667664	-81.080925
180.340576	-82.055038
181.013489	-82.200630
181.686401	-82.385010
182.359314	-82.461258
183.032227	-81.146950
183.705139	-81.503433
184.378052	-80.812851
185.050964	-81.777069
185.723877	-81.887039
186.396790	-82.479347
187.069702	-80.773087
187.742615	-81.855003
188.415527	-81.660545
189.088440	-82.265007
189.761353	-82.225525
190.434265	-82.042923
191.107178	-82.397926
191.780090	-83.461235
192.453003	-81.983200
193.125916	-82.242943
193.798828	-82.474060
194.471741	-82.287338
195.144653	-81.951126
195.817566	-81.713303
196.490479	-81.581993
197.163391	-81.224030
197.836304	-82.010117
198.509216	-82.712883
199.182129	-82.722168
199.855042	-81.068413
200.527954	-81.728554
201.200867	-81.570381
201.873779	-81.876389
202.546692	-81.978745
203.219604	-82.222832
203.892517	-81.971970
204.565430	-82.248665
205.238342	-81.664192
205.911255	-82.029404
206.584167	-82.045334
207.257080	-83.060822
207.929993	-83.525177
208.602905	-82.325439
209.275818	-81.859024
209.948730	-82.269363
210.621643	-82.606049
211.294556	-82.970871
211.967468	-82.066093
212.640381	-83.075829
213.313293	-81.831596
213.986206	-82.999016
214.659119	-82.355438
215.332031	-82.610344
216.004944	-82.516846
216.677856	-83.449051
217.350769	-83.472313
218.023682	-83.006271
218.696594	-82.756348
219.369507	-83.480873
220.042419	-82.989372
220.715332	-81.437622
221.388245	-82.684303
222.061157	-84.251976
222.734070	-83.935135
223.406982	-81.933899
224.079895	-81.425697
224.752808	-83.634964
225.425720	-83.146942
226.098633	-82.256439
226.771545	-82.959854
227.444458	-82.710686
228.117371	-82.790421
228.790283	-82.205132
229.463196	-81.760468
230.136108	-81.226326
230.809021	-83.021255
231.481934	-83.124878
232.154846	-83.037315
232.827759	-82.752014
233.500671	-82.409592
234.173584	-82.433777
234.846497	-82.763390
235.519409	-83.246719
236.192322	-81.999802
236.865234	-83.526413
237.538147	-81.952835
238.211060	-81.527496
238.883972	-83.029648
239.556885	-83.389893
240.229797	-82.056641
240.902710	-82.935951
241.575623	-82.594917
242.248535	-84.228218
242.921448	-82.302048
243.594360	-82.207924
244.267273	-83.411705
244.940186	-83.338531
245.613098	-82.699150
246.286011	-82.818848
246.958923	-82.100365
247.631836	-83.163757
248.304749	-82.277313
248.977661	-83.952606
249.650574	-83.856232
250.323486	-83.273941
250.996399	-82.839592
251.669312	-82.493683
252.342224	-82.952644
253.015137	-82.905663
253.688049	-82.402786
254.360962	-82.842743
255.033875	-84.135544
255.706787	-82.307716
256.379700	-82.063133
257.052612	-82.553268
257.725525	-84.128738
258.398438	-84.278130
259.071350	-82.260719
259.744263	-82.844994
260.417175	-83.291183
261.090088	-83.711121
261.763000	-81.070618
262.435913	-82.799171
263.108826	-82.805405
263.781738	-82.385918
264.454651	-83.243561
265.127563	-82.781410
265.800476	-83.104996
266.473389	-82.786667
267.146301	-82.860985
267.819214	-82.283318
268.492126	-81.912201
269.165039	-81.873451
269.837952	-82.845886
270.510864	-82.554771
271.183777	-83.466728
271.856689	-82.636078
272.529602	-83.131256
273.202515	-82.873566
273.875427	-82.085838
274.548340	-82.568802
275.221252	-82.296059
275.894165	-82.394279
276.567078	-82.879189
277.239990	-83.168533
277.912903	-83.955917
278.585815	-81.006294
279.258728	-80.786240
279.931641	-83.037659
280.604553	-83.512054
281.277466	-81.283546
281.950378	-82.007782
282.623291	-83.346458
283.296204	-81.579338
283.969116	-82.348122
284.642029	-81.872772
285.314941	-82.373817
285.987854	-84.704926
286.660767	-82.382729
287.333679	-82.100227
288.006592	-83.539940
288.679504	-83.318031
289.352417	-82.408218
290.025330	-83.632706
290.698242	-82.988441
291.371155	-82.676613
292.044067	-82.819267
292.716980	-81.150673
293.389893	-82.855591
294.062805	-80.547371
294.735718	-81.691399
295.408630	-83.010468
296.081543	-82.647667
296.754456	-81.903923
297.427368	-83.816063
298.100281	-82.965805
298.773193	-82.371323
299.446106	-81.323898
300.119019	-82.870712
300.791931	-82.260597
301.464844	-82.743568
302.137756	-83.759056
302.810669	-82.969009
303.483582	-81.927979
304.156494	-82.519424
304.829407	-82.092323
305.502319	-83.717926
306.175232	-83.593079
306.848145	-82.860374
307.521057	-83.455544
308.193970	-81.438843
308.866882	-82.047379
309.539795	-83.258942
310.212708	-82.962654
310.885620	-82.863853
311.558533	-83.374908
312.231445	-82.169769
312.904358	-82.407639
313.577271	-81.806015
314.250183	-82.539467
314.923096	-83.054146
315.596008	-83.713303
316.268921	-82.651291
316.941833	-83.116264
317.614746	-81.687599
318.287659	-83.093002
318.960571	-82.442535
319.633484	-81.566811
320.306396	-81.222336
320.979309	-82.087997
321.652222	-82.134087
322.325134	-81.913826
322.998047	-81.706757
323.670959	-83.147552
324.343872	-82.320709
325.016785	-82.601921
325.689697	-82.809410
326.362610	-83.297081
327.035522	-81.577309
327.708435	-82.721687
328.381348	-84.547073
329.054260	-83.276077
329.727173	-82.817352
330.400085	-82.577286
331.072998	-83.151665
331.745911	-81.821465
332.418823	-82.520096
333.091736	-83.021385
333.764648	-81.568222
334.437561	-81.775864
335.110474	-83.182358
335.783386	-82.511131
336.456299	-81.951515
337.129211	-82.223099
337.802124	-81.601883
338.475037	-83.385010
339.147949	-82.871742
339.820862	-81.416237
340.493774	-82.089943
341.166687	-82.601212
341.839600	-83.075562
342.512512	-80.277718
343.185425	-82.353622
343.858337	-84.041351
344.531250	-81.800690
345.204163	-82.951828
345.877075	-82.270462
346.549988	-82.395950
347.222900	-81.663727
347.895813	-82.326324
348.568726	-81.785820
349.241638	-80.213921
349.914551	-81.075600
350.587463	-81.483765
351.260376	-81.531784
351.933289	-80.828819
352.606201	-80.972275
353.279114	-82.098343
353.952026	-82.894554
354.624939	-81.622246
355.297852	-81.913979
355.970764	-81.659088
356.643677	-81.772850
357.316589	-82.174728
357.989502	-82.052032
358.662415	-82.564613
359.335327	-82.237282
360.008240	-81.030289
360.681152	-81.866821
361.354065	-82.643074
362.026978	-81.751350
362.699890	-81.578735
363.372803	-81.945488
364.045715	-82.838242
364.718628	-81.321022
365.391541	-81.862823
366.064453	-81.781616
366.737366	-82.084801
367.410278	-82.324486
368.083191	-80.812317
368.756104	-81.496750
369.429016	-81.660637
370.101929	-80.761108
370.774841	-80.967934
371.447754	-82.534302
372.120667	-82.012489
372.793579	-81.702393
373.466492	-81.820580
374.139404	-82.145943
374.812317	-81.928986
375.485229	-81.962654
376.158142	-81.751030
376.831055	-82.615372
377.503967	-82.610138
378.176880	-81.913338
378.849792	-81.302383
379.522705	-81.584038
380.195618	-80.705223
380.868530	-81.900124
381.541443	-81.234665
382.214355	-81.278740
382.887268	-81.725021
383.560181	-82.546722
384.233093	-80.709595
384.906006	-82.097160
385.578918	-81.796120
386.251831	-82.138916
386.924744	-82.339890
387.597656	-81.436035
388.270569	-82.177521
388.943481	-81.184105
389.616394	-82.037903
390.289307	-81.031792
390.962219	-82.424103
391.635132	-81.741310
392.308044	-81.535156
392.980957	-81.516998
393.653870	-81.997566
394.326782	-81.430252
394.999695	-83.008575
395.672607	-80.912643
396.345520	-81.461739
397.018433	-80.680084
397.691345	-80.862732
398.364258	-80.408302
399.037170	-81.120399
399.710083	-80.960152
400.382996	-80.405167
401.055908	-80.870422
401.728821	-80.865028
402.401733	-80.720047
403.074646	-80.205589
403.747559	-81.476547
404.420471	-80.947205
405.093384	-80.711540
405.766296	-80.328461
406.439209	-80.800323
407.112122	-81.647369
407.785034	-81.709969
408.457947	-81.249748
409.130859	-80.330605
409.803772	-81.292732
410.476685	-82.527107
411.149597	-80.828957
411.822510	-81.289360
412.495422	-81.380585
413.168335	-81.081657
413.841248	-80.494080
414.514160	-80.972023
415.187073	-82.354233
415.859985	-80.597549
416.532898	-81.010513
417.205811	-79.878105
417.878723	-81.397415
418.551636	-81.640144
419.224548	-80.991653
419.897461	-81.220268
420.570374	-81.852921
421.243286	-82.141060
421.916199	-80.139854
422.589111	-79.721130
423.262024	-80.557884
423.934937	-81.541458
424.607849	-80.484009
425.280762	-81.552704
425.953674	-81.049355
426.626587	-80.086906
427.299500	-79.845802
427.972412	-81.283478
428.645325	-79.991661
429.318237	-81.592110
429.991150	-81.798195
430.664062	-79.947121
431.336975	-80.607719
432.009888	-80.273209
432.682800	-79.859581
433.355713	-80.281380
434.028625	-79.686340
434.701538	-80.891052
435.374451	-80.678406
436.047363	-80.796562
436.720276	-80.521584
437.393188	-81.031807
438.066101	-80.445572
438.739014	-79.925789
439.411926	-80.163406
440.084839	-81.434959
440.757751	-79.892632
441.430664	-80.148354
442.103577	-78.324249
442.776489	-80.551170
443.449402	-80.073997
444.122314	-81.153839
444.795227	-80.185356
445.468140	-80.010063
446.141052	-80.113335
446.813965	-80.225281
447.486877	-79.370468
448.159790	-80.688530
448.832703	-80.102036
449.505615	-80.180305
450.178528	-79.077408
450.851440	-78.659973
451.524353	-80.742264
452.197266	-79.683823
452.870178	-78.841385
453.543091	-79.359642
454.216003	-78.809410
454.888916	-78.849983
455.561829	-79.550018
456.234741	-78.949104
456.907654	-79.403091
457.580566	-79.587990
458.253479	-80.674690
458.926392	-80.303650
459.599304	-79.744026
460.272217	-80.132027
460.945129	-79.049553
461.618042	-79.285538
462.290955	-79.695404
462.963867	-80.084251
463.636780	-79.378685
464.309692	-80.070908
464.982605	-79.408989
465.655518	-79.994263
466.328430	-78.615677
467.001343	-79.681877
467.674255	-79.990173
468.347168	-80.826279
469.020081	-79.139679
469.692993	-78.942528
470.365906	-80.140594
471.038818	-78.990364
471.711731	-79.058998
472.384644	-79.385635
473.057556	-79.144073
473.730469	-78.155113
474.403381	-79.671310
475.076294	-79.054291
475.749207	-78.026268
476.422119	-78.286354
477.095032	-79.659332
477.767944	-79.536545
478.440857	-77.987221
479.113770	-78.997719
479.786682	-79.122650
480.459595	-78.731339
481.132507	-77.971573
481.805420	-79.748116
482.478333	-79.321365
483.151245	-79.507072
483.824158	-78.137054
484.497070	-77.178413
485.169983	-77.930260
485.842896	-78.329216
486.515808	-80.285736
487.188721	-77.535042
487.861633	-77.522758
488.534546	-77.604218
489.207458	-78.526939
489.880371	-77.447708
490.553284	-79.310089
491.226196	-78.831322
491.899109	-78.209801
492.572021	-77.605019
493.244934	-78.354462
493.917847	-80.281792
494.590759	-78.734459
495.263672	-78.315788
495.936584	-78.704262
