Frequency (Hz)	Level (dB)
0.672913	-92.375229
1.345825	-92.426041
2.018738	-92.342285
2.691650	-92.340370
3.364563	-92.410667
4.037476	-91.460274
4.710388	-92.188713
5.383301	-91.627441
6.056213	-90.466385
6.729126	-90.592880
7.402039	-91.662880
8.074951	-91.373344
8.747864	-91.064934
9.420776	-91.186630
10.093689	-89.603409
10.766602	-88.095543
11.439514	-88.150482
12.112427	-87.808517
12.785339	-88.715797
13.458252	-88.527985
14.131165	-89.201469
14.804077	-88.937935
15.476990	-89.181061
16.149902	-88.119171
16.822815	-88.226448
17.495728	-89.610558
18.168640	-89.549217
18.841553	-89.103287
19.514465	-89.215576
20.187378	-88.557198
20.860291	-88.593964
21.533203	-86.932632
22.206116	-87.252586
22.879028	-87.039009
23.551941	-87.696831
24.224854	-87.539574
24.897766	-87.485786
25.570679	-88.715309
26.243591	-86.776581
26.916504	-87.803505
27.589417	-87.641609
28.262329	-86.438751
28.935242	-86.963509
29.608154	-87.054512
30.281067	-88.655617
30.953979	-88.240967
31.626892	-87.271088
32.299805	-86.471664
32.972717	-87.835770
33.645630	-89.138565
34.318542	-88.097618
34.991455	-89.106300
35.664368	-88.085724
36.337280	-87.045044
37.010193	-88.375946
37.683105	-87.996132
38.356018	-87.558983
39.028931	-87.740005
39.701843	-87.865952
40.374756	-87.256195
41.047668	-86.514412
41.720581	-87.465302
42.393494	-87.862206
43.066406	-87.576630
43.739319	-86.984001
44.412231	-88.025322
45.085144	-86.769897
45.758057	-88.622429
46.430969	-86.754700
47.103882	-87.260826
47.776794	-86.442581
48.449707	-86.307571
49.122620	-87.316284
49.795532	-88.302170
50.468445	-87.561989
51.141357	-87.773720
51.814270	-86.821960
52.487183	-86.780167
53.160095	-86.642715
53.833008	-86.622299
54.505920	-86.872093
55.178833	-85.736465
55.851746	-86.314468
56.524658	-85.130249
57.197571	-84.470863
57.870483	-82.090912
58.543396	-79.328117
59.216309	-70.916428
59.889221	-75.361710
60.562134	-76.292656
61.235046	-74.979759
61.907959	-78.359886
62.580872	-80.276405
63.253784	-83.197548
63.926697	-81.749496
64.599609	-80.146843
65.272522	-81.640877
65.945435	-82.135666
66.618347	-81.619972
67.291260	-79.234406
67.964172	-77.013763
68.637085	-76.829636
69.309998	-75.964371
69.982910	-70.732956
70.655823	-74.673187
71.328735	-75.884354
72.001648	-75.820564
72.674561	-76.821457
73.347473	-74.415802
74.020386	-72.010246
74.693298	-71.190140
75.366211	-71.916023
76.039124	-73.022820
76.712036	-74.164917
77.384949	-74.834427
78.057861	-75.107170
78.730774	-75.467171
79.403687	-75.810837
80.076599	-77.983795
80.749512	-78.453194
81.422424	-78.032555
82.095337	-77.215431
82.768250	-78.484909
83.441162	-78.279884
84.114075	-78.305428
84.786987	-76.680840
85.459900	-77.387978
86.132812	-77.402924
86.805725	-77.375877
87.478638	-77.027740
88.151550	-78.954010
88.824463	-76.659393
89.497375	-78.825829
90.170288	-78.321953
90.843201	-75.375473
91.516113	-76.870300
92.189026	-74.912971
92.861938	-72.866737
93.534851	-72.261642
94.207764	-73.382889
94.880676	-80.999725
95.553589	-81.190605
96.226501	-81.649658
96.899414	-81.311188
97.572327	-81.660744
98.245239	-81.173004
98.918152	-81.162994
99.591064	-81.981110
100.263977	-81.530830
100.936890	-81.383835
101.609802	-81.392868
102.282715	-81.451614
102.955627	-80.809891
103.628540	-81.285904
104.301453	-82.495125
104.974365	-80.781891
105.647278	-79.594231
106.320190	-81.626411
106.993103	-80.872574
107.666016	-77.993599
108.338928	-79.509804
109.011841	-78.242973
109.684753	-77.896729
110.357666	-76.555740
111.030579	-77.079124
111.703491	-75.974777
112.376404	-75.950798
113.049316	-74.157417
113.722229	-68.509804
114.395142	-70.348351
115.068054	-65.940659
115.740967	-69.063736
116.413879	-69.359955
117.086792	-68.782326
117.759705	-64.372993
118.432617	-61.910721
119.105530	-64.445992
119.778442	-58.095226
120.451355	-56.776894
121.124268	-49.552872
121.797180	-62.126926
122.470093	-66.562325
123.143005	-69.035385
123.815918	-70.090988
124.488831	-70.679184
125.161743	-72.194305
125.834656	-70.909058
126.507568	-72.130043
127.180481	-72.169983
127.853394	-73.685364
128.526306	-72.855034
129.199219	-73.314255
129.872131	-72.673752
130.545044	-73.867088
131.217957	-73.248398
131.890869	-74.085243
132.563782	-71.366188
133.236694	-70.844238
133.909607	-69.439339
134.582520	-70.089287
135.255432	-72.321243
135.928345	-70.969360
136.601257	-69.523819
137.274170	-70.057449
137.947083	-68.323608
138.619995	-68.569313
139.292908	-68.389931
139.965820	-67.875946
140.638733	-68.170967
141.311646	-68.120369
141.984558	-67.176773
142.657471	-66.480324
143.330383	-65.300415
144.003296	-65.288094
144.676208	-63.742920
145.349121	-65.490021
146.022034	-64.254646
146.694946	-63.958160
147.367859	-62.389431
148.040771	-63.341572
148.713684	-63.638878
149.386597	-63.230988
150.059509	-63.369370
150.732422	-64.647598
151.405334	-64.299919
152.078247	-64.946564
152.751160	-65.831017
153.424072	-66.736572
154.096985	-66.493362
154.769897	-66.966743
155.442810	-68.104790
156.115723	-68.268707
156.788635	-68.711990
157.461548	-69.763367
158.134460	-69.312462
158.807373	-69.981644
159.480286	-70.288483
160.153198	-70.311874
160.826111	-70.026093
161.499023	-70.558296
162.171936	-72.738266
162.844849	-72.879890
163.517761	-72.776405
164.190674	-73.658295
164.863586	-73.304390
165.536499	-74.046135
166.209412	-73.428970
166.882324	-73.509712
167.555237	-74.480652
168.228149	-74.124367
168.901062	-73.809967
169.573975	-74.256615
170.246887	-74.889648
170.919800	-75.547661
171.592712	-75.358582
172.265625	-74.398598
172.938538	-75.781891
173.611450	-75.444855
174.284363	-75.346916
174.957275	-74.608200
175.630188	-74.412323
176.303101	-75.471199
176.976013	-76.614136
177.648926	-75.904266
178.321838	-76.963737
178.994751	-78.159737
179.667664	-77.025887
180.340576	-76.591095
181.013489	-76.648010
181.686401	-78.027557
182.359314	-78.396263
183.032227	-77.030113
183.705139	-77.642822
184.378052	-77.216415
185.050964	-76.355972
185.723877	-78.045502
186.396790	-77.674454
187.069702	-79.109116
187.742615	-78.603699
188.415527	-78.722336
189.088440	-78.999756
189.761353	-78.215492
190.434265	-78.031891
191.107178	-77.701447
191.780090	-79.666763
192.453003	-80.063141
193.125916	-79.640945
193.798828	-79.244446
194.471741	-78.759972
195.144653	-78.711533
195.817566	-80.002739
196.490479	-78.494148
197.163391	-78.441139
197.836304	-80.041443
198.509216	-78.628517
199.182129	-79.011192
199.855042	-79.351822
200.527954	-79.818275
201.200867	-78.919090
201.873779	-79.430458
202.546692	-78.899269
203.219604	-79.815605
203.892517	-80.486572
204.565430	-80.470016
205.238342	-80.469978
205.911255	-80.739677
206.584167	-79.979179
207.257080	-81.072975
207.929993	-80.428467
208.602905	-78.785072
209.275818	-80.297989
209.948730	-81.112915
210.621643	-79.816048
211.294556	-79.172272
211.967468	-80.300385
212.640381	-80.485756
213.313293	-79.232788
213.986206	-80.622940
