Frequency (Hz)	Level (dB)
0.672913	-46.497948
1.345825	-46.470028
2.018738	-46.433334
2.691650	-46.367508
3.364563	-46.300709
4.037476	-46.194569
4.710388	-46.090004
5.383301	-45.935226
6.056213	-45.823761
6.729126	-45.657150
7.402039	-45.458031
8.074951	-45.260403
8.747864	-45.047230
9.420776	-44.793316
10.093689	-44.593838
10.766602	-44.198063
11.439514	-43.961548
12.112427	-43.632797
12.785339	-43.215515
13.458252	-42.825500
14.131165	-42.393631
14.804077	-41.932758
15.476990	-41.523563
16.149902	-40.948402
16.822815	-40.338684
17.495728	-39.800495
18.168640	-39.035362
18.841553	-38.306034
19.514465	-37.424362
20.187378	-36.485847
20.860291	-35.307858
21.533203	-34.204643
22.206116	-32.811420
22.879028	-31.050135
23.551941	-29.116495
24.224854	-26.222200
24.897766	-21.543381
25.570679	-11.621224
26.243591	-9.325482
26.916504	-21.219883
27.589417	-25.619509
28.262329	-28.630796
28.935242	-31.215460
29.608154	-32.799389
30.281067	-34.195011
30.953979	-35.234196
31.626892	-36.377251
32.299805	-37.623356
32.972717	-38.327793
33.645630	-39.137276
34.318542	-39.911442
34.991455	-40.638439
35.664368	-41.064041
36.337280	-41.350933
37.010193	-42.199295
37.683105	-42.665287
38.356018	-43.155003
39.028931	-43.674309
39.701843	-44.010864
40.374756	-44.368778
41.047668	-44.691593
41.720581	-44.931149
42.393494	-45.661606
43.066406	-45.916393
43.739319	-46.186268
44.412231	-46.488792
45.085144	-46.771927
45.758057	-46.968452
46.430969	-47.331059
47.103882	-47.393761
47.776794	-47.513474
48.449707	-47.652393
49.122620	-47.425007
49.795532	-46.936115
50.468445	-45.527966
51.141357	-39.346561
51.814270	-29.105415
52.487183	-33.455364
53.160095	-42.806141
53.833008	-45.644566
54.505920	-46.961575
55.178833	-47.854263
55.851746	-47.966747
56.524658	-48.235306
57.197571	-48.689007
57.870483	-49.263027
58.543396	-49.308235
59.216309	-49.671509
59.889221	-50.054684
60.562134	-49.789562
61.235046	-49.987804
61.907959	-50.260941
62.580872	-49.629593
63.253784	-50.183483
63.926697	-50.127953
64.599609	-50.021820
65.272522	-49.705418
65.945435	-49.551067
66.618347	-49.475945
67.291260	-48.730087
67.964172	-49.388672
68.637085	-48.860367
69.309998	-49.230804
69.982910	-48.606247
70.655823	-48.005390
71.328735	-47.268372
72.001648	-46.698132
72.674561	-45.576954
73.347473	-44.560379
74.020386	-43.539974
74.693298	-41.992134
75.366211	-40.522697
76.039124	-37.418091
76.712036	-31.938892
77.384949	-22.662920
78.057861	-21.037382
78.730774	-25.965496
79.403687	-34.851028
80.076599	-39.112827
80.749512	-41.721237
81.422424	-43.350014
82.095337	-44.168774
82.768250	-45.262901
83.441162	-46.888802
84.114075	-47.954014
84.786987	-48.758305
85.459900	-49.069927
86.132812	-50.503597
86.805725	-50.631027
87.478638	-50.358322
88.151550	-50.300304
88.824463	-51.178909
89.497375	-52.042973
90.170288	-52.672638
90.843201	-52.688797
91.516113	-53.251072
92.189026	-52.796844
92.861938	-53.102131
93.534851	-51.996559
94.207764	-53.326851
94.880676	-53.577625
95.553589	-53.947273
96.226501	-53.407955
96.899414	-53.430180
97.572327	-53.175179
98.245239	-52.231022
98.918152	-52.801956
99.591064	-51.890629
100.263977	-51.191582
100.936890	-49.490353
101.609802	-48.029243
102.282715	-44.040203
102.955627	-34.279430
103.628540	-29.951664
104.301453	-31.833984
104.974365	-35.668606
105.647278	-42.906967
106.320190	-46.646980
106.993103	-48.948124
107.666016	-49.677166
108.338928	-49.677223
109.011841	-50.220043
109.684753	-51.875462
110.357666	-52.652451
111.030579	-53.750370
111.703491	-54.259361
112.376404	-54.412777
113.049316	-54.039673
113.722229	-53.808552
114.395142	-54.469677
115.068054	-53.983925
115.740967	-55.003384
116.413879	-54.997116
117.086792	-55.921070
117.759705	-55.046570
118.432617	-54.089333
119.105530	-53.450863
119.778442	-53.857677
120.451355	-55.160217
121.124268	-56.183582
121.797180	-57.008869
122.470093	-56.633495
123.143005	-55.599903
123.815918	-54.082012
124.488831	-55.072121
125.161743	-55.729630
125.834656	-55.662399
126.507568	-54.788776
127.180481	-54.377148
127.853394	-51.407990
128.526306	-43.658588
129.199219	-39.845894
129.872131	-37.905811
130.545044	-40.036041
131.217957	-45.223461
131.890869	-51.035606
132.563782	-54.092758
133.236694	-55.043568
133.909607	-55.381134
134.582520	-56.267067
135.255432	-57.422775
135.928345	-57.501400
136.601257	-57.466377
137.274170	-58.535934
137.947083	-57.587566
138.619995	-57.486267
139.292908	-58.133358
139.965820	-58.226086
140.638733	-58.440712
141.311646	-58.468491
141.984558	-59.264866
142.657471	-59.050278
143.330383	-58.887787
144.003296	-58.471664
144.676208	-58.443535
145.349121	-57.682167
146.022034	-58.256573
146.694946	-59.125427
147.367859	-59.424438
148.040771	-59.678448
148.713684	-58.554550
149.386597	-58.285774
150.059509	-58.130718
150.732422	-58.200043
151.405334	-59.313221
152.078247	-60.206696
152.751160	-58.152245
153.424072	-56.975769
154.096985	-52.423973
154.769897	-48.527073
155.442810	-45.678024
156.115723	-46.562294
156.788635	-47.270329
157.461548	-53.069118
158.134460	-56.925072
158.807373	-57.775246
159.480286	-57.420700
160.153198	-57.919846
160.826111	-58.274544
161.499023	-58.616943
162.171936	-58.583038
162.844849	-59.006992
163.517761	-59.100906
164.190674	-58.640808
164.863586	-58.283291
165.536499	-58.367336
166.209412	-59.516293
166.882324	-58.413696
167.555237	-58.485092
168.228149	-58.799320
168.901062	-59.238380
169.573975	-58.110115
170.246887	-59.202343
170.919800	-58.952984
171.592712	-59.085938
172.265625	-58.932739
172.938538	-57.968445
173.611450	-57.910343
174.284363	-57.202908
174.957275	-56.909870
175.630188	-55.096504
176.303101	-56.418331
176.976013	-56.256821
177.648926	-55.323738
178.321838	-54.302605
178.994751	-51.657619
179.667664	-47.507854
180.340576	-41.798965
181.013489	-39.919327
181.686401	-38.326881
182.359314	-42.062119
183.032227	-40.427448
183.705139	-49.473370
184.378052	-53.298363
185.050964	-55.277878
