Frequency (Hz)	Level (dB)
0.672913	-94.686272
1.345825	-94.601768
2.018738	-94.609825
2.691650	-94.555458
3.364563	-94.491188
4.037476	-94.136848
4.710388	-94.648819
5.383301	-94.026039
6.056213	-92.808922
6.729126	-92.798523
7.402039	-94.285255
8.074951	-93.910942
8.747864	-93.347847
9.420776	-92.402809
10.093689	-92.441750
10.766602	-88.118736
11.439514	-86.173401
12.112427	-88.353554
12.785339	-88.977280
13.458252	-89.347038
14.131165	-91.936523
14.804077	-92.128510
15.476990	-92.230827
16.149902	-92.608040
16.822815	-90.259186
17.495728	-90.589371
18.168640	-90.956589
18.841553	-91.463387
19.514465	-90.569168
20.187378	-90.489983
20.860291	-89.578056
21.533203	-89.740471
22.206116	-90.185158
22.879028	-87.813004
23.551941	-88.340576
24.224854	-89.224167
24.897766	-87.936546
25.570679	-89.148018
26.243591	-87.137230
26.916504	-87.848503
27.589417	-88.156143
28.262329	-88.310593
28.935242	-90.277794
29.608154	-87.017914
30.281067	-89.269936
30.953979	-88.736320
31.626892	-89.718018
32.299805	-89.133652
32.972717	-87.937248
33.645630	-88.689011
34.318542	-88.494278
34.991455	-88.960220
35.664368	-87.571159
36.337280	-88.097450
37.010193	-87.503616
37.683105	-88.593124
38.356018	-89.461342
39.028931	-88.693680
39.701843	-88.051048
40.374756	-87.743988
41.047668	-88.028442
41.720581	-86.212204
42.393494	-87.844353
43.066406	-87.497787
43.739319	-86.732559
44.412231	-85.469536
45.085144	-85.701767
45.758057	-85.452774
46.430969	-86.352524
47.103882	-86.668388
47.776794	-85.540787
48.449707	-85.445816
49.122620	-85.903259
49.795532	-86.446297
50.468445	-84.196724
51.141357	-83.002899
51.814270	-83.994728
52.487183	-84.195107
53.160095	-83.483589
53.833008	-83.021973
54.505920	-84.246750
55.178833	-83.921059
55.851746	-84.606163
56.524658	-82.390137
57.197571	-82.496368
57.870483	-81.160217
58.543396	-82.024033
59.216309	-80.741692
59.889221	-80.802223
60.562134	-80.764359
61.235046	-82.849197
61.907959	-82.438965
62.580872	-81.848679
63.253784	-83.149643
63.926697	-81.007454
64.599609	-82.174965
65.272522	-82.978973
65.945435	-82.784309
66.618347	-81.591667
67.291260	-81.615692
67.964172	-82.459503
68.637085	-80.663795
69.309998	-80.856522
69.982910	-81.151482
70.655823	-80.437187
71.328735	-80.277191
72.001648	-81.985535
72.674561	-80.441612
73.347473	-81.148941
74.020386	-82.126831
74.693298	-81.439018
75.366211	-79.610069
76.039124	-79.626602
76.712036	-80.715927
77.384949	-81.310844
78.057861	-79.924934
78.730774	-80.164070
79.403687	-80.502213
80.076599	-79.453903
80.749512	-79.533356
81.422424	-80.640823
82.095337	-80.217651
82.768250	-80.294228
83.441162	-80.930809
84.114075	-80.017891
84.786987	-80.480133
85.459900	-80.286560
86.132812	-79.756310
86.805725	-80.175659
87.478638	-79.978043
88.151550	-80.367798
88.824463	-78.738106
89.497375	-79.524300
90.170288	-79.356667
90.843201	-79.017807
91.516113	-78.975044
92.189026	-78.406258
92.861938	-79.391144
93.534851	-78.138451
94.207764	-80.001289
94.880676	-79.710098
95.553589	-79.283218
96.226501	-79.770523
96.899414	-78.358986
97.572327	-78.837349
98.245239	-79.192673
98.918152	-79.181587
99.591064	-79.074196
100.263977	-78.911949
100.936890	-79.453835
101.609802	-80.249802
102.282715	-78.651077
102.955627	-78.066238
103.628540	-78.774200
104.301453	-80.251724
104.974365	-79.145325
105.647278	-79.491646
106.320190	-79.195709
106.993103	-77.910637
107.666016	-78.412346
108.338928	-80.570770
109.011841	-79.312904
109.684753	-79.505280
110.357666	-78.208466
111.030579	-79.858757
111.703491	-77.695160
112.376404	-79.262550
113.049316	-78.461433
113.722229	-78.282822
114.395142	-77.004662
115.068054	-76.649986
115.740967	-77.990608
116.413879	-80.527611
117.086792	-78.083473
117.759705	-77.898125
118.432617	-78.682564
119.105530	-78.038589
119.778442	-75.648567
120.451355	-72.894783
121.124268	-73.902748
121.797180	-77.051155
122.470093	-77.622894
123.143005	-78.086929
123.815918	-77.292999
124.488831	-77.452309
125.161743	-79.610397
125.834656	-78.593842
126.507568	-78.563835
127.180481	-77.659988
127.853394	-78.077591
128.526306	-78.892235
129.199219	-79.112236
129.872131	-77.845779
130.545044	-78.182877
131.217957	-78.010475
131.890869	-78.632317
132.563782	-76.591156
133.236694	-78.401642
133.909607	-76.243675
134.582520	-76.504410
135.255432	-78.829803
135.928345	-78.543602
136.601257	-78.278786
137.274170	-77.986122
137.947083	-77.511826
138.619995	-76.601410
139.292908	-76.167809
139.965820	-77.559296
140.638733	-77.373985
141.311646	-77.696335
141.984558	-76.952339
142.657471	-77.117096
143.330383	-77.853455
144.003296	-77.455513
144.676208	-76.925240
145.349121	-77.566971
146.022034	-76.397095
146.694946	-76.512871
147.367859	-75.909424
148.040771	-77.600975
148.713684	-76.709534
149.386597	-76.496231
150.059509	-76.565842
150.732422	-78.006279
151.405334	-77.375687
152.078247	-76.648941
152.751160	-77.328438
153.424072	-77.897118
154.096985	-76.503410
154.769897	-77.064568
155.442810	-77.442169
156.115723	-78.386070
156.788635	-77.488861
157.461548	-78.215691
158.134460	-76.941277
158.807373	-77.102921
159.480286	-77.327591
160.153198	-76.999771
160.826111	-75.947006
161.499023	-75.877060
162.171936	-77.915344
162.844849	-77.454277
163.517761	-77.085823
164.190674	-78.402565
164.863586	-77.411224
165.536499	-76.633965
166.209412	-76.741142
166.882324	-76.884384
167.555237	-77.226257
168.228149	-76.310036
168.901062	-76.271873
169.573975	-76.278275
170.246887	-76.722771
170.919800	-77.237968
171.592712	-76.531151
172.265625	-75.770393
172.938538	-76.961411
173.611450	-76.071991
174.284363	-75.689102
174.957275	-75.029648
175.630188	-74.487335
176.303101	-74.688347
176.976013	-76.763062
177.648926	-75.443115
178.321838	-76.026871
178.994751	-76.838707
179.667664	-76.592186
180.340576	-75.635178
181.013489	-75.663048
181.686401	-75.953697
182.359314	-75.934319
183.032227	-74.791168
183.705139	-75.693954
184.378052	-74.589546
185.050964	-74.131622
185.723877	-75.992714
186.396790	-75.201996
187.069702	-76.122147
187.742615	-75.387268
188.415527	-76.384720
189.088440	-76.139954
189.761353	-74.874916
190.434265	-74.622520
191.107178	-74.241699
191.780090	-75.927238
192.453003	-76.441727
193.125916	-76.261322
193.798828	-75.821129
194.471741	-74.900566
195.144653	-74.895622
195.817566	-76.259354
196.490479	-74.636490
197.163391	-74.393921
197.836304	-74.982529
198.509216	-73.374115
199.182129	-74.385139
199.855042	-74.728470
200.527954	-74.718086
201.200867	-74.186005
201.873779	-74.019943
202.546692	-74.103149
203.219604	-74.376976
203.892517	-75.527122
204.565430	-75.112968
205.238342	-75.843178
205.911255	-74.893501
206.584167	-74.833862
207.257080	-75.382561
207.929993	-74.786026
208.602905	-73.684547
209.275818	-74.310509
209.948730	-75.146309
210.621643	-74.059563
211.294556	-73.378876
211.967468	-74.373878
212.640381	-74.652870
213.313293	-72.958176
213.986206	-74.791313
214.659119	-75.019554
215.332031	-73.297867
216.004944	-73.995827
216.677856	-72.994759
217.350769	-73.432579
218.023682	-73.894447
218.696594	-73.189430
219.369507	-72.888496
220.042419	-74.468033
220.715332	-74.288467
221.388245	-74.208504
222.061157	-73.997612
222.734070	-73.666122
223.406982	-72.728416
224.079895	-74.332954
224.752808	-74.197037
225.425720	-73.133888
226.098633	-74.154289
226.771545	-71.762573
227.444458	-72.754410
228.117371	-72.362724
228.790283	-72.743256
229.463196	-72.723511
230.136108	-72.729736
230.809021	-72.485435
231.481934	-73.012886
232.154846	-72.788025
232.827759	-72.434570
233.500671	-73.033745
234.173584	-73.376076
234.846497	-72.489113
235.519409	-73.597076
236.192322	-72.462852
236.865234	-71.425911
237.538147	-72.462135
238.211060	-72.511658
238.883972	-72.169395
239.556885	-72.513023
240.229797	-72.065956
240.902710	-72.508018
241.575623	-73.155975
242.248535	-70.547066
242.921448	-71.303001
243.594360	-70.984062
244.267273	-70.846466
244.940186	-70.894661
245.613098	-71.684464
246.286011	-72.003502
246.958923	-73.441414
247.631836	-71.398949
248.304749	-71.659370
248.977661	-72.109467
249.650574	-71.711594
250.323486	-70.862328
250.996399	-71.098412
251.669312	-71.796539
252.342224	-72.567589
253.015137	-71.210426
253.688049	-72.284332
254.360962	-70.162659
255.033875	-70.992378
255.706787	-71.103676
256.379700	-71.228462
257.052612	-70.206711
257.725525	-70.314613
258.398438	-70.125206
259.071350	-70.550560
259.744263	-70.533188
260.417175	-70.544373
261.090088	-69.861397
261.763000	-69.820122
262.435913	-70.485291
263.108826	-70.317909
263.781738	-69.284897
264.454651	-70.341614
265.127563	-69.953316
265.800476	-70.200439
266.473389	-69.717018
267.146301	-70.535866
267.819214	-70.045204
268.492126	-68.692245
269.165039	-68.318108
269.837952	-70.626617
270.510864	-70.550697
271.183777	-68.812317
271.856689	-70.056976
272.529602	-69.191345
273.202515	-68.487587
273.875427	-69.468048
274.548340	-69.062447
275.221252	-67.890450
275.894165	-69.160622
276.567078	-68.697067
277.239990	-68.876633
277.912903	-67.054756
278.585815	-67.032433
279.258728	-69.801697
279.931641	-69.274567
280.604553	-68.071198
281.277466	-68.006485
281.950378	-68.046265
282.623291	-69.011887
283.296204	-67.841034
283.969116	-67.701187
284.642029	-66.490463
285.314941	-67.702126
285.987854	-67.850075
286.660767	-66.512550
287.333679	-66.844131
288.006592	-67.743347
288.679504	-66.576454
289.352417	-67.749725
290.025330	-65.973740
290.698242	-66.303413
291.371155	-66.070877
292.044067	-66.673103
292.716980	-65.059334
293.389893	-65.210533
294.062805	-65.809334
294.735718	-66.403831
295.408630	-66.242523
296.081543	-66.015648
296.754456	-65.098396
297.427368	-63.208595
298.100281	-64.903542
298.773193	-65.471825
299.446106	-65.840622
300.119019	-64.379120
300.791931	-65.103111
301.464844	-62.585194
302.137756	-63.827354
302.810669	-63.691044
303.483582	-64.892082
304.156494	-63.926556
304.829407	-63.782570
305.502319	-63.440037
306.175232	-63.350094
306.848145	-63.497410
307.521057	-63.374878
308.193970	-61.957474
308.866882	-63.004566
309.539795	-61.341679
310.212708	-62.825130
310.885620	-61.701004
311.558533	-62.279232
312.231445	-62.764114
312.904358	-61.504280
313.577271	-60.991867
314.250183	-60.983315
314.923096	-61.358326
315.596008	-60.783100
316.268921	-60.288158
316.941833	-60.222683
317.614746	-59.007477
318.287659	-59.908951
318.960571	-59.397148
