Frequency (Hz)	Level (dB)
0.672913	-87.468040
1.345825	-87.439102
2.018738	-87.469688
2.691650	-87.308052
3.364563	-87.293724
4.037476	-87.425880
4.710388	-87.472809
5.383301	-87.422363
6.056213	-86.875648
6.729126	-87.229774
7.402039	-87.293106
8.074951	-87.108917
8.747864	-87.068802
9.420776	-86.535690
10.093689	-87.076775
10.766602	-86.984459
11.439514	-85.933495
12.112427	-86.460724
12.785339	-86.144516
13.458252	-86.367966
14.131165	-86.177391
14.804077	-86.393585
15.476990	-86.992569
16.149902	-86.237976
16.822815	-86.725784
17.495728	-86.747032
18.168640	-85.877007
18.841553	-85.960289
19.514465	-86.304527
20.187378	-85.942055
20.860291	-85.972359
21.533203	-85.559464
22.206116	-85.741058
22.879028	-85.638046
23.551941	-85.772507
24.224854	-85.586121
24.897766	-85.741898
25.570679	-85.753777
26.243591	-85.700249
26.916504	-84.619659
27.589417	-84.811882
28.262329	-85.870743
28.935242	-85.209908
29.608154	-85.961960
30.281067	-85.731979
30.953979	-85.825562
31.626892	-85.428139
32.299805	-85.635811
32.972717	-85.889870
33.645630	-85.910332
34.318542	-85.834999
34.991455	-85.848114
35.664368	-85.618874
36.337280	-85.551270
37.010193	-85.765503
37.683105	-84.931328
38.356018	-85.555717
39.028931	-85.853981
39.701843	-85.118355
40.374756	-85.112473
41.047668	-84.507980
41.720581	-83.705475
42.393494	-84.538628
43.066406	-84.877510
43.739319	-84.291100
44.412231	-84.724602
45.085144	-84.868591
45.758057	-85.129066
46.430969	-85.542206
47.103882	-84.552818
47.776794	-84.475670
48.449707	-84.216507
49.122620	-83.815018
49.795532	-83.540428
50.468445	-84.258896
51.141357	-84.169792
51.814270	-83.604874
52.487183	-85.144096
53.160095	-84.622696
53.833008	-82.546356
54.505920	-82.643318
55.178833	-83.760796
55.851746	-83.418251
56.524658	-82.335754
57.197571	-81.167656
57.870483	-79.299088
58.543396	-76.706200
59.216309	-72.647911
59.889221	-75.522499
60.562134	-77.359383
61.235046	-75.107864
61.907959	-76.079453
62.580872	-79.266426
63.253784	-80.319809
63.926697	-83.020187
64.599609	-80.414574
65.272522	-81.049156
65.945435	-81.293648
66.618347	-78.286392
67.291260	-78.258141
67.964172	-75.924309
68.637085	-74.079605
69.309998	-73.132637
69.982910	-69.984039
70.655823	-73.401413
71.328735	-73.781448
72.001648	-75.110237
72.674561	-74.604103
73.347473	-72.583771
74.020386	-70.859825
74.693298	-69.510300
75.366211	-69.248131
76.039124	-70.218872
76.712036	-70.400726
77.384949	-70.426170
78.057861	-72.663040
78.730774	-73.509933
79.403687	-73.747734
80.076599	-74.228615
80.749512	-75.320915
81.422424	-74.897224
82.095337	-76.083252
82.768250	-76.333755
83.441162	-76.413872
84.114075	-75.292381
84.786987	-74.326866
85.459900	-74.953712
86.132812	-75.518097
86.805725	-75.566528
87.478638	-75.846687
88.151550	-76.386063
88.824463	-75.144371
89.497375	-74.873291
90.170288	-72.104195
90.843201	-71.153030
91.516113	-71.397308
92.189026	-67.478836
92.861938	-67.703148
93.534851	-65.657951
94.207764	-66.201096
94.880676	-73.301910
95.553589	-74.102379
96.226501	-74.947716
96.899414	-75.017242
97.572327	-75.142166
98.245239	-75.282707
98.918152	-74.931953
99.591064	-74.511269
100.263977	-74.871269
100.936890	-75.226486
101.609802	-74.895599
102.282715	-73.833015
102.955627	-73.950912
103.628540	-73.807449
104.301453	-73.556389
104.974365	-73.497902
105.647278	-73.015404
106.320190	-72.900475
106.993103	-72.489700
107.666016	-71.780594
108.338928	-71.658379
109.011841	-70.315102
109.684753	-70.664108
110.357666	-69.922768
111.030579	-69.917549
111.703491	-67.607178
112.376404	-67.567688
113.049316	-65.836975
113.722229	-63.304081
114.395142	-63.396267
115.068054	-60.529751
115.740967	-61.552311
116.413879	-62.253563
117.086792	-60.192535
117.759705	-59.209644
118.432617	-54.429131
119.105530	-54.386837
119.778442	-48.230286
120.451355	-39.910194
121.124268	-44.325714
121.797180	-52.465908
122.470093	-56.308201
123.143005	-56.575729
123.815918	-59.163296
124.488831	-59.441689
125.161743	-60.753349
125.834656	-60.050430
126.507568	-60.491844
127.180481	-60.724163
127.853394	-60.502552
128.526306	-61.246613
129.199219	-63.822876
129.872131	-62.328918
130.545044	-63.711754
131.217957	-64.048218
131.890869	-65.436668
132.563782	-64.122978
133.236694	-65.943520
133.909607	-63.707935
134.582520	-65.492348
135.255432	-67.372116
135.928345	-67.726265
136.601257	-68.063507
137.274170	-68.720390
137.947083	-68.365120
138.619995	-69.923592
139.292908	-70.211258
139.965820	-71.185738
140.638733	-70.772194
141.311646	-72.251816
141.984558	-72.044060
142.657471	-71.131241
143.330383	-71.994087
144.003296	-72.414810
144.676208	-72.114899
145.349121	-73.387383
146.022034	-73.294624
146.694946	-73.591476
147.367859	-73.194435
148.040771	-75.206032
148.713684	-74.139305
149.386597	-74.270943
150.059509	-74.551292
150.732422	-75.106277
151.405334	-74.793472
152.078247	-75.009323
152.751160	-75.388725
153.424072	-77.049850
154.096985	-75.907745
154.769897	-75.925774
155.442810	-77.301979
156.115723	-76.619644
156.788635	-76.619064
157.461548	-77.337410
158.134460	-76.818657
158.807373	-77.270317
159.480286	-77.437782
160.153198	-77.261719
160.826111	-76.462189
161.499023	-77.074913
162.171936	-78.654648
162.844849	-78.450058
163.517761	-79.055725
164.190674	-78.618393
164.863586	-78.127953
165.536499	-78.858459
166.209412	-78.509598
166.882324	-78.147736
167.555237	-79.172661
168.228149	-78.150085
168.901062	-77.738899
169.573975	-78.652679
170.246887	-78.899574
170.919800	-79.338684
171.592712	-78.872200
172.265625	-78.855156
172.938538	-79.340965
173.611450	-78.625206
174.284363	-79.072044
174.957275	-77.575905
175.630188	-77.479156
176.303101	-78.265289
176.976013	-78.937675
177.648926	-78.462639
178.321838	-79.615585
178.994751	-79.427475
179.667664	-79.511703
180.340576	-78.933884
181.013489	-79.316689
181.686401	-79.127655
182.359314	-79.819733
183.032227	-78.263382
183.705139	-80.057793
184.378052	-78.945831
185.050964	-77.936592
185.723877	-79.477928
186.396790	-79.355644
187.069702	-79.966293
187.742615	-79.824913
188.415527	-80.028816
189.088440	-79.173294
189.761353	-79.421089
190.434265	-79.524117
191.107178	-78.545609
191.780090	-80.657104
192.453003	-80.444839
193.125916	-79.907509
193.798828	-79.945862
194.471741	-79.113014
195.144653	-78.969742
195.817566	-80.087921
196.490479	-78.842194
197.163391	-78.480949
197.836304	-79.662712
198.509216	-77.847786
199.182129	-78.478630
199.855042	-79.292068
200.527954	-79.247398
201.200867	-78.429413
201.873779	-78.643982
202.546692	-78.814537
203.219604	-79.427544
203.892517	-80.447723
204.565430	-79.608261
205.238342	-80.178574
205.911255	-79.691330
206.584167	-79.277283
207.257080	-79.171394
207.929993	-79.414391
208.602905	-78.229980
209.275818	-78.688545
209.948730	-79.345467
210.621643	-78.268875
211.294556	-76.999268
211.967468	-78.353615
212.640381	-78.470169
213.313293	-76.825600
213.986206	-78.769035
214.659119	-79.047821
215.332031	-77.595451
216.004944	-77.737602
216.677856	-77.025177
217.350769	-76.982262
218.023682	-77.791695
218.696594	-77.529663
219.369507	-76.653191
220.042419	-78.405853
220.715332	-78.016800
221.388245	-78.467552
222.061157	-77.549057
222.734070	-76.624916
223.406982	-75.934792
224.079895	-77.403206
224.752808	-77.136322
225.425720	-76.049217
226.098633	-76.385628
226.771545	-73.748001
227.444458	-74.773598
228.117371	-74.667450
228.790283	-75.117699
229.463196	-75.563232
230.136108	-75.047691
230.809021	-74.619385
231.481934	-75.377197
232.154846	-74.689949
232.827759	-74.163979
233.500671	-74.249603
234.173584	-74.771545
234.846497	-74.023125
235.519409	-74.794724
236.192322	-73.488014
236.865234	-72.196571
237.538147	-73.079857
238.211060	-73.101662
238.883972	-72.536919
239.556885	-72.669586
240.229797	-72.022102
240.902710	-72.391647
241.575623	-73.264297
242.248535	-70.196587
242.921448	-70.389648
243.594360	-69.709900
244.267273	-69.230103
244.940186	-69.270569
245.613098	-69.712273
246.286011	-69.823662
246.958923	-70.996994
247.631836	-68.552917
248.304749	-68.436005
248.977661	-68.649681
249.650574	-68.258347
250.323486	-66.843201
250.996399	-66.764473
251.669312	-67.349213
252.342224	-67.821579
253.015137	-65.846001
253.688049	-66.567223
254.360962	-64.454651
255.033875	-65.133125
255.706787	-65.097282
256.379700	-65.009628
257.052612	-64.185883
257.725525	-64.439400
258.398438	-64.364235
259.071350	-65.015282
259.744263	-65.449936
260.417175	-65.719048
261.090088	-65.182396
261.763000	-65.628342
262.435913	-66.623917
263.108826	-66.975304
263.781738	-66.399666
264.454651	-67.570587
265.127563	-67.543839
265.800476	-68.697929
266.473389	-68.557098
267.146301	-69.534859
267.819214	-69.808098
268.492126	-68.490395
269.165039	-69.172073
269.837952	-71.754684
270.510864	-71.756546
271.183777	-70.098640
271.856689	-71.981178
272.529602	-71.602707
273.202515	-71.230736
273.875427	-72.734833
274.548340	-72.693527
275.221252	-71.914803
275.894165	-73.497101
276.567078	-73.120064
277.239990	-73.746605
277.912903	-72.123062
278.585815	-72.270279
279.258728	-75.278603
279.931641	-74.801399
280.604553	-74.356850
281.277466	-74.681374
281.950378	-74.867973
282.623291	-75.639626
283.296204	-75.306412
283.969116	-75.299461
284.642029	-74.518921
285.314941	-75.841270
285.987854	-76.153130
286.660767	-75.063721
287.333679	-76.001427
288.006592	-77.095680
288.679504	-75.995110
289.352417	-77.714355
290.025330	-75.947388
290.698242	-76.609016
291.371155	-76.821190
292.044067	-76.966240
292.716980	-75.791786
293.389893	-75.977829
294.062805	-77.285698
294.735718	-77.635117
295.408630	-78.013237
296.081543	-77.759743
296.754456	-77.094994
297.427368	-75.335022
298.100281	-77.292198
298.773193	-77.975914
299.446106	-78.207420
300.119019	-77.456520
300.791931	-77.939301
301.464844	-75.395988
302.137756	-77.081490
302.810669	-77.354492
303.483582	-78.455162
304.156494	-77.091141
304.829407	-77.168320
305.502319	-77.531807
306.175232	-77.545052
306.848145	-77.861565
307.521057	-77.705627
308.193970	-76.795639
308.866882	-77.699089
309.539795	-76.579376
310.212708	-78.189163
310.885620	-77.768188
311.558533	-78.410347
312.231445	-78.925224
312.904358	-78.187050
313.577271	-77.990440
314.250183	-78.234695
314.923096	-78.465668
315.596008	-78.196968
316.268921	-78.293411
316.941833	-78.071175
317.614746	-77.200409
318.287659	-78.087677
318.960571	-77.985588
319.633484	-78.379517
320.306396	-78.469429
320.979309	-78.404198
321.652222	-77.532921
322.325134	-78.138489
322.998047	-78.210251
323.670959	-77.445663
324.343872	-77.375481
325.016785	-78.489639
325.689697	-77.710114
326.362610	-78.359344
327.035522	-78.862259
327.708435	-79.291519
328.381348	-78.442528
329.054260	-78.089905
329.727173	-78.275757
330.400085	-78.918144
331.072998	-78.225319
331.745911	-78.034927
