Frequency (Hz)	Level (dB)
0.488281	-55.808193
0.976562	-54.798546
1.464844	-56.854893
1.953125	-55.602272
2.441406	-54.849247
2.929688	-53.938469
3.417969	-54.699501
3.906250	-55.604450
4.394531	-54.945900
4.882812	-54.384586
5.371094	-53.101463
5.859375	-54.485954
6.347656	-52.448437
6.835938	-53.378036
7.324219	-54.790146
7.812500	-54.290222
8.300781	-52.797207
8.789062	-52.857937
9.277344	-52.814709
9.765625	-51.166271
10.253906	-52.824257
10.742188	-52.544666
11.230469	-49.825909
11.718750	-49.394539
12.207031	-52.450245
12.695312	-51.392933
13.183594	-49.953213
13.671875	-47.803867
14.160156	-45.133530
14.648438	-33.770554
15.136719	-35.576435
15.625000	-38.826202
16.113281	-42.454857
16.601562	-41.555290
17.089844	-40.531799
17.578125	-40.305466
18.066406	-35.584480
18.554688	-33.500370
19.042969	-30.872921
19.531250	-22.299042
20.019531	-19.693064
20.507812	-30.259991
20.996094	-35.164078
21.484375	-37.354206
21.972656	-41.368862
22.460938	-42.290871
22.949219	-44.107666
23.437500	-42.002281
23.925781	-44.613152
24.414062	-43.628036
24.902344	-38.896145
25.390625	-42.209888
25.878906	-45.972214
26.367188	-48.727066
26.855469	-50.557247
27.343750	-46.377914
27.832031	-45.185253
28.320312	-47.993660
28.808594	-45.417332
29.296875	-44.853111
29.785156	-43.035347
30.273438	-45.284340
30.761719	-45.083889
31.250000	-48.616508
31.738281	-48.649105
32.226562	-46.415054
32.714844	-47.343208
33.203125	-43.746719
33.691406	-42.355129
34.179688	-40.118862
34.667969	-30.775034
35.156250	-38.612888
35.644531	-43.906639
36.132812	-47.482784
36.621094	-47.054253
37.109375	-45.363476
37.597656	-41.402794
38.085938	-43.765499
38.574219	-40.222126
39.062500	-39.344028
39.550781	-26.775118
40.039062	-36.468903
40.527344	-38.812099
41.015625	-42.593372
41.503906	-45.070335
41.992188	-43.953606
42.480469	-42.942539
42.968750	-42.827499
43.457031	-44.600300
43.945312	-44.224606
44.433594	-42.492702
44.921875	-43.486515
45.410156	-42.853668
45.898438	-44.022972
46.386719	-46.092922
46.875000	-39.930855
47.363281	-43.165287
47.851562	-43.305099
48.339844	-44.318451
48.828125	-44.009701
49.316406	-42.459217
49.804688	-44.540897
50.292969	-41.794044
50.781250	-42.204285
51.269531	-40.485363
51.757812	-41.834415
52.246094	-45.688690
52.734375	-40.795326
53.222656	-42.608463
53.710938	-42.335976
54.199219	-37.139431
54.687500	-38.687447
55.175781	-41.497807
55.664062	-42.295509
56.152344	-43.282166
56.640625	-41.308002
57.128906	-39.382816
57.617188	-44.087284
58.105469	-39.352924
58.593750	-39.693871
59.082031	-36.202477
59.570312	-37.198879
60.058594	-43.448677
60.546875	-39.854214
61.035156	-42.537804
61.523438	-40.168713
62.011719	-40.999130
62.500000	-43.856567
62.988281	-41.599945
63.476562	-38.490021
63.964844	-39.905602
64.453125	-42.143169
64.941406	-40.320374
65.429688	-40.906719
65.917969	-42.212223
66.406250	-37.628132
66.894531	-41.332420
67.382812	-41.340897
67.871094	-38.201427
68.359375	-43.331760
68.847656	-40.488049
69.335938	-42.325115
69.824219	-47.459309
70.312500	-39.121567
70.800781	-40.213169
71.289062	-42.964741
71.777344	-38.640766
72.265625	-39.893314
72.753906	-43.225132
73.242188	-42.982807
73.730469	-41.894608
74.218750	-37.694630
74.707031	-37.320633
75.195312	-38.635189
75.683594	-40.842415
76.171875	-37.293610
76.660156	-42.277870
77.148438	-40.444237
77.636719	-40.317726
78.125000	-38.539177
78.613281	-35.825890
79.101562	-39.930958
79.589844	-41.525036
80.078125	-39.145874
80.566406	-38.151661
81.054688	-38.610119
81.542969	-40.066570
82.031250	-38.766876
82.519531	-39.862583
83.007812	-39.015957
83.496094	-37.059990
83.984375	-40.082722
84.472656	-40.678776
84.960938	-39.470890
85.449219	-40.011829
85.937500	-39.472084
86.425781	-41.233707
86.914062	-38.977825
87.402344	-38.990364
87.890625	-41.790836
88.378906	-39.628693
88.867188	-40.745506
89.355469	-40.218285
89.843750	-41.254471
90.332031	-41.079021
90.820312	-41.631966
91.308594	-41.233990
91.796875	-39.758045
92.285156	-41.742863
92.773438	-40.178928
93.261719	-39.045723
93.750000	-35.557178
94.238281	-37.852322
94.726562	-37.030014
95.214844	-36.710373
95.703125	-39.735470
96.191406	-40.160168
96.679688	-38.108250
97.167969	-39.295753
97.656250	-42.255482
98.144531	-36.829422
98.632812	-38.242661
99.121094	-41.896984
99.609375	-37.067593
100.097656	-41.675575
100.585938	-41.005146
101.074219	-39.266491
101.562500	-40.044056
102.050781	-38.248035
102.539062	-36.205051
103.027344	-38.235638
103.515625	-38.603558
104.003906	-36.039276
104.492188	-39.686680
104.980469	-36.831718
105.468750	-39.340023
105.957031	-36.497444
106.445312	-40.629169
106.933594	-36.795246
107.421875	-37.527775
107.910156	-39.309448
108.398438	-39.302521
108.886719	-37.699017
109.375000	-38.822342
109.863281	-36.796780
110.351562	-39.473835
110.839844	-41.534843
111.328125	-37.794785
111.816406	-41.342247
112.304688	-38.674446
112.792969	-40.199165
113.281250	-35.438866
113.769531	-38.389996
114.257812	-39.602749
114.746094	-39.224464
115.234375	-36.474594
115.722656	-36.675858
116.210938	-38.659092
116.699219	-37.132301
117.187500	-37.157436
117.675781	-42.147102
118.164062	-39.706715
118.652344	-38.794163
119.140625	-37.426655
119.628906	-38.822556
120.117188	-39.866848
120.605469	-36.985340
121.093750	-35.507721
121.582031	-37.026745
122.070312	-37.106945
122.558594	-38.173691
123.046875	-40.291988
123.535156	-37.602631
124.023438	-35.895111
