Frequency (Hz)	Level (dB)
0.488281	-98.885498
0.976562	-98.864059
1.464844	-98.840683
1.953125	-98.695564
2.441406	-98.639107
2.929688	-98.374001
3.417969	-97.751411
3.906250	-96.480354
4.394531	-97.938293
4.882812	-97.353691
5.371094	-97.136581
5.859375	-96.957108
6.347656	-96.512108
6.835938	-95.786232
7.324219	-96.703773
7.812500	-97.665131
8.300781	-97.088600
8.789062	-95.413712
9.277344	-96.958107
9.765625	-96.303207
10.253906	-93.666832
10.742188	-94.829880
11.230469	-94.523140
11.718750	-94.408936
12.207031	-94.167122
12.695312	-95.079918
13.183594	-96.552010
13.671875	-94.561470
14.160156	-94.685486
14.648438	-95.485344
15.136719	-94.412704
15.625000	-95.280846
16.113281	-93.601982
16.601562	-90.648857
17.089844	-93.767227
17.578125	-94.174034
18.066406	-94.256767
18.554688	-92.129257
19.042969	-93.253922
19.531250	-92.742325
20.019531	-94.135826
20.507812	-94.736412
20.996094	-92.520348
21.484375	-93.490898
21.972656	-93.669899
22.460938	-91.902184
22.949219	-93.740845
23.437500	-92.690170
23.925781	-92.974915
24.414062	-94.682716
24.902344	-93.080612
25.390625	-92.951286
25.878906	-92.565117
26.367188	-91.745308
26.855469	-90.719864
27.343750	-91.379616
27.832031	-92.339371
28.320312	-91.566139
28.808594	-89.799911
29.296875	-93.449287
29.785156	-92.673981
30.273438	-91.601288
30.761719	-91.422325
31.250000	-90.839264
31.738281	-89.761192
32.226562	-90.102180
32.714844	-90.081657
33.203125	-90.946281
33.691406	-89.733170
34.179688	-90.215790
34.667969	-91.474297
35.156250	-88.816078
35.644531	-87.657944
36.132812	-89.356148
36.621094	-90.505409
37.109375	-89.578285
37.597656	-90.793289
38.085938	-90.991646
38.574219	-92.019058
39.062500	-91.612366
39.550781	-92.940201
40.039062	-91.779503
40.527344	-90.262352
41.015625	-91.709007
41.503906	-90.384071
41.992188	-89.636223
42.480469	-89.369621
42.968750	-89.479881
43.457031	-90.344002
43.945312	-90.857277
44.433594	-88.705063
44.921875	-88.861641
45.410156	-88.520630
45.898438	-89.949463
46.386719	-89.719154
46.875000	-89.960533
47.363281	-88.758408
47.851562	-89.730080
48.339844	-89.805832
48.828125	-89.950821
49.316406	-88.154182
49.804688	-87.102562
50.292969	-89.421188
50.781250	-90.494286
51.269531	-88.055557
51.757812	-88.057861
52.246094	-88.005440
52.734375	-88.109818
53.222656	-87.815117
53.710938	-87.478676
54.199219	-89.350861
54.687500	-88.635384
55.175781	-88.335724
55.664062	-87.161293
56.152344	-87.609581
56.640625	-85.543114
57.128906	-85.562645
57.617188	-83.852631
58.105469	-85.660210
58.593750	-84.507576
59.082031	-84.283066
59.570312	-81.645744
60.058594	-84.017143
60.546875	-84.765358
61.035156	-87.111610
61.523438	-83.909782
62.011719	-84.267776
62.500000	-85.722771
62.988281	-85.982803
63.476562	-86.809479
63.964844	-86.967293
64.453125	-86.147583
64.941406	-87.046860
65.429688	-86.131348
65.917969	-87.354630
66.406250	-87.992264
66.894531	-89.322243
67.382812	-86.855774
67.871094	-85.395981
68.359375	-85.488190
68.847656	-85.087471
69.335938	-85.664818
69.824219	-86.671379
70.312500	-86.617218
70.800781	-87.097351
71.289062	-86.869537
71.777344	-87.744644
72.265625	-87.486046
72.753906	-85.903809
73.242188	-84.695259
73.730469	-85.598228
74.218750	-83.884956
74.707031	-85.317352
75.195312	-87.622398
75.683594	-88.843628
76.171875	-87.260933
76.660156	-88.481926
77.148438	-86.124863
77.636719	-85.125702
78.125000	-85.093674
78.613281	-86.407158
79.101562	-87.842262
79.589844	-86.150185
80.078125	-86.582397
80.566406	-86.005127
81.054688	-88.628754
81.542969	-88.391670
82.031250	-87.412376
82.519531	-87.235535
83.007812	-86.665504
83.496094	-86.105858
83.984375	-86.499939
84.472656	-84.626465
84.960938	-86.156174
85.449219	-87.946655
85.937500	-85.852379
86.425781	-84.119804
86.914062	-86.097458
87.402344	-84.409904
87.890625	-87.109413
88.378906	-84.168213
88.867188	-85.455070
89.355469	-85.282127
89.843750	-85.579720
90.332031	-87.494987
90.820312	-87.004509
91.308594	-87.236511
91.796875	-86.441864
92.285156	-86.054039
92.773438	-86.752312
93.261719	-85.981857
93.750000	-84.586426
94.238281	-86.108009
94.726562	-86.918564
95.214844	-84.232628
95.703125	-85.904091
96.191406	-85.256920
96.679688	-84.241684
97.167969	-86.691772
97.656250	-87.603317
98.144531	-85.647438
98.632812	-87.277275
99.121094	-86.008301
99.609375	-85.308922
100.097656	-85.110985
100.585938	-86.320381
101.074219	-86.155739
101.562500	-84.685951
102.050781	-83.326683
102.539062	-84.957367
103.027344	-83.393639
103.515625	-82.437561
104.003906	-85.122711
104.492188	-84.182846
104.980469	-84.156425
105.468750	-85.948402
105.957031	-84.490967
106.445312	-84.724800
106.933594	-84.747040
107.421875	-84.883865
107.910156	-87.273964
108.398438	-84.470100
108.886719	-83.588974
109.375000	-82.776161
109.863281	-82.996101
110.351562	-83.039589
110.839844	-83.043213
111.328125	-84.147476
111.816406	-82.874146
112.304688	-84.946136
112.792969	-83.388824
