x	y
-14.388608731113749	-2632.9731499347504
-14.384812639040272	-2659.707291910916
-14.381016546966794	-2688.9507534658965
-14.377220454893317	-2721.347840533857
-14.37342436281984	-2757.623026717417
-14.369628270746363	-2798.5238135322907
-14.365832178672886	-2844.7695954108444
-14.362036086599408	-2897.0091950503675
-14.358239994525931	-2955.7886632457717
-14.354443902452454	-3021.5298997563186
-14.350647810378977	-3094.519584026859
-14.3468517183055	-3174.906859622782
-14.343055626232022	-3262.707353875155
-14.339259534158545	-3357.8106208529744
-14.335463442085068	-3459.988088318403
-14.33166735001159	-3568.8990585481283
-14.327871257938114	-3684.0931328585148
-14.324075165864636	-3805.008420907519
-14.32027907379116	-3930.965900577673
-14.316482981717682	-4061.1612178757377
-14.312686889644205	-4194.656014485048
-14.308890797570728	-4330.37149876826
-14.30509470549725	-4467.0873435828535
-14.301298613423773	-4603.4489627739495
-14.297502521350296	-4737.985652214518
-14.293706429276819	-4869.140926809014
-14.289910337203342	-4995.3147327171155
-14.286114245129864	-5114.915313206557
-14.282318153056387	-5226.416718406701
-14.27852206098291	-5328.416658330002
-14.274725968909433	-5419.688910936313
-14.270929876835956	-5499.2249587253245
-14.267133784762478	-5566.260884935888
-14.263337692689001	-5620.287571281822
-14.259541600615524	-5661.044523811828
-14.255745508542047	-5688.499774147423
-14.25194941646857	-5702.819851327105
-14.248153324395092	-5704.334498100988
-14.244357232321615	-5693.500497919751
-14.240561140248138	-5670.867788474163
-14.23676504817466	-5637.0492860254935
-14.232968956101184	-5592.69401387386
-14.229172864027706	-5538.461747707127
-14.22537677195423	-5474.996892673264
-14.221580679880752	-5402.899893309804
-14.217784587807275	-5322.696042812405
-14.213988495733798	-5234.803702751669
-14.21019240366032	-5139.506071777533
-14.206396311586843	-5036.932112073214
-14.202600219513366	-4927.052535727713
-14.198804127439889	-4809.695604350204
-14.195008035366412	-4684.584968662896
-14.191211943292934	-4551.398269037966
-14.187415851219457	-4409.841396575221
-14.18361975914598	-4259.7299741832685
-14.179823667072503	-4101.067516563808
-14.176027574999026	-3934.1094093264946
-14.172231482925548	-3759.4034947527102
-14.168435390852071	-3577.801423553101
-14.164639298778594	-3390.4393959821764
-14.160843206705117	-3198.691586810228
-14.15704711463164	-3004.103500506125
-14.153251022558162	-2808.3149945256946
-14.149454930484685	-2612.9833587475623
-14.145658838411208	-2419.7156969222556
-14.14186274633773	-2230.017349744374
-14.138066654264254	-2045.2598883096437
-14.134270562190776	-1866.6689909539896
-14.1304744701173	-1695.329862119906
-14.126678378043822	-1532.206081206005
-14.122882285970345	-1378.1669314689839
-14.119086193896868	-1234.0181776360396
-14.11529010182339	-1100.5316382846559
-14.111494009749913	-978.4694470960328
-14.107697917676436	-868.5994559284331
-14.103901825602959	-771.6988331838648
-14.100105733529482	-688.5437461162055
-14.096309641456005	-619.8843189904321
-14.092513549382527	-566.4059359642354
-14.08871745730905	-528.6802533354299
-14.084921365235573	-507.1115657865445
-14.081125273162096	-501.88584165578044
-14.077329181088619	-512.9302629749757
-14.073533089015141	-539.8901975688213
-14.069736996941664	-582.1282797973913
-14.065940904868187	-638.7471014804453
-14.06214481279471	-708.633520014806
-14.058348720721233	-790.5193940051377
-14.054552628647755	-883.0511586091552
-14.050756536574278	-984.8593860825173
-14.046960444500801	-1094.6195126888056
-14.043164352427324	-1211.0962753064614
-14.039368260353847	-1333.1669546815326
-14.03557216828037	-1459.8219391529963
-14.031776076206892	-1590.1448694623555
-14.027979984133415	-1723.2780221045623
-14.024183892059938	-1858.3809518157111
-14.02038779998646	-1994.5912418752666
-14.016591707912983	-2130.995339981778
-14.012795615839506	-2266.6151163215036
-14.008999523766029	-2400.4125222884886
-14.005203431692552	-2531.311269095523
-14.001407339619075	-2658.2314735172986
-13.997611247545597	-2780.131239634432
-13.99381515547212	-2896.048406116504
-13.990019063398643	-3005.1361730831027
-13.986222971325166	-3106.687813189148
-13.982426879251689	-3200.147831411245
-13.978630787178211	-3285.1093894059472
