Mode	freq(cm-1)	eps	Int	T**2	TX	TY	TZ
8	18.32	0.000005	0.02	0.000077	-0.001462	0.008624	0.000494
9	50.00	0.000074	0.38	0.000465	-0.000797	-0.016525	0.013829
10	57.91	0.000761	3.84	0.004100	-0.017317	-0.048802	-0.037656
11	76.79	0.000071	0.36	0.000290	0.009857	0.000672	-0.013854
12	81.06	0.000152	0.77	0.000585	0.021769	0.010531	0.000671
13	90.57	0.000061	0.31	0.000211	0.005550	-0.012209	-0.005545
14	94.34	0.000178	0.90	0.000588	-0.022319	0.008760	-0.003574
15	101.98	0.000153	0.77	0.000469	0.005779	0.009716	0.018468
16	111.15	0.000545	2.75	0.001530	0.019442	-0.033441	-0.005779
17	120.81	0.000129	0.65	0.000333	0.004449	0.005559	-0.016793
18	133.43	0.000264	1.33	0.000617	0.001880	-0.014312	0.020208
19	150.55	0.000243	1.23	0.000505	-0.011150	-0.002171	-0.019380
20	157.69	0.000535	2.70	0.001059	-0.005432	0.021257	0.024037
21	161.35	0.000408	2.06	0.000789	-0.026156	-0.001225	0.010150
22	181.03	0.000369	1.87	0.000636	0.011772	-0.008032	0.020815
23	194.94	0.000172	0.87	0.000276	0.007360	-0.012607	0.007919
24	208.90	0.001306	6.60	0.001951	0.008199	-0.041558	-0.012510
25	237.64	0.000130	0.66	0.000171	-0.005362	0.004127	-0.011187
26	287.00	0.000274	1.38	0.000298	-0.016422	-0.004364	0.002994
27	301.44	0.001869	9.45	0.001935	0.030636	-0.003961	-0.031322
28	307.93	0.000147	0.74	0.000149	-0.010668	0.003956	-0.004417
29	334.02	0.001215	6.14	0.001135	-0.029036	-0.014713	0.008668
30	342.11	0.000306	1.54	0.000279	0.014034	-0.007446	-0.005134
31	347.11	0.001054	5.33	0.000948	0.029229	0.002882	-0.009213
32	358.76	0.001344	6.79	0.001169	-0.023953	-0.006148	0.023614
33	366.58	0.000730	3.69	0.000621	-0.021583	0.001543	-0.012376
34	400.29	0.000477	2.41	0.000372	0.008593	0.017251	-0.000881
35	408.73	0.001440	7.28	0.001100	0.016089	-0.012700	0.026066
36	417.25	0.000502	2.53	0.000375	-0.006925	-0.017719	-0.003627
37	450.09	0.000953	4.82	0.000661	-0.022518	-0.012201	-0.002179
38	488.21	0.010832	54.74	0.006924	-0.026436	-0.073381	-0.028987
39	523.08	0.000362	1.83	0.000216	-0.009883	-0.010548	0.002624
40	575.65	0.000380	1.92	0.000206	-0.007519	-0.003079	-0.011842
41	579.59	0.000241	1.22	0.000129	0.011338	0.000525	-0.000817
42	600.49	0.000328	1.66	0.000171	-0.009913	0.003772	0.007617
43	608.63	0.000239	1.21	0.000123	0.002404	0.009856	-0.004447
44	614.35	0.001113	5.63	0.000566	0.001946	0.022798	0.006479
45	657.33	0.000076	0.38	0.000036	-0.004014	0.001354	-0.004235
46	697.05	0.002028	10.25	0.000908	-0.014703	-0.006210	-0.025559
47	699.95	0.000443	2.24	0.000198	-0.010625	-0.009169	-0.000855
48	732.46	0.006278	31.72	0.002675	-0.001880	-0.028412	0.043171
49	760.88	0.004157	21.01	0.001705	0.006699	0.028026	0.029573
50	774.60	0.002252	11.38	0.000907	0.009243	-0.021490	0.018979
51	792.85	0.000245	1.24	0.000096	-0.008906	0.003737	0.001741
52	805.60	0.000453	2.29	0.000176	0.010662	-0.007435	0.002556
53	807.28	0.001387	7.01	0.000536	-0.013104	0.015867	-0.010608
54	817.26	0.001344	6.79	0.000513	0.016611	-0.011913	-0.009767
55	855.12	0.005345	27.01	0.001950	-0.008228	-0.035611	-0.024792
56	855.33	0.003074	15.54	0.001122	0.009108	-0.022670	0.022906
57	878.81	0.002820	14.25	0.001001	0.027084	0.016324	0.001114
58	903.20	0.000403	2.04	0.000139	-0.003425	0.007150	-0.008734
59	967.86	0.000071	0.36	0.000023	-0.001340	-0.001461	-0.004361
60	980.24	0.000392	1.98	0.000125	0.004563	-0.005688	0.008472
61	984.67	0.004627	23.38	0.001466	0.035059	0.000114	-0.015398
62	996.04	0.003141	15.87	0.000984	0.028653	0.012535	0.002461
63	1013.01	0.000099	0.50	0.000030	0.001440	-0.005126	-0.001435
64	1032.40	0.008600	43.46	0.002600	-0.019289	0.015103	-0.044714
65	1047.40	0.000596	3.01	0.000178	-0.004303	0.007709	0.009987
66	1055.87	0.000178	0.90	0.000053	0.006139	-0.003629	0.001311
67	1074.46	0.000553	2.79	0.000161	0.002020	-0.012161	-0.002933
68	1080.95	0.006561	33.15	0.001894	0.022206	-0.020497	0.031317
69	1097.56	0.000802	4.05	0.000228	0.009466	-0.007808	-0.008795
70	1125.88	0.022837	115.41	0.006330	-0.075284	-0.023898	0.009536
71	1138.18	0.027668	139.82	0.007586	0.029129	-0.043294	0.069736
72	1154.65	0.012634	63.85	0.003414	0.046052	0.016094	-0.032166
73	1165.61	0.011466	57.94	0.003070	0.052434	0.016069	-0.007882
74	1175.82	0.000477	2.41	0.000127	0.000284	0.011082	-0.001915
75	1176.12	0.000408	2.06	0.000108	-0.001594	-0.009683	-0.003448
76	1184.32	0.001396	7.05	0.000368	0.017754	0.006684	0.002821
77	1199.39	0.003420	17.29	0.000890	0.020556	0.019460	0.009419
78	1209.58	0.016666	84.23	0.004300	0.031177	0.035719	-0.045299
79	1216.17	0.017252	87.18	0.004427	-0.059290	-0.002836	-0.030057
80	1235.89	0.044187	223.30	0.011157	0.036992	-0.022537	0.096338
81	1276.47	0.006358	32.13	0.001554	0.025012	0.019646	-0.023298
82	1298.21	0.035310	178.44	0.008488	0.078455	0.031109	-0.036942
83	1318.92	0.000571	2.88	0.000135	0.007607	-0.004998	-0.007221
84	1327.95	0.012559	63.47	0.002951	0.042762	0.022993	-0.024371
85	1338.45	0.019358	97.83	0.004513	-0.063728	0.004141	0.020854
86	1349.09	0.013966	70.58	0.003230	-0.043095	-0.033396	0.016061
87	1372.27	0.009082	45.90	0.002065	0.042854	0.013862	-0.006058
88	1390.99	0.034975	176.75	0.007847	0.071321	0.046963	0.023546
89	1420.11	0.014501	73.28	0.003186	-0.023500	0.030401	-0.041352
90	1424.77	0.001337	6.76	0.000293	-0.003565	0.013536	-0.009845
91	1455.79	0.002312	11.68	0.000496	-0.009455	0.020047	-0.002086
92	1463.99	0.005277	26.67	0.001125	0.002498	0.000295	0.033445
93	1464.95	0.010508	53.10	0.002238	-0.004838	-0.032564	0.033980
94	1474.77	0.008805	44.50	0.001863	0.023782	-0.022074	0.028465
95	1475.75	0.002405	12.15	0.000508	0.020888	0.008322	0.001713
96	1480.80	0.000048	0.24	0.000010	-0.002524	-0.001935	0.000139
97	1480.84	0.001652	8.35	0.000348	0.000173	0.014028	0.012300
98	1482.00	0.005261	26.59	0.001108	-0.030630	-0.012918	-0.001690
99	1486.64	0.003792	19.16	0.000796	0.018534	0.019143	-0.009277
100	1495.14	0.001440	7.28	0.000300	-0.002948	-0.009418	0.014252
101	1495.54	0.002383	12.04	0.000497	0.021392	-0.000851	0.006232
102	1504.62	0.066998	338.58	0.013896	-0.045866	0.054130	-0.094137
