Created as New Dataset,Sample 108 By YargerLab Date Thursday, May 23 2024
cm-1,%T
4000.00,100.56
3999.00,100.56
3998.00,100.56
3997.00,100.56
3996.00,100.56
3995.00,100.56
3994.00,100.56
3993.00,100.56
3992.00,100.56
3991.00,100.57
3990.00,100.57
3989.00,100.57
3988.00,100.56
3987.00,100.56
3986.00,100.56
3985.00,100.56
3984.00,100.57
3983.00,100.57
3982.00,100.57
3981.00,100.57
3980.00,100.57
3979.00,100.56
3978.00,100.56
3977.00,100.56
3976.00,100.56
3975.00,100.56
3974.00,100.57
3973.00,100.57
3972.00,100.57
3971.00,100.57
3970.00,100.57
3969.00,100.57
3968.00,100.57
3967.00,100.56
3966.00,100.56
3965.00,100.56
3964.00,100.56
3963.00,100.56
3962.00,100.56
3961.00,100.56
3960.00,100.56
3959.00,100.56
3958.00,100.56
3957.00,100.56
3956.00,100.56
3955.00,100.56
3954.00,100.56
3953.00,100.56
3952.00,100.56
3951.00,100.56
3950.00,100.56
3949.00,100.56
3948.00,100.56
3947.00,100.56
3946.00,100.56
3945.00,100.56
3944.00,100.56
3943.00,100.56
3942.00,100.56
3941.00,100.56
3940.00,100.57
3939.00,100.57
3938.00,100.57
3937.00,100.56
3936.00,100.56
3935.00,100.56
3934.00,100.56
3933.00,100.56
3932.00,100.56
3931.00,100.56
3930.00,100.56
3929.00,100.56
3928.00,100.56
3927.00,100.56
3926.00,100.56
3925.00,100.56
3924.00,100.56
3923.00,100.55
3922.00,100.55
3921.00,100.55
3920.00,100.55
3919.00,100.55
3918.00,100.56
3917.00,100.56
3916.00,100.56
3915.00,100.56
3914.00,100.56
3913.00,100.56
3912.00,100.56
3911.00,100.56
3910.00,100.56
3909.00,100.56
3908.00,100.56
3907.00,100.56
3906.00,100.56
3905.00,100.56
3904.00,100.56
3903.00,100.56
3902.00,100.55
3901.00,100.55
3900.00,100.55
3899.00,100.55
3898.00,100.55
3897.00,100.55
3896.00,100.55
3895.00,100.55
3894.00,100.55
3893.00,100.56
3892.00,100.56
3891.00,100.56
3890.00,100.56
3889.00,100.56
3888.00,100.56
3887.00,100.55
3886.00,100.55
3885.00,100.56
3884.00,100.56
3883.00,100.56
