Created as New Dataset,Sample 129 By YargerLab Date Wednesday, June 05 2024
cm-1,A
4000.00,0.0088
3999.00,0.0088
3998.00,0.0088
3997.00,0.0088
3996.00,0.0088
3995.00,0.0088
3994.00,0.0088
3993.00,0.0088
3992.00,0.0088
3991.00,0.0088
3990.00,0.0088
3989.00,0.0088
3988.00,0.0088
3987.00,0.0088
3986.00,0.0088
3985.00,0.0088
3984.00,0.0088
3983.00,0.0088
3982.00,0.0088
3981.00,0.0088
3980.00,0.0088
3979.00,0.0088
3978.00,0.0089
3977.00,0.0089
3976.00,0.0088
3975.00,0.0088
3974.00,0.0088
3973.00,0.0088
3972.00,0.0088
3971.00,0.0088
3970.00,0.0088
3969.00,0.0088
3968.00,0.0088
3967.00,0.0088
3966.00,0.0088
3965.00,0.0089
3964.00,0.0089
3963.00,0.0089
3962.00,0.0089
3961.00,0.0088
3960.00,0.0089
3959.00,0.0089
3958.00,0.0088
3957.00,0.0088
3956.00,0.0088
3955.00,0.0088
3954.00,0.0088
3953.00,0.0088
3952.00,0.0088
3951.00,0.0089
3950.00,0.0089
3949.00,0.0090
3948.00,0.0090
3947.00,0.0090
3946.00,0.0090
3945.00,0.0089
3944.00,0.0089
3943.00,0.0088
3942.00,0.0088
3941.00,0.0088
3940.00,0.0089
3939.00,0.0089
3938.00,0.0089
3937.00,0.0089
3936.00,0.0089
3935.00,0.0090
3934.00,0.0090
3933.00,0.0090
3932.00,0.0090
3931.00,0.0090
3930.00,0.0089
3929.00,0.0089
3928.00,0.0089
3927.00,0.0088
3926.00,0.0088
3925.00,0.0088
3924.00,0.0088
3923.00,0.0089
3922.00,0.0090
3921.00,0.0091
3920.00,0.0091
3919.00,0.0091
3918.00,0.0091
3917.00,0.0091
3916.00,0.0090
3915.00,0.0090
3914.00,0.0089
3913.00,0.0089
3912.00,0.0089
3911.00,0.0088
3910.00,0.0088
3909.00,0.0088
3908.00,0.0088
3907.00,0.0088
3906.00,0.0089
3905.00,0.0090
3904.00,0.0092
3903.00,0.0094
3902.00,0.0095
3901.00,0.0095
3900.00,0.0094
3899.00,0.0092
3898.00,0.0091
3897.00,0.0091
3896.00,0.0090
3895.00,0.0090
3894.00,0.0090
3893.00,0.0089
3892.00,0.0089
3891.00,0.0090
3890.00,0.0090
3889.00,0.0091
3888.00,0.0092
3887.00,0.0093
3886.00,0.0093
3885.00,0.0092
3884.00,0.0091
3883.00,0.0091
3882.00,0.0092
3881.00,0.0092
3880.00,0.0091
3879.00,0.0091
3878.00,0.0091
3877.00,0.0091
3876.00,0.0091
3875.00,0.0091
3874.00,0.0090
3873.00,0.0090
3872.00,0.0091
3871.00,0.0092
3870.00,0.0093
3869.00,0.0092
3868.00,0.0092
3867.00,0.0093
3866.00,0.0093
3865.00,0.0093
3864.00,0.0092
3863.00,0.0092
3862.00,0.0093
3861.00,0.0093
3860.00,0.0093
3859.00,0.0091
3858.00,0.0089
3857.00,0.0087
3856.00,0.0086
3855.00,0.0086
3854.00,0.0087
3853.00,0.0088
3852.00,0.0090
3851.00,0.0091
3850.00,0.0092
3849.00,0.0092
3848.00,0.0092
3847.00,0.0092
3846.00,0.0092
3845.00,0.0092
3844.00,0.0091
3843.00,0.0091
3842.00,0.0092
3841.00,0.0092
3840.00,0.0092
3839.00,0.0092
3838.00,0.0092
3837.00,0.0092
3836.00,0.0092
3835.00,0.0092
3834.00,0.0092
3833.00,0.0093
3832.00,0.0093
3831.00,0.0092
3830.00,0.0092
3829.00,0.0092
3828.00,0.0091
3827.00,0.0091
3826.00,0.0091
3825.00,0.0091
3824.00,0.0092
3823.00,0.0093
3822.00,0.0093
3821.00,0.0092
3820.00,0.0091
3819.00,0.0092
3818.00,0.0093
3817.00,0.0093
3816.00,0.0093
3815.00,0.0091
3814.00,0.0090
3813.00,0.0090
3812.00,0.0090
3811.00,0.0089
3810.00,0.0089
3809.00,0.0089
3808.00,0.0090
3807.00,0.0090
3806.00,0.0090
3805.00,0.0091
3804.00,0.0092
3803.00,0.0092
3802.00,0.0092
3801.00,0.0091
3800.00,0.0090
3799.00,0.0091
3798.00,0.0091
3797.00,0.0091
3796.00,0.0091
3795.00,0.0090
3794.00,0.0089
3793.00,0.0088
3792.00,0.0088
3791.00,0.0087
3790.00,0.0086
3789.00,0.0086
3788.00,0.0086
3787.00,0.0086
3786.00,0.0086
3785.00,0.0087
3784.00,0.0087
3783.00,0.0087
3782.00,0.0088
3781.00,0.0088
3780.00,0.0088
3779.00,0.0088
3778.00,0.0087
3777.00,0.0088
3776.00,0.0088
3775.00,0.0087
3774.00,0.0087
3773.00,0.0087
3772.00,0.0088
3771.00,0.0088
3770.00,0.0089
3769.00,0.0089
3768.00,0.0089
3767.00,0.0090
3766.00,0.0090
3765.00,0.0090
3764.00,0.0090
3763.00,0.0090
3762.00,0.0090
3761.00,0.0090
3760.00,0.0090
3759.00,0.0090
3758.00,0.0090
3757.00,0.0091
3756.00,0.0091
3755.00,0.0092
3754.00,0.0093
3753.00,0.0093
3752.00,0.0094
3751.00,0.0095
3750.00,0.0096
3749.00,0.0096
3748.00,0.0096
3747.00,0.0096
3746.00,0.0096
3745.00,0.0096
3744.00,0.0095
3743.00,0.0094
3742.00,0.0094
3741.00,0.0095
3740.00,0.0096
3739.00,0.0097
3738.00,0.0098
3737.00,0.0098
3736.00,0.0097
3735.00,0.0096
3734.00,0.0095
3733.00,0.0095
3732.00,0.0094
3731.00,0.0092
3730.00,0.0091
3729.00,0.0090
3728.00,0.0090
3727.00,0.0090
3726.00,0.0089
3725.00,0.0089
3724.00,0.0089
3723.00,0.0088
3722.00,0.0088
3721.00,0.0087
3720.00,0.0087
3719.00,0.0086
3718.00,0.0086
3717.00,0.0086
3716.00,0.0087
3715.00,0.0087
3714.00,0.0088
3713.00,0.0088
3712.00,0.0088
3711.00,0.0089
3710.00,0.0089
3709.00,0.0089
3708.00,0.0088
3707.00,0.0087
3706.00,0.0086
3705.00,0.0085
3704.00,0.0085
3703.00,0.0084
3702.00,0.0083
3701.00,0.0083
3700.00,0.0083
3699.00,0.0083
3698.00,0.0084
3697.00,0.0084
3696.00,0.0084
3695.00,0.0084
3694.00,0.0084
3693.00,0.0084
3692.00,0.0084
3691.00,0.0084
3690.00,0.0085
3689.00,0.0087
3688.00,0.0087
3687.00,0.0087
3686.00,0.0087
3685.00,0.0087
3684.00,0.0087
3683.00,0.0087
3682.00,0.0087
3681.00,0.0087
3680.00,0.0086
3679.00,0.0087
3678.00,0.0088
3677.00,0.0089
3676.00,0.0090
3675.00,0.0090
3674.00,0.0090
3673.00,0.0091
3672.00,0.0092
3671.00,0.0092
3670.00,0.0091
3669.00,0.0089
3668.00,0.0088
3667.00,0.0088
3666.00,0.0088
3665.00,0.0088
3664.00,0.0087
3663.00,0.0087
3662.00,0.0086
3661.00,0.0086
3660.00,0.0086
3659.00,0.0087
3658.00,0.0088
3657.00,0.0088
3656.00,0.0089
3655.00,0.0090
3654.00,0.0091
3653.00,0.0092
3652.00,0.0094
3651.00,0.0095
3650.00,0.0096
3649.00,0.0097
3648.00,0.0097
3647.00,0.0097
3646.00,0.0095
3645.00,0.0094
3644.00,0.0093
3643.00,0.0092
3642.00,0.0091
3641.00,0.0090
3640.00,0.0090
3639.00,0.0090
3638.00,0.0090
3637.00,0.0091
3636.00,0.0091
3635.00,0.0092
3634.00,0.0092
3633.00,0.0093
3632.00,0.0094
3631.00,0.0096
3630.00,0.0097
3629.00,0.0097
3628.00,0.0098
3627.00,0.0098
3626.00,0.0098
3625.00,0.0098
3624.00,0.0098
3623.00,0.0097
3622.00,0.0097
3621.00,0.0097
3620.00,0.0097
3619.00,0.0097
3618.00,0.0098
3617.00,0.0100
3616.00,0.0101
3615.00,0.0102
3614.00,0.0102
3613.00,0.0103
3612.00,0.0103
3611.00,0.0104
3610.00,0.0105
3609.00,0.0105
3608.00,0.0104
