Created as New Dataset,Sample 146 By YargerLab Date Wednesday, June 05 2024
cm-1,A
4000.00,0.0025
3999.00,0.0025
3998.00,0.0025
3997.00,0.0025
3996.00,0.0025
3995.00,0.0025
3994.00,0.0025
3993.00,0.0025
3992.00,0.0025
3991.00,0.0025
3990.00,0.0025
3989.00,0.0025
3988.00,0.0025
3987.00,0.0025
3986.00,0.0025
3985.00,0.0025
3984.00,0.0025
3983.00,0.0025
3982.00,0.0025
3981.00,0.0025
3980.00,0.0025
3979.00,0.0025
3978.00,0.0025
3977.00,0.0025
3976.00,0.0025
3975.00,0.0025
3974.00,0.0025
3973.00,0.0025
3972.00,0.0025
3971.00,0.0025
3970.00,0.0025
3969.00,0.0025
3968.00,0.0025
3967.00,0.0025
3966.00,0.0025
3965.00,0.0025
3964.00,0.0025
3963.00,0.0025
3962.00,0.0025
3961.00,0.0025
3960.00,0.0025
3959.00,0.0025
3958.00,0.0025
3957.00,0.0025
3956.00,0.0025
3955.00,0.0025
3954.00,0.0025
3953.00,0.0025
3952.00,0.0025
3951.00,0.0025
3950.00,0.0025
3949.00,0.0025
3948.00,0.0025
3947.00,0.0025
3946.00,0.0025
3945.00,0.0025
3944.00,0.0025
3943.00,0.0025
3942.00,0.0025
3941.00,0.0025
3940.00,0.0025
3939.00,0.0025
3938.00,0.0025
3937.00,0.0025
3936.00,0.0025
3935.00,0.0025
3934.00,0.0025
3933.00,0.0025
3932.00,0.0025
3931.00,0.0025
3930.00,0.0025
3929.00,0.0025
3928.00,0.0025
3927.00,0.0025
3926.00,0.0025
3925.00,0.0025
3924.00,0.0025
3923.00,0.0025
3922.00,0.0025
3921.00,0.0025
3920.00,0.0025
3919.00,0.0025
3918.00,0.0025
3917.00,0.0025
3916.00,0.0025
3915.00,0.0025
3914.00,0.0025
3913.00,0.0025
3912.00,0.0025
3911.00,0.0025
3910.00,0.0025
3909.00,0.0025
3908.00,0.0025
3907.00,0.0025
3906.00,0.0025
3905.00,0.0025
3904.00,0.0025
3903.00,0.0024
3902.00,0.0024
3901.00,0.0024
3900.00,0.0024
3899.00,0.0024
3898.00,0.0024
3897.00,0.0024
3896.00,0.0024
3895.00,0.0024
3894.00,0.0025
3893.00,0.0025
3892.00,0.0025
3891.00,0.0025
3890.00,0.0025
3889.00,0.0024
3888.00,0.0024
3887.00,0.0024
3886.00,0.0024
3885.00,0.0024
3884.00,0.0024
3883.00,0.0024
3882.00,0.0024
3881.00,0.0024
3880.00,0.0024
3879.00,0.0024
3878.00,0.0024
3877.00,0.0024
3876.00,0.0024
3875.00,0.0024
3874.00,0.0024
3873.00,0.0024
3872.00,0.0024
3871.00,0.0024
3870.00,0.0024
3869.00,0.0024
3868.00,0.0024
3867.00,0.0024
3866.00,0.0024
3865.00,0.0024
3864.00,0.0024
3863.00,0.0024
3862.00,0.0024
3861.00,0.0024
3860.00,0.0024
3859.00,0.0024
3858.00,0.0025
3857.00,0.0025
3856.00,0.0025
3855.00,0.0024
3854.00,0.0024
3853.00,0.0024
3852.00,0.0024
3851.00,0.0024
3850.00,0.0024
3849.00,0.0024
3848.00,0.0024
3847.00,0.0024
3846.00,0.0024
3845.00,0.0024
3844.00,0.0024
3843.00,0.0024
3842.00,0.0024
3841.00,0.0024
3840.00,0.0024
3839.00,0.0024
3838.00,0.0024
3837.00,0.0024
3836.00,0.0024
3835.00,0.0024
3834.00,0.0024
3833.00,0.0024
3832.00,0.0023
3831.00,0.0023
3830.00,0.0023
3829.00,0.0023
3828.00,0.0024
3827.00,0.0024
3826.00,0.0024
3825.00,0.0024
3824.00,0.0024
3823.00,0.0024
3822.00,0.0024
3821.00,0.0024
3820.00,0.0024
3819.00,0.0024
3818.00,0.0024
3817.00,0.0024
3816.00,0.0024
3815.00,0.0024
3814.00,0.0024
3813.00,0.0024
3812.00,0.0024
3811.00,0.0024
3810.00,0.0024
3809.00,0.0024
3808.00,0.0024
3807.00,0.0024
3806.00,0.0024
3805.00,0.0024
3804.00,0.0024
3803.00,0.0024
3802.00,0.0024
3801.00,0.0024
3800.00,0.0024
3799.00,0.0024
3798.00,0.0024
3797.00,0.0024
3796.00,0.0024
3795.00,0.0024
3794.00,0.0024
3793.00,0.0024
3792.00,0.0024
3791.00,0.0024
3790.00,0.0024
3789.00,0.0024
3788.00,0.0024
3787.00,0.0024
3786.00,0.0024
3785.00,0.0024
3784.00,0.0024
3783.00,0.0024
3782.00,0.0024
3781.00,0.0024
3780.00,0.0024
3779.00,0.0024
3778.00,0.0024
3777.00,0.0024
3776.00,0.0024
3775.00,0.0024
3774.00,0.0024
3773.00,0.0024
3772.00,0.0024
3771.00,0.0024
3770.00,0.0024
3769.00,0.0024
3768.00,0.0024
3767.00,0.0024
3766.00,0.0024
3765.00,0.0024
3764.00,0.0024
3763.00,0.0024
3762.00,0.0024
3761.00,0.0024
3760.00,0.0024
3759.00,0.0023
3758.00,0.0023
3757.00,0.0023
3756.00,0.0023
3755.00,0.0023
3754.00,0.0023
3753.00,0.0023
3752.00,0.0023
3751.00,0.0023
3750.00,0.0023
3749.00,0.0023
3748.00,0.0023
3747.00,0.0023
3746.00,0.0023
3745.00,0.0023
3744.00,0.0023
3743.00,0.0023
3742.00,0.0023
3741.00,0.0023
3740.00,0.0023
3739.00,0.0023
3738.00,0.0023
3737.00,0.0023
3736.00,0.0023
3735.00,0.0023
3734.00,0.0024
3733.00,0.0024
3732.00,0.0024
3731.00,0.0024
3730.00,0.0024
3729.00,0.0024
3728.00,0.0024
3727.00,0.0024
3726.00,0.0024
3725.00,0.0024
3724.00,0.0024
3723.00,0.0024
3722.00,0.0024
3721.00,0.0024
3720.00,0.0024
3719.00,0.0024
3718.00,0.0024
3717.00,0.0024
3716.00,0.0024
3715.00,0.0024
3714.00,0.0024
3713.00,0.0024
3712.00,0.0024
3711.00,0.0024
3710.00,0.0024
3709.00,0.0024
3708.00,0.0024
3707.00,0.0024
3706.00,0.0024
3705.00,0.0024
3704.00,0.0024
3703.00,0.0024
3702.00,0.0024
3701.00,0.0024
3700.00,0.0024
3699.00,0.0024
3698.00,0.0024
3697.00,0.0024
3696.00,0.0024
3695.00,0.0024
3694.00,0.0024
3693.00,0.0024
3692.00,0.0024
3691.00,0.0024
3690.00,0.0024
3689.00,0.0024
3688.00,0.0024
3687.00,0.0024
3686.00,0.0024
3685.00,0.0024
3684.00,0.0024
3683.00,0.0024
3682.00,0.0024
3681.00,0.0024
3680.00,0.0024
3679.00,0.0024
3678.00,0.0025
3677.00,0.0025
3676.00,0.0025
3675.00,0.0025
3674.00,0.0025
3673.00,0.0025
3672.00,0.0024
3671.00,0.0024
3670.00,0.0024
3669.00,0.0025
3668.00,0.0025
3667.00,0.0025
3666.00,0.0025
3665.00,0.0025
3664.00,0.0025
3663.00,0.0025
3662.00,0.0025
3661.00,0.0025
3660.00,0.0025
3659.00,0.0025
3658.00,0.0025
3657.00,0.0025
3656.00,0.0025
3655.00,0.0025
3654.00,0.0025
3653.00,0.0025
3652.00,0.0026
3651.00,0.0025
3650.00,0.0025
3649.00,0.0025
3648.00,0.0026
3647.00,0.0026
3646.00,0.0026
3645.00,0.0026
3644.00,0.0026
3643.00,0.0026
3642.00,0.0027
3641.00,0.0027
3640.00,0.0027
3639.00,0.0027
3638.00,0.0027
3637.00,0.0027
3636.00,0.0027
3635.00,0.0027
3634.00,0.0027
3633.00,0.0028
3632.00,0.0028
3631.00,0.0028
3630.00,0.0028
3629.00,0.0028
3628.00,0.0028
3627.00,0.0028
3626.00,0.0028
3625.00,0.0028
3624.00,0.0028
3623.00,0.0028
3622.00,0.0028
3621.00,0.0028
3620.00,0.0028
3619.00,0.0029
3618.00,0.0029
3617.00,0.0029
3616.00,0.0029
3615.00,0.0029
3614.00,0.0029
3613.00,0.0029
3612.00,0.0029
3611.00,0.0029
3610.00,0.0029
3609.00,0.0029
3608.00,0.0030
3607.00,0.0030
3606.00,0.0030
3605.00,0.0030
3604.00,0.0031
3603.00,0.0031
3602.00,0.0031
3601.00,0.0031
3600.00,0.0031
3599.00,0.0031
3598.00,0.0031
3597.00,0.0031
3596.00,0.0031
3595.00,0.0032
3594.00,0.0032
3593.00,0.0032
3592.00,0.0032
3591.00,0.0032
3590.00,0.0032
3589.00,0.0032
3588.00,0.0032
3587.00,0.0032
3586.00,0.0033
3585.00,0.0033
3584.00,0.0033
3583.00,0.0033
3582.00,0.0034
3581.00,0.0034
3580.00,0.0034
3579.00,0.0034
3578.00,0.0034
3577.00,0.0034
3576.00,0.0034
3575.00,0.0035
3574.00,0.0035
3573.00,0.0035
3572.00,0.0035
3571.00,0.0035
3570.00,0.0036
3569.00,0.0036
3568.00,0.0036
3567.00,0.0036
3566.00,0.0036
3565.00,0.0036
3564.00,0.0036
3563.00,0.0036
3562.00,0.0036
3561.00,0.0036
3560.00,0.0037
3559.00,0.0037
3558.00,0.0037
3557.00,0.0037
3556.00,0.0038
3555.00,0.0038
3554.00,0.0038
3553.00,0.0038
3552.00,0.0038
3551.00,0.0038
3550.00,0.0038
3549.00,0.0038
3548.00,0.0038
3547.00,0.0039
3546.00,0.0039
3545.00,0.0039
3544.00,0.0039
3543.00,0.0039
3542.00,0.0040
3541.00,0.0040
3540.00,0.0040
3539.00,0.0040
3538.00,0.0040
3537.00,0.0041
3536.00,0.0041
3535.00,0.0041
3534.00,0.0041
3533.00,0.0041
3532.00,0.0041
3531.00,0.0041
3530.00,0.0041
3529.00,0.0042
3528.00,0.0042
3527.00,0.0042
3526.00,0.0042
3525.00,0.0042
3524.00,0.0042
3523.00,0.0043
3522.00,0.0043
3521.00,0.0043
3520.00,0.0043
3519.00,0.0043
3518.00,0.0044
3517.00,0.0044
3516.00,0.0044
3515.00,0.0044
3514.00,0.0045
3513.00,0.0045
3512.00,0.0045
3511.00,0.0045
3510.00,0.0045
3509.00,0.0045
3508.00,0.0045
3507.00,0.0045
3506.00,0.0046
3505.00,0.0046
3504.00,0.0046
3503.00,0.0046
3502.00,0.0046
3501.00,0.0047
3500.00,0.0047
3499.00,0.0047
3498.00,0.0047
3497.00,0.0048
3496.00,0.0048
3495.00,0.0048
3494.00,0.0048
3493.00,0.0048
3492.00,0.0048
3491.00,0.0048
3490.00,0.0049
3489.00,0.0049
3488.00,0.0049
3487.00,0.0049
3486.00,0.0050
3485.00,0.0050
3484.00,0.0050
3483.00,0.0050
3482.00,0.0050
3481.00,0.0050
3480.00,0.0050
3479.00,0.0051
3478.00,0.0051
3477.00,0.0052
3476.00,0.0052
3475.00,0.0052
3474.00,0.0052
3473.00,0.0053
3472.00,0.0053
3471.00,0.0053
3470.00,0.0053
3469.00,0.0053
3468.00,0.0053
3467.00,0.0054
3466.00,0.0054
3465.00,0.0054
3464.00,0.0054
3463.00,0.0054
3462.00,0.0054
3461.00,0.0055
3460.00,0.0055
3459.00,0.0055
3458.00,0.0055
3457.00,0.0055
3456.00,0.0056
3455.00,0.0056
3454.00,0.0056
3453.00,0.0056
3452.00,0.0057
3451.00,0.0057
3450.00,0.0057
3449.00,0.0057
3448.00,0.0057
3447.00,0.0057
3446.00,0.0057
3445.00,0.0057
3444.00,0.0058
3443.00,0.0058
3442.00,0.0058
3441.00,0.0058
3440.00,0.0058
3439.00,0.0059
3438.00,0.0059
3437.00,0.0059
3436.00,0.0059
3435.00,0.0060
3434.00,0.0060
3433.00,0.0060
3432.00,0.0060
3431.00,0.0061
3430.00,0.0061
3429.00,0.0061
3428.00,0.0061
3427.00,0.0061
3426.00,0.0062
3425.00,0.0062
3424.00,0.0062
3423.00,0.0062
3422.00,0.0062
3421.00,0.0063
3420.00,0.0063
3419.00,0.0063
3418.00,0.0063
3417.00,0.0064
3416.00,0.0064
3415.00,0.0064
3414.00,0.0064
3413.00,0.0064
3412.00,0.0065
3411.00,0.0065
3410.00,0.0065
3409.00,0.0065
3408.00,0.0065
3407.00,0.0066
3406.00,0.0066
3405.00,0.0066
3404.00,0.0066
3403.00,0.0066
3402.00,0.0066
3401.00,0.0066
3400.00,0.0067
3399.00,0.0067
3398.00,0.0067
3397.00,0.0067
3396.00,0.0067
3395.00,0.0067
3394.00,0.0068
3393.00,0.0068
3392.00,0.0068
3391.00,0.0068
3390.00,0.0068
3389.00,0.0069
3388.00,0.0069
3387.00,0.0069
3386.00,0.0069
3385.00,0.0069
3384.00,0.0069
3383.00,0.0070
3382.00,0.0070
