Created as New Dataset,Sample 127 By YargerLab Date Wednesday, June 05 2024
cm-1,A
4000.00,0.0016
3999.00,0.0016
3998.00,0.0016
3997.00,0.0016
3996.00,0.0016
3995.00,0.0017
3994.00,0.0017
3993.00,0.0017
3992.00,0.0017
3991.00,0.0017
3990.00,0.0017
3989.00,0.0017
3988.00,0.0017
3987.00,0.0017
3986.00,0.0017
3985.00,0.0017
3984.00,0.0017
3983.00,0.0017
3982.00,0.0017
3981.00,0.0017
3980.00,0.0017
3979.00,0.0017
3978.00,0.0017
3977.00,0.0017
3976.00,0.0017
3975.00,0.0017
3974.00,0.0017
3973.00,0.0017
3972.00,0.0017
3971.00,0.0017
3970.00,0.0017
3969.00,0.0017
3968.00,0.0017
3967.00,0.0017
3966.00,0.0017
3965.00,0.0017
3964.00,0.0017
3963.00,0.0017
3962.00,0.0017
3961.00,0.0017
3960.00,0.0017
3959.00,0.0017
3958.00,0.0017
3957.00,0.0017
3956.00,0.0017
3955.00,0.0017
3954.00,0.0017
3953.00,0.0017
3952.00,0.0017
3951.00,0.0017
3950.00,0.0017
3949.00,0.0018
3948.00,0.0018
3947.00,0.0019
3946.00,0.0019
3945.00,0.0018
3944.00,0.0018
3943.00,0.0017
3942.00,0.0017
3941.00,0.0017
3940.00,0.0017
3939.00,0.0017
3938.00,0.0018
3937.00,0.0018
3936.00,0.0018
3935.00,0.0019
3934.00,0.0019
3933.00,0.0019
3932.00,0.0019
3931.00,0.0019
3930.00,0.0018
3929.00,0.0018
3928.00,0.0018
3927.00,0.0017
3926.00,0.0017
3925.00,0.0017
3924.00,0.0017
3923.00,0.0018
3922.00,0.0019
3921.00,0.0019
3920.00,0.0020
3919.00,0.0020
3918.00,0.0020
3917.00,0.0020
3916.00,0.0019
3915.00,0.0019
3914.00,0.0018
3913.00,0.0018
3912.00,0.0018
3911.00,0.0018
3910.00,0.0017
3909.00,0.0017
3908.00,0.0017
3907.00,0.0017
3906.00,0.0018
3905.00,0.0019
3904.00,0.0021
3903.00,0.0023
3902.00,0.0024
3901.00,0.0024
3900.00,0.0023
3899.00,0.0021
3898.00,0.0020
3897.00,0.0020
3896.00,0.0020
3895.00,0.0019
3894.00,0.0019
3893.00,0.0019
3892.00,0.0019
3891.00,0.0019
3890.00,0.0019
3889.00,0.0020
3888.00,0.0021
3887.00,0.0022
3886.00,0.0022
3885.00,0.0021
3884.00,0.0021
3883.00,0.0021
3882.00,0.0021
3881.00,0.0021
3880.00,0.0021
3879.00,0.0021
3878.00,0.0021
3877.00,0.0021
3876.00,0.0021
3875.00,0.0020
3874.00,0.0020
3873.00,0.0020
3872.00,0.0021
3871.00,0.0022
3870.00,0.0023
3869.00,0.0022
3868.00,0.0022
3867.00,0.0023
3866.00,0.0023
3865.00,0.0023
3864.00,0.0022
3863.00,0.0022
3862.00,0.0022
3861.00,0.0023
3860.00,0.0023
3859.00,0.0021
3858.00,0.0019
3857.00,0.0017
3856.00,0.0016
3855.00,0.0016
3854.00,0.0017
3853.00,0.0019
3852.00,0.0021
3851.00,0.0022
3850.00,0.0022
3849.00,0.0023
3848.00,0.0022
3847.00,0.0022
3846.00,0.0022
3845.00,0.0022
3844.00,0.0022
3843.00,0.0022
3842.00,0.0023
3841.00,0.0023
3840.00,0.0023
3839.00,0.0024
3838.00,0.0024
3837.00,0.0023
3836.00,0.0023
3835.00,0.0023
3834.00,0.0023
3833.00,0.0023
3832.00,0.0023
3831.00,0.0023
3830.00,0.0022
3829.00,0.0022
3828.00,0.0022
3827.00,0.0022
3826.00,0.0021
3825.00,0.0022
3824.00,0.0023
3823.00,0.0024
3822.00,0.0024
3821.00,0.0023
3820.00,0.0023
3819.00,0.0023
3818.00,0.0024
3817.00,0.0024
3816.00,0.0023
3815.00,0.0022
3814.00,0.0021
3813.00,0.0020
3812.00,0.0020
3811.00,0.0020
3810.00,0.0020
3809.00,0.0020
3808.00,0.0021
3807.00,0.0021
3806.00,0.0022
3805.00,0.0022
3804.00,0.0023
3803.00,0.0024
3802.00,0.0023
3801.00,0.0022
3800.00,0.0022
3799.00,0.0022
3798.00,0.0022
3797.00,0.0022
3796.00,0.0021
3795.00,0.0021
3794.00,0.0020
3793.00,0.0019
3792.00,0.0019
3791.00,0.0018
3790.00,0.0018
3789.00,0.0018
3788.00,0.0018
3787.00,0.0018
3786.00,0.0018
3785.00,0.0018
3784.00,0.0018
3783.00,0.0019
3782.00,0.0020
3781.00,0.0020
3780.00,0.0020
3779.00,0.0020
3778.00,0.0019
3777.00,0.0019
3776.00,0.0020
3775.00,0.0019
3774.00,0.0019
3773.00,0.0019
3772.00,0.0020
3771.00,0.0021
3770.00,0.0021
3769.00,0.0021
3768.00,0.0022
3767.00,0.0022
3766.00,0.0022
3765.00,0.0022
3764.00,0.0022
3763.00,0.0022
3762.00,0.0022
3761.00,0.0023
3760.00,0.0022
3759.00,0.0022
3758.00,0.0023
3757.00,0.0023
3756.00,0.0024
3755.00,0.0024
3754.00,0.0025
3753.00,0.0026
3752.00,0.0027
3751.00,0.0028
3750.00,0.0030
3749.00,0.0030
3748.00,0.0029
3747.00,0.0028
3746.00,0.0028
3745.00,0.0028
3744.00,0.0028
3743.00,0.0027
3742.00,0.0027
3741.00,0.0028
3740.00,0.0029
3739.00,0.0030
3738.00,0.0031
3737.00,0.0031
3736.00,0.0030
3735.00,0.0029
3734.00,0.0028
3733.00,0.0028
3732.00,0.0027
3731.00,0.0025
3730.00,0.0024
3729.00,0.0023
3728.00,0.0024
3727.00,0.0023
3726.00,0.0023
3725.00,0.0022
3724.00,0.0022
3723.00,0.0022
3722.00,0.0021
3721.00,0.0021
3720.00,0.0020
3719.00,0.0020
3718.00,0.0020
3717.00,0.0020
3716.00,0.0020
3715.00,0.0021
3714.00,0.0022
3713.00,0.0023
3712.00,0.0023
3711.00,0.0023
3710.00,0.0023
3709.00,0.0022
3708.00,0.0022
3707.00,0.0021
3706.00,0.0020
3705.00,0.0020
3704.00,0.0019
3703.00,0.0018
3702.00,0.0018
3701.00,0.0017
3700.00,0.0017
3699.00,0.0018
3698.00,0.0018
3697.00,0.0018
3696.00,0.0018
3695.00,0.0018
3694.00,0.0018
3693.00,0.0019
3692.00,0.0019
3691.00,0.0019
3690.00,0.0020
3689.00,0.0021
3688.00,0.0022
3687.00,0.0022
3686.00,0.0021
3685.00,0.0021
3684.00,0.0021
3683.00,0.0021
3682.00,0.0021
3681.00,0.0021
3680.00,0.0021
3679.00,0.0021
3678.00,0.0023
3677.00,0.0024
3676.00,0.0025
3675.00,0.0025
3674.00,0.0025
3673.00,0.0026
3672.00,0.0027
3671.00,0.0027
3670.00,0.0025
3669.00,0.0024
3668.00,0.0023
3667.00,0.0023
3666.00,0.0022
3665.00,0.0022
3664.00,0.0021
3663.00,0.0021
3662.00,0.0020
3661.00,0.0020
3660.00,0.0020
3659.00,0.0021
3658.00,0.0022
3657.00,0.0023
3656.00,0.0023
3655.00,0.0024
3654.00,0.0025
3653.00,0.0026
3652.00,0.0028
3651.00,0.0029
3650.00,0.0030
3649.00,0.0031
3648.00,0.0031
3647.00,0.0030
3646.00,0.0028
3645.00,0.0027
3644.00,0.0026
3643.00,0.0025
3642.00,0.0024
3641.00,0.0023
3640.00,0.0022
3639.00,0.0022
3638.00,0.0022
3637.00,0.0023
3636.00,0.0023
3635.00,0.0024
3634.00,0.0024
3633.00,0.0024
3632.00,0.0025
3631.00,0.0026
3630.00,0.0028
3629.00,0.0028
3628.00,0.0028
3627.00,0.0028
3626.00,0.0028
3625.00,0.0028
3624.00,0.0028
3623.00,0.0027
3622.00,0.0027
3621.00,0.0027
3620.00,0.0026
3619.00,0.0027
3618.00,0.0028
3617.00,0.0029
3616.00,0.0030
3615.00,0.0031
3614.00,0.0031
3613.00,0.0031
3612.00,0.0032
3611.00,0.0032
3610.00,0.0033
3609.00,0.0032
3608.00,0.0031
3607.00,0.0030
3606.00,0.0029
3605.00,0.0029
3604.00,0.0029
3603.00,0.0029
3602.00,0.0029
3601.00,0.0029
3600.00,0.0029
3599.00,0.0030
3598.00,0.0030
3597.00,0.0030
3596.00,0.0030
3595.00,0.0030
3594.00,0.0030
3593.00,0.0031
3592.00,0.0031
3591.00,0.0032
3590.00,0.0033
3589.00,0.0033
3588.00,0.0033
3587.00,0.0032
3586.00,0.0032
3585.00,0.0032
3584.00,0.0032
3583.00,0.0032
3582.00,0.0032
3581.00,0.0031
3580.00,0.0031
3579.00,0.0031
3578.00,0.0031
3577.00,0.0031
3576.00,0.0031
3575.00,0.0031
3574.00,0.0031
3573.00,0.0032
3572.00,0.0033
3571.00,0.0034
3570.00,0.0035
3569.00,0.0036
3568.00,0.0037
3567.00,0.0037
3566.00,0.0037
3565.00,0.0037
3564.00,0.0037
3563.00,0.0037
3562.00,0.0037
3561.00,0.0036
3560.00,0.0036
3559.00,0.0035
3558.00,0.0035
3557.00,0.0035
3556.00,0.0035
3555.00,0.0036
3554.00,0.0036
3553.00,0.0036
3552.00,0.0037
3551.00,0.0037
3550.00,0.0038
3549.00,0.0039
3548.00,0.0040
3547.00,0.0040
3546.00,0.0040
3545.00,0.0040
3544.00,0.0040
3543.00,0.0040
3542.00,0.0040
3541.00,0.0039
3540.00,0.0039
3539.00,0.0039
3538.00,0.0039
3537.00,0.0039
3536.00,0.0039
3535.00,0.0040
3534.00,0.0040
3533.00,0.0040
3532.00,0.0041
3531.00,0.0041
3530.00,0.0041
3529.00,0.0042
3528.00,0.0042
3527.00,0.0043
3526.00,0.0044
3525.00,0.0044
3524.00,0.0044
3523.00,0.0044
3522.00,0.0044
3521.00,0.0043
3520.00,0.0043
3519.00,0.0043
3518.00,0.0043
3517.00,0.0044
3516.00,0.0044
3515.00,0.0044
3514.00,0.0044
3513.00,0.0044
3512.00,0.0044
3511.00,0.0045
3510.00,0.0045
3509.00,0.0045
3508.00,0.0046
3507.00,0.0046
3506.00,0.0047
3505.00,0.0047
3504.00,0.0047
3503.00,0.0047
3502.00,0.0047
3501.00,0.0048
3500.00,0.0048
3499.00,0.0048
3498.00,0.0048
3497.00,0.0048
3496.00,0.0048
3495.00,0.0048
3494.00,0.0048
3493.00,0.0048
3492.00,0.0049
3491.00,0.0049
3490.00,0.0049
3489.00,0.0049
3488.00,0.0049
3487.00,0.0050
3486.00,0.0050
3485.00,0.0050
3484.00,0.0050
3483.00,0.0050
3482.00,0.0050
3481.00,0.0050
3480.00,0.0051
3479.00,0.0051
3478.00,0.0051
3477.00,0.0051
3476.00,0.0051
3475.00,0.0051
3474.00,0.0051
3473.00,0.0052
3472.00,0.0052
3471.00,0.0052
3470.00,0.0053
3469.00,0.0053
3468.00,0.0053
3467.00,0.0053
3466.00,0.0053
3465.00,0.0054
3464.00,0.0054
3463.00,0.0054
3462.00,0.0054
3461.00,0.0054
3460.00,0.0054
3459.00,0.0054
3458.00,0.0054
3457.00,0.0054
3456.00,0.0054
3455.00,0.0055
3454.00,0.0055
3453.00,0.0055
3452.00,0.0055
3451.00,0.0055
3450.00,0.0056
3449.00,0.0056
3448.00,0.0056
3447.00,0.0056
3446.00,0.0057
3445.00,0.0057
3444.00,0.0057
3443.00,0.0057
3442.00,0.0058
3441.00,0.0058
3440.00,0.0058
3439.00,0.0058
3438.00,0.0059
3437.00,0.0059
3436.00,0.0059
3435.00,0.0059
3434.00,0.0059
3433.00,0.0059
3432.00,0.0059
3431.00,0.0060
3430.00,0.0060
3429.00,0.0060
3428.00,0.0060
3427.00,0.0060
3426.00,0.0060
3425.00,0.0061
3424.00,0.0061
3423.00,0.0061
3422.00,0.0061
3421.00,0.0061
3420.00,0.0062
3419.00,0.0062
3418.00,0.0062
3417.00,0.0063
3416.00,0.0063
3415.00,0.0063
3414.00,0.0063
3413.00,0.0063
3412.00,0.0063
3411.00,0.0064
3410.00,0.0064
3409.00,0.0064
3408.00,0.0064
3407.00,0.0064
3406.00,0.0065
3405.00,0.0065
3404.00,0.0065
3403.00,0.0066
3402.00,0.0066
3401.00,0.0066
3400.00,0.0067
3399.00,0.0067
3398.00,0.0067
3397.00,0.0067
3396.00,0.0067
3395.00,0.0067
3394.00,0.0068
3393.00,0.0068
3392.00,0.0068
3391.00,0.0068
3390.00,0.0068
3389.00,0.0068
3388.00,0.0068
3387.00,0.0068
3386.00,0.0068
3385.00,0.0069
3384.00,0.0069
3383.00,0.0069
3382.00,0.0070
3381.00,0.0070
3380.00,0.0070
3379.00,0.0070
3378.00,0.0070
3377.00,0.0071
3376.00,0.0071
3375.00,0.0071
3374.00,0.0071
3373.00,0.0072
3372.00,0.0072
3371.00,0.0072
3370.00,0.0073
3369.00,0.0073
3368.00,0.0074
3367.00,0.0074
3366.00,0.0074
3365.00,0.0074
3364.00,0.0074
3363.00,0.0074
3362.00,0.0075
3361.00,0.0075
3360.00,0.0075
3359.00,0.0076
3358.00,0.0076
3357.00,0.0076
3356.00,0.0076
3355.00,0.0077
3354.00,0.0077
3353.00,0.0077
3352.00,0.0078
3351.00,0.0078
3350.00,0.0078
3349.00,0.0078
3348.00,0.0079
3347.00,0.0079
3346.00,0.0079
3345.00,0.0080
3344.00,0.0080
3343.00,0.0081
3342.00,0.0081
3341.00,0.0082
3340.00,0.0082
3339.00,0.0083
3338.00,0.0083
3337.00,0.0083
3336.00,0.0084
3335.00,0.0084
3334.00,0.0084
3333.00,0.0084
3332.00,0.0085
3331.00,0.0085
3330.00,0.0086
3329.00,0.0086
3328.00,0.0087
3327.00,0.0087
3326.00,0.0088
3325.00,0.0089
3324.00,0.0089
3323.00,0.0090
3322.00,0.0090
3321.00,0.0091
3320.00,0.0091
3319.00,0.0092
3318.00,0.0092
3317.00,0.0093
3316.00,0.0093
3315.00,0.0094
3314.00,0.0095
3313.00,0.0096
3312.00,0.0096
3311.00,0.0097
3310.00,0.0098
3309.00,0.0099
3308.00,0.0099
3307.00,0.0100
3306.00,0.0100
3305.00,0.0101
3304.00,0.0102
3303.00,0.0102
3302.00,0.0103
3301.00,0.0103
3300.00,0.0104
3299.00,0.0104
3298.00,0.0105
3297.00,0.0106
3296.00,0.0107
3295.00,0.0107
3294.00,0.0108
3293.00,0.0108
3292.00,0.0109
3291.00,0.0109
3290.00,0.0110
3289.00,0.0110
3288.00,0.0110
3287.00,0.0111
3286.00,0.0111
3285.00,0.0111
3284.00,0.0111
3283.00,0.0112
3282.00,0.0112
3281.00,0.0112
3280.00,0.0112
3279.00,0.0112
3278.00,0.0113
3277.00,0.0113
3276.00,0.0113
3275.00,0.0113
3274.00,0.0113
3273.00,0.0113
3272.00,0.0113
3271.00,0.0113
3270.00,0.0113
3269.00,0.0112
3268.00,0.0112
3267.00,0.0111
3266.00,0.0111
