Created as New Dataset,Sample 128 By YargerLab Date Wednesday, June 05 2024
cm-1,A
4000.00,0.0035
3999.00,0.0035
3998.00,0.0035
3997.00,0.0035
3996.00,0.0035
3995.00,0.0035
3994.00,0.0035
3993.00,0.0035
3992.00,0.0036
3991.00,0.0036
3990.00,0.0036
3989.00,0.0036
3988.00,0.0036
3987.00,0.0036
3986.00,0.0036
3985.00,0.0036
3984.00,0.0036
3983.00,0.0036
3982.00,0.0035
3981.00,0.0035
3980.00,0.0035
3979.00,0.0035
3978.00,0.0035
3977.00,0.0035
3976.00,0.0035
3975.00,0.0035
3974.00,0.0035
3973.00,0.0035
3972.00,0.0035
3971.00,0.0035
3970.00,0.0035
3969.00,0.0035
3968.00,0.0035
3967.00,0.0036
3966.00,0.0036
3965.00,0.0036
3964.00,0.0036
3963.00,0.0036
3962.00,0.0036
3961.00,0.0036
3960.00,0.0036
3959.00,0.0036
3958.00,0.0036
3957.00,0.0036
3956.00,0.0036
3955.00,0.0035
3954.00,0.0035
3953.00,0.0035
3952.00,0.0036
3951.00,0.0036
3950.00,0.0036
3949.00,0.0037
3948.00,0.0037
3947.00,0.0037
3946.00,0.0037
3945.00,0.0037
3944.00,0.0037
3943.00,0.0036
3942.00,0.0036
3941.00,0.0036
3940.00,0.0036
3939.00,0.0036
3938.00,0.0036
3937.00,0.0036
3936.00,0.0037
3935.00,0.0037
3934.00,0.0037
3933.00,0.0038
3932.00,0.0037
3931.00,0.0037
3930.00,0.0037
3929.00,0.0037
3928.00,0.0036
3927.00,0.0036
3926.00,0.0036
3925.00,0.0035
3924.00,0.0036
3923.00,0.0036
3922.00,0.0037
3921.00,0.0038
3920.00,0.0038
3919.00,0.0039
3918.00,0.0039
3917.00,0.0038
3916.00,0.0038
3915.00,0.0037
3914.00,0.0037
3913.00,0.0036
3912.00,0.0036
3911.00,0.0036
3910.00,0.0036
3909.00,0.0036
3908.00,0.0036
3907.00,0.0036
3906.00,0.0037
3905.00,0.0038
3904.00,0.0040
3903.00,0.0042
3902.00,0.0043
3901.00,0.0043
3900.00,0.0042
3899.00,0.0040
3898.00,0.0039
3897.00,0.0039
3896.00,0.0039
3895.00,0.0038
3894.00,0.0038
3893.00,0.0037
3892.00,0.0037
3891.00,0.0037
3890.00,0.0038
3889.00,0.0039
3888.00,0.0040
3887.00,0.0041
3886.00,0.0041
3885.00,0.0040
3884.00,0.0040
3883.00,0.0040
3882.00,0.0040
3881.00,0.0040
3880.00,0.0039
3879.00,0.0039
3878.00,0.0040
3877.00,0.0040
3876.00,0.0040
3875.00,0.0039
3874.00,0.0038
3873.00,0.0038
3872.00,0.0040
3871.00,0.0041
3870.00,0.0041
3869.00,0.0041
3868.00,0.0041
3867.00,0.0042
3866.00,0.0042
3865.00,0.0041
3864.00,0.0041
3863.00,0.0041
3862.00,0.0041
3861.00,0.0042
3860.00,0.0041
3859.00,0.0040
3858.00,0.0038
3857.00,0.0036
3856.00,0.0035
3855.00,0.0035
3854.00,0.0036
3853.00,0.0038
3852.00,0.0039
3851.00,0.0040
3850.00,0.0041
3849.00,0.0041
3848.00,0.0041
3847.00,0.0041
3846.00,0.0040
3845.00,0.0040
3844.00,0.0040
3843.00,0.0040
3842.00,0.0041
3841.00,0.0041
3840.00,0.0042
3839.00,0.0042
3838.00,0.0042
3837.00,0.0042
3836.00,0.0042
3835.00,0.0041
3834.00,0.0041
3833.00,0.0041
3832.00,0.0041
3831.00,0.0041
3830.00,0.0040
3829.00,0.0040
3828.00,0.0040
3827.00,0.0040
3826.00,0.0039
3825.00,0.0040
3824.00,0.0041
3823.00,0.0042
3822.00,0.0042
3821.00,0.0041
3820.00,0.0041
3819.00,0.0041
3818.00,0.0042
3817.00,0.0042
3816.00,0.0041
3815.00,0.0040
3814.00,0.0039
3813.00,0.0038
3812.00,0.0038
3811.00,0.0038
3810.00,0.0038
3809.00,0.0038
3808.00,0.0039
3807.00,0.0039
3806.00,0.0040
3805.00,0.0041
3804.00,0.0042
3803.00,0.0042
3802.00,0.0041
3801.00,0.0040
3800.00,0.0040
3799.00,0.0040
3798.00,0.0041
3797.00,0.0040
3796.00,0.0039
3795.00,0.0038
3794.00,0.0038
3793.00,0.0037
3792.00,0.0036
3791.00,0.0036
3790.00,0.0035
3789.00,0.0035
3788.00,0.0035
3787.00,0.0035
3786.00,0.0035
3785.00,0.0036
3784.00,0.0036
3783.00,0.0037
3782.00,0.0037
3781.00,0.0037
3780.00,0.0037
3779.00,0.0037
3778.00,0.0037
3777.00,0.0037
3776.00,0.0037
3775.00,0.0036
3774.00,0.0036
3773.00,0.0036
3772.00,0.0037
3771.00,0.0038
3770.00,0.0038
3769.00,0.0039
3768.00,0.0039
3767.00,0.0040
3766.00,0.0040
3765.00,0.0039
3764.00,0.0039
3763.00,0.0039
3762.00,0.0040
3761.00,0.0040
3760.00,0.0040
3759.00,0.0040
3758.00,0.0040
3757.00,0.0041
3756.00,0.0041
3755.00,0.0042
3754.00,0.0043
3753.00,0.0044
3752.00,0.0045
3751.00,0.0047
3750.00,0.0048
3749.00,0.0048
3748.00,0.0047
3747.00,0.0047
3746.00,0.0047
3745.00,0.0046
3744.00,0.0045
3743.00,0.0045
3742.00,0.0045
