Created as New Dataset,Sample 249 By YargerLab Date Thursday, July 11 2024
cm-1,A
4000.00,0.0141
3999.00,0.0141
3998.00,0.0141
3997.00,0.0141
3996.00,0.0141
3995.00,0.0141
3994.00,0.0141
3993.00,0.0141
3992.00,0.0141
3991.00,0.0141
3990.00,0.0141
3989.00,0.0141
3988.00,0.0141
3987.00,0.0141
3986.00,0.0141
3985.00,0.0140
3984.00,0.0140
3983.00,0.0140
3982.00,0.0140
3981.00,0.0140
3980.00,0.0140
3979.00,0.0140
3978.00,0.0140
3977.00,0.0140
3976.00,0.0140
3975.00,0.0140
3974.00,0.0140
3973.00,0.0140
3972.00,0.0140
3971.00,0.0140
3970.00,0.0140
3969.00,0.0140
3968.00,0.0140
3967.00,0.0140
3966.00,0.0140
3965.00,0.0140
3964.00,0.0140
3963.00,0.0140
3962.00,0.0140
3961.00,0.0140
3960.00,0.0140
3959.00,0.0140
3958.00,0.0140
3957.00,0.0140
3956.00,0.0139
3955.00,0.0139
3954.00,0.0139
3953.00,0.0139
3952.00,0.0139
3951.00,0.0139
3950.00,0.0139
3949.00,0.0139
3948.00,0.0140
3947.00,0.0140
3946.00,0.0140
3945.00,0.0139
3944.00,0.0139
3943.00,0.0139
3942.00,0.0139
3941.00,0.0139
3940.00,0.0139
3939.00,0.0139
3938.00,0.0139
3937.00,0.0139
3936.00,0.0139
3935.00,0.0139
3934.00,0.0139
3933.00,0.0139
3932.00,0.0139
3931.00,0.0139
3930.00,0.0139
3929.00,0.0139
3928.00,0.0139
3927.00,0.0139
3926.00,0.0139
3925.00,0.0139
3924.00,0.0139
3923.00,0.0139
3922.00,0.0139
3921.00,0.0139
3920.00,0.0139
3919.00,0.0139
3918.00,0.0139
3917.00,0.0139
3916.00,0.0139
3915.00,0.0139
3914.00,0.0139
3913.00,0.0139
3912.00,0.0138
3911.00,0.0138
3910.00,0.0138
3909.00,0.0138
3908.00,0.0137
3907.00,0.0137
3906.00,0.0137
3905.00,0.0138
3904.00,0.0138
3903.00,0.0139
3902.00,0.0139
3901.00,0.0139
3900.00,0.0139
3899.00,0.0139
3898.00,0.0139
3897.00,0.0139
3896.00,0.0138
3895.00,0.0138
3894.00,0.0138
3893.00,0.0138
3892.00,0.0138
3891.00,0.0138
3890.00,0.0138
3889.00,0.0138
3888.00,0.0138
3887.00,0.0138
3886.00,0.0138
3885.00,0.0138
3884.00,0.0138
3883.00,0.0137
3882.00,0.0137
3881.00,0.0138
3880.00,0.0138
3879.00,0.0138
3878.00,0.0138
3877.00,0.0137
3876.00,0.0137
3875.00,0.0137
3874.00,0.0137
3873.00,0.0136
3872.00,0.0137
3871.00,0.0137
3870.00,0.0138
3869.00,0.0138
3868.00,0.0137
3867.00,0.0137
3866.00,0.0137
3865.00,0.0137
3864.00,0.0137
3863.00,0.0137
3862.00,0.0137
3861.00,0.0138
3860.00,0.0137
3859.00,0.0137
3858.00,0.0136
3857.00,0.0135
3856.00,0.0135
3855.00,0.0135
3854.00,0.0135
3853.00,0.0136
3852.00,0.0136
3851.00,0.0137
3850.00,0.0137
3849.00,0.0137
3848.00,0.0137
3847.00,0.0137
3846.00,0.0136
3845.00,0.0136
3844.00,0.0136
3843.00,0.0136
3842.00,0.0135
3841.00,0.0135
3840.00,0.0135
3839.00,0.0135
3838.00,0.0135
3837.00,0.0135
3836.00,0.0135
3835.00,0.0135
3834.00,0.0135
3833.00,0.0136
3832.00,0.0136
3831.00,0.0136
3830.00,0.0135
3829.00,0.0135
3828.00,0.0135
3827.00,0.0135
3826.00,0.0135
3825.00,0.0134
3824.00,0.0134
3823.00,0.0134
3822.00,0.0134
3821.00,0.0134
3820.00,0.0134
3819.00,0.0134
3818.00,0.0134
3817.00,0.0135
3816.00,0.0134
3815.00,0.0134
3814.00,0.0134
3813.00,0.0134
3812.00,0.0134
3811.00,0.0134
3810.00,0.0134
3809.00,0.0133
3808.00,0.0134
3807.00,0.0134
3806.00,0.0133
3805.00,0.0133
3804.00,0.0133
3803.00,0.0133
3802.00,0.0133
3801.00,0.0133
3800.00,0.0133
3799.00,0.0133
3798.00,0.0133
3797.00,0.0134
3796.00,0.0134
3795.00,0.0133
3794.00,0.0133
3793.00,0.0133
3792.00,0.0133
3791.00,0.0133
3790.00,0.0132
3789.00,0.0132
3788.00,0.0132
3787.00,0.0132
3786.00,0.0132
3785.00,0.0132
3784.00,0.0132
3783.00,0.0132
3782.00,0.0132
3781.00,0.0132
3780.00,0.0132
3779.00,0.0132
3778.00,0.0132
3777.00,0.0132
3776.00,0.0132
3775.00,0.0132
3774.00,0.0131
3773.00,0.0131
3772.00,0.0131
3771.00,0.0131
3770.00,0.0131
3769.00,0.0131
3768.00,0.0131
3767.00,0.0131
3766.00,0.0131
3765.00,0.0131
3764.00,0.0131
3763.00,0.0131
3762.00,0.0131
3761.00,0.0131
3760.00,0.0131
3759.00,0.0131
3758.00,0.0131
3757.00,0.0131
3756.00,0.0131
3755.00,0.0130
3754.00,0.0130
3753.00,0.0130
3752.00,0.0130
3751.00,0.0130
3750.00,0.0131
3749.00,0.0131
3748.00,0.0131
3747.00,0.0131
3746.00,0.0131
3745.00,0.0132
3744.00,0.0131
3743.00,0.0131
3742.00,0.0131
3741.00,0.0131
3740.00,0.0131
3739.00,0.0131
3738.00,0.0131
3737.00,0.0131
3736.00,0.0131
3735.00,0.0131
3734.00,0.0131
3733.00,0.0131
3732.00,0.0131
3731.00,0.0130
3730.00,0.0130
3729.00,0.0130
3728.00,0.0129
3727.00,0.0129
3726.00,0.0129
3725.00,0.0129
3724.00,0.0129
3723.00,0.0129
3722.00,0.0129
3721.00,0.0128
