Created as New Dataset,Sample 299 By YargerLab Date Saturday, October 18 2025
cm-1,A
4000.00,0.0039
3999.00,0.0039
3998.00,0.0039
3997.00,0.0039
3996.00,0.0039
3995.00,0.0039
3994.00,0.0039
3993.00,0.0039
3992.00,0.0039
3991.00,0.0039
3990.00,0.0039
3989.00,0.0039
3988.00,0.0039
3987.00,0.0039
3986.00,0.0039
3985.00,0.0039
3984.00,0.0039
3983.00,0.0039
3982.00,0.0039
3981.00,0.0039
3980.00,0.0039
3979.00,0.0039
3978.00,0.0039
3977.00,0.0038
3976.00,0.0038
3975.00,0.0038
3974.00,0.0038
3973.00,0.0038
3972.00,0.0038
3971.00,0.0038
3970.00,0.0038
3969.00,0.0038
3968.00,0.0038
3967.00,0.0038
3966.00,0.0038
3965.00,0.0039
3964.00,0.0039
3963.00,0.0039
3962.00,0.0038
3961.00,0.0038
3960.00,0.0038
3959.00,0.0038
3958.00,0.0038
3957.00,0.0039
3956.00,0.0038
3955.00,0.0038
3954.00,0.0038
3953.00,0.0038
3952.00,0.0038
3951.00,0.0038
3950.00,0.0038
3949.00,0.0038
3948.00,0.0038
3947.00,0.0038
3946.00,0.0038
3945.00,0.0038
3944.00,0.0038
3943.00,0.0038
3942.00,0.0038
3941.00,0.0038
3940.00,0.0038
3939.00,0.0038
3938.00,0.0038
3937.00,0.0038
3936.00,0.0038
3935.00,0.0038
3934.00,0.0037
3933.00,0.0037
3932.00,0.0037
3931.00,0.0037
3930.00,0.0037
3929.00,0.0037
3928.00,0.0037
3927.00,0.0037
3926.00,0.0037
3925.00,0.0037
3924.00,0.0037
3923.00,0.0037
3922.00,0.0037
3921.00,0.0037
3920.00,0.0037
3919.00,0.0037
3918.00,0.0038
3917.00,0.0038
3916.00,0.0038
3915.00,0.0038
3914.00,0.0037
3913.00,0.0037
3912.00,0.0038
3911.00,0.0038
3910.00,0.0038
3909.00,0.0038
3908.00,0.0038
3907.00,0.0038
3906.00,0.0038
3905.00,0.0038
3904.00,0.0038
3903.00,0.0037
3902.00,0.0037
3901.00,0.0037
3900.00,0.0037
3899.00,0.0037
3898.00,0.0037
3897.00,0.0037
3896.00,0.0037
3895.00,0.0037
3894.00,0.0037
3893.00,0.0037
3892.00,0.0037
3891.00,0.0037
3890.00,0.0037
3889.00,0.0037
3888.00,0.0037
3887.00,0.0037
3886.00,0.0037
3885.00,0.0037
3884.00,0.0037
3883.00,0.0036
3882.00,0.0036
3881.00,0.0037
3880.00,0.0037
3879.00,0.0037
3878.00,0.0036
3877.00,0.0036
3876.00,0.0037
3875.00,0.0037
3874.00,0.0037
3873.00,0.0036
3872.00,0.0036
3871.00,0.0036
3870.00,0.0036
3869.00,0.0036
3868.00,0.0036
3867.00,0.0036
3866.00,0.0036
3865.00,0.0036
3864.00,0.0036
3863.00,0.0036
3862.00,0.0036
3861.00,0.0036
3860.00,0.0036
3859.00,0.0036
3858.00,0.0036
3857.00,0.0036
3856.00,0.0036
3855.00,0.0036
3854.00,0.0036
3853.00,0.0035
3852.00,0.0035
3851.00,0.0035
3850.00,0.0036
3849.00,0.0036
3848.00,0.0037
3847.00,0.0037
3846.00,0.0037
3845.00,0.0037
3844.00,0.0037
3843.00,0.0036
3842.00,0.0036
3841.00,0.0035
3840.00,0.0035
3839.00,0.0035
3838.00,0.0035
3837.00,0.0035
3836.00,0.0035
3835.00,0.0036
3834.00,0.0036
3833.00,0.0036
3832.00,0.0037
3831.00,0.0037
3830.00,0.0036
3829.00,0.0036
3828.00,0.0036
3827.00,0.0037
3826.00,0.0037
3825.00,0.0037
3824.00,0.0036
3823.00,0.0036
3822.00,0.0036
3821.00,0.0036
3820.00,0.0036
3819.00,0.0035
3818.00,0.0035
3817.00,0.0035
3816.00,0.0036
3815.00,0.0036
3814.00,0.0036
3813.00,0.0036
3812.00,0.0037
3811.00,0.0037
3810.00,0.0037
3809.00,0.0037
3808.00,0.0037
3807.00,0.0037
3806.00,0.0036
3805.00,0.0035
3804.00,0.0035
3803.00,0.0035
3802.00,0.0035
3801.00,0.0035
3800.00,0.0035
3799.00,0.0035
3798.00,0.0035
3797.00,0.0036
3796.00,0.0036
3795.00,0.0036
3794.00,0.0036
3793.00,0.0037
3792.00,0.0037
3791.00,0.0037
3790.00,0.0037
3789.00,0.0037
3788.00,0.0037
3787.00,0.0037
3786.00,0.0037
3785.00,0.0037
3784.00,0.0037
3783.00,0.0036
3782.00,0.0036
3781.00,0.0036
3780.00,0.0036
3779.00,0.0036
3778.00,0.0036
3777.00,0.0036
3776.00,0.0036
3775.00,0.0036
3774.00,0.0036
3773.00,0.0036
3772.00,0.0036
3771.00,0.0036
3770.00,0.0036
3769.00,0.0036
3768.00,0.0036
3767.00,0.0036
3766.00,0.0036
3765.00,0.0036
3764.00,0.0036
3763.00,0.0036
3762.00,0.0036
3761.00,0.0036
3760.00,0.0036
3759.00,0.0036
3758.00,0.0036
3757.00,0.0036
3756.00,0.0035
3755.00,0.0035
3754.00,0.0034
3753.00,0.0034
3752.00,0.0033
3751.00,0.0033
3750.00,0.0033
3749.00,0.0033
3748.00,0.0033
3747.00,0.0033
3746.00,0.0034
3745.00,0.0034
3744.00,0.0035
3743.00,0.0034
3742.00,0.0034
3741.00,0.0034
3740.00,0.0034
3739.00,0.0034
3738.00,0.0034
3737.00,0.0033
3736.00,0.0033
3735.00,0.0033
3734.00,0.0033
3733.00,0.0034
3732.00,0.0034
3731.00,0.0035
3730.00,0.0035
3729.00,0.0035
3728.00,0.0035
3727.00,0.0035
3726.00,0.0035
3725.00,0.0035
3724.00,0.0034
3723.00,0.0034
3722.00,0.0034
3721.00,0.0034
3720.00,0.0034
3719.00,0.0034
3718.00,0.0035
3717.00,0.0035
3716.00,0.0035
3715.00,0.0034
3714.00,0.0034
3713.00,0.0034
3712.00,0.0034
3711.00,0.0034
3710.00,0.0034
3709.00,0.0034
3708.00,0.0034
3707.00,0.0034
3706.00,0.0035
3705.00,0.0035
3704.00,0.0035
3703.00,0.0035
3702.00,0.0035
3701.00,0.0035
3700.00,0.0035
3699.00,0.0035
3698.00,0.0035
3697.00,0.0035
3696.00,0.0035
3695.00,0.0035
3694.00,0.0035
3693.00,0.0035
3692.00,0.0035
3691.00,0.0035
3690.00,0.0035
3689.00,0.0035
3688.00,0.0035
3687.00,0.0036
3686.00,0.0036
3685.00,0.0037
3684.00,0.0037
3683.00,0.0038
3682.00,0.0038
3681.00,0.0038
3680.00,0.0038
3679.00,0.0037
3678.00,0.0037
3677.00,0.0037
3676.00,0.0037
3675.00,0.0037
3674.00,0.0037
3673.00,0.0037
3672.00,0.0037
3671.00,0.0038
3670.00,0.0038
3669.00,0.0038
3668.00,0.0038
3667.00,0.0038
3666.00,0.0038
3665.00,0.0039
3664.00,0.0039
3663.00,0.0039
3662.00,0.0040
3661.00,0.0040
3660.00,0.0039
3659.00,0.0039
3658.00,0.0039
3657.00,0.0039
3656.00,0.0039
3655.00,0.0039
3654.00,0.0039
3653.00,0.0038
3652.00,0.0038
3651.00,0.0038
3650.00,0.0039
3649.00,0.0039
3648.00,0.0039
3647.00,0.0039
3646.00,0.0040
3645.00,0.0041
3644.00,0.0041
3643.00,0.0042
3642.00,0.0042
3641.00,0.0042
3640.00,0.0043
3639.00,0.0043
3638.00,0.0043
3637.00,0.0043
3636.00,0.0043
3635.00,0.0044
3634.00,0.0044
3633.00,0.0044
3632.00,0.0044
3631.00,0.0044
3630.00,0.0045
3629.00,0.0045
3628.00,0.0046
3627.00,0.0046
3626.00,0.0046
3625.00,0.0047
3624.00,0.0047
3623.00,0.0047
3622.00,0.0047
3621.00,0.0048
3620.00,0.0048
3619.00,0.0049
3618.00,0.0049
3617.00,0.0050
3616.00,0.0050
3615.00,0.0050
3614.00,0.0051
3613.00,0.0051
3612.00,0.0052
3611.00,0.0052
3610.00,0.0052
3609.00,0.0053
3608.00,0.0053
3607.00,0.0053
3606.00,0.0053
3605.00,0.0053
3604.00,0.0054
3603.00,0.0054
3602.00,0.0054
3601.00,0.0054
3600.00,0.0055
3599.00,0.0056
3598.00,0.0056
3597.00,0.0056
3596.00,0.0057
3595.00,0.0057
3594.00,0.0057
3593.00,0.0057
3592.00,0.0058
3591.00,0.0058
3590.00,0.0058
3589.00,0.0058
3588.00,0.0059
3587.00,0.0060
3586.00,0.0060
3585.00,0.0061
3584.00,0.0062
3583.00,0.0062
3582.00,0.0063
3581.00,0.0063
3580.00,0.0063
3579.00,0.0064
3578.00,0.0064
3577.00,0.0064
3576.00,0.0064
3575.00,0.0065
3574.00,0.0065
3573.00,0.0066
3572.00,0.0066
3571.00,0.0066
3570.00,0.0067
3569.00,0.0067
3568.00,0.0068
3567.00,0.0069
3566.00,0.0070
3565.00,0.0070
3564.00,0.0071
3563.00,0.0072
3562.00,0.0072
3561.00,0.0073
3560.00,0.0073
3559.00,0.0074
3558.00,0.0074
3557.00,0.0075
3556.00,0.0075
3555.00,0.0076
3554.00,0.0076
3553.00,0.0076
3552.00,0.0077
3551.00,0.0077
3550.00,0.0078
3549.00,0.0078
3548.00,0.0079
3547.00,0.0080
3546.00,0.0081
3545.00,0.0081
3544.00,0.0082
3543.00,0.0083
3542.00,0.0083
3541.00,0.0084
3540.00,0.0084
3539.00,0.0085
3538.00,0.0086
3537.00,0.0086
3536.00,0.0087
3535.00,0.0087
3534.00,0.0088
3533.00,0.0088
3532.00,0.0089
3531.00,0.0090
3530.00,0.0090
3529.00,0.0091
3528.00,0.0092
3527.00,0.0093
3526.00,0.0094
3525.00,0.0095
3524.00,0.0096
3523.00,0.0097
3522.00,0.0097
3521.00,0.0098
3520.00,0.0099
3519.00,0.0099
3518.00,0.0100
3517.00,0.0101
3516.00,0.0101
3515.00,0.0102
3514.00,0.0103
3513.00,0.0104
3512.00,0.0104
3511.00,0.0105
3510.00,0.0106
3509.00,0.0107
3508.00,0.0108
3507.00,0.0108
3506.00,0.0109
3505.00,0.0110
3504.00,0.0111
3503.00,0.0112
3502.00,0.0113
3501.00,0.0114
3500.00,0.0114
3499.00,0.0115
3498.00,0.0116
3497.00,0.0117
3496.00,0.0118
3495.00,0.0119
3494.00,0.0119
3493.00,0.0120
3492.00,0.0121
3491.00,0.0122
3490.00,0.0123
3489.00,0.0124
3488.00,0.0125
3487.00,0.0125
3486.00,0.0126
3485.00,0.0127
3484.00,0.0128
3483.00,0.0129
3482.00,0.0130
3481.00,0.0131
3480.00,0.0132
3479.00,0.0133
3478.00,0.0134
3477.00,0.0135
3476.00,0.0136
3475.00,0.0137
3474.00,0.0138
3473.00,0.0138
3472.00,0.0139
3471.00,0.0141
3470.00,0.0142
3469.00,0.0143
3468.00,0.0144
3467.00,0.0145
3466.00,0.0146
3465.00,0.0147
3464.00,0.0148
3463.00,0.0149
3462.00,0.0150
3461.00,0.0151
3460.00,0.0152
3459.00,0.0153
3458.00,0.0155
3457.00,0.0156
3456.00,0.0157
3455.00,0.0158
3454.00,0.0159
3453.00,0.0160
3452.00,0.0161
3451.00,0.0162
3450.00,0.0163
3449.00,0.0164
3448.00,0.0166
3447.00,0.0167
3446.00,0.0168
3445.00,0.0169
3444.00,0.0171
3443.00,0.0172
3442.00,0.0173
3441.00,0.0175
3440.00,0.0177
3439.00,0.0178
3438.00,0.0179
3437.00,0.0180
3436.00,0.0181
3435.00,0.0182
3434.00,0.0184
3433.00,0.0185
3432.00,0.0186
3431.00,0.0188
3430.00,0.0189
3429.00,0.0191
3428.00,0.0192
3427.00,0.0193
3426.00,0.0195
3425.00,0.0196
3424.00,0.0198
3423.00,0.0199
3422.00,0.0201
3421.00,0.0203
3420.00,0.0204
3419.00,0.0206
3418.00,0.0208
3417.00,0.0209
3416.00,0.0211
3415.00,0.0212
3414.00,0.0214
3413.00,0.0216
3412.00,0.0218
3411.00,0.0220
3410.00,0.0222
3409.00,0.0223
3408.00,0.0225
3407.00,0.0227
3406.00,0.0228
3405.00,0.0230
3404.00,0.0232
3403.00,0.0233
3402.00,0.0235
3401.00,0.0237
3400.00,0.0239
3399.00,0.0241
3398.00,0.0244
3397.00,0.0246
3396.00,0.0248
3395.00,0.0249
3394.00,0.0251
3393.00,0.0252
3392.00,0.0254
3391.00,0.0256
3390.00,0.0259
3389.00,0.0261
3388.00,0.0264
3387.00,0.0267
3386.00,0.0269
3385.00,0.0271
3384.00,0.0273
3383.00,0.0275
3382.00,0.0277
3381.00,0.0279
3380.00,0.0281
3379.00,0.0283
3378.00,0.0285
3377.00,0.0287
3376.00,0.0289
3375.00,0.0291
3374.00,0.0293
3373.00,0.0295
3372.00,0.0296
3371.00,0.0297
3370.00,0.0299
3369.00,0.0301
3368.00,0.0303
3367.00,0.0306
3366.00,0.0309
3365.00,0.0311
3364.00,0.0313
3363.00,0.0315
3362.00,0.0317
3361.00,0.0319
3360.00,0.0321
3359.00,0.0323
3358.00,0.0325
3357.00,0.0327
3356.00,0.0329
3355.00,0.0330
3354.00,0.0332
3353.00,0.0333
3352.00,0.0334
3351.00,0.0335
3350.00,0.0338
3349.00,0.0340
3348.00,0.0342
3347.00,0.0344
3346.00,0.0346
3345.00,0.0347
3344.00,0.0349
3343.00,0.0350
3342.00,0.0351
3341.00,0.0352
3340.00,0.0353
3339.00,0.0354
3338.00,0.0356
3337.00,0.0358
3336.00,0.0361
3335.00,0.0363
3334.00,0.0365
3333.00,0.0367
3332.00,0.0368
3331.00,0.0370
3330.00,0.0371
3329.00,0.0372
3328.00,0.0373
3327.00,0.0373
3326.00,0.0374
3325.00,0.0376
3324.00,0.0378
3323.00,0.0380
3322.00,0.0382
3321.00,0.0383
3320.00,0.0385
3319.00,0.0386
3318.00,0.0387
3317.00,0.0388
3316.00,0.0389
3315.00,0.0390
3314.00,0.0391
3313.00,0.0391
3312.00,0.0391
3311.00,0.0391
3310.00,0.0391
3309.00,0.0390
3308.00,0.0390
3307.00,0.0391
3306.00,0.0392
3305.00,0.0394
3304.00,0.0397
3303.00,0.0399
3302.00,0.0402
3301.00,0.0403
3300.00,0.0404
3299.00,0.0404
3298.00,0.0404
3297.00,0.0403
3296.00,0.0403
3295.00,0.0404
3294.00,0.0404
3293.00,0.0405
3292.00,0.0406
3291.00,0.0408
3290.00,0.0409
3289.00,0.0411
3288.00,0.0411
3287.00,0.0412
3286.00,0.0412
3285.00,0.0412
3284.00,0.0413
3283.00,0.0413
3282.00,0.0414
3281.00,0.0414
3280.00,0.0414
3279.00,0.0414
3278.00,0.0413
3277.00,0.0413
3276.00,0.0414
3275.00,0.0414
3274.00,0.0414
3273.00,0.0413
3272.00,0.0413
3271.00,0.0413
3270.00,0.0414
3269.00,0.0415
3268.00,0.0415
3267.00,0.0416
3266.00,0.0416
3265.00,0.0416
3264.00,0.0416
3263.00,0.0416
3262.00,0.0416
3261.00,0.0416
3260.00,0.0416
3259.00,0.0416
3258.00,0.0416
3257.00,0.0416
3256.00,0.0416
3255.00,0.0416
3254.00,0.0417
3253.00,0.0417
3252.00,0.0417
3251.00,0.0417
3250.00,0.0417
3249.00,0.0417
3248.00,0.0416
3247.00,0.0416
3246.00,0.0416
3245.00,0.0416
3244.00,0.0417
3243.00,0.0417
3242.00,0.0417
3241.00,0.0417
3240.00,0.0417
3239.00,0.0416
3238.00,0.0416
3237.00,0.0415
3236.00,0.0415
3235.00,0.0414
3234.00,0.0414
3233.00,0.0414
3232.00,0.0414
3231.00,0.0414
3230.00,0.0413
3229.00,0.0413
3228.00,0.0412
3227.00,0.0412
3226.00,0.0412
3225.00,0.0411
3224.00,0.0411
3223.00,0.0411
3222.00,0.0410
3221.00,0.0410
3220.00,0.0410
3219.00,0.0410
3218.00,0.0410
3217.00,0.0410
3216.00,0.0410
3215.00,0.0410
3214.00,0.0410
3213.00,0.0411
3212.00,0.0411
3211.00,0.0411
3210.00,0.0410
3209.00,0.0410
3208.00,0.0410
3207.00,0.0410
3206.00,0.0409
3205.00,0.0409
3204.00,0.0409
3203.00,0.0408
3202.00,0.0408
3201.00,0.0408
3200.00,0.0407
3199.00,0.0407
3198.00,0.0406
3197.00,0.0406
3196.00,0.0405
3195.00,0.0405
3194.00,0.0404
3193.00,0.0403
3192.00,0.0401
3191.00,0.0400
3190.00,0.0399
3189.00,0.0398
3188.00,0.0398
3187.00,0.0397
3186.00,0.0396
3185.00,0.0395
3184.00,0.0394
3183.00,0.0393
3182.00,0.0391
3181.00,0.0390
3180.00,0.0389
3179.00,0.0388
3178.00,0.0387
3177.00,0.0386
3176.00,0.0385
3175.00,0.0383
3174.00,0.0382
3173.00,0.0380
3172.00,0.0378
3171.00,0.0377
3170.00,0.0375
3169.00,0.0374
3168.00,0.0372
3167.00,0.0371
3166.00,0.0369
3165.00,0.0368
3164.00,0.0366
3163.00,0.0365
3162.00,0.0363
3161.00,0.0362
3160.00,0.0360
3159.00,0.0358
3158.00,0.0357
3157.00,0.0355
3156.00,0.0354
3155.00,0.0352
3154.00,0.0351
3153.00,0.0350
3152.00,0.0348
3151.00,0.0347
3150.00,0.0345
3149.00,0.0344
3148.00,0.0342
3147.00,0.0341
3146.00,0.0340
3145.00,0.0338
3144.00,0.0337
3143.00,0.0336
3142.00,0.0334
3141.00,0.0333
3140.00,0.0332
3139.00,0.0331
3138.00,0.0330
3137.00,0.0329
3136.00,0.0328
3135.00,0.0327
3134.00,0.0326
3133.00,0.0325
3132.00,0.0324
3131.00,0.0323
3130.00,0.0321
3129.00,0.0320
3128.00,0.0319
3127.00,0.0318
3126.00,0.0317
3125.00,0.0315
3124.00,0.0313
3123.00,0.0312
3122.00,0.0310
3121.00,0.0309
3120.00,0.0307
3119.00,0.0306
3118.00,0.0304
3117.00,0.0303
3116.00,0.0301
3115.00,0.0299
3114.00,0.0298
3113.00,0.0296
3112.00,0.0294
3111.00,0.0293
3110.00,0.0291
3109.00,0.0289
3108.00,0.0287
3107.00,0.0286
3106.00,0.0284
3105.00,0.0282
3104.00,0.0281
3103.00,0.0279
3102.00,0.0277
3101.00,0.0275
3100.00,0.0274
3099.00,0.0272
3098.00,0.0270
3097.00,0.0268
3096.00,0.0266
3095.00,0.0265
3094.00,0.0263
3093.00,0.0262
3092.00,0.0260
3091.00,0.0259
3090.00,0.0257
3089.00,0.0255
3088.00,0.0254
3087.00,0.0252
3086.00,0.0251
3085.00,0.0249
3084.00,0.0248
3083.00,0.0246
3082.00,0.0245
3081.00,0.0244
3080.00,0.0242
3079.00,0.0241
3078.00,0.0239
3077.00,0.0238
3076.00,0.0237
3075.00,0.0236
3074.00,0.0235
3073.00,0.0235
3072.00,0.0234
3071.00,0.0233
3070.00,0.0232
3069.00,0.0231
3068.00,0.0230
3067.00,0.0229
3066.00,0.0229
3065.00,0.0228
3064.00,0.0228
3063.00,0.0227
3062.00,0.0227
3061.00,0.0226
3060.00,0.0226
3059.00,0.0225
3058.00,0.0225
3057.00,0.0224
3056.00,0.0223
3055.00,0.0223
3054.00,0.0222
3053.00,0.0222
3052.00,0.0221
3051.00,0.0220
3050.00,0.0220
3049.00,0.0219
3048.00,0.0218
3047.00,0.0217
3046.00,0.0216
3045.00,0.0215
3044.00,0.0214
3043.00,0.0213
3042.00,0.0212
3041.00,0.0212
3040.00,0.0211
3039.00,0.0211
3038.00,0.0210
3037.00,0.0210
3036.00,0.0210
3035.00,0.0210
3034.00,0.0210
3033.00,0.0211
3032.00,0.0211
3031.00,0.0211
3030.00,0.0211
3029.00,0.0211
3028.00,0.0211
3027.00,0.0211
3026.00,0.0211
3025.00,0.0211
3024.00,0.0210
3023.00,0.0210
3022.00,0.0210
3021.00,0.0209
3020.00,0.0209
3019.00,0.0209
3018.00,0.0209
3017.00,0.0209
3016.00,0.0209
3015.00,0.0210
3014.00,0.0210
3013.00,0.0211
3012.00,0.0212
3011.00,0.0214
3010.00,0.0216
3009.00,0.0218
3008.00,0.0220
3007.00,0.0223
3006.00,0.0226
3005.00,0.0229
3004.00,0.0233
3003.00,0.0237
3002.00,0.0242
3001.00,0.0247
3000.00,0.0252
2999.00,0.0257
2998.00,0.0263
2997.00,0.0269
2996.00,0.0276
2995.00,0.0283
2994.00,0.0290
2993.00,0.0298
2992.00,0.0306
2991.00,0.0314
2990.00,0.0322
2989.00,0.0330
2988.00,0.0338
2987.00,0.0346
2986.00,0.0353
2985.00,0.0360
2984.00,0.0367
2983.00,0.0373
2982.00,0.0378
2981.00,0.0385
2980.00,0.0391
2979.00,0.0397
2978.00,0.0404
2977.00,0.0411
2976.00,0.0419
2975.00,0.0426
2974.00,0.0434
2973.00,0.0443
2972.00,0.0453
2971.00,0.0463
2970.00,0.0474
2969.00,0.0486
2968.00,0.0498
2967.00,0.0510
2966.00,0.0522
2965.00,0.0534
2964.00,0.0546
2963.00,0.0557
2962.00,0.0567
2961.00,0.0576
2960.00,0.0584
2959.00,0.0590
2958.00,0.0595
2957.00,0.0599
2956.00,0.0600
2955.00,0.0601
2954.00,0.0599
2953.00,0.0596
2952.00,0.0592
2951.00,0.0587
2950.00,0.0582
2949.00,0.0577
2948.00,0.0573
2947.00,0.0570
2946.00,0.0569
2945.00,0.0570
2944.00,0.0574
2943.00,0.0580
2942.00,0.0588
2941.00,0.0598
2940.00,0.0610
2939.00,0.0623
2938.00,0.0638
2937.00,0.0655
2936.00,0.0671
2935.00,0.0688
2934.00,0.0706
2933.00,0.0722
2932.00,0.0738
2931.00,0.0752
2930.00,0.0765
2929.00,0.0777
2928.00,0.0786
2927.00,0.0794
2926.00,0.0800
2925.00,0.0804
2924.00,0.0806
2923.00,0.0807
2922.00,0.0806
2921.00,0.0804
2920.00,0.0800
2919.00,0.0796
2918.00,0.0790
2917.00,0.0783
2916.00,0.0775
2915.00,0.0766
2914.00,0.0756
2913.00,0.0745
2912.00,0.0733
2911.00,0.0720
2910.00,0.0707
2909.00,0.0694
2908.00,0.0680
2907.00,0.0667
2906.00,0.0655
2905.00,0.0643
2904.00,0.0631
2903.00,0.0621
2902.00,0.0611
2901.00,0.0603
2900.00,0.0595
2899.00,0.0588
2898.00,0.0581
2897.00,0.0575
2896.00,0.0569
2895.00,0.0564
2894.00,0.0559
2893.00,0.0553
2892.00,0.0548
2891.00,0.0543
2890.00,0.0538
2889.00,0.0533
2888.00,0.0528
2887.00,0.0524
2886.00,0.0519
2885.00,0.0515
2884.00,0.0512
2883.00,0.0509
2882.00,0.0506
2881.00,0.0505
2880.00,0.0504
2879.00,0.0505
2878.00,0.0506
2877.00,0.0508
2876.00,0.0510
2875.00,0.0513
2874.00,0.0517
2873.00,0.0520
2872.00,0.0523
2871.00,0.0525
2870.00,0.0525
2869.00,0.0524
2868.00,0.0524
2867.00,0.0523
2866.00,0.0524
2865.00,0.0526
2864.00,0.0530
2863.00,0.0536
2862.00,0.0543
2861.00,0.0551
2860.00,0.0560
2859.00,0.0568
2858.00,0.0574
2857.00,0.0578
2856.00,0.0579
2855.00,0.0576
2854.00,0.0569
2853.00,0.0560
2852.00,0.0548
2851.00,0.0535
2850.00,0.0519
2849.00,0.0504
2848.00,0.0487
2847.00,0.0471
2846.00,0.0455
2845.00,0.0439
2844.00,0.0423
2843.00,0.0408
2842.00,0.0392
2841.00,0.0378
2840.00,0.0364
2839.00,0.0351
2838.00,0.0339
2837.00,0.0329
2836.00,0.0319
2835.00,0.0309
2834.00,0.0301
2833.00,0.0292
2832.00,0.0284
2831.00,0.0277
2830.00,0.0269
2829.00,0.0262
2828.00,0.0255
2827.00,0.0248
2826.00,0.0241
2825.00,0.0234
2824.00,0.0227
2823.00,0.0220
2822.00,0.0213
2821.00,0.0207
2820.00,0.0201
2819.00,0.0196
2818.00,0.0191
2817.00,0.0186
2816.00,0.0182
2815.00,0.0178
2814.00,0.0175
2813.00,0.0172
2812.00,0.0169
2811.00,0.0166
2810.00,0.0164
2809.00,0.0161
2808.00,0.0159
2807.00,0.0157
2806.00,0.0156
2805.00,0.0154
2804.00,0.0153
2803.00,0.0152
2802.00,0.0150
2801.00,0.0149
2800.00,0.0147
2799.00,0.0145
2798.00,0.0144
2797.00,0.0143
2796.00,0.0142
2795.00,0.0141
2794.00,0.0139
2793.00,0.0138
2792.00,0.0137
2791.00,0.0137
2790.00,0.0136
2789.00,0.0135
2788.00,0.0135
2787.00,0.0134
