Created as New Dataset,Sample 191 By YargerLab Date Saturday, October 04 2025
cm-1,A
4000.00,0.0059
3999.00,0.0059
3998.00,0.0059
3997.00,0.0058
3996.00,0.0058
3995.00,0.0059
3994.00,0.0059
3993.00,0.0059
3992.00,0.0059
3991.00,0.0059
3990.00,0.0058
3989.00,0.0058
3988.00,0.0058
3987.00,0.0058
3986.00,0.0058
3985.00,0.0058
3984.00,0.0058
3983.00,0.0058
3982.00,0.0058
3981.00,0.0059
3980.00,0.0059
3979.00,0.0059
3978.00,0.0059
3977.00,0.0059
3976.00,0.0059
3975.00,0.0060
3974.00,0.0060
3973.00,0.0060
3972.00,0.0060
3971.00,0.0060
3970.00,0.0060
3969.00,0.0060
3968.00,0.0060
3967.00,0.0060
3966.00,0.0059
3965.00,0.0059
3964.00,0.0060
3963.00,0.0060
3962.00,0.0060
3961.00,0.0060
3960.00,0.0060
3959.00,0.0060
3958.00,0.0059
3957.00,0.0059
3956.00,0.0059
3955.00,0.0059
3954.00,0.0059
3953.00,0.0059
3952.00,0.0059
3951.00,0.0059
3950.00,0.0059
3949.00,0.0059
3948.00,0.0058
3947.00,0.0058
3946.00,0.0058
3945.00,0.0058
3944.00,0.0058
3943.00,0.0058
3942.00,0.0058
3941.00,0.0058
3940.00,0.0058
3939.00,0.0057
3938.00,0.0057
3937.00,0.0057
3936.00,0.0057
3935.00,0.0057
3934.00,0.0056
3933.00,0.0056
3932.00,0.0057
3931.00,0.0057
3930.00,0.0057
3929.00,0.0057
3928.00,0.0057
3927.00,0.0057
3926.00,0.0057
3925.00,0.0057
3924.00,0.0057
3923.00,0.0057
3922.00,0.0057
3921.00,0.0057
3920.00,0.0057
3919.00,0.0057
3918.00,0.0057
3917.00,0.0057
3916.00,0.0057
3915.00,0.0057
3914.00,0.0057
3913.00,0.0057
3912.00,0.0058
3911.00,0.0058
3910.00,0.0057
3909.00,0.0057
3908.00,0.0057
3907.00,0.0057
3906.00,0.0057
3905.00,0.0057
3904.00,0.0057
3903.00,0.0057
3902.00,0.0056
3901.00,0.0056
3900.00,0.0056
3899.00,0.0056
3898.00,0.0056
3897.00,0.0057
3896.00,0.0057
3895.00,0.0057
3894.00,0.0057
3893.00,0.0057
3892.00,0.0057
3891.00,0.0057
3890.00,0.0057
3889.00,0.0056
3888.00,0.0056
3887.00,0.0056
3886.00,0.0056
3885.00,0.0056
3884.00,0.0056
3883.00,0.0056
3882.00,0.0056
3881.00,0.0056
3880.00,0.0056
3879.00,0.0056
3878.00,0.0055
3877.00,0.0055
3876.00,0.0055
3875.00,0.0055
3874.00,0.0056
3873.00,0.0056
3872.00,0.0056
3871.00,0.0055
3870.00,0.0055
3869.00,0.0055
3868.00,0.0055
3867.00,0.0055
3866.00,0.0055
3865.00,0.0055
3864.00,0.0055
3863.00,0.0055
3862.00,0.0055
3861.00,0.0055
3860.00,0.0055
3859.00,0.0055
3858.00,0.0056
3857.00,0.0056
3856.00,0.0056
3855.00,0.0055
3854.00,0.0055
3853.00,0.0055
3852.00,0.0055
3851.00,0.0055
3850.00,0.0055
3849.00,0.0055
3848.00,0.0055
3847.00,0.0055
3846.00,0.0055
3845.00,0.0055
3844.00,0.0055
3843.00,0.0055
3842.00,0.0055
3841.00,0.0055
3840.00,0.0055
3839.00,0.0055
3838.00,0.0055
3837.00,0.0055
3836.00,0.0055
3835.00,0.0055
3834.00,0.0055
3833.00,0.0055
3832.00,0.0055
3831.00,0.0055
3830.00,0.0055
3829.00,0.0055
3828.00,0.0055
3827.00,0.0055
3826.00,0.0055
3825.00,0.0055
3824.00,0.0055
3823.00,0.0055
3822.00,0.0055
3821.00,0.0055
3820.00,0.0055
3819.00,0.0055
3818.00,0.0055
3817.00,0.0054
3816.00,0.0055
3815.00,0.0055
3814.00,0.0055
3813.00,0.0055
3812.00,0.0055
3811.00,0.0055
3810.00,0.0055
3809.00,0.0055
3808.00,0.0055
3807.00,0.0054
3806.00,0.0054
3805.00,0.0054
3804.00,0.0054
3803.00,0.0054
3802.00,0.0054
3801.00,0.0054
3800.00,0.0054
3799.00,0.0053
3798.00,0.0053
3797.00,0.0053
3796.00,0.0053
3795.00,0.0053
3794.00,0.0053
3793.00,0.0053
3792.00,0.0053
3791.00,0.0053
3790.00,0.0053
3789.00,0.0053
3788.00,0.0053
3787.00,0.0053
3786.00,0.0053
3785.00,0.0053
3784.00,0.0053
3783.00,0.0053
3782.00,0.0052
3781.00,0.0052
3780.00,0.0053
3779.00,0.0053
3778.00,0.0053
3777.00,0.0053
3776.00,0.0053
3775.00,0.0053
3774.00,0.0053
3773.00,0.0053
3772.00,0.0053
3771.00,0.0053
3770.00,0.0053
3769.00,0.0053
3768.00,0.0053
3767.00,0.0053
3766.00,0.0053
3765.00,0.0054
3764.00,0.0054
3763.00,0.0054
3762.00,0.0054
3761.00,0.0054
3760.00,0.0054
3759.00,0.0054
3758.00,0.0054
3757.00,0.0053
3756.00,0.0053
3755.00,0.0053
3754.00,0.0053
3753.00,0.0053
3752.00,0.0053
3751.00,0.0053
3750.00,0.0053
3749.00,0.0053
3748.00,0.0053
3747.00,0.0053
3746.00,0.0052
3745.00,0.0052
