Created as New Dataset,Sample 221 By YargerLab Date Sunday, October 05 2025
cm-1,A
4000.00,0.0028
3999.00,0.0028
3998.00,0.0028
3997.00,0.0028
3996.00,0.0028
3995.00,0.0028
3994.00,0.0028
3993.00,0.0028
3992.00,0.0028
3991.00,0.0028
3990.00,0.0027
3989.00,0.0027
3988.00,0.0027
3987.00,0.0027
3986.00,0.0028
3985.00,0.0028
3984.00,0.0028
3983.00,0.0028
3982.00,0.0027
3981.00,0.0027
3980.00,0.0027
3979.00,0.0027
3978.00,0.0028
3977.00,0.0028
3976.00,0.0028
3975.00,0.0028
3974.00,0.0028
3973.00,0.0028
3972.00,0.0028
3971.00,0.0027
3970.00,0.0027
3969.00,0.0027
3968.00,0.0027
3967.00,0.0027
3966.00,0.0027
3965.00,0.0027
3964.00,0.0027
3963.00,0.0027
3962.00,0.0027
3961.00,0.0027
3960.00,0.0027
3959.00,0.0027
3958.00,0.0027
3957.00,0.0027
3956.00,0.0027
3955.00,0.0027
3954.00,0.0027
3953.00,0.0027
3952.00,0.0027
3951.00,0.0027
3950.00,0.0027
3949.00,0.0027
3948.00,0.0027
3947.00,0.0027
3946.00,0.0027
3945.00,0.0027
3944.00,0.0027
3943.00,0.0027
3942.00,0.0027
3941.00,0.0027
3940.00,0.0027
3939.00,0.0027
3938.00,0.0027
3937.00,0.0027
3936.00,0.0027
3935.00,0.0027
3934.00,0.0027
3933.00,0.0027
3932.00,0.0027
3931.00,0.0027
3930.00,0.0027
3929.00,0.0027
3928.00,0.0027
3927.00,0.0027
3926.00,0.0026
3925.00,0.0027
3924.00,0.0027
3923.00,0.0027
3922.00,0.0027
3921.00,0.0027
3920.00,0.0027
3919.00,0.0027
3918.00,0.0027
3917.00,0.0027
3916.00,0.0027
3915.00,0.0027
3914.00,0.0027
3913.00,0.0027
3912.00,0.0027
3911.00,0.0027
3910.00,0.0027
3909.00,0.0028
3908.00,0.0028
3907.00,0.0028
3906.00,0.0028
3905.00,0.0029
3904.00,0.0029
3903.00,0.0029
3902.00,0.0029
3901.00,0.0028
3900.00,0.0028
3899.00,0.0028
3898.00,0.0028
3897.00,0.0028
3896.00,0.0027
3895.00,0.0027
3894.00,0.0027
3893.00,0.0027
3892.00,0.0027
3891.00,0.0028
3890.00,0.0028
3889.00,0.0028
3888.00,0.0028
3887.00,0.0028
3886.00,0.0028
3885.00,0.0028
3884.00,0.0028
3883.00,0.0028
3882.00,0.0028
3881.00,0.0027
3880.00,0.0027
3879.00,0.0027
3878.00,0.0027
3877.00,0.0027
3876.00,0.0027
3875.00,0.0027
3874.00,0.0028
3873.00,0.0028
3872.00,0.0028
3871.00,0.0028
3870.00,0.0028
3869.00,0.0028
3868.00,0.0028
3867.00,0.0028
3866.00,0.0028
3865.00,0.0027
3864.00,0.0027
3863.00,0.0027
3862.00,0.0026
3861.00,0.0026
3860.00,0.0027
3859.00,0.0027
3858.00,0.0028
3857.00,0.0029
3856.00,0.0030
3855.00,0.0031
3854.00,0.0031
3853.00,0.0030
3852.00,0.0030
3851.00,0.0030
3850.00,0.0029
3849.00,0.0028
3848.00,0.0027
3847.00,0.0027
3846.00,0.0027
3845.00,0.0027
3844.00,0.0027
3843.00,0.0028
3842.00,0.0028
3841.00,0.0029
3840.00,0.0029
3839.00,0.0029
3838.00,0.0029
3837.00,0.0029
3836.00,0.0029
3835.00,0.0029
3834.00,0.0028
3833.00,0.0028
3832.00,0.0027
3831.00,0.0027
3830.00,0.0027
3829.00,0.0027
3828.00,0.0027
3827.00,0.0027
3826.00,0.0027
3825.00,0.0028
3824.00,0.0028
3823.00,0.0028
3822.00,0.0028
3821.00,0.0028
3820.00,0.0028
3819.00,0.0029
3818.00,0.0029
3817.00,0.0029
3816.00,0.0028
3815.00,0.0028
3814.00,0.0028
3813.00,0.0028
3812.00,0.0027
3811.00,0.0027
3810.00,0.0027
3809.00,0.0028
3808.00,0.0027
3807.00,0.0027
3806.00,0.0028
3805.00,0.0029
3804.00,0.0029
3803.00,0.0029
3802.00,0.0029
3801.00,0.0028
3800.00,0.0028
3799.00,0.0028
3798.00,0.0027
3797.00,0.0027
3796.00,0.0026
3795.00,0.0026
3794.00,0.0027
3793.00,0.0027
3792.00,0.0027
3791.00,0.0027
3790.00,0.0028
3789.00,0.0028
3788.00,0.0028
3787.00,0.0028
3786.00,0.0028
3785.00,0.0028
3784.00,0.0028
3783.00,0.0028
3782.00,0.0027
3781.00,0.0027
3780.00,0.0027
3779.00,0.0027
3778.00,0.0027
3777.00,0.0027
3776.00,0.0028
3775.00,0.0028
3774.00,0.0028
3773.00,0.0029
3772.00,0.0029
3771.00,0.0029
3770.00,0.0029
3769.00,0.0028
3768.00,0.0028
3767.00,0.0028
3766.00,0.0028
3765.00,0.0027
3764.00,0.0028
3763.00,0.0028
3762.00,0.0028
3761.00,0.0028
3760.00,0.0028
3759.00,0.0028
3758.00,0.0028
3757.00,0.0028
3756.00,0.0028
3755.00,0.0029
3754.00,0.0029
3753.00,0.0029
3752.00,0.0029
3751.00,0.0029
3750.00,0.0029
3749.00,0.0029
3748.00,0.0030
3747.00,0.0030
3746.00,0.0030
3745.00,0.0029
3744.00,0.0029
3743.00,0.0029
3742.00,0.0029
3741.00,0.0028
3740.00,0.0028
3739.00,0.0028
3738.00,0.0028
3737.00,0.0028
3736.00,0.0027
3735.00,0.0027
3734.00,0.0027
3733.00,0.0027
3732.00,0.0026
3731.00,0.0026
3730.00,0.0026
3729.00,0.0026
3728.00,0.0026
3727.00,0.0026
3726.00,0.0026
3725.00,0.0026
3724.00,0.0026
3723.00,0.0026
3722.00,0.0026
3721.00,0.0026
3720.00,0.0026
3719.00,0.0026
3718.00,0.0026
3717.00,0.0026
3716.00,0.0027
3715.00,0.0028
3714.00,0.0028
3713.00,0.0028
3712.00,0.0028
3711.00,0.0027
3710.00,0.0027
3709.00,0.0027
3708.00,0.0027
3707.00,0.0027
3706.00,0.0026
3705.00,0.0026
3704.00,0.0026
3703.00,0.0026
3702.00,0.0026
3701.00,0.0026
3700.00,0.0026
3699.00,0.0026
3698.00,0.0026
3697.00,0.0026
3696.00,0.0026
3695.00,0.0026
3694.00,0.0026
3693.00,0.0027
3692.00,0.0027
3691.00,0.0027
3690.00,0.0028
3689.00,0.0028
3688.00,0.0028
3687.00,0.0028
3686.00,0.0027
3685.00,0.0027
3684.00,0.0027
3683.00,0.0027
3682.00,0.0028
3681.00,0.0029
3680.00,0.0029
3679.00,0.0030
3678.00,0.0030
3677.00,0.0030
3676.00,0.0030
3675.00,0.0030
3674.00,0.0031
3673.00,0.0031
3672.00,0.0030
3671.00,0.0030
3670.00,0.0030
3669.00,0.0030
3668.00,0.0030
3667.00,0.0030
3666.00,0.0029
3665.00,0.0029
3664.00,0.0029
3663.00,0.0029
3662.00,0.0029
3661.00,0.0030
3660.00,0.0030
3659.00,0.0030
3658.00,0.0031
3657.00,0.0031
3656.00,0.0031
3655.00,0.0032
3654.00,0.0032
3653.00,0.0032
3652.00,0.0032
3651.00,0.0032
3650.00,0.0032
3649.00,0.0032
3648.00,0.0032
3647.00,0.0032
3646.00,0.0032
3645.00,0.0032
3644.00,0.0032
3643.00,0.0032
3642.00,0.0032
3641.00,0.0032
3640.00,0.0032
3639.00,0.0032
3638.00,0.0032
3637.00,0.0033
3636.00,0.0033
3635.00,0.0033
3634.00,0.0034
3633.00,0.0034
3632.00,0.0035
3631.00,0.0035
3630.00,0.0035
3629.00,0.0035
3628.00,0.0036
3627.00,0.0036
3626.00,0.0036
3625.00,0.0035
3624.00,0.0034
3623.00,0.0035
3622.00,0.0035
3621.00,0.0035
3620.00,0.0035
3619.00,0.0035
3618.00,0.0036
3617.00,0.0036
3616.00,0.0036
3615.00,0.0036
3614.00,0.0037
3613.00,0.0037
3612.00,0.0037
3611.00,0.0038
3610.00,0.0038
3609.00,0.0038
3608.00,0.0038
3607.00,0.0038
3606.00,0.0038
3605.00,0.0038
3604.00,0.0039
3603.00,0.0039
3602.00,0.0039
3601.00,0.0039
3600.00,0.0040
3599.00,0.0040
3598.00,0.0040
3597.00,0.0040
3596.00,0.0040
3595.00,0.0040
3594.00,0.0040
3593.00,0.0041
3592.00,0.0041
3591.00,0.0042
3590.00,0.0042
3589.00,0.0042
3588.00,0.0043
3587.00,0.0043
3586.00,0.0044
3585.00,0.0044
3584.00,0.0044
3583.00,0.0044
3582.00,0.0044
3581.00,0.0044
3580.00,0.0044
3579.00,0.0044
3578.00,0.0045
3577.00,0.0045
3576.00,0.0046
3575.00,0.0046
3574.00,0.0047
3573.00,0.0047
3572.00,0.0047
3571.00,0.0048
3570.00,0.0049
3569.00,0.0049
3568.00,0.0049
3567.00,0.0049
3566.00,0.0049
3565.00,0.0050
3564.00,0.0050
3563.00,0.0050
3562.00,0.0050
3561.00,0.0051
3560.00,0.0051
3559.00,0.0051
3558.00,0.0051
3557.00,0.0051
3556.00,0.0052
3555.00,0.0052
3554.00,0.0053
3553.00,0.0053
3552.00,0.0054
3551.00,0.0054
3550.00,0.0054
3549.00,0.0054
3548.00,0.0055
3547.00,0.0055
3546.00,0.0055
3545.00,0.0055
3544.00,0.0056
3543.00,0.0057
3542.00,0.0057
3541.00,0.0057
3540.00,0.0058
3539.00,0.0058
3538.00,0.0058
3537.00,0.0059
3536.00,0.0059
3535.00,0.0059
3534.00,0.0059
3533.00,0.0060
3532.00,0.0060
3531.00,0.0061
3530.00,0.0061
3529.00,0.0061
3528.00,0.0062
3527.00,0.0062
3526.00,0.0063
3525.00,0.0063
3524.00,0.0063
3523.00,0.0063
3522.00,0.0064
3521.00,0.0064
3520.00,0.0064
3519.00,0.0064
3518.00,0.0065
3517.00,0.0065
3516.00,0.0065
3515.00,0.0066
3514.00,0.0066
3513.00,0.0067
3512.00,0.0067
3511.00,0.0068
3510.00,0.0068
3509.00,0.0069
3508.00,0.0069
3507.00,0.0069
3506.00,0.0070
3505.00,0.0070
3504.00,0.0070
3503.00,0.0071
3502.00,0.0071
3501.00,0.0071
3500.00,0.0072
3499.00,0.0072
3498.00,0.0072
3497.00,0.0073
3496.00,0.0073
3495.00,0.0074
3494.00,0.0074
3493.00,0.0075
3492.00,0.0075
3491.00,0.0075
3490.00,0.0075
3489.00,0.0075
3488.00,0.0076
3487.00,0.0076
3486.00,0.0077
3485.00,0.0077
3484.00,0.0077
3483.00,0.0078
3482.00,0.0078
3481.00,0.0078
3480.00,0.0079
3479.00,0.0079
3478.00,0.0080
3477.00,0.0080
3476.00,0.0080
3475.00,0.0080
3474.00,0.0081
3473.00,0.0081
3472.00,0.0081
3471.00,0.0082
3470.00,0.0083
3469.00,0.0083
3468.00,0.0084
3467.00,0.0084
3466.00,0.0084
3465.00,0.0085
3464.00,0.0085
3463.00,0.0085
3462.00,0.0085
3461.00,0.0085
3460.00,0.0086
3459.00,0.0086
3458.00,0.0086
3457.00,0.0087
3456.00,0.0087
3455.00,0.0087
3454.00,0.0088
3453.00,0.0088
3452.00,0.0088
3451.00,0.0089
3450.00,0.0089
3449.00,0.0089
3448.00,0.0089
3447.00,0.0089
3446.00,0.0089
3445.00,0.0089
3444.00,0.0090
3443.00,0.0090
3442.00,0.0091
3441.00,0.0092
3440.00,0.0092
3439.00,0.0092
3438.00,0.0093
3437.00,0.0093
3436.00,0.0093
3435.00,0.0094
3434.00,0.0094
3433.00,0.0095
3432.00,0.0095
3431.00,0.0095
3430.00,0.0095
3429.00,0.0095
3428.00,0.0095
3427.00,0.0095
3426.00,0.0095
3425.00,0.0096
3424.00,0.0097
3423.00,0.0097
3422.00,0.0098
3421.00,0.0098
3420.00,0.0098
3419.00,0.0098
3418.00,0.0099
3417.00,0.0099
3416.00,0.0099
3415.00,0.0099
3414.00,0.0100
3413.00,0.0100
3412.00,0.0101
3411.00,0.0101
3410.00,0.0101
3409.00,0.0102
3408.00,0.0102
3407.00,0.0102
3406.00,0.0103
3405.00,0.0103
3404.00,0.0103
3403.00,0.0103
3402.00,0.0104
3401.00,0.0104
3400.00,0.0104
3399.00,0.0104
3398.00,0.0105
3397.00,0.0105
3396.00,0.0106
3395.00,0.0106
3394.00,0.0107
3393.00,0.0107
3392.00,0.0108
3391.00,0.0108
3390.00,0.0109
3389.00,0.0110
3388.00,0.0110
3387.00,0.0111
3386.00,0.0111
3385.00,0.0111
3384.00,0.0112
3383.00,0.0112
3382.00,0.0112
3381.00,0.0112
3380.00,0.0113
3379.00,0.0114
3378.00,0.0114
3377.00,0.0115
3376.00,0.0115
3375.00,0.0116
3374.00,0.0116
3373.00,0.0117
3372.00,0.0117
3371.00,0.0117
3370.00,0.0117
3369.00,0.0117
3368.00,0.0118
3367.00,0.0119
3366.00,0.0120
3365.00,0.0121
3364.00,0.0121
3363.00,0.0122
3362.00,0.0122
3361.00,0.0123
3360.00,0.0123
3359.00,0.0124
3358.00,0.0125
3357.00,0.0125
3356.00,0.0126
3355.00,0.0126
3354.00,0.0126
3353.00,0.0127
3352.00,0.0127
3351.00,0.0127
3350.00,0.0128
3349.00,0.0129
3348.00,0.0130
3347.00,0.0130
3346.00,0.0131
3345.00,0.0131
3344.00,0.0131
3343.00,0.0131
3342.00,0.0131
3341.00,0.0132
3340.00,0.0132
3339.00,0.0133
3338.00,0.0134
3337.00,0.0134
3336.00,0.0135
3335.00,0.0136
3334.00,0.0137
3333.00,0.0137
3332.00,0.0138
3331.00,0.0138
3330.00,0.0139
3329.00,0.0139
3328.00,0.0139
3327.00,0.0139
3326.00,0.0139
3325.00,0.0140
3324.00,0.0141
3323.00,0.0142
3322.00,0.0142
3321.00,0.0143
3320.00,0.0143
3319.00,0.0144
3318.00,0.0144
3317.00,0.0145
3316.00,0.0146
3315.00,0.0146
3314.00,0.0147
3313.00,0.0147
3312.00,0.0147
3311.00,0.0147
3310.00,0.0147
3309.00,0.0147
3308.00,0.0147
3307.00,0.0147
3306.00,0.0147
3305.00,0.0148
3304.00,0.0150
3303.00,0.0151
3302.00,0.0152
3301.00,0.0152
3300.00,0.0153
3299.00,0.0153
3298.00,0.0153
3297.00,0.0153
3296.00,0.0154
3295.00,0.0154
3294.00,0.0155
3293.00,0.0155
3292.00,0.0155
3291.00,0.0156
3290.00,0.0157
3289.00,0.0158
3288.00,0.0158
3287.00,0.0158
3286.00,0.0159
3285.00,0.0159
3284.00,0.0159
3283.00,0.0160
3282.00,0.0160
3281.00,0.0161
3280.00,0.0161
3279.00,0.0161
3278.00,0.0162
3277.00,0.0162
3276.00,0.0162
3275.00,0.0162
3274.00,0.0162
3273.00,0.0162
3272.00,0.0162
3271.00,0.0163
3270.00,0.0163
3269.00,0.0164
3268.00,0.0165
3267.00,0.0165
3266.00,0.0165
3265.00,0.0165
3264.00,0.0165
3263.00,0.0166
3262.00,0.0166
3261.00,0.0166
3260.00,0.0167
3259.00,0.0167
3258.00,0.0167
3257.00,0.0168
3256.00,0.0168
3255.00,0.0168
3254.00,0.0169
3253.00,0.0169
3252.00,0.0169
3251.00,0.0170
3250.00,0.0170
3249.00,0.0170
3248.00,0.0171
3247.00,0.0171
3246.00,0.0171
3245.00,0.0171
3244.00,0.0172
3243.00,0.0172
3242.00,0.0172
3241.00,0.0172
3240.00,0.0172
3239.00,0.0172
3238.00,0.0173
3237.00,0.0173
3236.00,0.0173
3235.00,0.0173
3234.00,0.0173
3233.00,0.0173
3232.00,0.0174
3231.00,0.0174
3230.00,0.0175
3229.00,0.0175
3228.00,0.0176
3227.00,0.0176
3226.00,0.0176
3225.00,0.0176
3224.00,0.0176
3223.00,0.0176
3222.00,0.0176
3221.00,0.0176
3220.00,0.0175
3219.00,0.0176
3218.00,0.0176
3217.00,0.0176
3216.00,0.0176
3215.00,0.0176
3214.00,0.0176
3213.00,0.0176
3212.00,0.0176
3211.00,0.0176
3210.00,0.0176
3209.00,0.0176
3208.00,0.0176
3207.00,0.0176
3206.00,0.0176
3205.00,0.0176
3204.00,0.0176
3203.00,0.0177
3202.00,0.0177
3201.00,0.0177
3200.00,0.0177
3199.00,0.0177
3198.00,0.0177
3197.00,0.0178
