Created as New Dataset,Sample 408 By YargerLab Date Thursday, December 04 2025
cm-1,A
4000.00,0.0066
3999.00,0.0066
3998.00,0.0066
3997.00,0.0066
3996.00,0.0066
3995.00,0.0066
3994.00,0.0066
3993.00,0.0066
3992.00,0.0066
3991.00,0.0066
3990.00,0.0066
3989.00,0.0066
3988.00,0.0066
3987.00,0.0066
3986.00,0.0065
3985.00,0.0065
3984.00,0.0065
3983.00,0.0066
3982.00,0.0066
3981.00,0.0066
3980.00,0.0066
3979.00,0.0066
3978.00,0.0066
3977.00,0.0066
3976.00,0.0066
3975.00,0.0067
3974.00,0.0067
3973.00,0.0067
3972.00,0.0066
3971.00,0.0066
3970.00,0.0066
3969.00,0.0066
3968.00,0.0066
3967.00,0.0066
3966.00,0.0066
3965.00,0.0066
3964.00,0.0066
3963.00,0.0066
3962.00,0.0066
3961.00,0.0066
3960.00,0.0066
3959.00,0.0066
3958.00,0.0066
3957.00,0.0066
3956.00,0.0066
3955.00,0.0066
3954.00,0.0066
3953.00,0.0066
3952.00,0.0065
3951.00,0.0065
3950.00,0.0065
3949.00,0.0066
3948.00,0.0066
3947.00,0.0066
3946.00,0.0066
3945.00,0.0066
3944.00,0.0066
3943.00,0.0066
3942.00,0.0065
3941.00,0.0065
3940.00,0.0065
3939.00,0.0065
3938.00,0.0065
3937.00,0.0065
3936.00,0.0066
3935.00,0.0066
3934.00,0.0066
3933.00,0.0066
3932.00,0.0066
3931.00,0.0066
3930.00,0.0066
3929.00,0.0065
3928.00,0.0065
3927.00,0.0066
3926.00,0.0066
3925.00,0.0066
3924.00,0.0066
3923.00,0.0066
3922.00,0.0066
3921.00,0.0066
3920.00,0.0066
3919.00,0.0066
3918.00,0.0066
3917.00,0.0066
3916.00,0.0066
3915.00,0.0066
3914.00,0.0066
3913.00,0.0066
3912.00,0.0066
3911.00,0.0066
3910.00,0.0066
3909.00,0.0066
3908.00,0.0066
3907.00,0.0066
3906.00,0.0066
3905.00,0.0066
3904.00,0.0066
3903.00,0.0066
3902.00,0.0066
3901.00,0.0066
3900.00,0.0066
3899.00,0.0066
3898.00,0.0066
3897.00,0.0066
3896.00,0.0066
3895.00,0.0066
3894.00,0.0066
3893.00,0.0066
3892.00,0.0066
3891.00,0.0067
3890.00,0.0067
3889.00,0.0067
3888.00,0.0067
3887.00,0.0066
3886.00,0.0066
3885.00,0.0066
3884.00,0.0066
3883.00,0.0066
3882.00,0.0066
3881.00,0.0066
3880.00,0.0066
3879.00,0.0066
3878.00,0.0066
3877.00,0.0066
3876.00,0.0066
3875.00,0.0066
3874.00,0.0066
3873.00,0.0066
3872.00,0.0066
3871.00,0.0066
3870.00,0.0066
3869.00,0.0066
3868.00,0.0066
3867.00,0.0066
3866.00,0.0066
3865.00,0.0066
3864.00,0.0066
3863.00,0.0066
3862.00,0.0066
3861.00,0.0066
3860.00,0.0066
3859.00,0.0066
3858.00,0.0067
3857.00,0.0067
3856.00,0.0068
3855.00,0.0068
3854.00,0.0068
3853.00,0.0068
3852.00,0.0068
3851.00,0.0067
3850.00,0.0067
3849.00,0.0066
3848.00,0.0066
3847.00,0.0066
3846.00,0.0066
3845.00,0.0066
3844.00,0.0066
3843.00,0.0066
3842.00,0.0066
3841.00,0.0066
3840.00,0.0066
3839.00,0.0066
3838.00,0.0066
3837.00,0.0066
3836.00,0.0066
3835.00,0.0067
3834.00,0.0067
3833.00,0.0066
3832.00,0.0066
3831.00,0.0066
3830.00,0.0066
3829.00,0.0066
3828.00,0.0066
3827.00,0.0066
3826.00,0.0066
3825.00,0.0067
3824.00,0.0067
3823.00,0.0067
3822.00,0.0067
3821.00,0.0066
3820.00,0.0066
3819.00,0.0067
3818.00,0.0067
3817.00,0.0066
3816.00,0.0066
3815.00,0.0066
3814.00,0.0066
3813.00,0.0066
3812.00,0.0066
3811.00,0.0066
3810.00,0.0066
3809.00,0.0066
3808.00,0.0066
3807.00,0.0066
3806.00,0.0066
3805.00,0.0067
3804.00,0.0067
3803.00,0.0067
3802.00,0.0067
3801.00,0.0066
3800.00,0.0066
3799.00,0.0066
3798.00,0.0066
3797.00,0.0066
3796.00,0.0065
3795.00,0.0065
3794.00,0.0065
3793.00,0.0065
3792.00,0.0065
3791.00,0.0065
3790.00,0.0065
3789.00,0.0066
3788.00,0.0066
3787.00,0.0066
3786.00,0.0066
3785.00,0.0066
3784.00,0.0065
3783.00,0.0065
3782.00,0.0065
3781.00,0.0065
3780.00,0.0065
3779.00,0.0065
3778.00,0.0066
3777.00,0.0066
3776.00,0.0067
3775.00,0.0067
3774.00,0.0067
3773.00,0.0067
3772.00,0.0067
3771.00,0.0066
3770.00,0.0066
3769.00,0.0066
3768.00,0.0066
3767.00,0.0066
3766.00,0.0066
3765.00,0.0066
3764.00,0.0066
3763.00,0.0066
3762.00,0.0066
3761.00,0.0066
3760.00,0.0066
3759.00,0.0066
3758.00,0.0066
3757.00,0.0066
3756.00,0.0066
3755.00,0.0066
3754.00,0.0067
3753.00,0.0067
3752.00,0.0066
3751.00,0.0066
3750.00,0.0067
3749.00,0.0067
3748.00,0.0067
3747.00,0.0067
3746.00,0.0067
3745.00,0.0067
3744.00,0.0067
3743.00,0.0067
3742.00,0.0067
3741.00,0.0067
3740.00,0.0066
3739.00,0.0066
3738.00,0.0066
3737.00,0.0066
3736.00,0.0066
3735.00,0.0066
3734.00,0.0066
3733.00,0.0065
3732.00,0.0065
3731.00,0.0065
3730.00,0.0065
3729.00,0.0065
3728.00,0.0065
3727.00,0.0065
3726.00,0.0064
3725.00,0.0065
3724.00,0.0065
3723.00,0.0065
3722.00,0.0065
3721.00,0.0065
3720.00,0.0065
3719.00,0.0065
3718.00,0.0065
3717.00,0.0065
3716.00,0.0065
3715.00,0.0065
3714.00,0.0065
3713.00,0.0066
3712.00,0.0066
3711.00,0.0065
3710.00,0.0065
3709.00,0.0065
3708.00,0.0065
3707.00,0.0065
3706.00,0.0064
3705.00,0.0064
3704.00,0.0064
3703.00,0.0064
3702.00,0.0064
3701.00,0.0064
3700.00,0.0064
3699.00,0.0064
3698.00,0.0064
3697.00,0.0064
3696.00,0.0065
3695.00,0.0065
3694.00,0.0065
3693.00,0.0065
3692.00,0.0065
3691.00,0.0066
3690.00,0.0066
3689.00,0.0066
3688.00,0.0066
3687.00,0.0066
3686.00,0.0067
3685.00,0.0067
3684.00,0.0067
3683.00,0.0067
3682.00,0.0067
3681.00,0.0067
3680.00,0.0068
3679.00,0.0068
3678.00,0.0068
3677.00,0.0068
3676.00,0.0068
3675.00,0.0068
3674.00,0.0068
3673.00,0.0068
3672.00,0.0068
3671.00,0.0068
3670.00,0.0067
3669.00,0.0067
3668.00,0.0067
3667.00,0.0068
3666.00,0.0068
3665.00,0.0068
3664.00,0.0068
3663.00,0.0068
3662.00,0.0068
3661.00,0.0069
3660.00,0.0069
3659.00,0.0069
3658.00,0.0069
3657.00,0.0069
3656.00,0.0070
3655.00,0.0070
3654.00,0.0071
3653.00,0.0071
3652.00,0.0071
3651.00,0.0072
3650.00,0.0072
3649.00,0.0072
3648.00,0.0072
3647.00,0.0072
3646.00,0.0073
3645.00,0.0073
3644.00,0.0073
3643.00,0.0073
3642.00,0.0073
3641.00,0.0073
3640.00,0.0073
3639.00,0.0073
3638.00,0.0074
3637.00,0.0074
3636.00,0.0074
3635.00,0.0074
3634.00,0.0075
3633.00,0.0075
3632.00,0.0076
3631.00,0.0076
3630.00,0.0077
3629.00,0.0077
3628.00,0.0077
3627.00,0.0077
3626.00,0.0078
3625.00,0.0078
3624.00,0.0078
3623.00,0.0078
3622.00,0.0078
3621.00,0.0079
3620.00,0.0079
3619.00,0.0080
3618.00,0.0080
3617.00,0.0080
3616.00,0.0081
3615.00,0.0081
3614.00,0.0081
3613.00,0.0082
3612.00,0.0082
3611.00,0.0083
3610.00,0.0084
3609.00,0.0084
3608.00,0.0084
3607.00,0.0085
3606.00,0.0085
3605.00,0.0085
3604.00,0.0086
3603.00,0.0086
3602.00,0.0086
3601.00,0.0087
3600.00,0.0087
3599.00,0.0087
3598.00,0.0088
3597.00,0.0088
3596.00,0.0088
3595.00,0.0089
3594.00,0.0090
3593.00,0.0091
3592.00,0.0091
3591.00,0.0092
3590.00,0.0093
3589.00,0.0093
3588.00,0.0094
3587.00,0.0095
3586.00,0.0096
3585.00,0.0097
3584.00,0.0097
3583.00,0.0097
3582.00,0.0097
3581.00,0.0098
3580.00,0.0098
3579.00,0.0099
3578.00,0.0100
3577.00,0.0101
3576.00,0.0101
3575.00,0.0102
3574.00,0.0102
3573.00,0.0103
3572.00,0.0103
3571.00,0.0104
3570.00,0.0104
3569.00,0.0105
3568.00,0.0106
3567.00,0.0107
3566.00,0.0108
3565.00,0.0108
3564.00,0.0109
3563.00,0.0109
3562.00,0.0110
3561.00,0.0110
3560.00,0.0111
3559.00,0.0111
3558.00,0.0111
3557.00,0.0112
3556.00,0.0112
3555.00,0.0113
3554.00,0.0113
3553.00,0.0114
3552.00,0.0115
3551.00,0.0115
3550.00,0.0116
3549.00,0.0116
3548.00,0.0116
3547.00,0.0117
3546.00,0.0118
3545.00,0.0118
3544.00,0.0119
3543.00,0.0119
3542.00,0.0119
3541.00,0.0120
3540.00,0.0120
3539.00,0.0120
3538.00,0.0120
3537.00,0.0121
3536.00,0.0121
3535.00,0.0122
3534.00,0.0122
3533.00,0.0123
3532.00,0.0123
3531.00,0.0123
3530.00,0.0124
3529.00,0.0124
3528.00,0.0124
3527.00,0.0124
3526.00,0.0125
3525.00,0.0125
3524.00,0.0126
3523.00,0.0127
3522.00,0.0127
3521.00,0.0127
3520.00,0.0127
3519.00,0.0127
3518.00,0.0128
3517.00,0.0128
3516.00,0.0129
3515.00,0.0129
3514.00,0.0129
3513.00,0.0130
3512.00,0.0130
3511.00,0.0130
3510.00,0.0130
3509.00,0.0131
3508.00,0.0131
3507.00,0.0132
3506.00,0.0132
3505.00,0.0133
3504.00,0.0133
3503.00,0.0134
3502.00,0.0134
3501.00,0.0134
3500.00,0.0135
3499.00,0.0135
3498.00,0.0135
3497.00,0.0136
3496.00,0.0136
3495.00,0.0136
3494.00,0.0136
3493.00,0.0137
3492.00,0.0137
3491.00,0.0137
3490.00,0.0137
3489.00,0.0138
3488.00,0.0138
3487.00,0.0139
3486.00,0.0139
3485.00,0.0140
3484.00,0.0140
3483.00,0.0140
3482.00,0.0141
3481.00,0.0141
3480.00,0.0142
3479.00,0.0142
3478.00,0.0142
3477.00,0.0143
3476.00,0.0143
3475.00,0.0144
3474.00,0.0144
3473.00,0.0144
3472.00,0.0144
3471.00,0.0144
3470.00,0.0145
3469.00,0.0145
3468.00,0.0145
3467.00,0.0146
3466.00,0.0146
3465.00,0.0146
3464.00,0.0146
3463.00,0.0146
3462.00,0.0147
3461.00,0.0147
3460.00,0.0147
3459.00,0.0148
3458.00,0.0148
3457.00,0.0148
3456.00,0.0148
3455.00,0.0148
3454.00,0.0148
3453.00,0.0148
3452.00,0.0148
3451.00,0.0149
3450.00,0.0149
3449.00,0.0149
3448.00,0.0149
3447.00,0.0150
3446.00,0.0150
3445.00,0.0150
3444.00,0.0151
3443.00,0.0151
3442.00,0.0151
3441.00,0.0151
3440.00,0.0151
3439.00,0.0151
3438.00,0.0151
3437.00,0.0151
3436.00,0.0151
3435.00,0.0151
3434.00,0.0152
3433.00,0.0152
3432.00,0.0152
3431.00,0.0152
3430.00,0.0152
3429.00,0.0152
3428.00,0.0152
3427.00,0.0152
3426.00,0.0152
3425.00,0.0152
3424.00,0.0153
3423.00,0.0153
3422.00,0.0153
3421.00,0.0154
3420.00,0.0154
3419.00,0.0154
3418.00,0.0154
3417.00,0.0154
3416.00,0.0154
3415.00,0.0154
3414.00,0.0154
3413.00,0.0154
3412.00,0.0154
3411.00,0.0154
3410.00,0.0155
3409.00,0.0155
3408.00,0.0155
3407.00,0.0156
3406.00,0.0156
3405.00,0.0155
3404.00,0.0155
3403.00,0.0155
3402.00,0.0155
3401.00,0.0155
3400.00,0.0156
3399.00,0.0156
3398.00,0.0156
3397.00,0.0157
3396.00,0.0157
3395.00,0.0157
3394.00,0.0157
3393.00,0.0157
3392.00,0.0157
3391.00,0.0157
3390.00,0.0158
3389.00,0.0158
3388.00,0.0159
3387.00,0.0159
3386.00,0.0160
3385.00,0.0160
3384.00,0.0160
3383.00,0.0161
3382.00,0.0161
3381.00,0.0161
3380.00,0.0161
3379.00,0.0161
3378.00,0.0162
3377.00,0.0162
3376.00,0.0163
3375.00,0.0163
3374.00,0.0163
3373.00,0.0163
3372.00,0.0162
3371.00,0.0161
3370.00,0.0161
3369.00,0.0161
3368.00,0.0162
3367.00,0.0163
3366.00,0.0164
3365.00,0.0166
3364.00,0.0166
3363.00,0.0167
3362.00,0.0167
3361.00,0.0167
3360.00,0.0168
3359.00,0.0168
3358.00,0.0169
3357.00,0.0169
3356.00,0.0170
3355.00,0.0170
3354.00,0.0170
3353.00,0.0169
3352.00,0.0168
3351.00,0.0168
3350.00,0.0169
3349.00,0.0170
3348.00,0.0171
3347.00,0.0172
3346.00,0.0172
3345.00,0.0172
3344.00,0.0171
3343.00,0.0171
3342.00,0.0171
3341.00,0.0171
3340.00,0.0171
3339.00,0.0171
3338.00,0.0171
3337.00,0.0172
3336.00,0.0173
3335.00,0.0174
3334.00,0.0174
3333.00,0.0174
3332.00,0.0175
3331.00,0.0175
3330.00,0.0174
3329.00,0.0174
3328.00,0.0173
3327.00,0.0173
3326.00,0.0173
3325.00,0.0174
3324.00,0.0174
3323.00,0.0175
3322.00,0.0176
3321.00,0.0176
3320.00,0.0176
3319.00,0.0176
3318.00,0.0176
3317.00,0.0176
3316.00,0.0177
3315.00,0.0177
3314.00,0.0177
3313.00,0.0177
3312.00,0.0176
3311.00,0.0175
3310.00,0.0174
3309.00,0.0174
3308.00,0.0173
3307.00,0.0173
3306.00,0.0173
3305.00,0.0174
3304.00,0.0175
3303.00,0.0176
3302.00,0.0177
3301.00,0.0178
3300.00,0.0178
3299.00,0.0178
3298.00,0.0178
3297.00,0.0177
3296.00,0.0177
3295.00,0.0177
3294.00,0.0177
3293.00,0.0177
3292.00,0.0178
3291.00,0.0179
3290.00,0.0180
3289.00,0.0180
3288.00,0.0181
3287.00,0.0181
3286.00,0.0180
3285.00,0.0180
3284.00,0.0181
3283.00,0.0181
3282.00,0.0181
3281.00,0.0181
3280.00,0.0181
3279.00,0.0181
3278.00,0.0181
3277.00,0.0181
3276.00,0.0181
3275.00,0.0180
3274.00,0.0180
3273.00,0.0179
3272.00,0.0179
3271.00,0.0179
3270.00,0.0180
3269.00,0.0180
3268.00,0.0181
3267.00,0.0181
3266.00,0.0181
3265.00,0.0181
3264.00,0.0181
3263.00,0.0181
3262.00,0.0181
3261.00,0.0181
3260.00,0.0181
3259.00,0.0181
3258.00,0.0180
3257.00,0.0180
3256.00,0.0180
3255.00,0.0181
3254.00,0.0181
3253.00,0.0182
3252.00,0.0182
3251.00,0.0182
3250.00,0.0182
3249.00,0.0181
3248.00,0.0181
3247.00,0.0181
3246.00,0.0181
3245.00,0.0182
3244.00,0.0182
3243.00,0.0182
3242.00,0.0182
3241.00,0.0182
3240.00,0.0182
3239.00,0.0182
3238.00,0.0182
3237.00,0.0181
3236.00,0.0181
3235.00,0.0181
3234.00,0.0181
3233.00,0.0181
3232.00,0.0181
3231.00,0.0181
3230.00,0.0182
3229.00,0.0182
3228.00,0.0182
3227.00,0.0182
3226.00,0.0182
3225.00,0.0182
3224.00,0.0181
3223.00,0.0181
3222.00,0.0181
3221.00,0.0181
3220.00,0.0181
3219.00,0.0181
3218.00,0.0181
3217.00,0.0181
3216.00,0.0181
3215.00,0.0181
3214.00,0.0181
3213.00,0.0181
3212.00,0.0180
3211.00,0.0180
3210.00,0.0180
3209.00,0.0180
3208.00,0.0180
3207.00,0.0180
3206.00,0.0179
3205.00,0.0179
3204.00,0.0179
3203.00,0.0179
3202.00,0.0179
3201.00,0.0179
3200.00,0.0179
3199.00,0.0179
3198.00,0.0178
3197.00,0.0178
3196.00,0.0178
3195.00,0.0178
3194.00,0.0178
3193.00,0.0178
3192.00,0.0178
3191.00,0.0177
3190.00,0.0177
3189.00,0.0177
3188.00,0.0177
3187.00,0.0177
3186.00,0.0177
3185.00,0.0177
3184.00,0.0177
3183.00,0.0177
3182.00,0.0176
3181.00,0.0176
3180.00,0.0176
3179.00,0.0176
3178.00,0.0176
3177.00,0.0176
3176.00,0.0176
3175.00,0.0176
3174.00,0.0176
3173.00,0.0176
3172.00,0.0176
3171.00,0.0176
3170.00,0.0175
3169.00,0.0175
3168.00,0.0175
3167.00,0.0175
3166.00,0.0174
3165.00,0.0174
3164.00,0.0174
3163.00,0.0174
3162.00,0.0173
3161.00,0.0173
3160.00,0.0173
3159.00,0.0173
3158.00,0.0172
3157.00,0.0172
3156.00,0.0172
3155.00,0.0172
3154.00,0.0172
3153.00,0.0172
3152.00,0.0172
3151.00,0.0172
3150.00,0.0171
3149.00,0.0171
3148.00,0.0171
3147.00,0.0171
3146.00,0.0170
3145.00,0.0170
3144.00,0.0170
3143.00,0.0170
3142.00,0.0170
3141.00,0.0170
3140.00,0.0170
3139.00,0.0169
3138.00,0.0169
3137.00,0.0169
3136.00,0.0168
3135.00,0.0168
3134.00,0.0168
3133.00,0.0168
3132.00,0.0168
3131.00,0.0169
3130.00,0.0169
3129.00,0.0169
3128.00,0.0169
3127.00,0.0169
3126.00,0.0168
3125.00,0.0168
3124.00,0.0168
3123.00,0.0168
3122.00,0.0168
3121.00,0.0168
3120.00,0.0167
3119.00,0.0167
3118.00,0.0167
3117.00,0.0167
3116.00,0.0167
3115.00,0.0166
3114.00,0.0166
3113.00,0.0165
3112.00,0.0165
3111.00,0.0165
3110.00,0.0165
3109.00,0.0164
3108.00,0.0164
3107.00,0.0164
3106.00,0.0163
3105.00,0.0163
3104.00,0.0162
3103.00,0.0162
3102.00,0.0162
3101.00,0.0162
3100.00,0.0162
3099.00,0.0162
3098.00,0.0162
3097.00,0.0162
3096.00,0.0161
3095.00,0.0161
3094.00,0.0161
3093.00,0.0161
3092.00,0.0161
3091.00,0.0161
3090.00,0.0161
3089.00,0.0161
3088.00,0.0161
3087.00,0.0161
3086.00,0.0161
3085.00,0.0162
3084.00,0.0162
3083.00,0.0162
3082.00,0.0162
3081.00,0.0162
3080.00,0.0162
3079.00,0.0162
3078.00,0.0162
3077.00,0.0162
3076.00,0.0162
3075.00,0.0161
3074.00,0.0161
3073.00,0.0161
3072.00,0.0160
3071.00,0.0160
3070.00,0.0160
3069.00,0.0160
3068.00,0.0159
3067.00,0.0159
3066.00,0.0159
