Created as New Dataset,Sample 283 By YargerLab Date Saturday, October 18 2025
cm-1,A
4000.00,0.0030
3999.00,0.0030
3998.00,0.0030
3997.00,0.0031
3996.00,0.0030
3995.00,0.0030
3994.00,0.0030
3993.00,0.0030
3992.00,0.0030
3991.00,0.0030
3990.00,0.0030
3989.00,0.0030
3988.00,0.0029
3987.00,0.0029
3986.00,0.0029
3985.00,0.0030
3984.00,0.0030
3983.00,0.0030
3982.00,0.0030
3981.00,0.0030
3980.00,0.0030
3979.00,0.0030
3978.00,0.0030
3977.00,0.0030
3976.00,0.0030
3975.00,0.0029
3974.00,0.0029
3973.00,0.0029
3972.00,0.0029
3971.00,0.0029
3970.00,0.0029
3969.00,0.0029
3968.00,0.0029
3967.00,0.0029
3966.00,0.0030
3965.00,0.0030
3964.00,0.0030
3963.00,0.0030
3962.00,0.0030
3961.00,0.0030
3960.00,0.0030
3959.00,0.0030
3958.00,0.0030
3957.00,0.0030
3956.00,0.0030
3955.00,0.0030
3954.00,0.0030
3953.00,0.0030
3952.00,0.0030
3951.00,0.0030
3950.00,0.0030
3949.00,0.0030
3948.00,0.0030
3947.00,0.0030
3946.00,0.0030
3945.00,0.0030
3944.00,0.0030
3943.00,0.0030
3942.00,0.0030
3941.00,0.0030
3940.00,0.0029
3939.00,0.0029
3938.00,0.0029
3937.00,0.0029
3936.00,0.0030
3935.00,0.0030
3934.00,0.0030
3933.00,0.0030
3932.00,0.0030
3931.00,0.0030
3930.00,0.0030
3929.00,0.0030
3928.00,0.0030
3927.00,0.0030
3926.00,0.0030
3925.00,0.0030
3924.00,0.0030
3923.00,0.0030
3922.00,0.0030
3921.00,0.0030
3920.00,0.0030
3919.00,0.0029
3918.00,0.0029
3917.00,0.0029
3916.00,0.0029
3915.00,0.0029
3914.00,0.0029
3913.00,0.0029
3912.00,0.0030
3911.00,0.0030
3910.00,0.0030
3909.00,0.0030
3908.00,0.0030
3907.00,0.0030
3906.00,0.0030
3905.00,0.0030
3904.00,0.0030
3903.00,0.0030
3902.00,0.0030
3901.00,0.0030
3900.00,0.0029
3899.00,0.0029
3898.00,0.0029
3897.00,0.0029
3896.00,0.0030
3895.00,0.0030
3894.00,0.0030
3893.00,0.0030
3892.00,0.0030
3891.00,0.0030
3890.00,0.0030
3889.00,0.0030
3888.00,0.0030
3887.00,0.0030
3886.00,0.0030
3885.00,0.0030
3884.00,0.0030
3883.00,0.0030
3882.00,0.0030
3881.00,0.0029
3880.00,0.0029
3879.00,0.0030
3878.00,0.0030
3877.00,0.0030
3876.00,0.0030
3875.00,0.0030
3874.00,0.0030
3873.00,0.0030
3872.00,0.0030
3871.00,0.0030
3870.00,0.0030
3869.00,0.0031
3868.00,0.0031
3867.00,0.0031
3866.00,0.0030
3865.00,0.0030
3864.00,0.0030
3863.00,0.0030
3862.00,0.0030
3861.00,0.0030
3860.00,0.0030
3859.00,0.0030
3858.00,0.0030
3857.00,0.0030
3856.00,0.0031
3855.00,0.0031
3854.00,0.0030
3853.00,0.0030
3852.00,0.0030
3851.00,0.0031
3850.00,0.0030
3849.00,0.0030
3848.00,0.0030
3847.00,0.0030
3846.00,0.0030
3845.00,0.0030
3844.00,0.0030
3843.00,0.0030
3842.00,0.0030
3841.00,0.0030
3840.00,0.0030
3839.00,0.0030
3838.00,0.0030
3837.00,0.0030
3836.00,0.0030
3835.00,0.0030
3834.00,0.0030
3833.00,0.0030
3832.00,0.0030
3831.00,0.0030
3830.00,0.0030
3829.00,0.0030
3828.00,0.0030
3827.00,0.0030
3826.00,0.0031
3825.00,0.0031
3824.00,0.0031
3823.00,0.0031
3822.00,0.0030
3821.00,0.0030
3820.00,0.0031
3819.00,0.0031
3818.00,0.0030
3817.00,0.0030
3816.00,0.0030
3815.00,0.0030
3814.00,0.0031
3813.00,0.0031
3812.00,0.0030
3811.00,0.0030
3810.00,0.0030
3809.00,0.0030
3808.00,0.0030
3807.00,0.0030
3806.00,0.0030
3805.00,0.0030
3804.00,0.0031
3803.00,0.0030
3802.00,0.0030
3801.00,0.0030
3800.00,0.0031
3799.00,0.0031
3798.00,0.0030
3797.00,0.0030
3796.00,0.0030
3795.00,0.0030
3794.00,0.0030
3793.00,0.0030
3792.00,0.0030
3791.00,0.0030
3790.00,0.0030
3789.00,0.0030
3788.00,0.0030
3787.00,0.0030
3786.00,0.0030
3785.00,0.0030
3784.00,0.0030
3783.00,0.0030
3782.00,0.0030
3781.00,0.0030
3780.00,0.0030
3779.00,0.0030
3778.00,0.0030
3777.00,0.0030
3776.00,0.0030
3775.00,0.0030
3774.00,0.0030
3773.00,0.0031
3772.00,0.0031
3771.00,0.0030
3770.00,0.0030
3769.00,0.0030
3768.00,0.0030
3767.00,0.0030
3766.00,0.0030
3765.00,0.0030
3764.00,0.0030
3763.00,0.0030
3762.00,0.0031
3761.00,0.0031
3760.00,0.0031
3759.00,0.0031
3758.00,0.0031
3757.00,0.0031
3756.00,0.0031
3755.00,0.0031
3754.00,0.0031
3753.00,0.0031
3752.00,0.0030
3751.00,0.0030
3750.00,0.0030
3749.00,0.0031
3748.00,0.0031
3747.00,0.0031
3746.00,0.0031
3745.00,0.0031
3744.00,0.0031
3743.00,0.0031
3742.00,0.0031
3741.00,0.0030
3740.00,0.0030
3739.00,0.0030
3738.00,0.0030
3737.00,0.0030
3736.00,0.0030
3735.00,0.0030
3734.00,0.0030
3733.00,0.0029
3732.00,0.0029
3731.00,0.0029
3730.00,0.0029
3729.00,0.0029
3728.00,0.0029
3727.00,0.0029
3726.00,0.0029
3725.00,0.0029
3724.00,0.0030
3723.00,0.0030
3722.00,0.0030
3721.00,0.0030
3720.00,0.0030
3719.00,0.0030
3718.00,0.0030
3717.00,0.0030
3716.00,0.0030
3715.00,0.0030
3714.00,0.0030
3713.00,0.0030
3712.00,0.0030
3711.00,0.0030
3710.00,0.0030
3709.00,0.0030
3708.00,0.0030
3707.00,0.0030
3706.00,0.0030
3705.00,0.0029
3704.00,0.0029
3703.00,0.0029
3702.00,0.0028
3701.00,0.0029
3700.00,0.0029
3699.00,0.0029
3698.00,0.0029
3697.00,0.0029
3696.00,0.0029
3695.00,0.0029
3694.00,0.0029
3693.00,0.0029
