Created as New Dataset,Sample 715 By YargerLab Date Thursday, March 19 2026
cm-1,A
4000.00,0.0127
3999.00,0.0127
3998.00,0.0127
3997.00,0.0127
3996.00,0.0127
3995.00,0.0127
3994.00,0.0127
3993.00,0.0127
3992.00,0.0127
3991.00,0.0127
3990.00,0.0127
3989.00,0.0127
3988.00,0.0127
3987.00,0.0127
3986.00,0.0127
3985.00,0.0127
3984.00,0.0127
3983.00,0.0127
3982.00,0.0127
3981.00,0.0127
3980.00,0.0127
3979.00,0.0127
3978.00,0.0127
3977.00,0.0127
3976.00,0.0127
3975.00,0.0127
3974.00,0.0127
3973.00,0.0127
3972.00,0.0127
3971.00,0.0127
3970.00,0.0127
3969.00,0.0127
3968.00,0.0127
3967.00,0.0127
3966.00,0.0127
3965.00,0.0127
3964.00,0.0127
3963.00,0.0128
3962.00,0.0128
3961.00,0.0128
3960.00,0.0128
3959.00,0.0128
3958.00,0.0128
3957.00,0.0128
3956.00,0.0128
3955.00,0.0128
3954.00,0.0128
3953.00,0.0128
3952.00,0.0128
3951.00,0.0128
3950.00,0.0128
3949.00,0.0128
3948.00,0.0128
3947.00,0.0128
3946.00,0.0128
3945.00,0.0128
3944.00,0.0128
3943.00,0.0128
3942.00,0.0128
3941.00,0.0128
3940.00,0.0128
3939.00,0.0128
3938.00,0.0128
3937.00,0.0128
3936.00,0.0128
3935.00,0.0128
3934.00,0.0128
3933.00,0.0128
3932.00,0.0128
3931.00,0.0128
3930.00,0.0129
3929.00,0.0129
3928.00,0.0129
3927.00,0.0129
3926.00,0.0129
3925.00,0.0129
3924.00,0.0129
3923.00,0.0129
3922.00,0.0129
3921.00,0.0129
3920.00,0.0129
3919.00,0.0129
3918.00,0.0129
3917.00,0.0129
3916.00,0.0129
3915.00,0.0129
3914.00,0.0128
3913.00,0.0128
3912.00,0.0128
3911.00,0.0127
3910.00,0.0127
3909.00,0.0127
3908.00,0.0127
3907.00,0.0127
3906.00,0.0127
3905.00,0.0127
3904.00,0.0127
3903.00,0.0127
3902.00,0.0128
3901.00,0.0128
3900.00,0.0128
3899.00,0.0128
3898.00,0.0128
3897.00,0.0127
3896.00,0.0127
3895.00,0.0127
3894.00,0.0126
3893.00,0.0126
3892.00,0.0126
3891.00,0.0126
3890.00,0.0126
3889.00,0.0126
3888.00,0.0127
3887.00,0.0127
3886.00,0.0127
3885.00,0.0127
3884.00,0.0127
3883.00,0.0127
3882.00,0.0127
3881.00,0.0127
3880.00,0.0126
3879.00,0.0126
3878.00,0.0126
3877.00,0.0126
3876.00,0.0126
3875.00,0.0126
3874.00,0.0126
3873.00,0.0125
3872.00,0.0125
3871.00,0.0126
3870.00,0.0126
3869.00,0.0126
3868.00,0.0126
3867.00,0.0126
3866.00,0.0126
3865.00,0.0126
3864.00,0.0126
3863.00,0.0126
3862.00,0.0126
3861.00,0.0126
3860.00,0.0126
3859.00,0.0126
3858.00,0.0125
3857.00,0.0124
3856.00,0.0123
3855.00,0.0124
3854.00,0.0125
3853.00,0.0125
3852.00,0.0126
3851.00,0.0126
3850.00,0.0126
3849.00,0.0126
3848.00,0.0126
3847.00,0.0125
3846.00,0.0125
3845.00,0.0125
3844.00,0.0124
3843.00,0.0124
3842.00,0.0124
3841.00,0.0124
3840.00,0.0125
3839.00,0.0125
3838.00,0.0125
3837.00,0.0125
3836.00,0.0125
3835.00,0.0125
3834.00,0.0125
3833.00,0.0125
3832.00,0.0124
3831.00,0.0124
3830.00,0.0124
3829.00,0.0124
3828.00,0.0124
3827.00,0.0124
3826.00,0.0123
3825.00,0.0123
3824.00,0.0123
3823.00,0.0124
3822.00,0.0124
3821.00,0.0124
3820.00,0.0124
3819.00,0.0124
3818.00,0.0124
3817.00,0.0125
3816.00,0.0125
3815.00,0.0124
3814.00,0.0124
3813.00,0.0123
3812.00,0.0123
3811.00,0.0122
3810.00,0.0122
3809.00,0.0122
3808.00,0.0122
3807.00,0.0122
3806.00,0.0122
3805.00,0.0122
3804.00,0.0123
3803.00,0.0123
3802.00,0.0123
3801.00,0.0123
3800.00,0.0123
3799.00,0.0123
3798.00,0.0123
3797.00,0.0122
3796.00,0.0122
3795.00,0.0121
3794.00,0.0121
3793.00,0.0121
3792.00,0.0121
3791.00,0.0121
3790.00,0.0121
3789.00,0.0121
3788.00,0.0121
3787.00,0.0121
3786.00,0.0121
3785.00,0.0121
3784.00,0.0121
3783.00,0.0121
3782.00,0.0121
3781.00,0.0121
3780.00,0.0121
3779.00,0.0121
3778.00,0.0121
3777.00,0.0120
3776.00,0.0120
3775.00,0.0120
3774.00,0.0120
3773.00,0.0120
3772.00,0.0120
3771.00,0.0120
3770.00,0.0120
3769.00,0.0120
3768.00,0.0120
3767.00,0.0120
3766.00,0.0121
3765.00,0.0121
3764.00,0.0120
3763.00,0.0120
3762.00,0.0120
3761.00,0.0120
3760.00,0.0120
3759.00,0.0120
3758.00,0.0120
3757.00,0.0120
3756.00,0.0120
3755.00,0.0120
3754.00,0.0120
3753.00,0.0120
3752.00,0.0121
3751.00,0.0121
3750.00,0.0121
3749.00,0.0122
3748.00,0.0122
3747.00,0.0122
3746.00,0.0122
3745.00,0.0122
3744.00,0.0122
3743.00,0.0121
3742.00,0.0121
3741.00,0.0121
3740.00,0.0121
3739.00,0.0121
3738.00,0.0121
3737.00,0.0122
3736.00,0.0122
3735.00,0.0121
3734.00,0.0121
3733.00,0.0121
3732.00,0.0120
3731.00,0.0120
3730.00,0.0120
3729.00,0.0119
3728.00,0.0119
3727.00,0.0119
3726.00,0.0119
3725.00,0.0119
3724.00,0.0119
3723.00,0.0119
3722.00,0.0118
3721.00,0.0118
3720.00,0.0118
3719.00,0.0118
3718.00,0.0118
3717.00,0.0117
3716.00,0.0117
3715.00,0.0117
3714.00,0.0118
3713.00,0.0118
3712.00,0.0119
3711.00,0.0119
3710.00,0.0119
3709.00,0.0119
3708.00,0.0118
3707.00,0.0118
3706.00,0.0118
3705.00,0.0118
3704.00,0.0117
3703.00,0.0117
3702.00,0.0117
3701.00,0.0117
3700.00,0.0117
3699.00,0.0117
3698.00,0.0116
3697.00,0.0116
3696.00,0.0116
3695.00,0.0116
3694.00,0.0116
3693.00,0.0116
3692.00,0.0116
3691.00,0.0116
3690.00,0.0117
3689.00,0.0117
3688.00,0.0117
3687.00,0.0117
3686.00,0.0117
3685.00,0.0117
3684.00,0.0117
3683.00,0.0117
3682.00,0.0116
3681.00,0.0116
3680.00,0.0116
3679.00,0.0116
3678.00,0.0116
3677.00,0.0116
3676.00,0.0117
3675.00,0.0117
3674.00,0.0117
3673.00,0.0117
3672.00,0.0117
3671.00,0.0118
3670.00,0.0117
3669.00,0.0116
3668.00,0.0116
3667.00,0.0116
3666.00,0.0116
3665.00,0.0116
3664.00,0.0115
3663.00,0.0115
3662.00,0.0115
3661.00,0.0115
3660.00,0.0114
3659.00,0.0114
3658.00,0.0114
3657.00,0.0114
3656.00,0.0114
3655.00,0.0114
3654.00,0.0114
3653.00,0.0115
3652.00,0.0115
3651.00,0.0116
3650.00,0.0116
3649.00,0.0117
3648.00,0.0117
3647.00,0.0116
3646.00,0.0116
3645.00,0.0115
3644.00,0.0115
3643.00,0.0115
3642.00,0.0114
3641.00,0.0114
3640.00,0.0113
3639.00,0.0113
3638.00,0.0113
3637.00,0.0113
3636.00,0.0113
3635.00,0.0113
3634.00,0.0113
3633.00,0.0113
3632.00,0.0113
3631.00,0.0113
3630.00,0.0113
3629.00,0.0113
3628.00,0.0113
3627.00,0.0114
3626.00,0.0114
3625.00,0.0114
3624.00,0.0114
3623.00,0.0114
3622.00,0.0113
3621.00,0.0113
3620.00,0.0113
3619.00,0.0113
3618.00,0.0113
3617.00,0.0113
3616.00,0.0114
3615.00,0.0114
3614.00,0.0114
3613.00,0.0114
3612.00,0.0114
3611.00,0.0114
3610.00,0.0114
3609.00,0.0114
3608.00,0.0114
3607.00,0.0114
3606.00,0.0113
3605.00,0.0113
3604.00,0.0113
3603.00,0.0112
3602.00,0.0112
3601.00,0.0112
3600.00,0.0112
3599.00,0.0112
3598.00,0.0112
3597.00,0.0112
3596.00,0.0113
3595.00,0.0113
3594.00,0.0112
3593.00,0.0112
3592.00,0.0112
3591.00,0.0113
3590.00,0.0113
3589.00,0.0113
3588.00,0.0113
3587.00,0.0113
3586.00,0.0113
3585.00,0.0113
3584.00,0.0113
3583.00,0.0113
3582.00,0.0113
3581.00,0.0113
3580.00,0.0113
3579.00,0.0113
3578.00,0.0113
3577.00,0.0113
3576.00,0.0113
3575.00,0.0113
3574.00,0.0113
3573.00,0.0113
3572.00,0.0114
3571.00,0.0114
3570.00,0.0115
3569.00,0.0116
3568.00,0.0117
3567.00,0.0117
3566.00,0.0117
3565.00,0.0118
3564.00,0.0118
3563.00,0.0118
3562.00,0.0119
3561.00,0.0119
3560.00,0.0119
3559.00,0.0120
3558.00,0.0120
3557.00,0.0121
3556.00,0.0122
3555.00,0.0123
3554.00,0.0124
3553.00,0.0125
3552.00,0.0126
3551.00,0.0128
3550.00,0.0129
3549.00,0.0131
3548.00,0.0133
3547.00,0.0135
3546.00,0.0137
3545.00,0.0139
3544.00,0.0142
3543.00,0.0145
3542.00,0.0149
3541.00,0.0153
3540.00,0.0157
3539.00,0.0162
3538.00,0.0167
3537.00,0.0173
3536.00,0.0180
3535.00,0.0189
3534.00,0.0199
3533.00,0.0211
3532.00,0.0225
3531.00,0.0242
3530.00,0.0261
3529.00,0.0284
3528.00,0.0309
3527.00,0.0336
3526.00,0.0363
3525.00,0.0389
3524.00,0.0413
3523.00,0.0433
3522.00,0.0448
3521.00,0.0457
3520.00,0.0461
3519.00,0.0459
3518.00,0.0452
3517.00,0.0440
3516.00,0.0426
3515.00,0.0409
3514.00,0.0391
3513.00,0.0372
3512.00,0.0354
3511.00,0.0336
3510.00,0.0320
3509.00,0.0305
3508.00,0.0292
3507.00,0.0281
3506.00,0.0273
3505.00,0.0265
3504.00,0.0259
3503.00,0.0253
3502.00,0.0249
3501.00,0.0245
3500.00,0.0243
3499.00,0.0241
3498.00,0.0239
3497.00,0.0238
3496.00,0.0237
3495.00,0.0237
3494.00,0.0237
3493.00,0.0237
3492.00,0.0238
3491.00,0.0239
3490.00,0.0240
3489.00,0.0241
3488.00,0.0243
3487.00,0.0244
3486.00,0.0246
3485.00,0.0248
3484.00,0.0250
3483.00,0.0253
3482.00,0.0255
3481.00,0.0258
3480.00,0.0261
3479.00,0.0264
3478.00,0.0267
3477.00,0.0270
3476.00,0.0274
3475.00,0.0278
3474.00,0.0282
3473.00,0.0286
3472.00,0.0290
3471.00,0.0295
3470.00,0.0299
3469.00,0.0304
3468.00,0.0309
3467.00,0.0314
3466.00,0.0319
3465.00,0.0324
3464.00,0.0329
3463.00,0.0334
3462.00,0.0340
3461.00,0.0346
3460.00,0.0351
3459.00,0.0357
3458.00,0.0362
3457.00,0.0368
3456.00,0.0373
3455.00,0.0379
3454.00,0.0384
3453.00,0.0389
3452.00,0.0395
3451.00,0.0400
3450.00,0.0405
3449.00,0.0411
3448.00,0.0416
3447.00,0.0421
3446.00,0.0426
3445.00,0.0430
3444.00,0.0435
3443.00,0.0440
3442.00,0.0445
3441.00,0.0449
3440.00,0.0454
3439.00,0.0459
3438.00,0.0464
3437.00,0.0469
3436.00,0.0473
3435.00,0.0478
3434.00,0.0482
3433.00,0.0486
3432.00,0.0490
3431.00,0.0494
3430.00,0.0498
3429.00,0.0503
3428.00,0.0507
3427.00,0.0511
3426.00,0.0516
3425.00,0.0521
3424.00,0.0527
3423.00,0.0533
3422.00,0.0539
3421.00,0.0546
3420.00,0.0554
3419.00,0.0561
3418.00,0.0569
3417.00,0.0578
3416.00,0.0587
3415.00,0.0596
3414.00,0.0605
3413.00,0.0613
3412.00,0.0620
3411.00,0.0626
3410.00,0.0631
3409.00,0.0634
3408.00,0.0635
3407.00,0.0633
3406.00,0.0630
3405.00,0.0625
3404.00,0.0618
3403.00,0.0609
3402.00,0.0598
3401.00,0.0585
3400.00,0.0571
3399.00,0.0555
3398.00,0.0538
3397.00,0.0521
3396.00,0.0504
3395.00,0.0488
3394.00,0.0472
3393.00,0.0456
3392.00,0.0441
3391.00,0.0427
3390.00,0.0414
3389.00,0.0401
3388.00,0.0389
3387.00,0.0378
3386.00,0.0368
3385.00,0.0358
3384.00,0.0350
3383.00,0.0341
3382.00,0.0334
3381.00,0.0326
3380.00,0.0319
3379.00,0.0313
3378.00,0.0306
3377.00,0.0300
3376.00,0.0295
3375.00,0.0289
3374.00,0.0284
3373.00,0.0279
3372.00,0.0274
3371.00,0.0270
3370.00,0.0265
3369.00,0.0261
3368.00,0.0257
3367.00,0.0254
3366.00,0.0250
3365.00,0.0246
3364.00,0.0242
3363.00,0.0238
3362.00,0.0235
3361.00,0.0231
3360.00,0.0228
3359.00,0.0225
3358.00,0.0222
3357.00,0.0219
3356.00,0.0217
3355.00,0.0214
3354.00,0.0212
3353.00,0.0210
3352.00,0.0207
3351.00,0.0205
3350.00,0.0203
3349.00,0.0201
3348.00,0.0199
3347.00,0.0197
3346.00,0.0195
3345.00,0.0193
3344.00,0.0191
3343.00,0.0189
3342.00,0.0187
3341.00,0.0186
3340.00,0.0184
3339.00,0.0183
3338.00,0.0181
3337.00,0.0180
3336.00,0.0179
3335.00,0.0177
3334.00,0.0176
3333.00,0.0174
3332.00,0.0173
3331.00,0.0172
3330.00,0.0171
3329.00,0.0170
3328.00,0.0169
3327.00,0.0168
3326.00,0.0167
3325.00,0.0166
3324.00,0.0165
3323.00,0.0164
3322.00,0.0163
3321.00,0.0162
3320.00,0.0161
3319.00,0.0161
3318.00,0.0160
3317.00,0.0159
3316.00,0.0158
3315.00,0.0157
3314.00,0.0157
3313.00,0.0156
3312.00,0.0155
3311.00,0.0154
3310.00,0.0154
3309.00,0.0153
3308.00,0.0153
3307.00,0.0152
3306.00,0.0151
3305.00,0.0151
3304.00,0.0150
3303.00,0.0150
3302.00,0.0149
3301.00,0.0148
3300.00,0.0147
3299.00,0.0147
3298.00,0.0146
3297.00,0.0145
3296.00,0.0145
3295.00,0.0144
3294.00,0.0143
3293.00,0.0143
3292.00,0.0142
3291.00,0.0142
3290.00,0.0142
3289.00,0.0141
3288.00,0.0141
3287.00,0.0140
3286.00,0.0139
3285.00,0.0139
3284.00,0.0138
3283.00,0.0137
3282.00,0.0137
3281.00,0.0136
3280.00,0.0136
3279.00,0.0135
3278.00,0.0135
3277.00,0.0135
3276.00,0.0134
3275.00,0.0134
3274.00,0.0133
3273.00,0.0133
3272.00,0.0133
3271.00,0.0132
3270.00,0.0132
3269.00,0.0132
3268.00,0.0132
3267.00,0.0132
3266.00,0.0132
3265.00,0.0131
3264.00,0.0131
3263.00,0.0131
3262.00,0.0131
3261.00,0.0131
3260.00,0.0130
3259.00,0.0130
3258.00,0.0130
3257.00,0.0129
3256.00,0.0129
3255.00,0.0129
3254.00,0.0129
3253.00,0.0129
3252.00,0.0129
3251.00,0.0128
3250.00,0.0128
3249.00,0.0128
3248.00,0.0127
3247.00,0.0127
3246.00,0.0127
3245.00,0.0127
3244.00,0.0127
3243.00,0.0127
3242.00,0.0127
3241.00,0.0126
3240.00,0.0126
3239.00,0.0126
3238.00,0.0125
3237.00,0.0125
3236.00,0.0124
3235.00,0.0124
3234.00,0.0123
3233.00,0.0123
3232.00,0.0123
3231.00,0.0123
3230.00,0.0123
3229.00,0.0122
3228.00,0.0122
3227.00,0.0122
3226.00,0.0122
3225.00,0.0122
3224.00,0.0121
3223.00,0.0121
3222.00,0.0121
3221.00,0.0121
3220.00,0.0121
3219.00,0.0121
3218.00,0.0121
3217.00,0.0121
3216.00,0.0121
3215.00,0.0121
3214.00,0.0121
3213.00,0.0120
3212.00,0.0120
3211.00,0.0120
3210.00,0.0120
3209.00,0.0120
3208.00,0.0120
3207.00,0.0120
3206.00,0.0119
3205.00,0.0119
3204.00,0.0119
3203.00,0.0119
3202.00,0.0119
3201.00,0.0119
3200.00,0.0119
3199.00,0.0118
3198.00,0.0118
3197.00,0.0118
3196.00,0.0118
3195.00,0.0118
3194.00,0.0118
3193.00,0.0117
3192.00,0.0117
3191.00,0.0117
3190.00,0.0117
3189.00,0.0117
3188.00,0.0117
3187.00,0.0117
3186.00,0.0116
3185.00,0.0116
