Created as New Dataset,Sample 708 By YargerLab Date Thursday, March 19 2026
cm-1,A
4000.00,0.0084
3999.00,0.0084
3998.00,0.0084
3997.00,0.0084
3996.00,0.0084
3995.00,0.0084
3994.00,0.0084
3993.00,0.0084
3992.00,0.0084
3991.00,0.0084
3990.00,0.0084
3989.00,0.0084
3988.00,0.0083
3987.00,0.0083
3986.00,0.0083
3985.00,0.0084
3984.00,0.0084
3983.00,0.0084
3982.00,0.0084
3981.00,0.0083
3980.00,0.0083
3979.00,0.0083
3978.00,0.0083
3977.00,0.0083
3976.00,0.0083
3975.00,0.0083
3974.00,0.0083
3973.00,0.0083
3972.00,0.0084
3971.00,0.0084
3970.00,0.0084
3969.00,0.0084
3968.00,0.0084
3967.00,0.0083
3966.00,0.0083
3965.00,0.0084
3964.00,0.0084
3963.00,0.0084
3962.00,0.0084
3961.00,0.0084
3960.00,0.0084
3959.00,0.0084
3958.00,0.0084
3957.00,0.0084
3956.00,0.0084
3955.00,0.0084
3954.00,0.0084
3953.00,0.0084
3952.00,0.0084
3951.00,0.0084
3950.00,0.0084
3949.00,0.0084
3948.00,0.0084
3947.00,0.0084
3946.00,0.0084
3945.00,0.0084
3944.00,0.0084
3943.00,0.0084
3942.00,0.0084
3941.00,0.0084
3940.00,0.0084
3939.00,0.0084
3938.00,0.0084
3937.00,0.0084
3936.00,0.0084
3935.00,0.0084
3934.00,0.0084
3933.00,0.0084
3932.00,0.0084
3931.00,0.0084
3930.00,0.0084
3929.00,0.0085
3928.00,0.0085
3927.00,0.0085
3926.00,0.0085
3925.00,0.0085
3924.00,0.0085
3923.00,0.0085
3922.00,0.0085
3921.00,0.0085
3920.00,0.0085
3919.00,0.0085
3918.00,0.0085
3917.00,0.0085
3916.00,0.0085
3915.00,0.0085
3914.00,0.0085
3913.00,0.0085
3912.00,0.0085
3911.00,0.0084
3910.00,0.0084
3909.00,0.0084
3908.00,0.0083
3907.00,0.0083
3906.00,0.0083
3905.00,0.0083
3904.00,0.0083
3903.00,0.0083
3902.00,0.0083
3901.00,0.0083
3900.00,0.0084
3899.00,0.0084
3898.00,0.0084
3897.00,0.0083
3896.00,0.0083
3895.00,0.0083
3894.00,0.0083
3893.00,0.0083
3892.00,0.0083
3891.00,0.0083
3890.00,0.0082
3889.00,0.0082
3888.00,0.0082
3887.00,0.0083
3886.00,0.0083
3885.00,0.0083
3884.00,0.0082
3883.00,0.0082
3882.00,0.0083
3881.00,0.0083
3880.00,0.0083
3879.00,0.0082
3878.00,0.0082
3877.00,0.0082
3876.00,0.0083
3875.00,0.0083
3874.00,0.0082
3873.00,0.0082
3872.00,0.0082
3871.00,0.0082
3870.00,0.0082
3869.00,0.0082
3868.00,0.0082
3867.00,0.0082
3866.00,0.0082
3865.00,0.0082
3864.00,0.0082
3863.00,0.0082
3862.00,0.0082
3861.00,0.0082
3860.00,0.0082
3859.00,0.0082
3858.00,0.0081
3857.00,0.0080
3856.00,0.0079
3855.00,0.0079
3854.00,0.0080
3853.00,0.0080
3852.00,0.0080
3851.00,0.0080
3850.00,0.0081
3849.00,0.0082
3848.00,0.0082
3847.00,0.0082
3846.00,0.0082
3845.00,0.0082
3844.00,0.0081
3843.00,0.0081
3842.00,0.0081
3841.00,0.0080
3840.00,0.0080
3839.00,0.0080
3838.00,0.0080
3837.00,0.0080
3836.00,0.0080
3835.00,0.0081
3834.00,0.0081
3833.00,0.0081
3832.00,0.0081
3831.00,0.0081
3830.00,0.0081
3829.00,0.0081
3828.00,0.0081
3827.00,0.0081
3826.00,0.0080
3825.00,0.0080
3824.00,0.0079
3823.00,0.0080
3822.00,0.0080
3821.00,0.0080
3820.00,0.0079
3819.00,0.0079
3818.00,0.0080
3817.00,0.0081
3816.00,0.0081
3815.00,0.0081
3814.00,0.0080
3813.00,0.0080
3812.00,0.0080
3811.00,0.0080
3810.00,0.0080
3809.00,0.0080
3808.00,0.0080
3807.00,0.0080
3806.00,0.0079
3805.00,0.0079
3804.00,0.0079
3803.00,0.0079
3802.00,0.0080
3801.00,0.0079
3800.00,0.0079
3799.00,0.0079
3798.00,0.0080
3797.00,0.0080
3796.00,0.0080
3795.00,0.0080
3794.00,0.0080
3793.00,0.0080
3792.00,0.0080
3791.00,0.0080
3790.00,0.0080
3789.00,0.0080
3788.00,0.0080
3787.00,0.0080
3786.00,0.0080
3785.00,0.0080
3784.00,0.0079
3783.00,0.0079
3782.00,0.0079
3781.00,0.0079
3780.00,0.0079
3779.00,0.0079
3778.00,0.0079
3777.00,0.0079
3776.00,0.0079
3775.00,0.0079
3774.00,0.0078
3773.00,0.0078
3772.00,0.0078
3771.00,0.0078
3770.00,0.0078
3769.00,0.0078
3768.00,0.0078
3767.00,0.0079
3766.00,0.0079
3765.00,0.0079
3764.00,0.0079
3763.00,0.0078
3762.00,0.0078
3761.00,0.0078
3760.00,0.0078
3759.00,0.0078
3758.00,0.0078
3757.00,0.0077
3756.00,0.0077
3755.00,0.0077
3754.00,0.0076
3753.00,0.0076
3752.00,0.0076
3751.00,0.0076
3750.00,0.0076
3749.00,0.0076
3748.00,0.0076
3747.00,0.0076
3746.00,0.0077
3745.00,0.0078
3744.00,0.0077
3743.00,0.0076
3742.00,0.0076
3741.00,0.0076
3740.00,0.0076
3739.00,0.0076
3738.00,0.0076
3737.00,0.0076
3736.00,0.0076
3735.00,0.0076
3734.00,0.0076
3733.00,0.0076
3732.00,0.0076
3731.00,0.0076
3730.00,0.0076
3729.00,0.0076
3728.00,0.0076
3727.00,0.0076
3726.00,0.0076
3725.00,0.0076
3724.00,0.0076
3723.00,0.0076
3722.00,0.0076
3721.00,0.0076
3720.00,0.0076
3719.00,0.0076
3718.00,0.0076
3717.00,0.0076
3716.00,0.0075
3715.00,0.0075
3714.00,0.0075
3713.00,0.0075
3712.00,0.0075
3711.00,0.0075
3710.00,0.0075
3709.00,0.0075
3708.00,0.0075
3707.00,0.0075
3706.00,0.0075
3705.00,0.0075
3704.00,0.0075
3703.00,0.0076
3702.00,0.0076
3701.00,0.0075
3700.00,0.0075
3699.00,0.0075
3698.00,0.0075
3697.00,0.0075
3696.00,0.0075
3695.00,0.0075
3694.00,0.0074
3693.00,0.0074
3692.00,0.0074
3691.00,0.0074
3690.00,0.0074
3689.00,0.0075
3688.00,0.0075
3687.00,0.0075
3686.00,0.0075
3685.00,0.0075
3684.00,0.0075
3683.00,0.0075
3682.00,0.0074
3681.00,0.0074
3680.00,0.0073
3679.00,0.0073
3678.00,0.0072
3677.00,0.0073
3676.00,0.0073
3675.00,0.0073
3674.00,0.0073
3673.00,0.0073
3672.00,0.0074
3671.00,0.0075
3670.00,0.0075
3669.00,0.0074
3668.00,0.0074
3667.00,0.0074
3666.00,0.0075
3665.00,0.0075
3664.00,0.0075
3663.00,0.0075
3662.00,0.0074
3661.00,0.0074
3660.00,0.0074
3659.00,0.0073
3658.00,0.0074
3657.00,0.0074
3656.00,0.0074
3655.00,0.0074
3654.00,0.0073
3653.00,0.0073
3652.00,0.0073
3651.00,0.0073
3650.00,0.0073
3649.00,0.0073
3648.00,0.0074
3647.00,0.0074
3646.00,0.0074
3645.00,0.0074
3644.00,0.0074
3643.00,0.0074
3642.00,0.0074
3641.00,0.0074
3640.00,0.0074
3639.00,0.0074
3638.00,0.0073
3637.00,0.0073
3636.00,0.0073
3635.00,0.0073
3634.00,0.0073
3633.00,0.0072
3632.00,0.0072
3631.00,0.0072
3630.00,0.0072
3629.00,0.0073
3628.00,0.0073
3627.00,0.0073
3626.00,0.0073
3625.00,0.0074
3624.00,0.0073
3623.00,0.0073
3622.00,0.0073
3621.00,0.0072
3620.00,0.0072
3619.00,0.0073
3618.00,0.0072
3617.00,0.0073
3616.00,0.0073
3615.00,0.0073
3614.00,0.0073
3613.00,0.0073
3612.00,0.0073
3611.00,0.0073
3610.00,0.0073
3609.00,0.0074
3608.00,0.0074
3607.00,0.0073
3606.00,0.0073
3605.00,0.0073
3604.00,0.0073
3603.00,0.0073
3602.00,0.0073
3601.00,0.0073
3600.00,0.0073
3599.00,0.0073
3598.00,0.0073
3597.00,0.0073
3596.00,0.0073
3595.00,0.0073
3594.00,0.0073
3593.00,0.0073
3592.00,0.0072
3591.00,0.0072
3590.00,0.0073
3589.00,0.0073
3588.00,0.0073
3587.00,0.0073
3586.00,0.0073
3585.00,0.0073
3584.00,0.0073
3583.00,0.0073
3582.00,0.0073
3581.00,0.0074
3580.00,0.0074
3579.00,0.0074
3578.00,0.0074
3577.00,0.0073
3576.00,0.0074
3575.00,0.0074
3574.00,0.0074
3573.00,0.0074
3572.00,0.0074
3571.00,0.0074
3570.00,0.0074
3569.00,0.0075
3568.00,0.0075
3567.00,0.0076
3566.00,0.0076
3565.00,0.0076
3564.00,0.0076
3563.00,0.0076
3562.00,0.0076
3561.00,0.0077
3560.00,0.0077
3559.00,0.0077
3558.00,0.0078
3557.00,0.0078
3556.00,0.0078
3555.00,0.0079
3554.00,0.0079
3553.00,0.0080
3552.00,0.0081
3551.00,0.0081
3550.00,0.0082
3549.00,0.0083
3548.00,0.0084
3547.00,0.0085
3546.00,0.0086
3545.00,0.0087
3544.00,0.0089
3543.00,0.0090
3542.00,0.0092
3541.00,0.0094
3540.00,0.0097
3539.00,0.0099
3538.00,0.0102
3537.00,0.0105
3536.00,0.0109
3535.00,0.0113
3534.00,0.0118
3533.00,0.0124
3532.00,0.0131
3531.00,0.0139
3530.00,0.0149
3529.00,0.0160
3528.00,0.0172
