Created as New Dataset,Sample 695 By YargerLab Date Thursday, March 19 2026
cm-1,A
4000.00,0.0171
3999.00,0.0171
3998.00,0.0171
3997.00,0.0171
3996.00,0.0171
3995.00,0.0171
3994.00,0.0171
3993.00,0.0171
3992.00,0.0171
3991.00,0.0171
3990.00,0.0171
3989.00,0.0171
3988.00,0.0171
3987.00,0.0171
3986.00,0.0171
3985.00,0.0171
3984.00,0.0171
3983.00,0.0171
3982.00,0.0171
3981.00,0.0171
3980.00,0.0171
3979.00,0.0171
3978.00,0.0171
3977.00,0.0171
3976.00,0.0171
3975.00,0.0171
3974.00,0.0171
3973.00,0.0170
3972.00,0.0170
3971.00,0.0170
3970.00,0.0170
3969.00,0.0170
3968.00,0.0170
3967.00,0.0170
3966.00,0.0170
3965.00,0.0171
3964.00,0.0171
3963.00,0.0171
3962.00,0.0170
3961.00,0.0170
3960.00,0.0170
3959.00,0.0170
3958.00,0.0170
3957.00,0.0170
3956.00,0.0170
3955.00,0.0170
3954.00,0.0170
3953.00,0.0170
3952.00,0.0170
3951.00,0.0170
3950.00,0.0170
3949.00,0.0170
3948.00,0.0170
3947.00,0.0170
3946.00,0.0170
3945.00,0.0170
3944.00,0.0170
3943.00,0.0170
3942.00,0.0170
3941.00,0.0170
3940.00,0.0170
3939.00,0.0170
3938.00,0.0170
3937.00,0.0170
3936.00,0.0170
3935.00,0.0170
3934.00,0.0169
3933.00,0.0169
3932.00,0.0170
3931.00,0.0170
3930.00,0.0170
3929.00,0.0170
3928.00,0.0170
3927.00,0.0170
3926.00,0.0170
3925.00,0.0170
3924.00,0.0170
3923.00,0.0170
3922.00,0.0169
3921.00,0.0169
3920.00,0.0169
3919.00,0.0169
3918.00,0.0169
3917.00,0.0169
3916.00,0.0169
3915.00,0.0169
3914.00,0.0169
3913.00,0.0169
3912.00,0.0169
3911.00,0.0169
3910.00,0.0169
3909.00,0.0169
3908.00,0.0169
3907.00,0.0169
3906.00,0.0169
3905.00,0.0169
3904.00,0.0169
3903.00,0.0168
3902.00,0.0168
3901.00,0.0168
3900.00,0.0168
3899.00,0.0168
