Created as New Dataset,Sample 704 By YargerLab Date Thursday, March 19 2026
cm-1,A
4000.00,0.0110
3999.00,0.0110
3998.00,0.0110
3997.00,0.0111
3996.00,0.0111
3995.00,0.0111
3994.00,0.0111
3993.00,0.0111
3992.00,0.0111
3991.00,0.0111
3990.00,0.0111
3989.00,0.0110
3988.00,0.0110
3987.00,0.0110
3986.00,0.0110
3985.00,0.0110
3984.00,0.0110
3983.00,0.0110
3982.00,0.0110
3981.00,0.0110
3980.00,0.0110
3979.00,0.0110
3978.00,0.0110
3977.00,0.0110
3976.00,0.0110
3975.00,0.0110
3974.00,0.0110
3973.00,0.0110
3972.00,0.0110
3971.00,0.0110
3970.00,0.0110
3969.00,0.0110
3968.00,0.0110
3967.00,0.0110
3966.00,0.0110
3965.00,0.0110
3964.00,0.0110
3963.00,0.0110
3962.00,0.0110
3961.00,0.0110
3960.00,0.0110
3959.00,0.0110
3958.00,0.0110
3957.00,0.0110
3956.00,0.0111
3955.00,0.0111
3954.00,0.0111
3953.00,0.0111
3952.00,0.0111
3951.00,0.0111
3950.00,0.0111
3949.00,0.0111
3948.00,0.0111
3947.00,0.0111
3946.00,0.0111
3945.00,0.0111
3944.00,0.0111
3943.00,0.0111
3942.00,0.0111
3941.00,0.0111
3940.00,0.0111
3939.00,0.0111
3938.00,0.0110
3937.00,0.0110
3936.00,0.0110
3935.00,0.0110
3934.00,0.0111
3933.00,0.0111
3932.00,0.0111
3931.00,0.0111
3930.00,0.0110
3929.00,0.0110
3928.00,0.0110
3927.00,0.0110
3926.00,0.0110
3925.00,0.0110
3924.00,0.0110
3923.00,0.0110
3922.00,0.0111
3921.00,0.0111
3920.00,0.0111
3919.00,0.0111
3918.00,0.0111
3917.00,0.0111
3916.00,0.0111
3915.00,0.0111
3914.00,0.0111
3913.00,0.0111
3912.00,0.0110
3911.00,0.0110
3910.00,0.0110
3909.00,0.0110
3908.00,0.0110
3907.00,0.0110
3906.00,0.0110
3905.00,0.0110
3904.00,0.0110
3903.00,0.0111
3902.00,0.0111
3901.00,0.0111
3900.00,0.0111
3899.00,0.0111
3898.00,0.0110
3897.00,0.0110
3896.00,0.0110
3895.00,0.0110
3894.00,0.0110
3893.00,0.0110
3892.00,0.0110
3891.00,0.0110
3890.00,0.0110
3889.00,0.0110
3888.00,0.0110
3887.00,0.0110
3886.00,0.0110
3885.00,0.0110
3884.00,0.0110
3883.00,0.0110
3882.00,0.0110
3881.00,0.0110
3880.00,0.0110
3879.00,0.0110
3878.00,0.0110
3877.00,0.0110
3876.00,0.0110
3875.00,0.0110
3874.00,0.0110
3873.00,0.0110
3872.00,0.0110
3871.00,0.0111
3870.00,0.0111
3869.00,0.0111
3868.00,0.0111
3867.00,0.0110
3866.00,0.0111
3865.00,0.0110
3864.00,0.0110
3863.00,0.0110
3862.00,0.0110
3861.00,0.0110
3860.00,0.0110
3859.00,0.0110
3858.00,0.0109
3857.00,0.0109
3856.00,0.0108
3855.00,0.0108
3854.00,0.0108
3853.00,0.0109
3852.00,0.0109
3851.00,0.0109
3850.00,0.0110
3849.00,0.0110
3848.00,0.0110
3847.00,0.0110
3846.00,0.0110
3845.00,0.0110
3844.00,0.0110
3843.00,0.0109
3842.00,0.0109
3841.00,0.0110
3840.00,0.0110
3839.00,0.0110
3838.00,0.0110
3837.00,0.0109
3836.00,0.0109
3835.00,0.0109
3834.00,0.0109
3833.00,0.0109
3832.00,0.0109
3831.00,0.0109
3830.00,0.0108
3829.00,0.0108
3828.00,0.0108
3827.00,0.0108
3826.00,0.0108
3825.00,0.0108
3824.00,0.0108
3823.00,0.0108
3822.00,0.0108
3821.00,0.0108
3820.00,0.0108
3819.00,0.0107
3818.00,0.0108
3817.00,0.0108
3816.00,0.0108
3815.00,0.0108
3814.00,0.0108
3813.00,0.0108
3812.00,0.0108
3811.00,0.0108
3810.00,0.0108
3809.00,0.0108
3808.00,0.0108
3807.00,0.0107
3806.00,0.0107
3805.00,0.0108
3804.00,0.0108
3803.00,0.0108
3802.00,0.0108
3801.00,0.0108
3800.00,0.0108
3799.00,0.0108
3798.00,0.0108
3797.00,0.0108
3796.00,0.0108
3795.00,0.0108
3794.00,0.0108
3793.00,0.0108
3792.00,0.0107
3791.00,0.0107
3790.00,0.0107
3789.00,0.0107
3788.00,0.0107
3787.00,0.0107
3786.00,0.0107
3785.00,0.0107
3784.00,0.0107
3783.00,0.0107
3782.00,0.0107
3781.00,0.0107
3780.00,0.0107
3779.00,0.0106
3778.00,0.0106
3777.00,0.0106
3776.00,0.0106
3775.00,0.0106
3774.00,0.0106
3773.00,0.0106
3772.00,0.0106
3771.00,0.0106
3770.00,0.0106
3769.00,0.0106
3768.00,0.0106
3767.00,0.0106
3766.00,0.0106
3765.00,0.0107
3764.00,0.0106
3763.00,0.0106
3762.00,0.0106
3761.00,0.0106
3760.00,0.0106
3759.00,0.0106
3758.00,0.0107
3757.00,0.0107
3756.00,0.0107
3755.00,0.0107
3754.00,0.0107
3753.00,0.0107
3752.00,0.0107
3751.00,0.0107
3750.00,0.0107
3749.00,0.0107
3748.00,0.0106
3747.00,0.0106
3746.00,0.0106
3745.00,0.0106
3744.00,0.0105
3743.00,0.0105
3742.00,0.0105
3741.00,0.0105
3740.00,0.0105
3739.00,0.0106
3738.00,0.0106
3737.00,0.0106
3736.00,0.0105
3735.00,0.0105
3734.00,0.0105
3733.00,0.0105
3732.00,0.0106
3731.00,0.0106
3730.00,0.0105
3729.00,0.0105
3728.00,0.0105
3727.00,0.0105
3726.00,0.0105
3725.00,0.0105
3724.00,0.0105
3723.00,0.0104
3722.00,0.0104
3721.00,0.0104
3720.00,0.0104
3719.00,0.0104
3718.00,0.0104
3717.00,0.0104
3716.00,0.0104
3715.00,0.0104
3714.00,0.0104
3713.00,0.0104
3712.00,0.0104
3711.00,0.0104
3710.00,0.0104
3709.00,0.0104
3708.00,0.0103
3707.00,0.0103
3706.00,0.0103
3705.00,0.0103
3704.00,0.0102
3703.00,0.0102
3702.00,0.0102
3701.00,0.0102
3700.00,0.0102
3699.00,0.0102
3698.00,0.0102
3697.00,0.0102
3696.00,0.0102
3695.00,0.0102
3694.00,0.0102
3693.00,0.0102
3692.00,0.0102
3691.00,0.0102
3690.00,0.0102
3689.00,0.0102
3688.00,0.0102
3687.00,0.0102
3686.00,0.0102
3685.00,0.0101
3684.00,0.0102
3683.00,0.0102
3682.00,0.0102
3681.00,0.0102
3680.00,0.0102
3679.00,0.0102
3678.00,0.0102
3677.00,0.0102
3676.00,0.0102
3675.00,0.0102
3674.00,0.0102
3673.00,0.0102
3672.00,0.0102
3671.00,0.0103
3670.00,0.0102
3669.00,0.0102
3668.00,0.0101
3667.00,0.0101
3666.00,0.0101
3665.00,0.0101
3664.00,0.0101
3663.00,0.0101
3662.00,0.0101
3661.00,0.0101
3660.00,0.0101
3659.00,0.0101
3658.00,0.0101
3657.00,0.0101
3656.00,0.0101
3655.00,0.0101
3654.00,0.0101
3653.00,0.0101
3652.00,0.0101
3651.00,0.0102
3650.00,0.0102
3649.00,0.0102
3648.00,0.0102
3647.00,0.0102
3646.00,0.0102
3645.00,0.0102
3644.00,0.0101
3643.00,0.0101
3642.00,0.0101
3641.00,0.0100
3640.00,0.0100
3639.00,0.0100
3638.00,0.0100
3637.00,0.0100
3636.00,0.0100
3635.00,0.0100
3634.00,0.0100
3633.00,0.0100
3632.00,0.0100
3631.00,0.0101
3630.00,0.0101
3629.00,0.0101
3628.00,0.0101
3627.00,0.0101
3626.00,0.0101
3625.00,0.0101
3624.00,0.0101
3623.00,0.0100
3622.00,0.0100
3621.00,0.0100
3620.00,0.0100
3619.00,0.0100
3618.00,0.0101
3617.00,0.0101
3616.00,0.0101
3615.00,0.0101
3614.00,0.0101
3613.00,0.0101
3612.00,0.0101
3611.00,0.0101
3610.00,0.0102
3609.00,0.0101
3608.00,0.0101
3607.00,0.0101
3606.00,0.0100
3605.00,0.0100
3604.00,0.0100
3603.00,0.0100
3602.00,0.0100
3601.00,0.0100
3600.00,0.0100
3599.00,0.0100
3598.00,0.0100
3597.00,0.0100
3596.00,0.0100
3595.00,0.0100
3594.00,0.0100
3593.00,0.0100
3592.00,0.0101
3591.00,0.0101
3590.00,0.0101
3589.00,0.0101
3588.00,0.0100
3587.00,0.0100
3586.00,0.0100
3585.00,0.0100
3584.00,0.0100
3583.00,0.0100
3582.00,0.0100
3581.00,0.0101
3580.00,0.0101
3579.00,0.0101
3578.00,0.0100
3577.00,0.0100
3576.00,0.0100
3575.00,0.0100
3574.00,0.0100
3573.00,0.0100
3572.00,0.0100
3571.00,0.0100
3570.00,0.0100
3569.00,0.0101
3568.00,0.0101
3567.00,0.0101
3566.00,0.0101
3565.00,0.0101
3564.00,0.0101
3563.00,0.0101
3562.00,0.0101
3561.00,0.0100
3560.00,0.0100
3559.00,0.0100
3558.00,0.0100
3557.00,0.0100
3556.00,0.0100
3555.00,0.0101
3554.00,0.0101
3553.00,0.0101
3552.00,0.0101
3551.00,0.0101
3550.00,0.0101
3549.00,0.0101
3548.00,0.0101
3547.00,0.0101
3546.00,0.0101
3545.00,0.0101
3544.00,0.0101
3543.00,0.0101
3542.00,0.0101
3541.00,0.0101
3540.00,0.0101
3539.00,0.0101
3538.00,0.0101
3537.00,0.0101
3536.00,0.0101
3535.00,0.0101
3534.00,0.0101
3533.00,0.0101
3532.00,0.0101
3531.00,0.0101
3530.00,0.0101
3529.00,0.0101
3528.00,0.0101
