Created as New Dataset,Sample 740 By YargerLab Date Friday, March 20 2026
cm-1,A
4000.00,0.0148
3999.00,0.0148
3998.00,0.0149
3997.00,0.0149
3996.00,0.0149
3995.00,0.0149
3994.00,0.0149
3993.00,0.0149
3992.00,0.0149
3991.00,0.0149
3990.00,0.0149
3989.00,0.0148
3988.00,0.0148
3987.00,0.0148
3986.00,0.0148
3985.00,0.0148
3984.00,0.0148
3983.00,0.0148
3982.00,0.0147
3981.00,0.0148
3980.00,0.0148
3979.00,0.0148
3978.00,0.0148
3977.00,0.0149
3976.00,0.0149
3975.00,0.0149
3974.00,0.0149
3973.00,0.0149
3972.00,0.0148
3971.00,0.0148
3970.00,0.0148
3969.00,0.0147
3968.00,0.0147
3967.00,0.0147
3966.00,0.0147
3965.00,0.0147
3964.00,0.0147
3963.00,0.0147
3962.00,0.0147
3961.00,0.0147
3960.00,0.0147
3959.00,0.0148
3958.00,0.0148
3957.00,0.0148
3956.00,0.0148
3955.00,0.0148
3954.00,0.0147
3953.00,0.0147
3952.00,0.0147
3951.00,0.0147
3950.00,0.0147
3949.00,0.0147
3948.00,0.0146
3947.00,0.0146
3946.00,0.0146
3945.00,0.0146
3944.00,0.0146
3943.00,0.0146
3942.00,0.0146
3941.00,0.0146
3940.00,0.0146
3939.00,0.0146
3938.00,0.0146
3937.00,0.0146
3936.00,0.0146
3935.00,0.0146
3934.00,0.0146
3933.00,0.0146
3932.00,0.0146
3931.00,0.0146
3930.00,0.0146
3929.00,0.0146
3928.00,0.0146
3927.00,0.0146
3926.00,0.0146
3925.00,0.0146
3924.00,0.0146
3923.00,0.0146
3922.00,0.0146
3921.00,0.0146
3920.00,0.0146
3919.00,0.0146
3918.00,0.0146
3917.00,0.0146
3916.00,0.0146
3915.00,0.0146
3914.00,0.0146
3913.00,0.0146
3912.00,0.0146
3911.00,0.0146
3910.00,0.0146
3909.00,0.0146
3908.00,0.0147
3907.00,0.0147
3906.00,0.0148
3905.00,0.0148
3904.00,0.0148
3903.00,0.0148
3902.00,0.0148
3901.00,0.0148
3900.00,0.0148
3899.00,0.0147
3898.00,0.0147
3897.00,0.0146
3896.00,0.0146
3895.00,0.0146
3894.00,0.0146
3893.00,0.0146
3892.00,0.0146
3891.00,0.0146
3890.00,0.0146
3889.00,0.0146
3888.00,0.0146
3887.00,0.0145
3886.00,0.0145
3885.00,0.0145
3884.00,0.0145
3883.00,0.0145
3882.00,0.0146
3881.00,0.0146
3880.00,0.0145
3879.00,0.0145
3878.00,0.0145
3877.00,0.0145
3876.00,0.0145
3875.00,0.0145
3874.00,0.0145
3873.00,0.0144
3872.00,0.0144
3871.00,0.0145
3870.00,0.0145
3869.00,0.0145
3868.00,0.0145
3867.00,0.0145
3866.00,0.0146
3865.00,0.0146
3864.00,0.0145
3863.00,0.0145
3862.00,0.0144
3861.00,0.0144
3860.00,0.0144
3859.00,0.0144
3858.00,0.0144
3857.00,0.0143
3856.00,0.0142
3855.00,0.0142
3854.00,0.0142
3853.00,0.0142
3852.00,0.0143
3851.00,0.0143
3850.00,0.0143
3849.00,0.0144
3848.00,0.0144
3847.00,0.0144
3846.00,0.0144
3845.00,0.0145
3844.00,0.0145
3843.00,0.0144
3842.00,0.0144
3841.00,0.0143
3840.00,0.0143
3839.00,0.0143
3838.00,0.0142
3837.00,0.0143
3836.00,0.0143
3835.00,0.0143
3834.00,0.0143
3833.00,0.0144
3832.00,0.0144
3831.00,0.0144
3830.00,0.0144
3829.00,0.0144
3828.00,0.0144
3827.00,0.0144
3826.00,0.0144
3825.00,0.0143
3824.00,0.0143
3823.00,0.0142
3822.00,0.0142
3821.00,0.0142
3820.00,0.0141
3819.00,0.0141
3818.00,0.0141
3817.00,0.0141
3816.00,0.0142
3815.00,0.0142
3814.00,0.0142
3813.00,0.0142
3812.00,0.0142
3811.00,0.0141
3810.00,0.0141
3809.00,0.0141
3808.00,0.0141
3807.00,0.0142
3806.00,0.0143
3805.00,0.0143
3804.00,0.0143
3803.00,0.0143
3802.00,0.0142
3801.00,0.0142
3800.00,0.0141
3799.00,0.0141
3798.00,0.0141
3797.00,0.0141
3796.00,0.0141
3795.00,0.0140
3794.00,0.0140
3793.00,0.0140
3792.00,0.0140
3791.00,0.0140
3790.00,0.0140
3789.00,0.0140
3788.00,0.0140
3787.00,0.0140
3786.00,0.0141
3785.00,0.0141
3784.00,0.0141
3783.00,0.0141
3782.00,0.0141
3781.00,0.0141
3780.00,0.0140
3779.00,0.0140
3778.00,0.0140
3777.00,0.0140
3776.00,0.0140
3775.00,0.0140
3774.00,0.0140
3773.00,0.0140
3772.00,0.0140
3771.00,0.0140
3770.00,0.0140
3769.00,0.0140
3768.00,0.0140
3767.00,0.0140
3766.00,0.0140
3765.00,0.0139
3764.00,0.0139
3763.00,0.0139
3762.00,0.0139
3761.00,0.0139
3760.00,0.0139
3759.00,0.0139
3758.00,0.0139
3757.00,0.0139
3756.00,0.0139
3755.00,0.0139
3754.00,0.0138
3753.00,0.0138
3752.00,0.0138
3751.00,0.0138
3750.00,0.0138
3749.00,0.0138
3748.00,0.0137
3747.00,0.0137
3746.00,0.0137
3745.00,0.0138
3744.00,0.0138
3743.00,0.0139
3742.00,0.0139
3741.00,0.0139
3740.00,0.0139
3739.00,0.0138
3738.00,0.0138
3737.00,0.0138
3736.00,0.0137
3735.00,0.0137
3734.00,0.0136
3733.00,0.0136
3732.00,0.0136
3731.00,0.0136
3730.00,0.0136
3729.00,0.0137
3728.00,0.0137
3727.00,0.0137
3726.00,0.0137
3725.00,0.0137
3724.00,0.0137
3723.00,0.0138
3722.00,0.0137
3721.00,0.0137
3720.00,0.0137
3719.00,0.0136
3718.00,0.0136
3717.00,0.0135
3716.00,0.0135
3715.00,0.0135
3714.00,0.0135
3713.00,0.0135
3712.00,0.0135
3711.00,0.0135
3710.00,0.0135
3709.00,0.0135
3708.00,0.0135
3707.00,0.0135
3706.00,0.0135
3705.00,0.0135
3704.00,0.0135
3703.00,0.0135
3702.00,0.0135
3701.00,0.0134
3700.00,0.0134
3699.00,0.0134
3698.00,0.0134
3697.00,0.0134
3696.00,0.0134
3695.00,0.0134
3694.00,0.0134
3693.00,0.0134
3692.00,0.0134
3691.00,0.0134
3690.00,0.0134
3689.00,0.0133
3688.00,0.0133
3687.00,0.0133
3686.00,0.0133
3685.00,0.0133
3684.00,0.0133
3683.00,0.0133
3682.00,0.0133
3681.00,0.0133
3680.00,0.0134
3679.00,0.0134
3678.00,0.0134
3677.00,0.0134
3676.00,0.0134
3675.00,0.0134
3674.00,0.0134
3673.00,0.0134
3672.00,0.0134
3671.00,0.0134
3670.00,0.0134
3669.00,0.0133
3668.00,0.0133
3667.00,0.0132
3666.00,0.0132
3665.00,0.0132
3664.00,0.0132
3663.00,0.0132
3662.00,0.0132
3661.00,0.0132
3660.00,0.0132
3659.00,0.0133
3658.00,0.0133
3657.00,0.0133
3656.00,0.0132
3655.00,0.0132
3654.00,0.0132
3653.00,0.0132
3652.00,0.0132
3651.00,0.0133
3650.00,0.0133
3649.00,0.0132
3648.00,0.0132
3647.00,0.0132
3646.00,0.0132
3645.00,0.0132
3644.00,0.0132
3643.00,0.0132
3642.00,0.0131
3641.00,0.0131
3640.00,0.0131
3639.00,0.0131
3638.00,0.0132
3637.00,0.0132
3636.00,0.0132
3635.00,0.0132
3634.00,0.0132
3633.00,0.0131
3632.00,0.0131
3631.00,0.0131
3630.00,0.0131
3629.00,0.0131
3628.00,0.0131
3627.00,0.0131
3626.00,0.0131
3625.00,0.0131
3624.00,0.0131
3623.00,0.0131
3622.00,0.0131
3621.00,0.0131
3620.00,0.0131
3619.00,0.0131
3618.00,0.0131
3617.00,0.0131
3616.00,0.0131
3615.00,0.0131
3614.00,0.0131
3613.00,0.0131
3612.00,0.0131
