Created as New Dataset,Sample 503 By YargerLab Date Monday, February 02 2026
cm-1,A
4000.00,0.0209
3999.00,0.0209
3998.00,0.0209
3997.00,0.0209
3996.00,0.0208
3995.00,0.0208
3994.00,0.0208
3993.00,0.0208
3992.00,0.0208
3991.00,0.0208
3990.00,0.0208
3989.00,0.0208
3988.00,0.0207
3987.00,0.0207
3986.00,0.0207
3985.00,0.0207
3984.00,0.0207
3983.00,0.0206
3982.00,0.0206
3981.00,0.0206
3980.00,0.0206
3979.00,0.0206
3978.00,0.0206
3977.00,0.0206
3976.00,0.0206
3975.00,0.0206
3974.00,0.0206
3973.00,0.0206
3972.00,0.0205
3971.00,0.0205
3970.00,0.0205
3969.00,0.0205
3968.00,0.0205
3967.00,0.0205
3966.00,0.0205
3965.00,0.0204
3964.00,0.0204
3963.00,0.0204
3962.00,0.0204
3961.00,0.0204
3960.00,0.0204
3959.00,0.0204
3958.00,0.0204
3957.00,0.0204
3956.00,0.0203
3955.00,0.0203
3954.00,0.0203
3953.00,0.0203
3952.00,0.0203
3951.00,0.0203
3950.00,0.0203
3949.00,0.0203
3948.00,0.0203
3947.00,0.0202
3946.00,0.0202
3945.00,0.0202
3944.00,0.0202
3943.00,0.0202
3942.00,0.0202
3941.00,0.0202
3940.00,0.0202
3939.00,0.0202
3938.00,0.0202
3937.00,0.0201
3936.00,0.0201
3935.00,0.0201
3934.00,0.0201
3933.00,0.0201
3932.00,0.0201
3931.00,0.0201
3930.00,0.0201
3929.00,0.0201
3928.00,0.0201
3927.00,0.0201
3926.00,0.0201
3925.00,0.0200
3924.00,0.0200
3923.00,0.0200
3922.00,0.0200
3921.00,0.0200
3920.00,0.0200
3919.00,0.0200
3918.00,0.0200
3917.00,0.0200
3916.00,0.0200
3915.00,0.0200
3914.00,0.0199
3913.00,0.0199
3912.00,0.0199
3911.00,0.0198
3910.00,0.0198
3909.00,0.0198
3908.00,0.0198
3907.00,0.0198
3906.00,0.0198
3905.00,0.0198
3904.00,0.0198
3903.00,0.0199
3902.00,0.0199
3901.00,0.0199
3900.00,0.0199
3899.00,0.0199
3898.00,0.0198
3897.00,0.0198
3896.00,0.0198
3895.00,0.0197
3894.00,0.0197
3893.00,0.0197
3892.00,0.0197
3891.00,0.0196
3890.00,0.0197
3889.00,0.0197
3888.00,0.0197
3887.00,0.0197
3886.00,0.0197
