Created as New Dataset,Sample 660 By YargerLab Date Tuesday, March 17 2026
cm-1,A
4000.00,0.0106
3999.00,0.0106
3998.00,0.0106
3997.00,0.0106
3996.00,0.0106
3995.00,0.0105
3994.00,0.0105
3993.00,0.0105
3992.00,0.0105
3991.00,0.0105
3990.00,0.0105
3989.00,0.0105
3988.00,0.0105
3987.00,0.0105
3986.00,0.0105
3985.00,0.0105
3984.00,0.0105
3983.00,0.0105
3982.00,0.0105
3981.00,0.0105
3980.00,0.0105
3979.00,0.0105
3978.00,0.0105
3977.00,0.0105
3976.00,0.0105
3975.00,0.0105
3974.00,0.0106
3973.00,0.0106
3972.00,0.0106
3971.00,0.0106
3970.00,0.0106
3969.00,0.0106
3968.00,0.0105
3967.00,0.0105
3966.00,0.0105
3965.00,0.0105
3964.00,0.0105
3963.00,0.0105
3962.00,0.0105
3961.00,0.0105
3960.00,0.0105
3959.00,0.0105
3958.00,0.0105
3957.00,0.0105
3956.00,0.0105
3955.00,0.0105
3954.00,0.0105
3953.00,0.0105
3952.00,0.0105
3951.00,0.0105
3950.00,0.0105
3949.00,0.0105
3948.00,0.0105
3947.00,0.0105
3946.00,0.0105
3945.00,0.0105
3944.00,0.0105
3943.00,0.0106
3942.00,0.0106
3941.00,0.0106
3940.00,0.0106
3939.00,0.0105
3938.00,0.0105
3937.00,0.0106
3936.00,0.0106
3935.00,0.0106
3934.00,0.0106
3933.00,0.0106
3932.00,0.0106
3931.00,0.0106
3930.00,0.0105
3929.00,0.0105
3928.00,0.0105
3927.00,0.0105
3926.00,0.0105
3925.00,0.0105
3924.00,0.0105
3923.00,0.0106
3922.00,0.0105
3921.00,0.0105
3920.00,0.0105
3919.00,0.0105
3918.00,0.0105
3917.00,0.0105
3916.00,0.0105
3915.00,0.0105
3914.00,0.0105
3913.00,0.0105
3912.00,0.0105
3911.00,0.0105
3910.00,0.0105
3909.00,0.0105
3908.00,0.0105
3907.00,0.0104
3906.00,0.0105
3905.00,0.0105
3904.00,0.0105
3903.00,0.0105
3902.00,0.0105
3901.00,0.0105
3900.00,0.0105
3899.00,0.0105
3898.00,0.0105
3897.00,0.0105
3896.00,0.0105
3895.00,0.0105
3894.00,0.0105
3893.00,0.0105
3892.00,0.0104
3891.00,0.0104
3890.00,0.0104
3889.00,0.0104
3888.00,0.0104
3887.00,0.0104
3886.00,0.0104
3885.00,0.0104
3884.00,0.0104
3883.00,0.0104
3882.00,0.0104
3881.00,0.0104
3880.00,0.0104
3879.00,0.0104
3878.00,0.0104
3877.00,0.0104
3876.00,0.0104
3875.00,0.0104
3874.00,0.0104
3873.00,0.0104
3872.00,0.0104
3871.00,0.0104
3870.00,0.0103
3869.00,0.0104
3868.00,0.0104
3867.00,0.0103
3866.00,0.0104
3865.00,0.0104
3864.00,0.0104
3863.00,0.0104
3862.00,0.0104
3861.00,0.0104
3860.00,0.0104
3859.00,0.0104
3858.00,0.0104
3857.00,0.0104
3856.00,0.0103
3855.00,0.0103
3854.00,0.0103
3853.00,0.0103
3852.00,0.0103
3851.00,0.0103
3850.00,0.0103
3849.00,0.0103
3848.00,0.0103
3847.00,0.0103
3846.00,0.0103
3845.00,0.0103
3844.00,0.0103
3843.00,0.0103
3842.00,0.0103
3841.00,0.0103
3840.00,0.0103
3839.00,0.0103
3838.00,0.0103
3837.00,0.0103
3836.00,0.0103
3835.00,0.0103
3834.00,0.0103
3833.00,0.0103
3832.00,0.0103
3831.00,0.0103
3830.00,0.0103
3829.00,0.0103
3828.00,0.0103
3827.00,0.0103
3826.00,0.0103
3825.00,0.0103
3824.00,0.0103
3823.00,0.0102
3822.00,0.0102
3821.00,0.0102
3820.00,0.0103
3819.00,0.0103
3818.00,0.0103
3817.00,0.0103
3816.00,0.0103
3815.00,0.0103
3814.00,0.0103
3813.00,0.0102
3812.00,0.0102
3811.00,0.0102
3810.00,0.0102
3809.00,0.0102
3808.00,0.0102
3807.00,0.0102
3806.00,0.0102
3805.00,0.0102
3804.00,0.0102
3803.00,0.0102
3802.00,0.0102
3801.00,0.0102
3800.00,0.0102
3799.00,0.0102
3798.00,0.0102
3797.00,0.0102
3796.00,0.0102
3795.00,0.0102
3794.00,0.0102
3793.00,0.0102
3792.00,0.0102
3791.00,0.0102
3790.00,0.0102
3789.00,0.0102
3788.00,0.0102
3787.00,0.0102
3786.00,0.0102
3785.00,0.0102
3784.00,0.0102
3783.00,0.0102
3782.00,0.0102
3781.00,0.0102
3780.00,0.0102
3779.00,0.0102
3778.00,0.0102
3777.00,0.0102
3776.00,0.0102
3775.00,0.0102
3774.00,0.0102
3773.00,0.0102
3772.00,0.0102
3771.00,0.0102
3770.00,0.0102
3769.00,0.0102
3768.00,0.0102
3767.00,0.0102
3766.00,0.0102
3765.00,0.0101
3764.00,0.0101
3763.00,0.0101
3762.00,0.0101
3761.00,0.0101
3760.00,0.0101
3759.00,0.0101
3758.00,0.0101
3757.00,0.0102
3756.00,0.0102
3755.00,0.0102
3754.00,0.0101
3753.00,0.0101
3752.00,0.0101
3751.00,0.0101
3750.00,0.0101
3749.00,0.0101
3748.00,0.0101
3747.00,0.0101
3746.00,0.0101
3745.00,0.0101
3744.00,0.0101
3743.00,0.0101
3742.00,0.0101
3741.00,0.0101
3740.00,0.0101
3739.00,0.0101
3738.00,0.0101
3737.00,0.0100
3736.00,0.0100
3735.00,0.0100
3734.00,0.0100
3733.00,0.0100
3732.00,0.0100
3731.00,0.0100
3730.00,0.0099
3729.00,0.0099
3728.00,0.0099
3727.00,0.0099
3726.00,0.0099
3725.00,0.0099
3724.00,0.0099
3723.00,0.0099
3722.00,0.0099
3721.00,0.0099
3720.00,0.0099
3719.00,0.0099
3718.00,0.0100
3717.00,0.0100
3716.00,0.0100
3715.00,0.0100
3714.00,0.0100
3713.00,0.0100
3712.00,0.0100
3711.00,0.0100
3710.00,0.0100
3709.00,0.0099
3708.00,0.0099
3707.00,0.0099
3706.00,0.0099
3705.00,0.0099
3704.00,0.0099
3703.00,0.0099
3702.00,0.0099
3701.00,0.0099
3700.00,0.0099
3699.00,0.0099
3698.00,0.0099
3697.00,0.0099
3696.00,0.0099
3695.00,0.0099
3694.00,0.0099
3693.00,0.0099
3692.00,0.0099
3691.00,0.0099
3690.00,0.0099
3689.00,0.0099
3688.00,0.0098
3687.00,0.0098
3686.00,0.0098
3685.00,0.0098
3684.00,0.0098
3683.00,0.0098
3682.00,0.0098
3681.00,0.0099
3680.00,0.0099
3679.00,0.0099
3678.00,0.0099
3677.00,0.0099
3676.00,0.0099
3675.00,0.0099
3674.00,0.0100
3673.00,0.0099
3672.00,0.0099
3671.00,0.0099
3670.00,0.0099
3669.00,0.0099
3668.00,0.0099
3667.00,0.0099
3666.00,0.0099
3665.00,0.0099
3664.00,0.0100
3663.00,0.0100
3662.00,0.0100
3661.00,0.0100
3660.00,0.0100
3659.00,0.0100
3658.00,0.0100
3657.00,0.0100
3656.00,0.0101
3655.00,0.0101
3654.00,0.0101
3653.00,0.0101
3652.00,0.0101
3651.00,0.0101
3650.00,0.0101
3649.00,0.0101
3648.00,0.0101
3647.00,0.0101
3646.00,0.0102
3645.00,0.0102
3644.00,0.0102
3643.00,0.0102
3642.00,0.0102
3641.00,0.0102
3640.00,0.0102
3639.00,0.0102
3638.00,0.0102
3637.00,0.0102
3636.00,0.0102
3635.00,0.0103
3634.00,0.0103
3633.00,0.0103
3632.00,0.0103
3631.00,0.0103
3630.00,0.0103
3629.00,0.0103
3628.00,0.0104
3627.00,0.0104
3626.00,0.0104
3625.00,0.0104
3624.00,0.0104
3623.00,0.0105
3622.00,0.0105
3621.00,0.0105
3620.00,0.0105
3619.00,0.0105
3618.00,0.0105
3617.00,0.0106
3616.00,0.0106
3615.00,0.0106
3614.00,0.0107
3613.00,0.0107
3612.00,0.0107
3611.00,0.0107
3610.00,0.0107
3609.00,0.0107
3608.00,0.0107
3607.00,0.0107
3606.00,0.0108
3605.00,0.0108
3604.00,0.0108
3603.00,0.0108
3602.00,0.0108
3601.00,0.0108
3600.00,0.0109
3599.00,0.0109
3598.00,0.0109
3597.00,0.0109
3596.00,0.0109
3595.00,0.0109
3594.00,0.0110
3593.00,0.0110
3592.00,0.0110
3591.00,0.0110
3590.00,0.0111
3589.00,0.0111
3588.00,0.0111
3587.00,0.0111
3586.00,0.0112
3585.00,0.0112
3584.00,0.0112
3583.00,0.0113
3582.00,0.0113
3581.00,0.0113
3580.00,0.0113
3579.00,0.0113
3578.00,0.0113
3577.00,0.0114
3576.00,0.0114
3575.00,0.0115
3574.00,0.0115
3573.00,0.0115
3572.00,0.0115
3571.00,0.0116
3570.00,0.0116
3569.00,0.0116
3568.00,0.0117
3567.00,0.0117
3566.00,0.0117
3565.00,0.0118
3564.00,0.0118
3563.00,0.0118
3562.00,0.0119
3561.00,0.0119
3560.00,0.0119
3559.00,0.0120
3558.00,0.0120
3557.00,0.0120
3556.00,0.0120
3555.00,0.0121
3554.00,0.0121
3553.00,0.0122
3552.00,0.0122
3551.00,0.0123
3550.00,0.0123
3549.00,0.0124
3548.00,0.0124
3547.00,0.0125
3546.00,0.0125
3545.00,0.0125
3544.00,0.0125
3543.00,0.0126
3542.00,0.0126
3541.00,0.0127
3540.00,0.0127
3539.00,0.0127
3538.00,0.0128
3537.00,0.0128
3536.00,0.0129
3535.00,0.0129
3534.00,0.0130
3533.00,0.0130
3532.00,0.0131
3531.00,0.0131
3530.00,0.0132
3529.00,0.0132
3528.00,0.0133
3527.00,0.0133
3526.00,0.0134
3525.00,0.0135
3524.00,0.0135
3523.00,0.0136
3522.00,0.0136
3521.00,0.0137
3520.00,0.0137
3519.00,0.0138
3518.00,0.0138
3517.00,0.0139
3516.00,0.0140
3515.00,0.0140
3514.00,0.0141
3513.00,0.0142
3512.00,0.0143
3511.00,0.0143
3510.00,0.0144
3509.00,0.0145
3508.00,0.0145
3507.00,0.0146
3506.00,0.0147
3505.00,0.0148
3504.00,0.0148
3503.00,0.0149
3502.00,0.0150
3501.00,0.0151
3500.00,0.0151
3499.00,0.0152
3498.00,0.0153
3497.00,0.0154
3496.00,0.0155
3495.00,0.0155
3494.00,0.0156
3493.00,0.0157
3492.00,0.0157
3491.00,0.0158
3490.00,0.0159
3489.00,0.0160
3488.00,0.0161
3487.00,0.0161
3486.00,0.0162
3485.00,0.0163
3484.00,0.0164
3483.00,0.0165
3482.00,0.0166
3481.00,0.0166
3480.00,0.0167
3479.00,0.0168
3478.00,0.0168
3477.00,0.0169
3476.00,0.0170
3475.00,0.0171
3474.00,0.0171
3473.00,0.0172
3472.00,0.0173
3471.00,0.0174
3470.00,0.0174
3469.00,0.0175
3468.00,0.0176
3467.00,0.0176
3466.00,0.0177
3465.00,0.0177
3464.00,0.0178
3463.00,0.0179
3462.00,0.0179
3461.00,0.0180
3460.00,0.0181
3459.00,0.0181
3458.00,0.0182
3457.00,0.0183
3456.00,0.0183
3455.00,0.0184
3454.00,0.0185
3453.00,0.0185
3452.00,0.0186
3451.00,0.0186
3450.00,0.0187
3449.00,0.0188
3448.00,0.0188
3447.00,0.0189
3446.00,0.0189
3445.00,0.0190
3444.00,0.0190
3443.00,0.0191
3442.00,0.0191
3441.00,0.0192
3440.00,0.0193
3439.00,0.0194
3438.00,0.0194
3437.00,0.0195
3436.00,0.0196
3435.00,0.0196
3434.00,0.0197
3433.00,0.0197
3432.00,0.0198
3431.00,0.0198
3430.00,0.0199
3429.00,0.0200
3428.00,0.0200
3427.00,0.0201
3426.00,0.0201
3425.00,0.0202
3424.00,0.0202
3423.00,0.0203
3422.00,0.0203
3421.00,0.0204
3420.00,0.0205
3419.00,0.0205
3418.00,0.0206
3417.00,0.0207
3416.00,0.0208
3415.00,0.0208
3414.00,0.0209
3413.00,0.0210
3412.00,0.0211
3411.00,0.0211
3410.00,0.0212
3409.00,0.0212
3408.00,0.0213
3407.00,0.0214
3406.00,0.0214
3405.00,0.0215
3404.00,0.0216
3403.00,0.0217
3402.00,0.0217
3401.00,0.0218
3400.00,0.0219
3399.00,0.0219
3398.00,0.0220
3397.00,0.0220
3396.00,0.0221
3395.00,0.0222
3394.00,0.0223
3393.00,0.0224
3392.00,0.0224
3391.00,0.0225
3390.00,0.0226
3389.00,0.0226
3388.00,0.0227
3387.00,0.0228
3386.00,0.0229
3385.00,0.0230
3384.00,0.0231
3383.00,0.0232
3382.00,0.0233
3381.00,0.0233
3380.00,0.0234
3379.00,0.0235
3378.00,0.0236
3377.00,0.0237
3376.00,0.0238
3375.00,0.0239
3374.00,0.0240
3373.00,0.0241
3372.00,0.0242
3371.00,0.0244
3370.00,0.0245
3369.00,0.0246
3368.00,0.0247
3367.00,0.0248
3366.00,0.0249
3365.00,0.0250
3364.00,0.0252
3363.00,0.0253
3362.00,0.0254
3361.00,0.0255
3360.00,0.0257
3359.00,0.0258
3358.00,0.0259
3357.00,0.0260
3356.00,0.0262
3355.00,0.0263
3354.00,0.0265
3353.00,0.0267
3352.00,0.0269
3351.00,0.0271
3350.00,0.0272
3349.00,0.0274
3348.00,0.0276
3347.00,0.0278
3346.00,0.0281
3345.00,0.0284
3344.00,0.0287
3343.00,0.0290
3342.00,0.0293
3341.00,0.0297
3340.00,0.0301
3339.00,0.0306
3338.00,0.0311
3337.00,0.0317
3336.00,0.0323
3335.00,0.0330
3334.00,0.0337
3333.00,0.0345
3332.00,0.0354
3331.00,0.0362
3330.00,0.0371
3329.00,0.0379
3328.00,0.0387
3327.00,0.0394
3326.00,0.0400
3325.00,0.0405
3324.00,0.0408
3323.00,0.0410
3322.00,0.0411
3321.00,0.0411
3320.00,0.0410
3319.00,0.0409
3318.00,0.0406
3317.00,0.0404
3316.00,0.0401
3315.00,0.0399
3314.00,0.0396
3313.00,0.0393
3312.00,0.0391
3311.00,0.0388
3310.00,0.0386
3309.00,0.0384
3308.00,0.0382
3307.00,0.0380
3306.00,0.0379
3305.00,0.0379
3304.00,0.0379
3303.00,0.0379
3302.00,0.0379
3301.00,0.0380
3300.00,0.0380
3299.00,0.0381
3298.00,0.0381
3297.00,0.0382
3296.00,0.0383
3295.00,0.0384
3294.00,0.0385
3293.00,0.0386
3292.00,0.0387
3291.00,0.0387
3290.00,0.0388
3289.00,0.0388
3288.00,0.0388
3287.00,0.0388
3286.00,0.0388
3285.00,0.0388
3284.00,0.0387
3283.00,0.0387
3282.00,0.0387
3281.00,0.0387
3280.00,0.0387
3279.00,0.0387
3278.00,0.0387
3277.00,0.0387
3276.00,0.0387
3275.00,0.0387
3274.00,0.0387
3273.00,0.0387
3272.00,0.0387
3271.00,0.0387
3270.00,0.0388
3269.00,0.0388
3268.00,0.0389
3267.00,0.0389
3266.00,0.0390
3265.00,0.0390
3264.00,0.0390
3263.00,0.0390
3262.00,0.0390
3261.00,0.0390
3260.00,0.0389
3259.00,0.0389
3258.00,0.0388
3257.00,0.0388
3256.00,0.0387
3255.00,0.0386
3254.00,0.0385
3253.00,0.0384
3252.00,0.0383
3251.00,0.0382
3250.00,0.0381
3249.00,0.0380
3248.00,0.0379
3247.00,0.0379
3246.00,0.0378
3245.00,0.0378
3244.00,0.0377
3243.00,0.0377
3242.00,0.0376
3241.00,0.0376
3240.00,0.0376
3239.00,0.0375
3238.00,0.0375
3237.00,0.0375
3236.00,0.0375
3235.00,0.0375
3234.00,0.0375
3233.00,0.0375
3232.00,0.0376
3231.00,0.0376
3230.00,0.0377
3229.00,0.0378
3228.00,0.0378
3227.00,0.0379
3226.00,0.0379
3225.00,0.0380
3224.00,0.0381
3223.00,0.0382
3222.00,0.0383
3221.00,0.0384
3220.00,0.0385
3219.00,0.0386
3218.00,0.0387
3217.00,0.0388
3216.00,0.0389
3215.00,0.0390
3214.00,0.0392
3213.00,0.0393
3212.00,0.0394
3211.00,0.0395
3210.00,0.0396
3209.00,0.0397
3208.00,0.0398
3207.00,0.0399
3206.00,0.0399
3205.00,0.0400
3204.00,0.0400
3203.00,0.0400
3202.00,0.0401
3201.00,0.0401
3200.00,0.0401
3199.00,0.0401
3198.00,0.0401
3197.00,0.0401
3196.00,0.0401
3195.00,0.0401
3194.00,0.0401
3193.00,0.0401
3192.00,0.0401
3191.00,0.0401
3190.00,0.0401
3189.00,0.0401
3188.00,0.0401
3187.00,0.0401
3186.00,0.0402
3185.00,0.0402
3184.00,0.0402
3183.00,0.0402
3182.00,0.0403
3181.00,0.0403
3180.00,0.0403
3179.00,0.0403
3178.00,0.0404
3177.00,0.0404
3176.00,0.0405
3175.00,0.0405
3174.00,0.0406
3173.00,0.0406
3172.00,0.0407
3171.00,0.0408
3170.00,0.0408
3169.00,0.0409
3168.00,0.0410
3167.00,0.0411
3166.00,0.0412
3165.00,0.0413
3164.00,0.0413
3163.00,0.0413
3162.00,0.0413
3161.00,0.0413
3160.00,0.0412
3159.00,0.0411
3158.00,0.0410
3157.00,0.0409
3156.00,0.0408
3155.00,0.0406
3154.00,0.0405
3153.00,0.0404
3152.00,0.0403
3151.00,0.0401
3150.00,0.0400
3149.00,0.0399
3148.00,0.0398
3147.00,0.0397
3146.00,0.0396
3145.00,0.0395
3144.00,0.0394
3143.00,0.0392
3142.00,0.0391
3141.00,0.0390
3140.00,0.0389
3139.00,0.0388
3138.00,0.0387
3137.00,0.0386
3136.00,0.0385
3135.00,0.0384
3134.00,0.0384
3133.00,0.0383
3132.00,0.0382
3131.00,0.0381
3130.00,0.0380
3129.00,0.0380
3128.00,0.0379
3127.00,0.0379
3126.00,0.0378
3125.00,0.0378
3124.00,0.0377
3123.00,0.0376
3122.00,0.0376
3121.00,0.0375
3120.00,0.0375
3119.00,0.0375
3118.00,0.0376
3117.00,0.0376
3116.00,0.0377
3115.00,0.0378
3114.00,0.0379
3113.00,0.0380
3112.00,0.0380
3111.00,0.0381
3110.00,0.0381
3109.00,0.0381
3108.00,0.0381
3107.00,0.0381
3106.00,0.0380
3105.00,0.0379
3104.00,0.0377
3103.00,0.0375
3102.00,0.0374
3101.00,0.0372
3100.00,0.0370
3099.00,0.0369
3098.00,0.0368
3097.00,0.0366
3096.00,0.0365
3095.00,0.0364
3094.00,0.0363
3093.00,0.0362
3092.00,0.0361
3091.00,0.0360
3090.00,0.0359
3089.00,0.0358
3088.00,0.0357
3087.00,0.0355
3086.00,0.0354
3085.00,0.0353
3084.00,0.0352
3083.00,0.0351
3082.00,0.0350
3081.00,0.0349
3080.00,0.0348
3079.00,0.0347
3078.00,0.0346
3077.00,0.0345
3076.00,0.0345
3075.00,0.0344
3074.00,0.0343
3073.00,0.0343
3072.00,0.0342
3071.00,0.0341
3070.00,0.0341
3069.00,0.0340
3068.00,0.0340
3067.00,0.0339
3066.00,0.0339
3065.00,0.0339
3064.00,0.0338
3063.00,0.0338
3062.00,0.0337
3061.00,0.0336
3060.00,0.0335
3059.00,0.0333
3058.00,0.0332
3057.00,0.0330
3056.00,0.0329
3055.00,0.0328
3054.00,0.0326
3053.00,0.0325
3052.00,0.0324
3051.00,0.0323
3050.00,0.0321
3049.00,0.0320
3048.00,0.0319
3047.00,0.0318
3046.00,0.0317
3045.00,0.0316
3044.00,0.0315
3043.00,0.0315
3042.00,0.0315
3041.00,0.0315
3040.00,0.0315
3039.00,0.0316
3038.00,0.0317
3037.00,0.0317
3036.00,0.0317
3035.00,0.0316
3034.00,0.0316
3033.00,0.0315
3032.00,0.0314
3031.00,0.0312
3030.00,0.0311
3029.00,0.0309
3028.00,0.0308
3027.00,0.0306
3026.00,0.0304
3025.00,0.0302
3024.00,0.0301
3023.00,0.0299
3022.00,0.0297
3021.00,0.0296
3020.00,0.0294
3019.00,0.0293
3018.00,0.0291
3017.00,0.0290
3016.00,0.0288
3015.00,0.0287
3014.00,0.0286
3013.00,0.0285
3012.00,0.0284
3011.00,0.0283
3010.00,0.0283
3009.00,0.0283
3008.00,0.0282
3007.00,0.0282
3006.00,0.0281
3005.00,0.0280
3004.00,0.0278
3003.00,0.0277
3002.00,0.0277
3001.00,0.0276
3000.00,0.0275
2999.00,0.0274
2998.00,0.0273
2997.00,0.0272
2996.00,0.0272
2995.00,0.0271
2994.00,0.0271
2993.00,0.0270
2992.00,0.0270
2991.00,0.0269
2990.00,0.0269
2989.00,0.0269
2988.00,0.0269
2987.00,0.0270
2986.00,0.0270
2985.00,0.0270
2984.00,0.0271
2983.00,0.0271
2982.00,0.0272
2981.00,0.0273
2980.00,0.0273
2979.00,0.0274
2978.00,0.0275
2977.00,0.0275
2976.00,0.0276
2975.00,0.0276
2974.00,0.0277
2973.00,0.0278
2972.00,0.0279
2971.00,0.0279
2970.00,0.0280
2969.00,0.0280
2968.00,0.0280
2967.00,0.0280
2966.00,0.0280
2965.00,0.0280
2964.00,0.0280
2963.00,0.0279
2962.00,0.0279
2961.00,0.0278
2960.00,0.0278
2959.00,0.0277
2958.00,0.0276
2957.00,0.0274
2956.00,0.0272
2955.00,0.0271
2954.00,0.0269
2953.00,0.0267
2952.00,0.0266
2951.00,0.0265
2950.00,0.0264
2949.00,0.0264
2948.00,0.0263
2947.00,0.0263
2946.00,0.0264
2945.00,0.0264
2944.00,0.0265
2943.00,0.0267
2942.00,0.0268
2941.00,0.0270
2940.00,0.0271
2939.00,0.0273
2938.00,0.0274
2937.00,0.0276
2936.00,0.0277
2935.00,0.0279
2934.00,0.0280
2933.00,0.0282
2932.00,0.0283
2931.00,0.0284
2930.00,0.0284
2929.00,0.0285
2928.00,0.0285
2927.00,0.0285
2926.00,0.0284
2925.00,0.0283
2924.00,0.0282
2923.00,0.0281
2922.00,0.0279
2921.00,0.0278
2920.00,0.0276
2919.00,0.0274
2918.00,0.0272
2917.00,0.0269
2916.00,0.0267
2915.00,0.0265
2914.00,0.0263
2913.00,0.0262
2912.00,0.0260
2911.00,0.0259
2910.00,0.0257
2909.00,0.0256
2908.00,0.0255
2907.00,0.0253
2906.00,0.0252
2905.00,0.0251
2904.00,0.0250
2903.00,0.0249
2902.00,0.0248
2901.00,0.0247
2900.00,0.0246
2899.00,0.0245
2898.00,0.0244
2897.00,0.0243
2896.00,0.0243
2895.00,0.0242
2894.00,0.0242
2893.00,0.0242
2892.00,0.0242
2891.00,0.0242
2890.00,0.0242
2889.00,0.0242
2888.00,0.0243
2887.00,0.0243
2886.00,0.0243
2885.00,0.0244
2884.00,0.0244
2883.00,0.0245
2882.00,0.0245
2881.00,0.0246
2880.00,0.0247
2879.00,0.0247
2878.00,0.0248
2877.00,0.0248
2876.00,0.0248
2875.00,0.0248
2874.00,0.0248
2873.00,0.0247
2872.00,0.0247
2871.00,0.0246
2870.00,0.0245
2869.00,0.0244
2868.00,0.0242
2867.00,0.0241
2866.00,0.0239
2865.00,0.0238
2864.00,0.0237
2863.00,0.0236
2862.00,0.0235
2861.00,0.0235
2860.00,0.0235
2859.00,0.0235
2858.00,0.0235
2857.00,0.0234
2856.00,0.0234
2855.00,0.0234
2854.00,0.0234
2853.00,0.0233
2852.00,0.0232
2851.00,0.0231
2850.00,0.0230
2849.00,0.0229
2848.00,0.0227
2847.00,0.0226
2846.00,0.0225
2845.00,0.0224
2844.00,0.0223
2843.00,0.0222
2842.00,0.0221
2841.00,0.0220
2840.00,0.0219
2839.00,0.0218
2838.00,0.0218
2837.00,0.0218
2836.00,0.0217
2835.00,0.0217
2834.00,0.0217
2833.00,0.0217
2832.00,0.0216
2831.00,0.0216
2830.00,0.0216
2829.00,0.0215
2828.00,0.0215
2827.00,0.0215
2826.00,0.0215
2825.00,0.0214
2824.00,0.0214
2823.00,0.0214
2822.00,0.0214
2821.00,0.0214
2820.00,0.0214
2819.00,0.0214
2818.00,0.0214
2817.00,0.0214
2816.00,0.0214
2815.00,0.0214
2814.00,0.0214
2813.00,0.0214
2812.00,0.0215
2811.00,0.0215
2810.00,0.0215
2809.00,0.0215
2808.00,0.0216
2807.00,0.0216
2806.00,0.0217
2805.00,0.0217
2804.00,0.0218
2803.00,0.0218
2802.00,0.0218
2801.00,0.0219
2800.00,0.0219
2799.00,0.0220
2798.00,0.0220
2797.00,0.0220
2796.00,0.0220
2795.00,0.0220
2794.00,0.0220
2793.00,0.0220
2792.00,0.0219
2791.00,0.0219
2790.00,0.0218
2789.00,0.0217
2788.00,0.0217
2787.00,0.0216
2786.00,0.0215
2785.00,0.0214
2784.00,0.0213
2783.00,0.0213
2782.00,0.0212
2781.00,0.0211
2780.00,0.0210
2779.00,0.0209
2778.00,0.0208
2777.00,0.0208
2776.00,0.0207
2775.00,0.0206
2774.00,0.0205
2773.00,0.0205
2772.00,0.0204
2771.00,0.0203
2770.00,0.0203
2769.00,0.0202
2768.00,0.0201
2767.00,0.0201
2766.00,0.0200
2765.00,0.0199
2764.00,0.0199
2763.00,0.0198
2762.00,0.0197
2761.00,0.0197
2760.00,0.0196
2759.00,0.0196
2758.00,0.0195
2757.00,0.0195
2756.00,0.0194
2755.00,0.0194
2754.00,0.0194
2753.00,0.0193
2752.00,0.0193
2751.00,0.0193
2750.00,0.0192
2749.00,0.0192
2748.00,0.0192
2747.00,0.0192
2746.00,0.0192
2745.00,0.0192
2744.00,0.0191
2743.00,0.0191
2742.00,0.0191
2741.00,0.0191
2740.00,0.0191
2739.00,0.0191
2738.00,0.0191
2737.00,0.0191
2736.00,0.0191
2735.00,0.0191
2734.00,0.0191
2733.00,0.0191
2732.00,0.0191
2731.00,0.0191
2730.00,0.0191
2729.00,0.0191
2728.00,0.0191
2727.00,0.0191
2726.00,0.0191
2725.00,0.0191
2724.00,0.0191
2723.00,0.0191
2722.00,0.0191
2721.00,0.0191
2720.00,0.0191
2719.00,0.0191
2718.00,0.0191
2717.00,0.0191
2716.00,0.0190
2715.00,0.0190
2714.00,0.0190
2713.00,0.0190
2712.00,0.0190
2711.00,0.0189
2710.00,0.0189
2709.00,0.0189
2708.00,0.0189
2707.00,0.0188
2706.00,0.0188
2705.00,0.0188
2704.00,0.0187
2703.00,0.0187
2702.00,0.0187
2701.00,0.0186
2700.00,0.0186
2699.00,0.0186
2698.00,0.0186
2697.00,0.0185
2696.00,0.0185
2695.00,0.0185
2694.00,0.0185
2693.00,0.0184
2692.00,0.0184
2691.00,0.0184
2690.00,0.0183
2689.00,0.0183
2688.00,0.0183
2687.00,0.0183
2686.00,0.0183
2685.00,0.0183
2684.00,0.0183
2683.00,0.0183
2682.00,0.0183
2681.00,0.0183
2680.00,0.0183
2679.00,0.0183
2678.00,0.0183
2677.00,0.0183
2676.00,0.0183
2675.00,0.0183
2674.00,0.0183
2673.00,0.0184
2672.00,0.0184
2671.00,0.0184
2670.00,0.0184
2669.00,0.0184
2668.00,0.0184
2667.00,0.0185
2666.00,0.0185
2665.00,0.0185
2664.00,0.0185
2663.00,0.0186
2662.00,0.0186
2661.00,0.0185
2660.00,0.0185
2659.00,0.0185
2658.00,0.0184
2657.00,0.0184
2656.00,0.0184
2655.00,0.0183
2654.00,0.0183
2653.00,0.0182
2652.00,0.0182
2651.00,0.0181
2650.00,0.0181
2649.00,0.0180
2648.00,0.0180
2647.00,0.0179
2646.00,0.0179
2645.00,0.0178
2644.00,0.0178
2643.00,0.0177
2642.00,0.0177
