Created as New Dataset,Sample 663 By YargerLab Date Tuesday, March 17 2026
cm-1,A
4000.00,0.0130
3999.00,0.0130
3998.00,0.0130
3997.00,0.0130
3996.00,0.0130
3995.00,0.0130
3994.00,0.0130
3993.00,0.0130
3992.00,0.0130
3991.00,0.0130
3990.00,0.0131
3989.00,0.0131
3988.00,0.0131
3987.00,0.0131
3986.00,0.0131
3985.00,0.0131
3984.00,0.0131
3983.00,0.0131
3982.00,0.0131
3981.00,0.0131
3980.00,0.0131
3979.00,0.0131
3978.00,0.0130
3977.00,0.0130
3976.00,0.0130
3975.00,0.0131
3974.00,0.0131
3973.00,0.0131
3972.00,0.0131
3971.00,0.0131
3970.00,0.0131
3969.00,0.0131
3968.00,0.0130
3967.00,0.0130
3966.00,0.0130
3965.00,0.0131
3964.00,0.0131
3963.00,0.0131
3962.00,0.0131
3961.00,0.0131
3960.00,0.0131
3959.00,0.0131
3958.00,0.0131
3957.00,0.0131
3956.00,0.0130
3955.00,0.0130
3954.00,0.0130
3953.00,0.0130
3952.00,0.0131
3951.00,0.0131
3950.00,0.0131
3949.00,0.0131
3948.00,0.0131
3947.00,0.0131
3946.00,0.0131
3945.00,0.0130
3944.00,0.0130
3943.00,0.0130
3942.00,0.0130
3941.00,0.0130
3940.00,0.0130
3939.00,0.0130
3938.00,0.0130
3937.00,0.0130
3936.00,0.0130
3935.00,0.0130
3934.00,0.0131
3933.00,0.0131
3932.00,0.0130
3931.00,0.0130
3930.00,0.0130
3929.00,0.0130
3928.00,0.0130
3927.00,0.0130
3926.00,0.0130
3925.00,0.0130
3924.00,0.0130
3923.00,0.0130
3922.00,0.0130
3921.00,0.0130
3920.00,0.0131
3919.00,0.0131
3918.00,0.0131
3917.00,0.0131
3916.00,0.0130
3915.00,0.0130
3914.00,0.0130
3913.00,0.0130
3912.00,0.0130
3911.00,0.0130
3910.00,0.0130
3909.00,0.0130
3908.00,0.0130
3907.00,0.0130
3906.00,0.0130
3905.00,0.0130
3904.00,0.0130
