Created as New Dataset,Sample 677 By YargerLab Date Tuesday, March 17 2026
cm-1,A
4000.00,0.0181
3999.00,0.0181
3998.00,0.0181
3997.00,0.0181
3996.00,0.0181
3995.00,0.0181
3994.00,0.0181
3993.00,0.0181
3992.00,0.0181
3991.00,0.0181
3990.00,0.0181
3989.00,0.0181
3988.00,0.0181
3987.00,0.0181
3986.00,0.0181
3985.00,0.0181
3984.00,0.0181
3983.00,0.0181
3982.00,0.0181
3981.00,0.0181
3980.00,0.0181
3979.00,0.0181
3978.00,0.0181
3977.00,0.0181
3976.00,0.0181
3975.00,0.0181
3974.00,0.0181
3973.00,0.0181
3972.00,0.0181
3971.00,0.0181
3970.00,0.0181
3969.00,0.0181
3968.00,0.0181
3967.00,0.0181
3966.00,0.0181
3965.00,0.0181
3964.00,0.0181
3963.00,0.0181
3962.00,0.0181
3961.00,0.0181
3960.00,0.0181
3959.00,0.0180
3958.00,0.0180
3957.00,0.0180
3956.00,0.0180
3955.00,0.0180
3954.00,0.0181
3953.00,0.0180
3952.00,0.0180
3951.00,0.0180
3950.00,0.0180
3949.00,0.0180
3948.00,0.0181
3947.00,0.0181
3946.00,0.0181
3945.00,0.0181
3944.00,0.0180
3943.00,0.0180
3942.00,0.0180
3941.00,0.0180
3940.00,0.0180
3939.00,0.0180
3938.00,0.0180
3937.00,0.0180
3936.00,0.0180
3935.00,0.0180
3934.00,0.0180
3933.00,0.0180
3932.00,0.0180
3931.00,0.0180
3930.00,0.0180
3929.00,0.0180
3928.00,0.0180
3927.00,0.0179
3926.00,0.0179
3925.00,0.0179
3924.00,0.0179
3923.00,0.0179
3922.00,0.0180
3921.00,0.0180
3920.00,0.0180
3919.00,0.0180
3918.00,0.0180
3917.00,0.0180
3916.00,0.0179
3915.00,0.0179
3914.00,0.0179
3913.00,0.0179
3912.00,0.0179
3911.00,0.0179
3910.00,0.0179
3909.00,0.0179
3908.00,0.0179
3907.00,0.0178
3906.00,0.0178
3905.00,0.0179
3904.00,0.0179
3903.00,0.0180
3902.00,0.0180
3901.00,0.0180
3900.00,0.0180
3899.00,0.0180
3898.00,0.0180
3897.00,0.0180
3896.00,0.0180
3895.00,0.0179
3894.00,0.0179
3893.00,0.0179
3892.00,0.0179
3891.00,0.0179
3890.00,0.0179
3889.00,0.0179
3888.00,0.0179
3887.00,0.0179
3886.00,0.0179
3885.00,0.0179
3884.00,0.0179
3883.00,0.0179
3882.00,0.0179
3881.00,0.0179
3880.00,0.0179
3879.00,0.0179
3878.00,0.0179
3877.00,0.0179
3876.00,0.0179
3875.00,0.0178
3874.00,0.0178
3873.00,0.0178
3872.00,0.0178
3871.00,0.0178
3870.00,0.0179
3869.00,0.0179
3868.00,0.0179
3867.00,0.0179
3866.00,0.0179
3865.00,0.0179
3864.00,0.0179
3863.00,0.0178
3862.00,0.0178
3861.00,0.0178
3860.00,0.0178
3859.00,0.0178
3858.00,0.0177
3857.00,0.0176
3856.00,0.0176
3855.00,0.0175
3854.00,0.0176
3853.00,0.0176
3852.00,0.0177
3851.00,0.0178
3850.00,0.0178
3849.00,0.0178
3848.00,0.0178
3847.00,0.0178
3846.00,0.0178
3845.00,0.0178
3844.00,0.0178
3843.00,0.0177
3842.00,0.0177
3841.00,0.0177
3840.00,0.0177
3839.00,0.0177
3838.00,0.0177
3837.00,0.0177
3836.00,0.0177
3835.00,0.0177
3834.00,0.0177
3833.00,0.0177
3832.00,0.0177
3831.00,0.0177
3830.00,0.0177
3829.00,0.0177
3828.00,0.0177
3827.00,0.0177
3826.00,0.0177
3825.00,0.0177
3824.00,0.0177
3823.00,0.0177
3822.00,0.0177
3821.00,0.0177
3820.00,0.0177
3819.00,0.0177
3818.00,0.0177
3817.00,0.0177
3816.00,0.0177
3815.00,0.0176
3814.00,0.0176
3813.00,0.0176
3812.00,0.0176
3811.00,0.0176
3810.00,0.0175
3809.00,0.0175
3808.00,0.0176
3807.00,0.0176
3806.00,0.0176
3805.00,0.0176
3804.00,0.0176
3803.00,0.0176
3802.00,0.0176
3801.00,0.0176
3800.00,0.0176
3799.00,0.0176
3798.00,0.0176
3797.00,0.0176
3796.00,0.0176
3795.00,0.0176
3794.00,0.0175
3793.00,0.0175
3792.00,0.0175
3791.00,0.0175
3790.00,0.0175
3789.00,0.0175
3788.00,0.0174
3787.00,0.0174
3786.00,0.0174
3785.00,0.0174
3784.00,0.0174
3783.00,0.0175
3782.00,0.0175
3781.00,0.0175
3780.00,0.0175
3779.00,0.0175
3778.00,0.0174
3777.00,0.0174
3776.00,0.0174
3775.00,0.0174
3774.00,0.0174
3773.00,0.0174
3772.00,0.0174
3771.00,0.0174
3770.00,0.0174
3769.00,0.0174
3768.00,0.0174
3767.00,0.0174
3766.00,0.0174
3765.00,0.0174
3764.00,0.0174
3763.00,0.0174
3762.00,0.0174
3761.00,0.0174
3760.00,0.0174
3759.00,0.0174
3758.00,0.0174
3757.00,0.0174
3756.00,0.0174
3755.00,0.0174
3754.00,0.0174
3753.00,0.0174
3752.00,0.0174
3751.00,0.0175
3750.00,0.0175
3749.00,0.0175
3748.00,0.0175
3747.00,0.0175
3746.00,0.0174
3745.00,0.0174
3744.00,0.0174
3743.00,0.0174
3742.00,0.0173
3741.00,0.0174
3740.00,0.0174
3739.00,0.0174
3738.00,0.0174
3737.00,0.0174
3736.00,0.0174
3735.00,0.0174
3734.00,0.0173
3733.00,0.0173
3732.00,0.0173
3731.00,0.0172
3730.00,0.0172
3729.00,0.0172
3728.00,0.0172
3727.00,0.0172
3726.00,0.0171
3725.00,0.0171
3724.00,0.0171
3723.00,0.0171
3722.00,0.0171
3721.00,0.0171
3720.00,0.0171
3719.00,0.0171
3718.00,0.0171
3717.00,0.0171
3716.00,0.0171
3715.00,0.0171
3714.00,0.0171
3713.00,0.0172
3712.00,0.0172
3711.00,0.0171
3710.00,0.0171
3709.00,0.0171
3708.00,0.0171
3707.00,0.0171
3706.00,0.0171
3705.00,0.0170
3704.00,0.0170
3703.00,0.0170
3702.00,0.0170
3701.00,0.0169
3700.00,0.0169
3699.00,0.0169
3698.00,0.0169
3697.00,0.0169
3696.00,0.0169
3695.00,0.0169
3694.00,0.0169
3693.00,0.0169
3692.00,0.0169
3691.00,0.0169
3690.00,0.0169
3689.00,0.0170
3688.00,0.0170
3687.00,0.0170
3686.00,0.0170
