Created as New Dataset,Sample 668 By YargerLab Date Tuesday, March 17 2026
cm-1,A
4000.00,0.0173
3999.00,0.0173
3998.00,0.0173
3997.00,0.0173
3996.00,0.0173
3995.00,0.0173
3994.00,0.0172
3993.00,0.0172
3992.00,0.0172
3991.00,0.0172
3990.00,0.0172
3989.00,0.0172
3988.00,0.0172
3987.00,0.0172
3986.00,0.0172
3985.00,0.0172
3984.00,0.0172
3983.00,0.0172
3982.00,0.0172
3981.00,0.0172
3980.00,0.0172
3979.00,0.0172
3978.00,0.0172
3977.00,0.0172
3976.00,0.0172
3975.00,0.0172
3974.00,0.0172
3973.00,0.0172
3972.00,0.0172
3971.00,0.0172
3970.00,0.0172
3969.00,0.0172
3968.00,0.0172
3967.00,0.0172
3966.00,0.0172
3965.00,0.0172
3964.00,0.0172
3963.00,0.0172
3962.00,0.0172
3961.00,0.0172
3960.00,0.0172
3959.00,0.0172
3958.00,0.0172
3957.00,0.0172
3956.00,0.0172
3955.00,0.0172
3954.00,0.0172
3953.00,0.0172
3952.00,0.0172
3951.00,0.0172
3950.00,0.0172
3949.00,0.0172
3948.00,0.0172
3947.00,0.0172
3946.00,0.0172
3945.00,0.0172
3944.00,0.0172
3943.00,0.0172
3942.00,0.0172
3941.00,0.0172
3940.00,0.0172
3939.00,0.0172
3938.00,0.0172
3937.00,0.0172
3936.00,0.0172
3935.00,0.0172
3934.00,0.0173
3933.00,0.0173
3932.00,0.0173
3931.00,0.0172
3930.00,0.0172
3929.00,0.0172
3928.00,0.0172
3927.00,0.0172
3926.00,0.0172
3925.00,0.0172
3924.00,0.0172
3923.00,0.0172
3922.00,0.0172
3921.00,0.0172
3920.00,0.0172
3919.00,0.0172
3918.00,0.0172
3917.00,0.0172
3916.00,0.0172
3915.00,0.0172
3914.00,0.0171
3913.00,0.0171
3912.00,0.0171
3911.00,0.0171
3910.00,0.0171
3909.00,0.0171
3908.00,0.0171
3907.00,0.0171
3906.00,0.0171
3905.00,0.0171
3904.00,0.0171
3903.00,0.0171
3902.00,0.0172
3901.00,0.0172
3900.00,0.0172
3899.00,0.0171
3898.00,0.0171
3897.00,0.0171
3896.00,0.0171
3895.00,0.0171
3894.00,0.0171
3893.00,0.0171
3892.00,0.0171
3891.00,0.0171
3890.00,0.0171
3889.00,0.0171
3888.00,0.0171
3887.00,0.0171
3886.00,0.0171
3885.00,0.0171
3884.00,0.0171
3883.00,0.0171
3882.00,0.0171
3881.00,0.0171
3880.00,0.0170
3879.00,0.0170
3878.00,0.0171
3877.00,0.0171
3876.00,0.0171
3875.00,0.0170
3874.00,0.0170
3873.00,0.0170
3872.00,0.0170
3871.00,0.0170
3870.00,0.0170
3869.00,0.0170
3868.00,0.0170
3867.00,0.0170
3866.00,0.0170
3865.00,0.0170
3864.00,0.0170
3863.00,0.0170
3862.00,0.0170
3861.00,0.0170
3860.00,0.0170
3859.00,0.0170
3858.00,0.0170
3857.00,0.0169
3856.00,0.0169
3855.00,0.0169
3854.00,0.0169
3853.00,0.0170
3852.00,0.0170
3851.00,0.0170
3850.00,0.0170
3849.00,0.0170
3848.00,0.0170
3847.00,0.0169
3846.00,0.0169
3845.00,0.0169
3844.00,0.0169
3843.00,0.0169
3842.00,0.0169
3841.00,0.0169
3840.00,0.0169
3839.00,0.0169
3838.00,0.0169
3837.00,0.0169
3836.00,0.0169
3835.00,0.0169
3834.00,0.0169
3833.00,0.0169
3832.00,0.0169
3831.00,0.0169
3830.00,0.0169
3829.00,0.0169
3828.00,0.0169
3827.00,0.0168
3826.00,0.0168
3825.00,0.0168
3824.00,0.0168
3823.00,0.0168
3822.00,0.0168
3821.00,0.0168
3820.00,0.0168
3819.00,0.0168
3818.00,0.0169
3817.00,0.0169
3816.00,0.0168
3815.00,0.0168
3814.00,0.0168
3813.00,0.0168
3812.00,0.0168
3811.00,0.0168
3810.00,0.0168
