Created as New Dataset,Sample 679 By YargerLab Date Tuesday, March 17 2026
cm-1,A
4000.00,0.0133
3999.00,0.0133
3998.00,0.0133
3997.00,0.0133
3996.00,0.0133
3995.00,0.0133
3994.00,0.0133
3993.00,0.0133
3992.00,0.0133
3991.00,0.0133
3990.00,0.0133
3989.00,0.0133
3988.00,0.0133
3987.00,0.0133
3986.00,0.0133
3985.00,0.0133
3984.00,0.0133
3983.00,0.0133
3982.00,0.0133
3981.00,0.0134
3980.00,0.0134
3979.00,0.0134
3978.00,0.0134
3977.00,0.0133
3976.00,0.0133
3975.00,0.0133
3974.00,0.0133
3973.00,0.0133
3972.00,0.0133
3971.00,0.0133
3970.00,0.0133
3969.00,0.0133
3968.00,0.0133
3967.00,0.0133
3966.00,0.0133
3965.00,0.0133
3964.00,0.0133
3963.00,0.0133
3962.00,0.0133
3961.00,0.0133
3960.00,0.0133
3959.00,0.0133
3958.00,0.0133
3957.00,0.0133
3956.00,0.0133
3955.00,0.0133
3954.00,0.0133
3953.00,0.0133
3952.00,0.0133
3951.00,0.0133
3950.00,0.0133
3949.00,0.0134
3948.00,0.0134
3947.00,0.0134
3946.00,0.0134
3945.00,0.0134
3944.00,0.0134
3943.00,0.0134
3942.00,0.0134
3941.00,0.0134
3940.00,0.0134
3939.00,0.0134
3938.00,0.0134
3937.00,0.0134
3936.00,0.0134
3935.00,0.0134
3934.00,0.0134
3933.00,0.0134
3932.00,0.0134
3931.00,0.0133
3930.00,0.0133
3929.00,0.0133
3928.00,0.0133
3927.00,0.0133
3926.00,0.0133
3925.00,0.0133
3924.00,0.0133
3923.00,0.0133
3922.00,0.0134
3921.00,0.0134
3920.00,0.0134
3919.00,0.0134
3918.00,0.0134
3917.00,0.0134
3916.00,0.0134
3915.00,0.0133
3914.00,0.0133
3913.00,0.0133
3912.00,0.0133
3911.00,0.0133
3910.00,0.0132
3909.00,0.0132
3908.00,0.0132
3907.00,0.0132
3906.00,0.0132
3905.00,0.0133
3904.00,0.0133
3903.00,0.0134
3902.00,0.0135
3901.00,0.0135
3900.00,0.0134
3899.00,0.0134
3898.00,0.0133
3897.00,0.0133
3896.00,0.0133
3895.00,0.0133
3894.00,0.0133
3893.00,0.0132
3892.00,0.0132
3891.00,0.0132
3890.00,0.0132
3889.00,0.0132
3888.00,0.0133
3887.00,0.0133
3886.00,0.0133
3885.00,0.0133
3884.00,0.0133
3883.00,0.0133
3882.00,0.0133
3881.00,0.0133
3880.00,0.0133
3879.00,0.0133
3878.00,0.0133
3877.00,0.0133
3876.00,0.0133
3875.00,0.0133
3874.00,0.0132
3873.00,0.0132
3872.00,0.0133
3871.00,0.0133
3870.00,0.0133
3869.00,0.0133
3868.00,0.0133
3867.00,0.0133
3866.00,0.0133
3865.00,0.0133
3864.00,0.0133
3863.00,0.0132
3862.00,0.0132
3861.00,0.0133
3860.00,0.0133
3859.00,0.0132
3858.00,0.0131
3857.00,0.0131
3856.00,0.0130
3855.00,0.0130
3854.00,0.0130
3853.00,0.0131
3852.00,0.0132
3851.00,0.0132
3850.00,0.0132
3849.00,0.0133
3848.00,0.0132
3847.00,0.0132
3846.00,0.0132
3845.00,0.0132
3844.00,0.0132
3843.00,0.0132
3842.00,0.0132
3841.00,0.0132
3840.00,0.0132
3839.00,0.0132
3838.00,0.0132
3837.00,0.0132
3836.00,0.0132
3835.00,0.0132
3834.00,0.0132
3833.00,0.0132
3832.00,0.0132
3831.00,0.0132
3830.00,0.0132
3829.00,0.0132
3828.00,0.0132
3827.00,0.0131
3826.00,0.0131
3825.00,0.0131
3824.00,0.0132
3823.00,0.0132
3822.00,0.0132
3821.00,0.0132
3820.00,0.0131
3819.00,0.0131
3818.00,0.0132
3817.00,0.0132
3816.00,0.0132
3815.00,0.0131
3814.00,0.0130
3813.00,0.0130
3812.00,0.0130
3811.00,0.0130
3810.00,0.0130
3809.00,0.0130
3808.00,0.0130
3807.00,0.0130
3806.00,0.0130
3805.00,0.0131
3804.00,0.0131
3803.00,0.0131
3802.00,0.0131
3801.00,0.0131
3800.00,0.0131
3799.00,0.0131
3798.00,0.0131
3797.00,0.0132
3796.00,0.0131
3795.00,0.0131
3794.00,0.0130
