Wavenumber,Intensity
649.9545,0.060554
650.1875,0.059636
650.4205,0.058635
650.6534,0.057751
650.8864,0.057098
651.1193,0.056662
651.3523,0.056345
651.5852,0.056050
651.8182,0.055758
652.0512,0.055550
652.2841,0.055547
652.5171,0.055815
652.7500,0.056295
652.9830,0.056795
653.2160,0.057076
653.4489,0.056975
653.6819,0.056508
653.9148,0.055862
654.1478,0.055310
654.3807,0.055068
654.6137,0.055190
654.8467,0.055532
655.0796,0.055833
655.3126,0.055851
655.5455,0.055499
655.7785,0.054885
656.0115,0.054247
656.2444,0.053824
656.4774,0.053733
656.7103,0.053912
656.9433,0.054159
657.1763,0.054245
657.4092,0.054046
657.6422,0.053598
657.8751,0.053067
658.1081,0.052659
658.3410,0.052508
658.5740,0.052624
658.8070,0.052900
659.0399,0.053198
659.2729,0.053434
659.5058,0.053628
659.7388,0.053872
659.9718,0.054256
660.2047,0.054788
660.4377,0.055367
660.6706,0.055819
660.9036,0.055991
661.1365,0.055835
661.3695,0.055431
661.6025,0.054955
661.8354,0.054584
662.0684,0.054424
662.3013,0.054464
662.5343,0.054601
662.7673,0.054716
663.0002,0.054747
663.2332,0.054718
663.4661,0.054709
663.6991,0.054794
663.9321,0.054980
664.1650,0.055195
664.3980,0.055325
664.6309,0.055289
664.8639,0.055094
665.0968,0.054839
665.3298,0.054660
665.5628,0.054650
665.7957,0.054797
666.0287,0.054965
666.2616,0.054950
666.4946,0.054560
666.7276,0.053694
666.9605,0.052394
667.1935,0.050863
667.4264,0.049451
667.6594,0.048568
667.8923,0.048472
668.1253,0.049072
668.3583,0.049992
668.5912,0.050891
668.8242,0.051668
669.0571,0.052393
669.2901,0.053160
669.5231,0.053988
669.7560,0.054797
669.9890,0.055452
670.2219,0.055828
670.4549,0.055882
670.6879,0.055681
670.9208,0.055369
671.1538,0.055099
671.3867,0.054964
671.6197,0.054960
671.8526,0.055009
672.0856,0.055020
672.3186,0.054952
672.5515,0.054843
672.7845,0.054781
673.0174,0.054846
673.2504,0.055051
673.4834,0.055321
673.7163,0.055523
673.9493,0.055535
674.1822,0.055314
674.4152,0.054914
674.6481,0.054458
674.8811,0.054070
675.1141,0.053814
675.3470,0.053670
675.5800,0.053559
675.8129,0.053402
676.0459,0.053178
676.2789,0.052942
676.5118,0.052796
676.7448,0.052827
676.9777,0.053052
677.2107,0.053396
677.4437,0.053733
677.6766,0.053943
677.9096,0.053980
678.1425,0.053894
678.3755,0.053792
678.6084,0.053779
678.8414,0.053895
679.0744,0.054091
679.3073,0.054262
679.5403,0.054301
679.7732,0.054169
680.0062,0.053902
680.2392,0.053592
680.4721,0.053322
680.7051,0.053120
680.9380,0.052942
681.1710,0.052708
681.4039,0.052356
681.6369,0.051899
681.8699,0.051430
682.1028,0.051079
682.3358,0.050950
682.5687,0.051060
682.8017,0.051320
683.0347,0.051573
683.2676,0.051670
683.5006,0.051538
683.7335,0.051207
683.9665,0.050786
684.1995,0.050398
684.4324,0.050118
684.6654,0.049942
684.8983,0.049803
685.1313,0.049625
685.3642,0.049371
685.5972,0.049070
685.8302,0.048797
686.0631,0.048618
686.2961,0.048551
686.5290,0.048541
686.7620,0.048491
686.9950,0.048316
687.2279,0.047989
687.4609,0.047562
687.6938,0.047138
687.9268,0.046815
688.1597,0.046634
688.3927,0.046564
688.6257,0.046522
688.8586,0.046423
689.0916,0.046239
689.3245,0.046011
689.5575,0.045828
689.7905,0.045771
690.0234,0.045867
690.2564,0.046069
690.4893,0.046278
690.7223,0.046396
690.9553,0.046377
691.1882,0.046246
691.4212,0.046075
691.6541,0.045934
691.8871,0.045847
692.1200,0.045778
692.3530,0.045653
692.5860,0.045415
692.8189,0.045062
693.0519,0.044665
693.2848,0.044334
693.5178,0.044167
693.7508,0.044197
693.9837,0.044379
694.2167,0.044611
694.4496,0.044793
694.6826,0.044875
694.9155,0.044885
695.1485,0.044898
695.3815,0.044990
695.6144,0.045185
