Created as New Dataset,Sample 443 By YargerLab Date Thursday, February 27 2025
cm-1,%T
4000.00,98.11
3999.00,98.11
3998.00,98.11
3997.00,98.11
3996.00,98.11
3995.00,98.11
3994.00,98.12
3993.00,98.13
3992.00,98.13
3991.00,98.14
3990.00,98.14
3989.00,98.14
3988.00,98.14
3987.00,98.13
3986.00,98.13
3985.00,98.12
3984.00,98.12
3983.00,98.12
3982.00,98.12
3981.00,98.12
3980.00,98.11
3979.00,98.12
3978.00,98.12
3977.00,98.13
3976.00,98.13
3975.00,98.13
3974.00,98.12
3973.00,98.12
3972.00,98.12
3971.00,98.12
3970.00,98.13
3969.00,98.14
3968.00,98.14
3967.00,98.14
3966.00,98.14
3965.00,98.13
3964.00,98.12
3963.00,98.12
3962.00,98.13
3961.00,98.13
3960.00,98.13
3959.00,98.13
3958.00,98.13
3957.00,98.12
3956.00,98.12
3955.00,98.12
3954.00,98.12
3953.00,98.12
3952.00,98.13
3951.00,98.13
3950.00,98.14
3949.00,98.14
3948.00,98.13
3947.00,98.13
3946.00,98.12
3945.00,98.11
3944.00,98.11
3943.00,98.12
3942.00,98.12
3941.00,98.13
3940.00,98.14
3939.00,98.15
3938.00,98.15
3937.00,98.15
3936.00,98.15
3935.00,98.15
3934.00,98.15
3933.00,98.15
3932.00,98.15
3931.00,98.15
3930.00,98.14
3929.00,98.13
3928.00,98.12
3927.00,98.12
3926.00,98.13
3925.00,98.13
3924.00,98.14
3923.00,98.14
3922.00,98.14
3921.00,98.14
3920.00,98.14
3919.00,98.14
3918.00,98.14
3917.00,98.14
3916.00,98.14
3915.00,98.14
3914.00,98.15
3913.00,98.15
3912.00,98.14
3911.00,98.14
3910.00,98.14
3909.00,98.14
3908.00,98.14
3907.00,98.14
3906.00,98.15
3905.00,98.15
3904.00,98.16
3903.00,98.16
3902.00,98.16
3901.00,98.16
3900.00,98.16
3899.00,98.17
3898.00,98.18
3897.00,98.18
3896.00,98.18
3895.00,98.17
3894.00,98.16
3893.00,98.16
3892.00,98.15
