Created as New Dataset,Sample 461 By YargerLab Date Saturday, March 01 2025
cm-1,A
4000.00,-0.0113
3999.00,-0.0113
3998.00,-0.0113
3997.00,-0.0113
3996.00,-0.0113
3995.00,-0.0113
3994.00,-0.0113
3993.00,-0.0113
3992.00,-0.0113
3991.00,-0.0113
3990.00,-0.0113
3989.00,-0.0113
3988.00,-0.0113
3987.00,-0.0113
3986.00,-0.0113
3985.00,-0.0113
3984.00,-0.0113
3983.00,-0.0113
3982.00,-0.0114
3981.00,-0.0114
3980.00,-0.0114
3979.00,-0.0114
3978.00,-0.0114
3977.00,-0.0113
3976.00,-0.0113
3975.00,-0.0113
3974.00,-0.0114
3973.00,-0.0114
3972.00,-0.0114
3971.00,-0.0114
3970.00,-0.0114
3969.00,-0.0114
3968.00,-0.0114
3967.00,-0.0114
3966.00,-0.0114
3965.00,-0.0114
3964.00,-0.0114
3963.00,-0.0115
3962.00,-0.0115
3961.00,-0.0115
3960.00,-0.0114
3959.00,-0.0114
3958.00,-0.0114
3957.00,-0.0115
3956.00,-0.0115
3955.00,-0.0115
3954.00,-0.0115
3953.00,-0.0114
3952.00,-0.0114
3951.00,-0.0114
3950.00,-0.0114
3949.00,-0.0114
3948.00,-0.0114
3947.00,-0.0114
3946.00,-0.0115
3945.00,-0.0115
3944.00,-0.0115
3943.00,-0.0114
3942.00,-0.0114
3941.00,-0.0114
3940.00,-0.0115
3939.00,-0.0115
3938.00,-0.0115
3937.00,-0.0116
3936.00,-0.0116
3935.00,-0.0116
3934.00,-0.0116
3933.00,-0.0116
3932.00,-0.0116
3931.00,-0.0116
3930.00,-0.0116
3929.00,-0.0116
3928.00,-0.0116
3927.00,-0.0116
3926.00,-0.0116
3925.00,-0.0116
3924.00,-0.0116
3923.00,-0.0116
3922.00,-0.0116
3921.00,-0.0116
3920.00,-0.0116
3919.00,-0.0116
3918.00,-0.0116
3917.00,-0.0116
3916.00,-0.0116
3915.00,-0.0116
3914.00,-0.0116
3913.00,-0.0117
3912.00,-0.0117
3911.00,-0.0117
3910.00,-0.0117
3909.00,-0.0117
3908.00,-0.0117
3907.00,-0.0117
3906.00,-0.0117
3905.00,-0.0117
3904.00,-0.0117
3903.00,-0.0117
3902.00,-0.0118
3901.00,-0.0118
3900.00,-0.0118
3899.00,-0.0118
3898.00,-0.0118
3897.00,-0.0118
3896.00,-0.0118
3895.00,-0.0118
3894.00,-0.0119
3893.00,-0.0119
3892.00,-0.0119
3891.00,-0.0119
3890.00,-0.0119
3889.00,-0.0119
3888.00,-0.0118
3887.00,-0.0118
3886.00,-0.0118
3885.00,-0.0118
3884.00,-0.0119
3883.00,-0.0119
3882.00,-0.0120
3881.00,-0.0120
3880.00,-0.0119
3879.00,-0.0119
3878.00,-0.0119
3877.00,-0.0119
3876.00,-0.0119
3875.00,-0.0119
3874.00,-0.0119
3873.00,-0.0119
3872.00,-0.0120
3871.00,-0.0120
3870.00,-0.0120
3869.00,-0.0120
3868.00,-0.0121
3867.00,-0.0121
3866.00,-0.0121
3865.00,-0.0120
3864.00,-0.0120
3863.00,-0.0120
3862.00,-0.0120
3861.00,-0.0120
3860.00,-0.0120
3859.00,-0.0121
3858.00,-0.0121
3857.00,-0.0121
3856.00,-0.0121
3855.00,-0.0121
3854.00,-0.0121
3853.00,-0.0121
3852.00,-0.0121
3851.00,-0.0121
3850.00,-0.0121
3849.00,-0.0121
3848.00,-0.0121
3847.00,-0.0121
3846.00,-0.0121
3845.00,-0.0122
3844.00,-0.0122
3843.00,-0.0122
3842.00,-0.0122
3841.00,-0.0122
3840.00,-0.0123
3839.00,-0.0123
3838.00,-0.0123
3837.00,-0.0122
3836.00,-0.0122
3835.00,-0.0122
3834.00,-0.0122
3833.00,-0.0122
3832.00,-0.0122
3831.00,-0.0122
3830.00,-0.0122
3829.00,-0.0122
3828.00,-0.0122
3827.00,-0.0122
3826.00,-0.0122
3825.00,-0.0122
3824.00,-0.0123
3823.00,-0.0123
3822.00,-0.0123
3821.00,-0.0123
3820.00,-0.0122
3819.00,-0.0122
3818.00,-0.0122
3817.00,-0.0122
3816.00,-0.0122
3815.00,-0.0122
3814.00,-0.0122
3813.00,-0.0123
3812.00,-0.0123
3811.00,-0.0123
3810.00,-0.0123
3809.00,-0.0124
3808.00,-0.0124
3807.00,-0.0124
3806.00,-0.0124
3805.00,-0.0124
3804.00,-0.0124
3803.00,-0.0124
3802.00,-0.0124
3801.00,-0.0123
3800.00,-0.0123
3799.00,-0.0123
3798.00,-0.0123
3797.00,-0.0123
3796.00,-0.0123
3795.00,-0.0123
3794.00,-0.0123
3793.00,-0.0123
3792.00,-0.0123
3791.00,-0.0123
3790.00,-0.0123
3789.00,-0.0123
