Created as New Dataset,Sample 496 By YargerLab Date Sunday, April 13 2025
cm-1,A
4000.00,0.0012
3999.00,0.0012
3998.00,0.0012
3997.00,0.0012
3996.00,0.0012
3995.00,0.0012
3994.00,0.0012
3993.00,0.0012
3992.00,0.0012
3991.00,0.0012
3990.00,0.0012
3989.00,0.0012
3988.00,0.0012
3987.00,0.0012
3986.00,0.0013
3985.00,0.0012
3984.00,0.0012
3983.00,0.0012
3982.00,0.0012
3981.00,0.0012
3980.00,0.0013
3979.00,0.0013
3978.00,0.0013
3977.00,0.0013
3976.00,0.0012
3975.00,0.0012
3974.00,0.0012
3973.00,0.0012
3972.00,0.0012
3971.00,0.0012
3970.00,0.0012
3969.00,0.0012
3968.00,0.0012
3967.00,0.0012
3966.00,0.0012
3965.00,0.0012
3964.00,0.0012
3963.00,0.0013
3962.00,0.0012
3961.00,0.0012
3960.00,0.0012
3959.00,0.0012
3958.00,0.0012
3957.00,0.0012
3956.00,0.0012
3955.00,0.0012
3954.00,0.0012
3953.00,0.0012
3952.00,0.0012
3951.00,0.0012
3950.00,0.0013
3949.00,0.0014
3948.00,0.0015
3947.00,0.0015
3946.00,0.0015
3945.00,0.0015
3944.00,0.0014
3943.00,0.0013
3942.00,0.0013
3941.00,0.0013
3940.00,0.0014
3939.00,0.0014
3938.00,0.0014
3937.00,0.0014
3936.00,0.0014
3935.00,0.0015
3934.00,0.0016
3933.00,0.0016
3932.00,0.0016
3931.00,0.0015
3930.00,0.0014
3929.00,0.0014
3928.00,0.0014
3927.00,0.0014
3926.00,0.0014
3925.00,0.0013
3924.00,0.0013
3923.00,0.0013
3922.00,0.0015
3921.00,0.0016
3920.00,0.0017
3919.00,0.0017
3918.00,0.0017
3917.00,0.0016
3916.00,0.0015
3915.00,0.0014
3914.00,0.0013
3913.00,0.0013
3912.00,0.0012
3911.00,0.0012
3910.00,0.0012
3909.00,0.0012
3908.00,0.0012
3907.00,0.0013
3906.00,0.0014
3905.00,0.0016
3904.00,0.0019
3903.00,0.0022
3902.00,0.0024
3901.00,0.0024
3900.00,0.0023
3899.00,0.0020
3898.00,0.0019
3897.00,0.0018
3896.00,0.0017
3895.00,0.0017
3894.00,0.0016
3893.00,0.0014
3892.00,0.0014
3891.00,0.0014
3890.00,0.0015
3889.00,0.0017
3888.00,0.0019
3887.00,0.0020
3886.00,0.0020
3885.00,0.0018
3884.00,0.0018
3883.00,0.0019
3882.00,0.0020
3881.00,0.0020
3880.00,0.0019
3879.00,0.0018
3878.00,0.0019
3877.00,0.0020
3876.00,0.0020
3875.00,0.0020
3874.00,0.0018
3873.00,0.0018
3872.00,0.0020
3871.00,0.0022
3870.00,0.0022
3869.00,0.0021
3868.00,0.0021
3867.00,0.0022
3866.00,0.0023
3865.00,0.0022
3864.00,0.0021
3863.00,0.0020
3862.00,0.0021
3861.00,0.0021
3860.00,0.0021
3859.00,0.0019
3858.00,0.0016
3857.00,0.0012
3856.00,0.0010
3855.00,0.0010
3854.00,0.0011
3853.00,0.0014
3852.00,0.0016
3851.00,0.0019
3850.00,0.0021
3849.00,0.0021
3848.00,0.0021
3847.00,0.0021
3846.00,0.0020
3845.00,0.0020
3844.00,0.0021
3843.00,0.0021
3842.00,0.0022
3841.00,0.0023
3840.00,0.0023
3839.00,0.0022
3838.00,0.0022
3837.00,0.0021
3836.00,0.0021
3835.00,0.0021
3834.00,0.0021
3833.00,0.0022
3832.00,0.0021
3831.00,0.0021
3830.00,0.0020
3829.00,0.0020
3828.00,0.0020
3827.00,0.0019
3826.00,0.0019
3825.00,0.0019
3824.00,0.0020
3823.00,0.0023
3822.00,0.0023
3821.00,0.0022
3820.00,0.0021
3819.00,0.0021
3818.00,0.0022
3817.00,0.0023
3816.00,0.0021
3815.00,0.0018
3814.00,0.0016
3813.00,0.0016
3812.00,0.0015
3811.00,0.0015
3810.00,0.0014
3809.00,0.0015
3808.00,0.0016
3807.00,0.0017
3806.00,0.0018
3805.00,0.0019
3804.00,0.0022
3803.00,0.0023
3802.00,0.0023
3801.00,0.0020
3800.00,0.0019
3799.00,0.0019
3798.00,0.0020
3797.00,0.0020
3796.00,0.0018
3795.00,0.0016
3794.00,0.0014
3793.00,0.0013
3792.00,0.0012
3791.00,0.0011
3790.00,0.0011
3789.00,0.0011
3788.00,0.0011
3787.00,0.0012
3786.00,0.0012
3785.00,0.0012
3784.00,0.0013
3783.00,0.0013
3782.00,0.0015
3781.00,0.0016
3780.00,0.0015
3779.00,0.0014
3778.00,0.0014
3777.00,0.0013
