Created as New Dataset,Sample 603 By YargerLab Date Thursday, June 05 2025
cm-1,A
4000.00,0.0073
3999.00,0.0073
3998.00,0.0073
3997.00,0.0073
3996.00,0.0073
3995.00,0.0073
3994.00,0.0073
3993.00,0.0072
3992.00,0.0072
3991.00,0.0072
3990.00,0.0072
3989.00,0.0072
3988.00,0.0072
3987.00,0.0073
3986.00,0.0073
3985.00,0.0073
3984.00,0.0073
3983.00,0.0073
3982.00,0.0073
3981.00,0.0072
3980.00,0.0072
3979.00,0.0072
3978.00,0.0073
3977.00,0.0073
3976.00,0.0073
3975.00,0.0073
3974.00,0.0073
3973.00,0.0073
3972.00,0.0073
3971.00,0.0073
3970.00,0.0073
3969.00,0.0073
3968.00,0.0073
3967.00,0.0072
3966.00,0.0072
3965.00,0.0072
3964.00,0.0072
3963.00,0.0072
3962.00,0.0072
3961.00,0.0072
3960.00,0.0072
3959.00,0.0072
3958.00,0.0072
3957.00,0.0072
3956.00,0.0072
3955.00,0.0072
3954.00,0.0072
3953.00,0.0072
3952.00,0.0072
3951.00,0.0072
3950.00,0.0072
3949.00,0.0072
3948.00,0.0071
3947.00,0.0071
3946.00,0.0071
3945.00,0.0071
3944.00,0.0071
3943.00,0.0072
3942.00,0.0072
3941.00,0.0072
3940.00,0.0072
3939.00,0.0072
3938.00,0.0072
3937.00,0.0072
3936.00,0.0072
3935.00,0.0072
3934.00,0.0072
3933.00,0.0072
3932.00,0.0072
3931.00,0.0072
3930.00,0.0071
3929.00,0.0071
3928.00,0.0071
3927.00,0.0071
3926.00,0.0071
3925.00,0.0071
3924.00,0.0071
3923.00,0.0071
3922.00,0.0071
3921.00,0.0071
3920.00,0.0071
3919.00,0.0071
3918.00,0.0071
3917.00,0.0071
3916.00,0.0071
3915.00,0.0071
3914.00,0.0071
3913.00,0.0071
3912.00,0.0071
3911.00,0.0071
3910.00,0.0071
3909.00,0.0071
3908.00,0.0071
3907.00,0.0071
3906.00,0.0071
3905.00,0.0071
3904.00,0.0071
3903.00,0.0070
3902.00,0.0070
3901.00,0.0070
3900.00,0.0070
3899.00,0.0070
3898.00,0.0070
3897.00,0.0070
3896.00,0.0070
3895.00,0.0070
3894.00,0.0070
3893.00,0.0071
3892.00,0.0071
3891.00,0.0070
3890.00,0.0070
3889.00,0.0070
3888.00,0.0070
3887.00,0.0070
3886.00,0.0069
3885.00,0.0070
3884.00,0.0070
3883.00,0.0069
3882.00,0.0069
3881.00,0.0069
3880.00,0.0069
3879.00,0.0069
3878.00,0.0069
3877.00,0.0069
3876.00,0.0068
3875.00,0.0068
3874.00,0.0069
3873.00,0.0069
3872.00,0.0068
3871.00,0.0068
3870.00,0.0068
3869.00,0.0068
3868.00,0.0068
3867.00,0.0068
3866.00,0.0068
3865.00,0.0068
3864.00,0.0068
3863.00,0.0069
3862.00,0.0069
3861.00,0.0068
3860.00,0.0068
3859.00,0.0069
3858.00,0.0069
3857.00,0.0070
3856.00,0.0070
3855.00,0.0069
3854.00,0.0068
3853.00,0.0068
3852.00,0.0067
3851.00,0.0067
3850.00,0.0067
3849.00,0.0067
3848.00,0.0067
3847.00,0.0067
3846.00,0.0068
3845.00,0.0068
3844.00,0.0068
3843.00,0.0068
3842.00,0.0067
3841.00,0.0067
3840.00,0.0067
3839.00,0.0066
3838.00,0.0066
3837.00,0.0066
3836.00,0.0066
3835.00,0.0067
3834.00,0.0067
3833.00,0.0067
3832.00,0.0067
3831.00,0.0067
3830.00,0.0067
3829.00,0.0067
3828.00,0.0067
3827.00,0.0067
3826.00,0.0067
3825.00,0.0067
3824.00,0.0067
3823.00,0.0066
3822.00,0.0066
3821.00,0.0066
3820.00,0.0066
3819.00,0.0065
3818.00,0.0065
3817.00,0.0065
3816.00,0.0066
3815.00,0.0066
3814.00,0.0067
3813.00,0.0067
3812.00,0.0067
3811.00,0.0068
3810.00,0.0068
3809.00,0.0067
3808.00,0.0067
3807.00,0.0066
3806.00,0.0066
3805.00,0.0066
3804.00,0.0066
3803.00,0.0065
3802.00,0.0065
3801.00,0.0066
3800.00,0.0066
3799.00,0.0066
3798.00,0.0066
3797.00,0.0066
3796.00,0.0066
3795.00,0.0067
3794.00,0.0067
3793.00,0.0067
3792.00,0.0067
3791.00,0.0067
3790.00,0.0067
3789.00,0.0067
3788.00,0.0067
3787.00,0.0067
3786.00,0.0067
3785.00,0.0067
3784.00,0.0067
3783.00,0.0067
3782.00,0.0067
3781.00,0.0066
3780.00,0.0066
3779.00,0.0067
3778.00,0.0067
3777.00,0.0067
3776.00,0.0067
3775.00,0.0066
3774.00,0.0066
3773.00,0.0067
3772.00,0.0067
3771.00,0.0067
3770.00,0.0067
3769.00,0.0067
3768.00,0.0066
3767.00,0.0066
3766.00,0.0065
3765.00,0.0065
3764.00,0.0066
3763.00,0.0066
3762.00,0.0066
3761.00,0.0066
3760.00,0.0066
3759.00,0.0066
3758.00,0.0066
3757.00,0.0065
3756.00,0.0065
3755.00,0.0065
3754.00,0.0065
3753.00,0.0065
3752.00,0.0065
3751.00,0.0064
3750.00,0.0064
3749.00,0.0063
3748.00,0.0063
3747.00,0.0063
3746.00,0.0063
3745.00,0.0063
3744.00,0.0063
3743.00,0.0063
3742.00,0.0063
3741.00,0.0062
3740.00,0.0062
3739.00,0.0062
3738.00,0.0061
3737.00,0.0061
3736.00,0.0061
3735.00,0.0061
3734.00,0.0061
3733.00,0.0061
3732.00,0.0062
3731.00,0.0062
3730.00,0.0062
3729.00,0.0062
3728.00,0.0062
3727.00,0.0062
3726.00,0.0063
3725.00,0.0063
3724.00,0.0063
3723.00,0.0063
3722.00,0.0063
3721.00,0.0063
3720.00,0.0063
3719.00,0.0063
3718.00,0.0064
3717.00,0.0064
3716.00,0.0064
3715.00,0.0064
3714.00,0.0063
3713.00,0.0062
3712.00,0.0062
3711.00,0.0062
3710.00,0.0062
3709.00,0.0062
3708.00,0.0062
3707.00,0.0062
3706.00,0.0062
3705.00,0.0063
3704.00,0.0063
3703.00,0.0063
3702.00,0.0063
3701.00,0.0063
3700.00,0.0063
3699.00,0.0063
3698.00,0.0063
3697.00,0.0063
3696.00,0.0063
3695.00,0.0063
3694.00,0.0063
3693.00,0.0063
3692.00,0.0063
3691.00,0.0063
3690.00,0.0062
3689.00,0.0062
3688.00,0.0062
3687.00,0.0062
3686.00,0.0062
3685.00,0.0062
3684.00,0.0062
3683.00,0.0062
3682.00,0.0062
3681.00,0.0062
3680.00,0.0062
3679.00,0.0062
3678.00,0.0062
3677.00,0.0061
3676.00,0.0061
3675.00,0.0061
3674.00,0.0061
3673.00,0.0061
3672.00,0.0061
3671.00,0.0061
3670.00,0.0062
3669.00,0.0062
3668.00,0.0063
3667.00,0.0063
3666.00,0.0063
3665.00,0.0063
3664.00,0.0063
3663.00,0.0064
3662.00,0.0064
3661.00,0.0064
3660.00,0.0064
3659.00,0.0064
3658.00,0.0064
3657.00,0.0064
3656.00,0.0065
3655.00,0.0065
3654.00,0.0065
3653.00,0.0064
3652.00,0.0064
3651.00,0.0063
3650.00,0.0063
3649.00,0.0063
3648.00,0.0064
3647.00,0.0064
3646.00,0.0065
3645.00,0.0066
3644.00,0.0066
3643.00,0.0067
3642.00,0.0067
3641.00,0.0068
3640.00,0.0068
3639.00,0.0068
3638.00,0.0068
3637.00,0.0069
3636.00,0.0069
3635.00,0.0069
3634.00,0.0070
3633.00,0.0070
3632.00,0.0070
3631.00,0.0070
3630.00,0.0070
3629.00,0.0070
3628.00,0.0071
3627.00,0.0071
3626.00,0.0071
3625.00,0.0071
3624.00,0.0072
3623.00,0.0072
3622.00,0.0073
3621.00,0.0073
3620.00,0.0074
3619.00,0.0074
3618.00,0.0075
3617.00,0.0075
3616.00,0.0074
3615.00,0.0074
3614.00,0.0074
3613.00,0.0075
3612.00,0.0076
3611.00,0.0076
3610.00,0.0077
3609.00,0.0077
3608.00,0.0078
3607.00,0.0078
3606.00,0.0078
3605.00,0.0078
3604.00,0.0078
3603.00,0.0079
3602.00,0.0079
3601.00,0.0079
3600.00,0.0080
3599.00,0.0080
3598.00,0.0081
3597.00,0.0081
3596.00,0.0081
3595.00,0.0081
3594.00,0.0082
3593.00,0.0082
3592.00,0.0083
3591.00,0.0083
3590.00,0.0083
3589.00,0.0084
3588.00,0.0084
3587.00,0.0085
3586.00,0.0086
3585.00,0.0086
3584.00,0.0086
3583.00,0.0087
3582.00,0.0087
3581.00,0.0088
3580.00,0.0088
3579.00,0.0089
3578.00,0.0089
3577.00,0.0089
3576.00,0.0089
3575.00,0.0090
3574.00,0.0091
3573.00,0.0091
3572.00,0.0091
3571.00,0.0091
3570.00,0.0091
3569.00,0.0091
3568.00,0.0092
3567.00,0.0093
3566.00,0.0094
3565.00,0.0095
3564.00,0.0095
3563.00,0.0095
3562.00,0.0095
3561.00,0.0096
3560.00,0.0097
3559.00,0.0098
3558.00,0.0098
3557.00,0.0099
3556.00,0.0099
3555.00,0.0100
3554.00,0.0100
3553.00,0.0100
3552.00,0.0101
3551.00,0.0101
3550.00,0.0101
3549.00,0.0101
3548.00,0.0101
3547.00,0.0102
3546.00,0.0103
3545.00,0.0104
3544.00,0.0104
3543.00,0.0105
3542.00,0.0105
3541.00,0.0106
3540.00,0.0106
3539.00,0.0107
3538.00,0.0107
3537.00,0.0108
3536.00,0.0109
3535.00,0.0109
3534.00,0.0109
3533.00,0.0109
3532.00,0.0110
3531.00,0.0110
3530.00,0.0110
3529.00,0.0111
3528.00,0.0112
3527.00,0.0112
3526.00,0.0113
3525.00,0.0113
3524.00,0.0114
3523.00,0.0114
3522.00,0.0115
3521.00,0.0115
3520.00,0.0115
3519.00,0.0116
3518.00,0.0116
3517.00,0.0117
3516.00,0.0117
3515.00,0.0118
3514.00,0.0119
3513.00,0.0119
3512.00,0.0119
3511.00,0.0120
3510.00,0.0120
3509.00,0.0121
3508.00,0.0122
3507.00,0.0122
3506.00,0.0122
3505.00,0.0122
3504.00,0.0123
3503.00,0.0124
3502.00,0.0125
3501.00,0.0125
3500.00,0.0126
3499.00,0.0126
3498.00,0.0127
3497.00,0.0127
3496.00,0.0128
3495.00,0.0128
3494.00,0.0129
3493.00,0.0129
3492.00,0.0130
3491.00,0.0130
3490.00,0.0131
3489.00,0.0132
3488.00,0.0132
3487.00,0.0133
3486.00,0.0133
3485.00,0.0134
3484.00,0.0134
3483.00,0.0135
3482.00,0.0135
3481.00,0.0136
3480.00,0.0136
3479.00,0.0137
3478.00,0.0137
3477.00,0.0137
3476.00,0.0138
3475.00,0.0138
3474.00,0.0139
3473.00,0.0140
3472.00,0.0140
3471.00,0.0141
3470.00,0.0142
3469.00,0.0143
3468.00,0.0144
3467.00,0.0145
3466.00,0.0146
3465.00,0.0146
3464.00,0.0147
3463.00,0.0147
3462.00,0.0148
3461.00,0.0149
3460.00,0.0150
3459.00,0.0150
3458.00,0.0151
3457.00,0.0152
3456.00,0.0154
3455.00,0.0155
3454.00,0.0156
3453.00,0.0157
3452.00,0.0158
3451.00,0.0159
3450.00,0.0159
3449.00,0.0160
3448.00,0.0161
3447.00,0.0162
3446.00,0.0162
3445.00,0.0163
3444.00,0.0163
3443.00,0.0163
3442.00,0.0164
3441.00,0.0164
3440.00,0.0165
3439.00,0.0165
3438.00,0.0166
3437.00,0.0166
3436.00,0.0167
3435.00,0.0167
3434.00,0.0168
3433.00,0.0169
3432.00,0.0169
3431.00,0.0170
3430.00,0.0171
3429.00,0.0172
3428.00,0.0173
3427.00,0.0173
3426.00,0.0174
3425.00,0.0175
3424.00,0.0175
3423.00,0.0176
3422.00,0.0177
3421.00,0.0178
3420.00,0.0179
3419.00,0.0180
3418.00,0.0181
3417.00,0.0182
3416.00,0.0183
3415.00,0.0184
3414.00,0.0184
3413.00,0.0185
3412.00,0.0186
3411.00,0.0187
3410.00,0.0187
3409.00,0.0188
3408.00,0.0189
3407.00,0.0190
3406.00,0.0191
3405.00,0.0191
3404.00,0.0192
3403.00,0.0193
3402.00,0.0194
3401.00,0.0195
3400.00,0.0196
3399.00,0.0196
3398.00,0.0197
3397.00,0.0198
3396.00,0.0199
3395.00,0.0199
3394.00,0.0200
3393.00,0.0200
3392.00,0.0201
3391.00,0.0202
3390.00,0.0204
3389.00,0.0205
3388.00,0.0206
3387.00,0.0207
3386.00,0.0208
3385.00,0.0209
3384.00,0.0210
3383.00,0.0211
3382.00,0.0212
3381.00,0.0213
3380.00,0.0214
3379.00,0.0214
3378.00,0.0215
3377.00,0.0216
3376.00,0.0217
3375.00,0.0218
3374.00,0.0219
3373.00,0.0219
3372.00,0.0220
3371.00,0.0221
3370.00,0.0222
3369.00,0.0223
3368.00,0.0225
3367.00,0.0226
3366.00,0.0228
3365.00,0.0229
3364.00,0.0231
3363.00,0.0232
3362.00,0.0233
3361.00,0.0234
3360.00,0.0235
3359.00,0.0237
3358.00,0.0238
3357.00,0.0239
3356.00,0.0241
3355.00,0.0242
3354.00,0.0243
3353.00,0.0244
3352.00,0.0245
3351.00,0.0246
3350.00,0.0247
3349.00,0.0249
3348.00,0.0251
3347.00,0.0252
3346.00,0.0254
3345.00,0.0255
3344.00,0.0256
3343.00,0.0257
3342.00,0.0259
3341.00,0.0260
3340.00,0.0261
3339.00,0.0262
3338.00,0.0264
3337.00,0.0266
3336.00,0.0268
3335.00,0.0270
3334.00,0.0271
3333.00,0.0273
3332.00,0.0274
3331.00,0.0275
3330.00,0.0277
3329.00,0.0278
3328.00,0.0279
3327.00,0.0280
3326.00,0.0281
3325.00,0.0283
3324.00,0.0286
3323.00,0.0288
3322.00,0.0290
3321.00,0.0291
3320.00,0.0293
3319.00,0.0294
3318.00,0.0295
3317.00,0.0297
3316.00,0.0298
3315.00,0.0300
3314.00,0.0301
3313.00,0.0302
3312.00,0.0303
3311.00,0.0303
3310.00,0.0304
3309.00,0.0304
3308.00,0.0305
3307.00,0.0306
3306.00,0.0308
3305.00,0.0310
3304.00,0.0313
3303.00,0.0316
3302.00,0.0318
3301.00,0.0319
3300.00,0.0320
3299.00,0.0320
3298.00,0.0321
3297.00,0.0321
3296.00,0.0322
3295.00,0.0322
3294.00,0.0323
3293.00,0.0325
3292.00,0.0326
3291.00,0.0328
3290.00,0.0330
3289.00,0.0331
3288.00,0.0332
3287.00,0.0332
3286.00,0.0333
3285.00,0.0333
3284.00,0.0333
3283.00,0.0334
3282.00,0.0334
3281.00,0.0334
3280.00,0.0334
3279.00,0.0334
3278.00,0.0333
3277.00,0.0332
3276.00,0.0331
3275.00,0.0330
3274.00,0.0328
3273.00,0.0327
3272.00,0.0325
3271.00,0.0325
3270.00,0.0325
3269.00,0.0325
3268.00,0.0325
3267.00,0.0324
3266.00,0.0323
3265.00,0.0322
3264.00,0.0321
3263.00,0.0319
3262.00,0.0318
3261.00,0.0317
3260.00,0.0315
3259.00,0.0313
3258.00,0.0311
3257.00,0.0309
3256.00,0.0308
3255.00,0.0306
3254.00,0.0306
3253.00,0.0305
3252.00,0.0303
3251.00,0.0302
3250.00,0.0299
3249.00,0.0297
3248.00,0.0295
3247.00,0.0293
3246.00,0.0292
3245.00,0.0292
3244.00,0.0291
3243.00,0.0290
3242.00,0.0289
3241.00,0.0288
3240.00,0.0286
3239.00,0.0285
3238.00,0.0283
3237.00,0.0281
3236.00,0.0279
3235.00,0.0277
3234.00,0.0276
3233.00,0.0275
3232.00,0.0275
3231.00,0.0275
3230.00,0.0275
3229.00,0.0274
3228.00,0.0274
3227.00,0.0273
3226.00,0.0272
3225.00,0.0271
3224.00,0.0270
3223.00,0.0269
3222.00,0.0268
3221.00,0.0267
3220.00,0.0266
3219.00,0.0265
3218.00,0.0265
3217.00,0.0264
3216.00,0.0263
3215.00,0.0262
3214.00,0.0262
3213.00,0.0261
3212.00,0.0260
3211.00,0.0259
3210.00,0.0259
3209.00,0.0258
3208.00,0.0257
3207.00,0.0257
3206.00,0.0256
3205.00,0.0255
3204.00,0.0255
3203.00,0.0254
3202.00,0.0253
3201.00,0.0252
3200.00,0.0251
3199.00,0.0250
3198.00,0.0249
3197.00,0.0248
3196.00,0.0247
3195.00,0.0246
3194.00,0.0245
3193.00,0.0244
3192.00,0.0243
3191.00,0.0242
3190.00,0.0241
3189.00,0.0240
3188.00,0.0240
3187.00,0.0239
3186.00,0.0239
3185.00,0.0238
3184.00,0.0237
3183.00,0.0236
3182.00,0.0235
3181.00,0.0234
3180.00,0.0232
3179.00,0.0231
3178.00,0.0230
3177.00,0.0229
3176.00,0.0228
3175.00,0.0227
3174.00,0.0226
3173.00,0.0225
3172.00,0.0225
3171.00,0.0224
3170.00,0.0223
3169.00,0.0222
3168.00,0.0220
3167.00,0.0219
3166.00,0.0218
3165.00,0.0218
3164.00,0.0217
3163.00,0.0216
3162.00,0.0215
3161.00,0.0214
3160.00,0.0213
3159.00,0.0212
3158.00,0.0211
3157.00,0.0210
