Created as New Dataset,Sample 656 By YargerLab Date Wednesday, June 11 2025
cm-1,A
4000.00,0.0033
3999.00,0.0033
3998.00,0.0033
3997.00,0.0032
3996.00,0.0032
3995.00,0.0032
3994.00,0.0032
3993.00,0.0033
3992.00,0.0033
3991.00,0.0033
3990.00,0.0033
3989.00,0.0033
3988.00,0.0033
3987.00,0.0033
3986.00,0.0033
3985.00,0.0033
3984.00,0.0033
3983.00,0.0033
3982.00,0.0032
3981.00,0.0032
3980.00,0.0032
3979.00,0.0032
3978.00,0.0032
3977.00,0.0032
3976.00,0.0032
3975.00,0.0031
3974.00,0.0031
3973.00,0.0032
3972.00,0.0032
3971.00,0.0032
3970.00,0.0033
3969.00,0.0033
3968.00,0.0033
3967.00,0.0033
3966.00,0.0033
3965.00,0.0033
3964.00,0.0033
3963.00,0.0032
3962.00,0.0032
3961.00,0.0032
3960.00,0.0033
3959.00,0.0033
3958.00,0.0033
3957.00,0.0033
3956.00,0.0033
3955.00,0.0033
3954.00,0.0033
3953.00,0.0033
3952.00,0.0033
3951.00,0.0033
3950.00,0.0033
3949.00,0.0034
3948.00,0.0035
3947.00,0.0035
3946.00,0.0035
3945.00,0.0035
3944.00,0.0034
3943.00,0.0033
3942.00,0.0033
3941.00,0.0033
3940.00,0.0033
3939.00,0.0033
3938.00,0.0034
3937.00,0.0034
3936.00,0.0034
3935.00,0.0035
3934.00,0.0036
3933.00,0.0036
3932.00,0.0036
3931.00,0.0035
3930.00,0.0034
3929.00,0.0034
3928.00,0.0034
3927.00,0.0034
3926.00,0.0033
3925.00,0.0033
3924.00,0.0033
3923.00,0.0033
3922.00,0.0035
3921.00,0.0036
3920.00,0.0037
3919.00,0.0037
3918.00,0.0036
3917.00,0.0036
3916.00,0.0035
3915.00,0.0034
3914.00,0.0034
3913.00,0.0033
3912.00,0.0033
3911.00,0.0033
3910.00,0.0032
3909.00,0.0032
3908.00,0.0032
3907.00,0.0033
3906.00,0.0033
3905.00,0.0035
3904.00,0.0037
3903.00,0.0040
3902.00,0.0042
3901.00,0.0043
3900.00,0.0042
3899.00,0.0041
3898.00,0.0039
3897.00,0.0039
3896.00,0.0038
3895.00,0.0037
3894.00,0.0036
3893.00,0.0034
3892.00,0.0034
3891.00,0.0034
3890.00,0.0035
3889.00,0.0037
3888.00,0.0039
3887.00,0.0040
3886.00,0.0040
3885.00,0.0038
3884.00,0.0038
3883.00,0.0038
3882.00,0.0038
3881.00,0.0038
3880.00,0.0037
3879.00,0.0037
3878.00,0.0037
3877.00,0.0038
3876.00,0.0039
3875.00,0.0038
3874.00,0.0037
3873.00,0.0037
3872.00,0.0038
3871.00,0.0040
3870.00,0.0041
3869.00,0.0040
3868.00,0.0040
3867.00,0.0041
3866.00,0.0042
3865.00,0.0041
3864.00,0.0040
3863.00,0.0039
3862.00,0.0040
3861.00,0.0040
3860.00,0.0040
3859.00,0.0038
3858.00,0.0036
3857.00,0.0033
3856.00,0.0031
3855.00,0.0030
3854.00,0.0031
3853.00,0.0034
3852.00,0.0037
3851.00,0.0039
3850.00,0.0040
3849.00,0.0041
3848.00,0.0040
3847.00,0.0040
3846.00,0.0039
3845.00,0.0039
3844.00,0.0039
3843.00,0.0040
3842.00,0.0040
3841.00,0.0040
3840.00,0.0041
3839.00,0.0041
3838.00,0.0041
3837.00,0.0041
3836.00,0.0040
3835.00,0.0040
3834.00,0.0040
3833.00,0.0040
3832.00,0.0040
3831.00,0.0039
3830.00,0.0039
3829.00,0.0039
3828.00,0.0038
3827.00,0.0038
3826.00,0.0038
3825.00,0.0038
3824.00,0.0039
3823.00,0.0040
3822.00,0.0040
3821.00,0.0039
3820.00,0.0038
3819.00,0.0039
3818.00,0.0040
3817.00,0.0041
3816.00,0.0040
3815.00,0.0038
3814.00,0.0036
3813.00,0.0036
3812.00,0.0036
3811.00,0.0035
3810.00,0.0035
3809.00,0.0035
3808.00,0.0036
3807.00,0.0037
3806.00,0.0037
3805.00,0.0039
3804.00,0.0040
3803.00,0.0042
3802.00,0.0041
3801.00,0.0039
3800.00,0.0038
3799.00,0.0039
3798.00,0.0040
3797.00,0.0039
3796.00,0.0038
3795.00,0.0037
3794.00,0.0036
3793.00,0.0035
3792.00,0.0035
3791.00,0.0034
3790.00,0.0033
3789.00,0.0032
3788.00,0.0032
3787.00,0.0032
3786.00,0.0032
3785.00,0.0032
3784.00,0.0032
3783.00,0.0033
3782.00,0.0034
3781.00,0.0035
3780.00,0.0036
3779.00,0.0035
3778.00,0.0035
3777.00,0.0034
3776.00,0.0034
3775.00,0.0034
3774.00,0.0034
3773.00,0.0034
3772.00,0.0035
3771.00,0.0037
3770.00,0.0037
3769.00,0.0037
3768.00,0.0037
3767.00,0.0038
3766.00,0.0038
3765.00,0.0038
3764.00,0.0038
3763.00,0.0038
3762.00,0.0039
3761.00,0.0039
3760.00,0.0039
3759.00,0.0039
3758.00,0.0039
3757.00,0.0039
3756.00,0.0040
3755.00,0.0040
3754.00,0.0042
3753.00,0.0043
3752.00,0.0043
3751.00,0.0044
3750.00,0.0046
3749.00,0.0047
3748.00,0.0047
3747.00,0.0048
3746.00,0.0049
3745.00,0.0049
3744.00,0.0047
3743.00,0.0046
3742.00,0.0046
3741.00,0.0047
3740.00,0.0049
3739.00,0.0050
3738.00,0.0050
3737.00,0.0051
3736.00,0.0050
3735.00,0.0049
3734.00,0.0048
3733.00,0.0048
3732.00,0.0047
3731.00,0.0045
3730.00,0.0043
3729.00,0.0042
3728.00,0.0042
3727.00,0.0042
3726.00,0.0041
3725.00,0.0041
3724.00,0.0041
3723.00,0.0041
3722.00,0.0040
3721.00,0.0039
3720.00,0.0038
3719.00,0.0037
3718.00,0.0037
3717.00,0.0036
3716.00,0.0036
3715.00,0.0037
3714.00,0.0039
3713.00,0.0040
3712.00,0.0040
3711.00,0.0040
3710.00,0.0040
3709.00,0.0040
3708.00,0.0040
3707.00,0.0039
3706.00,0.0038
3705.00,0.0037
3704.00,0.0036
3703.00,0.0035
3702.00,0.0034
3701.00,0.0033
3700.00,0.0033
3699.00,0.0033
3698.00,0.0033
3697.00,0.0033
3696.00,0.0033
3695.00,0.0033
3694.00,0.0034
3693.00,0.0035
3692.00,0.0035
3691.00,0.0035
3690.00,0.0035
3689.00,0.0036
3688.00,0.0038
3687.00,0.0038
3686.00,0.0037
3685.00,0.0037
3684.00,0.0036
3683.00,0.0036
3682.00,0.0036
3681.00,0.0037
3680.00,0.0037
3679.00,0.0038
3678.00,0.0040
3677.00,0.0042
3676.00,0.0043
3675.00,0.0043
3674.00,0.0043
3673.00,0.0043
3672.00,0.0045
3671.00,0.0045
3670.00,0.0043
3669.00,0.0040
3668.00,0.0039
3667.00,0.0039
3666.00,0.0038
3665.00,0.0037
3664.00,0.0035
3663.00,0.0034
3662.00,0.0034
3661.00,0.0034
3660.00,0.0034
3659.00,0.0034
3658.00,0.0035
3657.00,0.0036
3656.00,0.0037
3655.00,0.0039
3654.00,0.0040
3653.00,0.0043
3652.00,0.0045
3651.00,0.0046
3650.00,0.0047
3649.00,0.0048
3648.00,0.0048
3647.00,0.0048
3646.00,0.0046
3645.00,0.0043
3644.00,0.0041
3643.00,0.0039
3642.00,0.0037
3641.00,0.0035
3640.00,0.0035
3639.00,0.0035
3638.00,0.0035
3637.00,0.0035
3636.00,0.0036
3635.00,0.0037
3634.00,0.0037
3633.00,0.0038
3632.00,0.0039
3631.00,0.0040
3630.00,0.0042
3629.00,0.0042
3628.00,0.0043
3627.00,0.0043
3626.00,0.0044
3625.00,0.0044
3624.00,0.0043
3623.00,0.0042
3622.00,0.0041
3621.00,0.0040
3620.00,0.0039
3619.00,0.0039
3618.00,0.0040
3617.00,0.0042
3616.00,0.0044
3615.00,0.0044
3614.00,0.0044
3613.00,0.0044
3612.00,0.0045
3611.00,0.0046
3610.00,0.0047
3609.00,0.0047
3608.00,0.0046
3607.00,0.0044
3606.00,0.0043
3605.00,0.0042
3604.00,0.0041
3603.00,0.0040
3602.00,0.0040
3601.00,0.0040
3600.00,0.0040
3599.00,0.0041
3598.00,0.0042
3597.00,0.0042
3596.00,0.0042
3595.00,0.0042
3594.00,0.0042
3593.00,0.0042
3592.00,0.0043
3591.00,0.0044
3590.00,0.0045
3589.00,0.0045
3588.00,0.0045
3587.00,0.0044
3586.00,0.0044
3585.00,0.0045
3584.00,0.0045
3583.00,0.0044
3582.00,0.0042
3581.00,0.0041
3580.00,0.0039
3579.00,0.0038
3578.00,0.0038
3577.00,0.0038
3576.00,0.0038
3575.00,0.0038
3574.00,0.0039
3573.00,0.0040
3572.00,0.0041
3571.00,0.0042
3570.00,0.0045
3569.00,0.0047
3568.00,0.0047
3567.00,0.0047
3566.00,0.0047
3565.00,0.0046
3564.00,0.0046
3563.00,0.0045
3562.00,0.0044
3561.00,0.0043
3560.00,0.0042
3559.00,0.0041
3558.00,0.0041
3557.00,0.0041
3556.00,0.0041
3555.00,0.0041
3554.00,0.0041
3553.00,0.0041
3552.00,0.0041
3551.00,0.0042
3550.00,0.0043
3549.00,0.0044
3548.00,0.0046
3547.00,0.0046
3546.00,0.0046
3545.00,0.0046
3544.00,0.0045
3543.00,0.0045
3542.00,0.0044
3541.00,0.0044
3540.00,0.0043
3539.00,0.0043
3538.00,0.0043
3537.00,0.0043
3536.00,0.0042
3535.00,0.0042
3534.00,0.0042
3533.00,0.0043
3532.00,0.0043
3531.00,0.0043
3530.00,0.0043
3529.00,0.0044
3528.00,0.0045
3527.00,0.0046
3526.00,0.0047
3525.00,0.0047
3524.00,0.0047
3523.00,0.0047
3522.00,0.0047
3521.00,0.0047
3520.00,0.0047
3519.00,0.0046
3518.00,0.0045
3517.00,0.0045
3516.00,0.0044
3515.00,0.0045
3514.00,0.0045
3513.00,0.0045
3512.00,0.0045
3511.00,0.0045
3510.00,0.0045
3509.00,0.0045
3508.00,0.0045
