Created as New Dataset,Sample 746 By YargerLab Date Friday, June 27 2025
cm-1,A
4000.00,0.0007
3999.00,0.0007
3998.00,0.0007
3997.00,0.0007
3996.00,0.0007
3995.00,0.0008
3994.00,0.0008
3993.00,0.0007
3992.00,0.0007
3991.00,0.0007
3990.00,0.0007
3989.00,0.0007
3988.00,0.0007
3987.00,0.0007
3986.00,0.0007
3985.00,0.0007
3984.00,0.0007
3983.00,0.0007
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0007
3978.00,0.0007
3977.00,0.0007
3976.00,0.0007
3975.00,0.0007
3974.00,0.0008
3973.00,0.0008
3972.00,0.0008
3971.00,0.0008
3970.00,0.0007
3969.00,0.0007
3968.00,0.0007
3967.00,0.0007
3966.00,0.0007
3965.00,0.0007
3964.00,0.0007
3963.00,0.0007
3962.00,0.0007
3961.00,0.0007
3960.00,0.0007
3959.00,0.0007
3958.00,0.0007
3957.00,0.0007
3956.00,0.0007
3955.00,0.0007
3954.00,0.0007
3953.00,0.0007
3952.00,0.0007
3951.00,0.0006
3950.00,0.0007
3949.00,0.0007
3948.00,0.0007
3947.00,0.0007
3946.00,0.0006
3945.00,0.0006
3944.00,0.0006
3943.00,0.0006
3942.00,0.0007
3941.00,0.0007
3940.00,0.0006
3939.00,0.0006
3938.00,0.0006
3937.00,0.0006
3936.00,0.0006
3935.00,0.0006
3934.00,0.0006
3933.00,0.0006
3932.00,0.0006
3931.00,0.0006
3930.00,0.0006
3929.00,0.0006
3928.00,0.0006
3927.00,0.0006
3926.00,0.0006
3925.00,0.0006
3924.00,0.0006
3923.00,0.0006
3922.00,0.0006
3921.00,0.0006
3920.00,0.0006
3919.00,0.0006
3918.00,0.0006
3917.00,0.0006
3916.00,0.0006
3915.00,0.0006
3914.00,0.0006
3913.00,0.0006
3912.00,0.0006
3911.00,0.0006
3910.00,0.0006
3909.00,0.0006
3908.00,0.0006
3907.00,0.0006
3906.00,0.0005
3905.00,0.0005
3904.00,0.0004
3903.00,0.0004
3902.00,0.0003
3901.00,0.0003
3900.00,0.0004
3899.00,0.0004
3898.00,0.0005
3897.00,0.0005
3896.00,0.0005
3895.00,0.0005
3894.00,0.0005
3893.00,0.0005
3892.00,0.0005
3891.00,0.0006
3890.00,0.0005
3889.00,0.0005
3888.00,0.0004
3887.00,0.0004
3886.00,0.0005
3885.00,0.0004
3884.00,0.0004
3883.00,0.0004
3882.00,0.0004
3881.00,0.0004
3880.00,0.0005
3879.00,0.0005
3878.00,0.0005
3877.00,0.0004
3876.00,0.0004
3875.00,0.0004
3874.00,0.0004
3873.00,0.0004
3872.00,0.0003
3871.00,0.0003
3870.00,0.0003
3869.00,0.0004
3868.00,0.0004
3867.00,0.0003
3866.00,0.0004
3865.00,0.0004
3864.00,0.0004
3863.00,0.0004
3862.00,0.0004
3861.00,0.0004
3860.00,0.0005
3859.00,0.0005
3858.00,0.0004
3857.00,0.0004
3856.00,0.0003
3855.00,0.0003
3854.00,0.0003
3853.00,0.0003
3852.00,0.0002
3851.00,0.0002
3850.00,0.0002
3849.00,0.0003
3848.00,0.0004
3847.00,0.0005
3846.00,0.0005
3845.00,0.0005
3844.00,0.0004
3843.00,0.0004
3842.00,0.0003
3841.00,0.0003
3840.00,0.0003
3839.00,0.0003
3838.00,0.0003
3837.00,0.0003
3836.00,0.0003
3835.00,0.0003
3834.00,0.0003
3833.00,0.0004
3832.00,0.0004
3831.00,0.0005
3830.00,0.0005
3829.00,0.0005
3828.00,0.0005
3827.00,0.0005
3826.00,0.0005
3825.00,0.0005
3824.00,0.0004
3823.00,0.0003
3822.00,0.0004
3821.00,0.0004
3820.00,0.0004
3819.00,0.0003
3818.00,0.0003
3817.00,0.0004
3816.00,0.0004
3815.00,0.0005
3814.00,0.0004
3813.00,0.0004
3812.00,0.0005
3811.00,0.0005
3810.00,0.0005
3809.00,0.0005
3808.00,0.0005
3807.00,0.0005
3806.00,0.0005
3805.00,0.0004
3804.00,0.0003
3803.00,0.0003
3802.00,0.0003
3801.00,0.0003
3800.00,0.0003
3799.00,0.0003
3798.00,0.0003
3797.00,0.0004
3796.00,0.0005
3795.00,0.0005
3794.00,0.0006
3793.00,0.0006
3792.00,0.0006
3791.00,0.0006
3790.00,0.0007
3789.00,0.0007
3788.00,0.0007
3787.00,0.0006
3786.00,0.0006
3785.00,0.0005
3784.00,0.0005
3783.00,0.0005
3782.00,0.0005
3781.00,0.0005
3780.00,0.0006
3779.00,0.0006
3778.00,0.0006
3777.00,0.0006
3776.00,0.0006
3775.00,0.0006
3774.00,0.0006
3773.00,0.0006
3772.00,0.0006
3771.00,0.0005
3770.00,0.0005
3769.00,0.0005
3768.00,0.0005
3767.00,0.0005
3766.00,0.0005
3765.00,0.0005
3764.00,0.0005
3763.00,0.0005
3762.00,0.0005
3761.00,0.0005
3760.00,0.0005
3759.00,0.0005
3758.00,0.0005
3757.00,0.0005
3756.00,0.0005
3755.00,0.0005
3754.00,0.0005
3753.00,0.0004
3752.00,0.0004
3751.00,0.0004
3750.00,0.0004
3749.00,0.0004
3748.00,0.0003
3747.00,0.0002
3746.00,0.0002
3745.00,0.0002
3744.00,0.0003
3743.00,0.0003
3742.00,0.0003
3741.00,0.0003
3740.00,0.0003
3739.00,0.0003
3738.00,0.0003
3737.00,0.0002
3736.00,0.0002
3735.00,0.0002
3734.00,0.0002
3733.00,0.0002
3732.00,0.0003
3731.00,0.0003
3730.00,0.0004
3729.00,0.0004
3728.00,0.0004
3727.00,0.0005
3726.00,0.0005
3725.00,0.0005
3724.00,0.0004
3723.00,0.0005
3722.00,0.0005
3721.00,0.0005
3720.00,0.0005
3719.00,0.0006
3718.00,0.0006
3717.00,0.0006
3716.00,0.0005
3715.00,0.0005
3714.00,0.0005
3713.00,0.0005
3712.00,0.0005
3711.00,0.0005
3710.00,0.0004
3709.00,0.0004
3708.00,0.0005
3707.00,0.0005
3706.00,0.0005
3705.00,0.0006
3704.00,0.0006
3703.00,0.0006
3702.00,0.0007
3701.00,0.0007
3700.00,0.0007
3699.00,0.0007
3698.00,0.0007
3697.00,0.0007
3696.00,0.0007
3695.00,0.0007
3694.00,0.0007
3693.00,0.0007
3692.00,0.0007
3691.00,0.0007
3690.00,0.0007
3689.00,0.0007
3688.00,0.0007
3687.00,0.0007
3686.00,0.0008
3685.00,0.0008
3684.00,0.0009
3683.00,0.0009
3682.00,0.0010
3681.00,0.0010
3680.00,0.0010
3679.00,0.0010
3678.00,0.0009
3677.00,0.0009
3676.00,0.0010
3675.00,0.0010
3674.00,0.0009
3673.00,0.0009
3672.00,0.0009
3671.00,0.0010
3670.00,0.0011
3669.00,0.0012
3668.00,0.0012
3667.00,0.0013
3666.00,0.0014
3665.00,0.0015
3664.00,0.0016
3663.00,0.0016
3662.00,0.0017
3661.00,0.0017
3660.00,0.0017
3659.00,0.0017
3658.00,0.0018
3657.00,0.0018
3656.00,0.0018
3655.00,0.0018
3654.00,0.0018
3653.00,0.0018
3652.00,0.0018
3651.00,0.0018
3650.00,0.0019
3649.00,0.0019
3648.00,0.0019
3647.00,0.0020
3646.00,0.0021
3645.00,0.0022
3644.00,0.0023
3643.00,0.0024
3642.00,0.0025
3641.00,0.0026
3640.00,0.0027
3639.00,0.0027
3638.00,0.0028
3637.00,0.0029
3636.00,0.0029
3635.00,0.0030
3634.00,0.0030
3633.00,0.0031
3632.00,0.0031
3631.00,0.0031
3630.00,0.0031
3629.00,0.0031
3628.00,0.0031
3627.00,0.0031
3626.00,0.0032
3625.00,0.0034
3624.00,0.0035
3623.00,0.0037
3622.00,0.0037
3621.00,0.0038
3620.00,0.0038
3619.00,0.0038
3618.00,0.0038
3617.00,0.0039
3616.00,0.0039
3615.00,0.0040
3614.00,0.0041
3613.00,0.0042
3612.00,0.0043
3611.00,0.0044
3610.00,0.0044
3609.00,0.0045
3608.00,0.0046
3607.00,0.0046
3606.00,0.0047
3605.00,0.0048
3604.00,0.0049
3603.00,0.0050
3602.00,0.0051
3601.00,0.0052
3600.00,0.0052
3599.00,0.0053
3598.00,0.0054
3597.00,0.0055
3596.00,0.0055
3595.00,0.0056
3594.00,0.0057
3593.00,0.0057
3592.00,0.0058
3591.00,0.0059
3590.00,0.0060
3589.00,0.0061
3588.00,0.0061
3587.00,0.0061
3586.00,0.0061
3585.00,0.0062
3584.00,0.0063
3583.00,0.0064
3582.00,0.0066
3581.00,0.0067
3580.00,0.0068
3579.00,0.0069
3578.00,0.0070
3577.00,0.0071
3576.00,0.0071
3575.00,0.0072
3574.00,0.0073
3573.00,0.0074
3572.00,0.0075
3571.00,0.0076
3570.00,0.0077
3569.00,0.0077
3568.00,0.0078
3567.00,0.0078
3566.00,0.0077
3565.00,0.0077
3564.00,0.0078
3563.00,0.0080
3562.00,0.0081
3561.00,0.0083
3560.00,0.0084
3559.00,0.0085
3558.00,0.0086
3557.00,0.0087
3556.00,0.0088
3555.00,0.0089
3554.00,0.0090
3553.00,0.0091
3552.00,0.0092
3551.00,0.0092
3550.00,0.0093
3549.00,0.0094
3548.00,0.0095
3547.00,0.0096
3546.00,0.0097
3545.00,0.0097
3544.00,0.0097
3543.00,0.0098
3542.00,0.0099
3541.00,0.0100
3540.00,0.0102
3539.00,0.0103
3538.00,0.0104
3537.00,0.0105
3536.00,0.0106
3535.00,0.0106
3534.00,0.0107
3533.00,0.0108
3532.00,0.0109
3531.00,0.0109
3530.00,0.0110
3529.00,0.0111
3528.00,0.0111
3527.00,0.0112
3526.00,0.0113
3525.00,0.0113
3524.00,0.0114
3523.00,0.0115
3522.00,0.0115
3521.00,0.0116
3520.00,0.0117
3519.00,0.0119
3518.00,0.0119
3517.00,0.0120
3516.00,0.0121
3515.00,0.0122
3514.00,0.0123
3513.00,0.0123
3512.00,0.0124
3511.00,0.0125
3510.00,0.0126
3509.00,0.0126
3508.00,0.0127
3507.00,0.0128
3506.00,0.0129
3505.00,0.0130
3504.00,0.0131
3503.00,0.0131
3502.00,0.0132
3501.00,0.0132
3500.00,0.0133
3499.00,0.0134
3498.00,0.0136
3497.00,0.0136
3496.00,0.0137
3495.00,0.0138
3494.00,0.0139
3493.00,0.0139
3492.00,0.0140
3491.00,0.0141
3490.00,0.0142
3489.00,0.0143
3488.00,0.0144
3487.00,0.0145
3486.00,0.0146
3485.00,0.0147
3484.00,0.0147
3483.00,0.0148
3482.00,0.0149
3481.00,0.0150
3480.00,0.0150
3479.00,0.0151
3478.00,0.0152
3477.00,0.0153
3476.00,0.0154
3475.00,0.0154
3474.00,0.0155
3473.00,0.0156
3472.00,0.0157
3471.00,0.0158
3470.00,0.0160
3469.00,0.0161
3468.00,0.0162
3467.00,0.0163
3466.00,0.0163
3465.00,0.0164
3464.00,0.0165
3463.00,0.0165
3462.00,0.0166
3461.00,0.0167
3460.00,0.0168
3459.00,0.0168
3458.00,0.0169
3457.00,0.0170
3456.00,0.0171
3455.00,0.0172
3454.00,0.0173
3453.00,0.0174
3452.00,0.0175
3451.00,0.0176
3450.00,0.0177
3449.00,0.0177
3448.00,0.0178
3447.00,0.0179
3446.00,0.0179
3445.00,0.0180
3444.00,0.0181
3443.00,0.0182
3442.00,0.0183
3441.00,0.0183
3440.00,0.0184
3439.00,0.0186
3438.00,0.0187
3437.00,0.0188
3436.00,0.0189
3435.00,0.0190
3434.00,0.0191
3433.00,0.0192
3432.00,0.0193
3431.00,0.0194
3430.00,0.0194
3429.00,0.0195
3428.00,0.0196
3427.00,0.0197
3426.00,0.0198
3425.00,0.0199
3424.00,0.0200
3423.00,0.0201
3422.00,0.0202
3421.00,0.0203
3420.00,0.0204
3419.00,0.0204
3418.00,0.0205
3417.00,0.0206
3416.00,0.0207
3415.00,0.0208
3414.00,0.0209
3413.00,0.0210
3412.00,0.0211
3411.00,0.0213
3410.00,0.0213
3409.00,0.0214
3408.00,0.0215
3407.00,0.0216
3406.00,0.0217
3405.00,0.0217
3404.00,0.0218
3403.00,0.0219
3402.00,0.0220
3401.00,0.0220
3400.00,0.0221
3399.00,0.0222
3398.00,0.0223
3397.00,0.0224
3396.00,0.0225
3395.00,0.0226
3394.00,0.0227
3393.00,0.0228
3392.00,0.0229
3391.00,0.0230
3390.00,0.0231
3389.00,0.0232
3388.00,0.0233
3387.00,0.0234
3386.00,0.0235
3385.00,0.0235
3384.00,0.0236
3383.00,0.0237
3382.00,0.0238
3381.00,0.0240
3380.00,0.0241
3379.00,0.0242
3378.00,0.0243
3377.00,0.0244
3376.00,0.0246
3375.00,0.0247
3374.00,0.0248
3373.00,0.0249
3372.00,0.0250
3371.00,0.0251
3370.00,0.0252
3369.00,0.0253
3368.00,0.0254
3367.00,0.0256
3366.00,0.0257
3365.00,0.0258
3364.00,0.0259
3363.00,0.0261
3362.00,0.0262
3361.00,0.0264
3360.00,0.0265
3359.00,0.0266
3358.00,0.0268
3357.00,0.0269
3356.00,0.0271
3355.00,0.0272
3354.00,0.0274
3353.00,0.0275
3352.00,0.0276
3351.00,0.0278
3350.00,0.0279
3349.00,0.0281
3348.00,0.0283
3347.00,0.0284
3346.00,0.0286
3345.00,0.0288
3344.00,0.0289
3343.00,0.0291
3342.00,0.0292
3341.00,0.0294
3340.00,0.0296
3339.00,0.0298
3338.00,0.0300
3337.00,0.0302
3336.00,0.0303
3335.00,0.0305
3334.00,0.0307
3333.00,0.0309
3332.00,0.0311
3331.00,0.0314
3330.00,0.0316
3329.00,0.0318
3328.00,0.0320
3327.00,0.0322
3326.00,0.0325
3325.00,0.0327
3324.00,0.0330
3323.00,0.0332
3322.00,0.0335
3321.00,0.0337
3320.00,0.0340
3319.00,0.0343
3318.00,0.0346
3317.00,0.0348
3316.00,0.0351
3315.00,0.0354
3314.00,0.0357
3313.00,0.0360
3312.00,0.0363
3311.00,0.0365
3310.00,0.0368
3309.00,0.0371
3308.00,0.0373
3307.00,0.0376
3306.00,0.0380
3305.00,0.0383
3304.00,0.0387
3303.00,0.0390
3302.00,0.0394
3301.00,0.0398
3300.00,0.0402
3299.00,0.0405
3298.00,0.0408
3297.00,0.0412
3296.00,0.0415
3295.00,0.0418
3294.00,0.0422
3293.00,0.0425
3292.00,0.0428
3291.00,0.0431
3290.00,0.0435
3289.00,0.0438
3288.00,0.0441
3287.00,0.0444
3286.00,0.0448
3285.00,0.0451
3284.00,0.0454
3283.00,0.0456
3282.00,0.0459
3281.00,0.0461
3280.00,0.0463
3279.00,0.0465
3278.00,0.0467
3277.00,0.0468
3276.00,0.0469
3275.00,0.0470
3274.00,0.0471
3273.00,0.0471
3272.00,0.0471
3271.00,0.0471
3270.00,0.0471
3269.00,0.0471
3268.00,0.0471
3267.00,0.0470
3266.00,0.0469
3265.00,0.0468
3264.00,0.0466
3263.00,0.0464
3262.00,0.0462
3261.00,0.0460
3260.00,0.0458
3259.00,0.0455
3258.00,0.0452
3257.00,0.0449
3256.00,0.0446
3255.00,0.0443
3254.00,0.0440
