Created as New Dataset,Sample 369 By YargerLab Date Friday, November 14 2025
cm-1,A
4000.00,0.0028
3999.00,0.0028
3998.00,0.0028
3997.00,0.0028
3996.00,0.0028
3995.00,0.0028
3994.00,0.0028
3993.00,0.0027
3992.00,0.0027
3991.00,0.0027
3990.00,0.0027
3989.00,0.0027
3988.00,0.0027
3987.00,0.0027
3986.00,0.0027
3985.00,0.0027
3984.00,0.0027
3983.00,0.0027
3982.00,0.0028
3981.00,0.0028
3980.00,0.0028
3979.00,0.0028
3978.00,0.0028
3977.00,0.0028
3976.00,0.0028
3975.00,0.0028
3974.00,0.0028
3973.00,0.0028
3972.00,0.0028
3971.00,0.0028
3970.00,0.0028
3969.00,0.0028
3968.00,0.0028
3967.00,0.0028
3966.00,0.0028
3965.00,0.0028
3964.00,0.0028
3963.00,0.0028
3962.00,0.0027
3961.00,0.0027
3960.00,0.0027
3959.00,0.0027
3958.00,0.0027
3957.00,0.0027
3956.00,0.0027
3955.00,0.0027
3954.00,0.0027
3953.00,0.0028
3952.00,0.0028
3951.00,0.0028
3950.00,0.0028
3949.00,0.0028
3948.00,0.0027
3947.00,0.0027
3946.00,0.0027
3945.00,0.0027
3944.00,0.0027
3943.00,0.0027
3942.00,0.0027
3941.00,0.0027
3940.00,0.0027
3939.00,0.0027
3938.00,0.0027
3937.00,0.0027
3936.00,0.0028
3935.00,0.0028
3934.00,0.0028
3933.00,0.0028
3932.00,0.0028
3931.00,0.0028
3930.00,0.0028
3929.00,0.0028
3928.00,0.0028
3927.00,0.0028
3926.00,0.0028
3925.00,0.0028
3924.00,0.0027
3923.00,0.0027
3922.00,0.0028
3921.00,0.0028
3920.00,0.0028
3919.00,0.0028
3918.00,0.0028
3917.00,0.0028
3916.00,0.0028
3915.00,0.0027
3914.00,0.0027
3913.00,0.0027
3912.00,0.0027
3911.00,0.0027
3910.00,0.0027
3909.00,0.0027
3908.00,0.0028
3907.00,0.0028
3906.00,0.0028
3905.00,0.0028
3904.00,0.0028
3903.00,0.0028
3902.00,0.0028
3901.00,0.0028
3900.00,0.0028
3899.00,0.0028
3898.00,0.0027
3897.00,0.0027
3896.00,0.0027
3895.00,0.0027
3894.00,0.0028
3893.00,0.0028
3892.00,0.0028
3891.00,0.0028
3890.00,0.0028
3889.00,0.0028
3888.00,0.0028
3887.00,0.0028
3886.00,0.0028
3885.00,0.0028
3884.00,0.0028
3883.00,0.0028
3882.00,0.0028
3881.00,0.0028
3880.00,0.0028
3879.00,0.0028
3878.00,0.0028
3877.00,0.0028
3876.00,0.0028
3875.00,0.0028
3874.00,0.0028
3873.00,0.0029
3872.00,0.0029
3871.00,0.0029
3870.00,0.0029
3869.00,0.0029
3868.00,0.0029
3867.00,0.0029
3866.00,0.0029
3865.00,0.0029
3864.00,0.0028
3863.00,0.0028
3862.00,0.0028
3861.00,0.0028
3860.00,0.0028
3859.00,0.0028
3858.00,0.0029
3857.00,0.0029
3856.00,0.0030
3855.00,0.0031
3854.00,0.0031
3853.00,0.0031
3852.00,0.0030
3851.00,0.0030
3850.00,0.0030
3849.00,0.0029
3848.00,0.0028
3847.00,0.0028
3846.00,0.0028
3845.00,0.0028
3844.00,0.0028
3843.00,0.0028
3842.00,0.0028
3841.00,0.0029
3840.00,0.0029
3839.00,0.0030
3838.00,0.0030
3837.00,0.0030
3836.00,0.0030
3835.00,0.0030
3834.00,0.0030
3833.00,0.0029
3832.00,0.0029
3831.00,0.0029
3830.00,0.0028
3829.00,0.0028
3828.00,0.0028
3827.00,0.0028
3826.00,0.0028
3825.00,0.0029
3824.00,0.0030
3823.00,0.0030
3822.00,0.0031
3821.00,0.0030
3820.00,0.0030
3819.00,0.0030
3818.00,0.0030
3817.00,0.0030
3816.00,0.0029
3815.00,0.0029
3814.00,0.0029
3813.00,0.0028
3812.00,0.0028
3811.00,0.0028
3810.00,0.0028
3809.00,0.0029
3808.00,0.0029
3807.00,0.0029
3806.00,0.0029
3805.00,0.0029
3804.00,0.0030
3803.00,0.0030
3802.00,0.0029
3801.00,0.0029
3800.00,0.0029
3799.00,0.0029
3798.00,0.0029
3797.00,0.0029
3796.00,0.0029
3795.00,0.0028
3794.00,0.0028
3793.00,0.0028
3792.00,0.0028
3791.00,0.0028
3790.00,0.0027
3789.00,0.0027
3788.00,0.0027
3787.00,0.0027
3786.00,0.0027
3785.00,0.0027
3784.00,0.0027
3783.00,0.0027
3782.00,0.0028
3781.00,0.0028
3780.00,0.0028
3779.00,0.0027
3778.00,0.0027
3777.00,0.0028
3776.00,0.0028
3775.00,0.0028
3774.00,0.0028
3773.00,0.0028
3772.00,0.0028
3771.00,0.0028
3770.00,0.0028
3769.00,0.0028
3768.00,0.0028
3767.00,0.0028
3766.00,0.0029
3765.00,0.0029
3764.00,0.0029
3763.00,0.0029
3762.00,0.0029
3761.00,0.0029
3760.00,0.0028
3759.00,0.0028
3758.00,0.0028
3757.00,0.0028
3756.00,0.0029
3755.00,0.0029
3754.00,0.0030
3753.00,0.0031
3752.00,0.0032
3751.00,0.0032
3750.00,0.0031
3749.00,0.0031
3748.00,0.0031
3747.00,0.0031
3746.00,0.0031
3745.00,0.0031
3744.00,0.0030
3743.00,0.0029
3742.00,0.0029
3741.00,0.0029
3740.00,0.0029
3739.00,0.0028
3738.00,0.0028
3737.00,0.0028
3736.00,0.0028
3735.00,0.0028
3734.00,0.0028
3733.00,0.0028
3732.00,0.0028
3731.00,0.0028
3730.00,0.0028
3729.00,0.0028
3728.00,0.0028
3727.00,0.0027
3726.00,0.0027
3725.00,0.0027
3724.00,0.0027
3723.00,0.0027
3722.00,0.0027
3721.00,0.0027
3720.00,0.0027
3719.00,0.0027
3718.00,0.0027
3717.00,0.0027
3716.00,0.0027
3715.00,0.0028
3714.00,0.0028
3713.00,0.0028
3712.00,0.0028
3711.00,0.0028
3710.00,0.0028
3709.00,0.0028
3708.00,0.0028
3707.00,0.0028
3706.00,0.0027
3705.00,0.0027
3704.00,0.0027
3703.00,0.0028
3702.00,0.0028
3701.00,0.0028
3700.00,0.0028
3699.00,0.0028
3698.00,0.0028
3697.00,0.0028
3696.00,0.0027
3695.00,0.0027
3694.00,0.0027
3693.00,0.0028
3692.00,0.0028
3691.00,0.0029
3690.00,0.0029
3689.00,0.0030
3688.00,0.0030
3687.00,0.0030
3686.00,0.0030
3685.00,0.0029
3684.00,0.0029
3683.00,0.0028
3682.00,0.0028
3681.00,0.0028
3680.00,0.0029
3679.00,0.0029
3678.00,0.0030
3677.00,0.0030
3676.00,0.0030
3675.00,0.0030
3674.00,0.0030
3673.00,0.0031
3672.00,0.0031
3671.00,0.0031
3670.00,0.0030
3669.00,0.0030
3668.00,0.0030
3667.00,0.0030
3666.00,0.0030
3665.00,0.0030
3664.00,0.0029
3663.00,0.0029
3662.00,0.0029
3661.00,0.0029
3660.00,0.0030
3659.00,0.0030
3658.00,0.0031
3657.00,0.0031
3656.00,0.0031
3655.00,0.0031
3654.00,0.0032
3653.00,0.0032
3652.00,0.0032
3651.00,0.0032
3650.00,0.0032
3649.00,0.0032
3648.00,0.0033
3647.00,0.0034
3646.00,0.0034
3645.00,0.0033
3644.00,0.0033
3643.00,0.0032
3642.00,0.0032
3641.00,0.0031
3640.00,0.0031
3639.00,0.0031
3638.00,0.0031
3637.00,0.0031
3636.00,0.0031
3635.00,0.0032
3634.00,0.0032
3633.00,0.0032
3632.00,0.0033
3631.00,0.0034
3630.00,0.0035
3629.00,0.0035
3628.00,0.0035
3627.00,0.0035
3626.00,0.0035
3625.00,0.0035
3624.00,0.0035
3623.00,0.0035
3622.00,0.0035
3621.00,0.0035
3620.00,0.0036
3619.00,0.0036
3618.00,0.0036
3617.00,0.0036
3616.00,0.0036
3615.00,0.0036
3614.00,0.0036
3613.00,0.0036
3612.00,0.0036
3611.00,0.0036
3610.00,0.0037
3609.00,0.0037
3608.00,0.0036
3607.00,0.0036
3606.00,0.0036
3605.00,0.0036
3604.00,0.0036
3603.00,0.0036
3602.00,0.0037
3601.00,0.0037
3600.00,0.0037
3599.00,0.0037
3598.00,0.0037
3597.00,0.0038
3596.00,0.0038
3595.00,0.0038
3594.00,0.0039
3593.00,0.0039
3592.00,0.0039
3591.00,0.0039
3590.00,0.0040
3589.00,0.0040
3588.00,0.0040
3587.00,0.0040
3586.00,0.0040
3585.00,0.0040
3584.00,0.0040
3583.00,0.0041
3582.00,0.0041
3581.00,0.0041
3580.00,0.0041
3579.00,0.0041
3578.00,0.0041
3577.00,0.0041
3576.00,0.0042
3575.00,0.0042
3574.00,0.0042
3573.00,0.0042
3572.00,0.0042
3571.00,0.0042
3570.00,0.0043
3569.00,0.0043
3568.00,0.0044
3567.00,0.0044
3566.00,0.0044
3565.00,0.0044
3564.00,0.0045
3563.00,0.0045
3562.00,0.0045
3561.00,0.0045
3560.00,0.0045
3559.00,0.0046
3558.00,0.0046
3557.00,0.0046
3556.00,0.0046
3555.00,0.0047
3554.00,0.0047
3553.00,0.0047
3552.00,0.0047
3551.00,0.0047
3550.00,0.0048
3549.00,0.0048
3548.00,0.0048
3547.00,0.0049
3546.00,0.0049
3545.00,0.0049
3544.00,0.0049
3543.00,0.0050
3542.00,0.0050
3541.00,0.0050
3540.00,0.0050
3539.00,0.0050
3538.00,0.0050
3537.00,0.0051
3536.00,0.0051
3535.00,0.0052
3534.00,0.0052
3533.00,0.0052
3532.00,0.0053
3531.00,0.0053
3530.00,0.0053
3529.00,0.0053
3528.00,0.0053
3527.00,0.0053
3526.00,0.0053
3525.00,0.0053
3524.00,0.0054
3523.00,0.0054
3522.00,0.0055
3521.00,0.0055
3520.00,0.0055
3519.00,0.0056
3518.00,0.0056
3517.00,0.0056
3516.00,0.0056
3515.00,0.0057
3514.00,0.0057
3513.00,0.0057
3512.00,0.0057
3511.00,0.0057
3510.00,0.0057
3509.00,0.0057
3508.00,0.0057
3507.00,0.0058
3506.00,0.0058
3505.00,0.0058
3504.00,0.0059
3503.00,0.0059
3502.00,0.0059
3501.00,0.0059
3500.00,0.0060
3499.00,0.0060
3498.00,0.0060
3497.00,0.0061
3496.00,0.0061
3495.00,0.0061
3494.00,0.0062
3493.00,0.0062
3492.00,0.0062
3491.00,0.0062
3490.00,0.0063
3489.00,0.0063
3488.00,0.0063
3487.00,0.0063
3486.00,0.0064
3485.00,0.0064
3484.00,0.0064
3483.00,0.0064
3482.00,0.0064
3481.00,0.0064
3480.00,0.0065
3479.00,0.0065
3478.00,0.0066
3477.00,0.0066
3476.00,0.0066
3475.00,0.0066
3474.00,0.0067
3473.00,0.0067
3472.00,0.0067
3471.00,0.0067
3470.00,0.0067
3469.00,0.0067
3468.00,0.0068
3467.00,0.0068
3466.00,0.0068
3465.00,0.0069
3464.00,0.0069
3463.00,0.0069
3462.00,0.0069
3461.00,0.0069
3460.00,0.0069
3459.00,0.0070
3458.00,0.0070
3457.00,0.0070
3456.00,0.0070
3455.00,0.0070
3454.00,0.0070
3453.00,0.0070
3452.00,0.0071
3451.00,0.0071
3450.00,0.0071
3449.00,0.0071
3448.00,0.0072
3447.00,0.0072
3446.00,0.0072
3445.00,0.0072
3444.00,0.0072
3443.00,0.0072
3442.00,0.0072
3441.00,0.0072
3440.00,0.0073
3439.00,0.0073
3438.00,0.0073
3437.00,0.0073
3436.00,0.0073
3435.00,0.0073
3434.00,0.0073
3433.00,0.0073
3432.00,0.0074
3431.00,0.0074
3430.00,0.0074
3429.00,0.0074
3428.00,0.0074
3427.00,0.0075
3426.00,0.0075
3425.00,0.0075
3424.00,0.0075
3423.00,0.0075
3422.00,0.0075
3421.00,0.0075
3420.00,0.0075
3419.00,0.0076
3418.00,0.0076
3417.00,0.0076
3416.00,0.0077
3415.00,0.0077
3414.00,0.0077
3413.00,0.0077
3412.00,0.0077
3411.00,0.0077
3410.00,0.0077
3409.00,0.0077
3408.00,0.0078
3407.00,0.0078
3406.00,0.0078
3405.00,0.0078
3404.00,0.0078
3403.00,0.0078
3402.00,0.0078
3401.00,0.0079
3400.00,0.0079
3399.00,0.0079
3398.00,0.0079
3397.00,0.0079
3396.00,0.0079
3395.00,0.0079
3394.00,0.0079
3393.00,0.0080
3392.00,0.0080
3391.00,0.0080
3390.00,0.0080
3389.00,0.0081
3388.00,0.0081
3387.00,0.0081
3386.00,0.0081
3385.00,0.0081
3384.00,0.0081
3383.00,0.0081
3382.00,0.0082
3381.00,0.0082
3380.00,0.0082
3379.00,0.0082
3378.00,0.0082
3377.00,0.0082
3376.00,0.0082
3375.00,0.0082
3374.00,0.0083
3373.00,0.0083
3372.00,0.0083
3371.00,0.0083
3370.00,0.0083
3369.00,0.0083
3368.00,0.0083
3367.00,0.0083
3366.00,0.0083
3365.00,0.0083
3364.00,0.0083
3363.00,0.0083
3362.00,0.0084
3361.00,0.0084
3360.00,0.0085
3359.00,0.0085
3358.00,0.0085
3357.00,0.0086
3356.00,0.0086
3355.00,0.0086
3354.00,0.0086
3353.00,0.0086
3352.00,0.0086
3351.00,0.0086
3350.00,0.0086
3349.00,0.0086
3348.00,0.0087
3347.00,0.0087
3346.00,0.0087
3345.00,0.0087
3344.00,0.0088
3343.00,0.0088
3342.00,0.0088
3341.00,0.0088
3340.00,0.0088
3339.00,0.0088
3338.00,0.0088
3337.00,0.0088
3336.00,0.0089
3335.00,0.0089
3334.00,0.0089
3333.00,0.0089
3332.00,0.0090
3331.00,0.0090
3330.00,0.0089
3329.00,0.0089
3328.00,0.0090
3327.00,0.0090
3326.00,0.0090
3325.00,0.0090
3324.00,0.0090
3323.00,0.0090
3322.00,0.0090
3321.00,0.0090
3320.00,0.0091
3319.00,0.0091
3318.00,0.0091
3317.00,0.0091
3316.00,0.0091
3315.00,0.0092
3314.00,0.0092
3313.00,0.0092
3312.00,0.0092
3311.00,0.0092
3310.00,0.0092
3309.00,0.0092
3308.00,0.0092
3307.00,0.0092
3306.00,0.0092
3305.00,0.0092
3304.00,0.0093
3303.00,0.0093
3302.00,0.0093
3301.00,0.0094
3300.00,0.0094
3299.00,0.0094
3298.00,0.0094
3297.00,0.0094
3296.00,0.0094
3295.00,0.0094
3294.00,0.0094
3293.00,0.0093
3292.00,0.0094
3291.00,0.0094
3290.00,0.0094
3289.00,0.0094
3288.00,0.0094
3287.00,0.0094
3286.00,0.0094
3285.00,0.0094
3284.00,0.0094
3283.00,0.0094
3282.00,0.0094
3281.00,0.0094
3280.00,0.0094
3279.00,0.0094
3278.00,0.0094
3277.00,0.0093
3276.00,0.0093
3275.00,0.0093
3274.00,0.0093
3273.00,0.0092
3272.00,0.0092
3271.00,0.0092
3270.00,0.0091
3269.00,0.0091
3268.00,0.0091
3267.00,0.0091
3266.00,0.0090
3265.00,0.0090
3264.00,0.0090
3263.00,0.0089
3262.00,0.0089
3261.00,0.0089
3260.00,0.0089
3259.00,0.0089
3258.00,0.0089
3257.00,0.0089
3256.00,0.0089
3255.00,0.0088
3254.00,0.0088
3253.00,0.0088
3252.00,0.0087
3251.00,0.0087
3250.00,0.0087
3249.00,0.0086
3248.00,0.0086
3247.00,0.0086
3246.00,0.0086
3245.00,0.0085
3244.00,0.0085
3243.00,0.0085
3242.00,0.0084
3241.00,0.0084
3240.00,0.0084
3239.00,0.0084
3238.00,0.0083
3237.00,0.0083
3236.00,0.0083
3235.00,0.0083
3234.00,0.0083
3233.00,0.0083
3232.00,0.0083
3231.00,0.0083
3230.00,0.0082
3229.00,0.0082
3228.00,0.0082
3227.00,0.0082
3226.00,0.0081
3225.00,0.0081
3224.00,0.0081
3223.00,0.0081
3222.00,0.0081
3221.00,0.0081
3220.00,0.0081
3219.00,0.0081
3218.00,0.0081
3217.00,0.0080
3216.00,0.0080
3215.00,0.0080
3214.00,0.0080
3213.00,0.0080
3212.00,0.0080
3211.00,0.0080
3210.00,0.0080
3209.00,0.0080
3208.00,0.0080
3207.00,0.0080
3206.00,0.0080
3205.00,0.0080
3204.00,0.0080
3203.00,0.0080
3202.00,0.0080
3201.00,0.0080
3200.00,0.0079
3199.00,0.0079
3198.00,0.0079
3197.00,0.0078
