Created as New Dataset,Sample 390 By YargerLab Date Tuesday, December 02 2025
cm-1,A
4000.00,0.0096
3999.00,0.0096
3998.00,0.0096
3997.00,0.0096
3996.00,0.0096
3995.00,0.0096
3994.00,0.0096
3993.00,0.0096
3992.00,0.0097
3991.00,0.0097
3990.00,0.0097
3989.00,0.0097
3988.00,0.0097
3987.00,0.0097
3986.00,0.0097
3985.00,0.0097
3984.00,0.0097
3983.00,0.0097
3982.00,0.0097
3981.00,0.0097
3980.00,0.0097
3979.00,0.0096
3978.00,0.0096
3977.00,0.0096
3976.00,0.0097
3975.00,0.0097
3974.00,0.0097
3973.00,0.0097
3972.00,0.0096
3971.00,0.0096
3970.00,0.0096
3969.00,0.0097
3968.00,0.0097
3967.00,0.0097
3966.00,0.0097
3965.00,0.0097
3964.00,0.0097
3963.00,0.0097
3962.00,0.0097
3961.00,0.0097
3960.00,0.0097
3959.00,0.0097
3958.00,0.0096
3957.00,0.0096
3956.00,0.0096
3955.00,0.0096
3954.00,0.0096
3953.00,0.0096
3952.00,0.0096
3951.00,0.0096
3950.00,0.0096
3949.00,0.0096
3948.00,0.0097
3947.00,0.0097
3946.00,0.0097
3945.00,0.0097
3944.00,0.0097
3943.00,0.0097
3942.00,0.0097
3941.00,0.0096
3940.00,0.0096
3939.00,0.0096
3938.00,0.0096
3937.00,0.0096
3936.00,0.0096
3935.00,0.0096
3934.00,0.0096
3933.00,0.0096
3932.00,0.0096
3931.00,0.0096
3930.00,0.0096
3929.00,0.0097
3928.00,0.0097
3927.00,0.0096
3926.00,0.0096
3925.00,0.0096
3924.00,0.0096
3923.00,0.0096
3922.00,0.0096
3921.00,0.0096
3920.00,0.0096
3919.00,0.0096
3918.00,0.0096
3917.00,0.0096
3916.00,0.0096
3915.00,0.0096
3914.00,0.0096
3913.00,0.0096
3912.00,0.0096
3911.00,0.0096
3910.00,0.0096
3909.00,0.0096
3908.00,0.0095
3907.00,0.0095
3906.00,0.0095
3905.00,0.0095
3904.00,0.0095
3903.00,0.0095
3902.00,0.0096
3901.00,0.0096
3900.00,0.0096
3899.00,0.0096
3898.00,0.0096
3897.00,0.0095
3896.00,0.0095
3895.00,0.0094
3894.00,0.0094
3893.00,0.0095
3892.00,0.0095
3891.00,0.0095
3890.00,0.0095
3889.00,0.0095
3888.00,0.0095
3887.00,0.0095
3886.00,0.0095
3885.00,0.0095
3884.00,0.0095
3883.00,0.0095
3882.00,0.0095
3881.00,0.0095
3880.00,0.0096
3879.00,0.0096
3878.00,0.0096
3877.00,0.0095
3876.00,0.0095
3875.00,0.0095
3874.00,0.0096
3873.00,0.0096
3872.00,0.0096
3871.00,0.0095
3870.00,0.0095
3869.00,0.0095
3868.00,0.0095
3867.00,0.0095
3866.00,0.0095
3865.00,0.0096
3864.00,0.0096
3863.00,0.0096
3862.00,0.0096
3861.00,0.0095
3860.00,0.0095
3859.00,0.0095
3858.00,0.0095
3857.00,0.0095
3856.00,0.0095
3855.00,0.0094
3854.00,0.0094
3853.00,0.0094
3852.00,0.0094
3851.00,0.0094
3850.00,0.0094
3849.00,0.0094
3848.00,0.0094
3847.00,0.0094
3846.00,0.0094
3845.00,0.0094
3844.00,0.0094
3843.00,0.0094
3842.00,0.0094
3841.00,0.0094
3840.00,0.0094
3839.00,0.0094
3838.00,0.0094
3837.00,0.0094
3836.00,0.0094
3835.00,0.0095
3834.00,0.0095
3833.00,0.0095
3832.00,0.0095
3831.00,0.0095
3830.00,0.0095
3829.00,0.0094
3828.00,0.0094
3827.00,0.0094
3826.00,0.0094
3825.00,0.0095
3824.00,0.0094
3823.00,0.0094
3822.00,0.0094
3821.00,0.0094
3820.00,0.0094
3819.00,0.0094
3818.00,0.0094
3817.00,0.0094
3816.00,0.0094
3815.00,0.0094
3814.00,0.0094
3813.00,0.0094
3812.00,0.0094
3811.00,0.0094
3810.00,0.0094
3809.00,0.0094
3808.00,0.0094
3807.00,0.0094
3806.00,0.0094
3805.00,0.0094
3804.00,0.0094
3803.00,0.0094
3802.00,0.0094
3801.00,0.0095
3800.00,0.0095
3799.00,0.0095
3798.00,0.0095
3797.00,0.0094
3796.00,0.0094
3795.00,0.0094
3794.00,0.0094
3793.00,0.0094
3792.00,0.0094
3791.00,0.0094
3790.00,0.0095
3789.00,0.0095
3788.00,0.0095
3787.00,0.0094
3786.00,0.0094
3785.00,0.0094
3784.00,0.0094
3783.00,0.0094
3782.00,0.0094
3781.00,0.0094
3780.00,0.0094
3779.00,0.0095
3778.00,0.0095
3777.00,0.0095
3776.00,0.0095
3775.00,0.0094
3774.00,0.0094
3773.00,0.0094
3772.00,0.0094
3771.00,0.0094
3770.00,0.0094
3769.00,0.0093
3768.00,0.0094
3767.00,0.0094
3766.00,0.0094
3765.00,0.0094
3764.00,0.0094
3763.00,0.0094
3762.00,0.0093
3761.00,0.0093
3760.00,0.0093
3759.00,0.0094
3758.00,0.0093
3757.00,0.0093
3756.00,0.0093
3755.00,0.0093
3754.00,0.0093
3753.00,0.0093
3752.00,0.0093
3751.00,0.0093
3750.00,0.0093
3749.00,0.0092
3748.00,0.0092
3747.00,0.0092
3746.00,0.0093
3745.00,0.0093
3744.00,0.0093
3743.00,0.0092
3742.00,0.0092
3741.00,0.0092
3740.00,0.0092
3739.00,0.0092
3738.00,0.0092
3737.00,0.0091
3736.00,0.0091
3735.00,0.0092
3734.00,0.0092
3733.00,0.0092
3732.00,0.0092
3731.00,0.0092
3730.00,0.0092
3729.00,0.0092
3728.00,0.0092
3727.00,0.0092
3726.00,0.0092
3725.00,0.0092
3724.00,0.0092
3723.00,0.0092
3722.00,0.0092
3721.00,0.0092
3720.00,0.0092
3719.00,0.0092
3718.00,0.0092
3717.00,0.0092
3716.00,0.0092
3715.00,0.0092
3714.00,0.0091
3713.00,0.0091
3712.00,0.0091
3711.00,0.0091
3710.00,0.0091
3709.00,0.0090
3708.00,0.0090
3707.00,0.0090
3706.00,0.0090
3705.00,0.0091
3704.00,0.0091
3703.00,0.0091
3702.00,0.0091
3701.00,0.0091
3700.00,0.0091
3699.00,0.0091
3698.00,0.0091
3697.00,0.0091
3696.00,0.0091
3695.00,0.0091
3694.00,0.0090
3693.00,0.0090
3692.00,0.0090
3691.00,0.0090
3690.00,0.0090
3689.00,0.0090
3688.00,0.0090
3687.00,0.0090
3686.00,0.0090
3685.00,0.0090
3684.00,0.0090
3683.00,0.0091
3682.00,0.0091
3681.00,0.0091
3680.00,0.0091
3679.00,0.0091
3678.00,0.0091
3677.00,0.0091
3676.00,0.0091
3675.00,0.0091
3674.00,0.0092
3673.00,0.0091
3672.00,0.0091
3671.00,0.0091
3670.00,0.0092
3669.00,0.0092
3668.00,0.0092
3667.00,0.0092
3666.00,0.0092
3665.00,0.0092
3664.00,0.0092
3663.00,0.0092
3662.00,0.0092
3661.00,0.0092
3660.00,0.0093
3659.00,0.0093
3658.00,0.0093
3657.00,0.0093
3656.00,0.0093
3655.00,0.0093
3654.00,0.0093
3653.00,0.0093
3652.00,0.0093
3651.00,0.0093
3650.00,0.0093
3649.00,0.0094
3648.00,0.0094
3647.00,0.0094
3646.00,0.0094
3645.00,0.0094
3644.00,0.0094
3643.00,0.0095
3642.00,0.0095
3641.00,0.0096
3640.00,0.0096
3639.00,0.0096
3638.00,0.0096
3637.00,0.0096
3636.00,0.0096
3635.00,0.0096
3634.00,0.0096
3633.00,0.0097
3632.00,0.0097
3631.00,0.0097
3630.00,0.0097
3629.00,0.0097
3628.00,0.0098
3627.00,0.0098
3626.00,0.0098
3625.00,0.0098
3624.00,0.0099
3623.00,0.0099
3622.00,0.0100
3621.00,0.0100
3620.00,0.0101
3619.00,0.0101
3618.00,0.0102
3617.00,0.0102
3616.00,0.0102
3615.00,0.0102
3614.00,0.0103
3613.00,0.0103
3612.00,0.0103
3611.00,0.0103
3610.00,0.0103
3609.00,0.0104
3608.00,0.0104
3607.00,0.0104
3606.00,0.0105
3605.00,0.0105
3604.00,0.0105
3603.00,0.0105
3602.00,0.0105
3601.00,0.0106
3600.00,0.0107
3599.00,0.0107
3598.00,0.0108
3597.00,0.0108
3596.00,0.0108
3595.00,0.0108
3594.00,0.0108
3593.00,0.0109
3592.00,0.0110
3591.00,0.0110
3590.00,0.0110
3589.00,0.0110
3588.00,0.0110
3587.00,0.0110
3586.00,0.0111
3585.00,0.0111
3584.00,0.0112
3583.00,0.0112
3582.00,0.0112
3581.00,0.0113
3580.00,0.0113
3579.00,0.0113
3578.00,0.0113
3577.00,0.0114
3576.00,0.0114
3575.00,0.0114
3574.00,0.0115
3573.00,0.0115
3572.00,0.0116
3571.00,0.0117
3570.00,0.0117
3569.00,0.0117
3568.00,0.0117
3567.00,0.0118
3566.00,0.0118
3565.00,0.0119
3564.00,0.0119
3563.00,0.0119
3562.00,0.0120
3561.00,0.0120
3560.00,0.0121
3559.00,0.0121
3558.00,0.0122
3557.00,0.0122
3556.00,0.0123
3555.00,0.0123
3554.00,0.0124
3553.00,0.0124
3552.00,0.0125
3551.00,0.0125
3550.00,0.0125
3549.00,0.0125
3548.00,0.0126
3547.00,0.0126
3546.00,0.0126
3545.00,0.0127
3544.00,0.0127
3543.00,0.0128
3542.00,0.0128
3541.00,0.0128
3540.00,0.0129
3539.00,0.0129
3538.00,0.0130
3537.00,0.0131
3536.00,0.0131
3535.00,0.0131
3534.00,0.0131
3533.00,0.0131
3532.00,0.0132
3531.00,0.0132
