Created as New Dataset,Sample 566 By YargerLab Date Sunday, March 08 2026
cm-1,A
4000.00,0.0122
3999.00,0.0122
3998.00,0.0122
3997.00,0.0122
3996.00,0.0122
3995.00,0.0122
3994.00,0.0122
3993.00,0.0123
3992.00,0.0123
3991.00,0.0122
3990.00,0.0122
3989.00,0.0122
3988.00,0.0122
3987.00,0.0122
3986.00,0.0122
3985.00,0.0122
3984.00,0.0122
3983.00,0.0122
3982.00,0.0122
3981.00,0.0122
3980.00,0.0122
3979.00,0.0122
3978.00,0.0122
3977.00,0.0122
3976.00,0.0122
3975.00,0.0122
3974.00,0.0122
3973.00,0.0122
3972.00,0.0122
3971.00,0.0122
3970.00,0.0122
3969.00,0.0122
3968.00,0.0122
3967.00,0.0122
3966.00,0.0122
3965.00,0.0121
3964.00,0.0121
3963.00,0.0121
3962.00,0.0121
3961.00,0.0121
3960.00,0.0121
3959.00,0.0121
3958.00,0.0121
3957.00,0.0121
3956.00,0.0121
3955.00,0.0121
3954.00,0.0121
3953.00,0.0121
3952.00,0.0121
3951.00,0.0121
3950.00,0.0121
3949.00,0.0121
3948.00,0.0121
3947.00,0.0121
3946.00,0.0121
3945.00,0.0121
3944.00,0.0121
3943.00,0.0121
3942.00,0.0121
3941.00,0.0120
3940.00,0.0121
3939.00,0.0121
3938.00,0.0121
3937.00,0.0121
3936.00,0.0121
3935.00,0.0121
3934.00,0.0121
3933.00,0.0121
3932.00,0.0120
3931.00,0.0120
3930.00,0.0120
3929.00,0.0120
3928.00,0.0120
3927.00,0.0120
3926.00,0.0120
3925.00,0.0120
3924.00,0.0120
3923.00,0.0120
3922.00,0.0120
3921.00,0.0120
3920.00,0.0120
3919.00,0.0119
3918.00,0.0119
3917.00,0.0120
3916.00,0.0120
3915.00,0.0120
3914.00,0.0120
3913.00,0.0120
3912.00,0.0120
3911.00,0.0120
3910.00,0.0120
3909.00,0.0119
3908.00,0.0119
3907.00,0.0119
3906.00,0.0119
3905.00,0.0119
3904.00,0.0119
3903.00,0.0119
3902.00,0.0119
3901.00,0.0119
3900.00,0.0119
3899.00,0.0119
3898.00,0.0119
3897.00,0.0119
3896.00,0.0119
3895.00,0.0119
3894.00,0.0119
3893.00,0.0118
3892.00,0.0118
3891.00,0.0118
3890.00,0.0118
3889.00,0.0118
3888.00,0.0118
3887.00,0.0118
3886.00,0.0118
3885.00,0.0118
3884.00,0.0118
3883.00,0.0118
3882.00,0.0118
3881.00,0.0118
3880.00,0.0118
3879.00,0.0118
3878.00,0.0118
3877.00,0.0118
3876.00,0.0118
3875.00,0.0118
3874.00,0.0118
3873.00,0.0118
3872.00,0.0117
3871.00,0.0118
3870.00,0.0117
3869.00,0.0117
3868.00,0.0117
3867.00,0.0117
3866.00,0.0117
3865.00,0.0117
3864.00,0.0117
3863.00,0.0117
3862.00,0.0117
3861.00,0.0117
3860.00,0.0117
3859.00,0.0117
3858.00,0.0117
3857.00,0.0116
3856.00,0.0116
3855.00,0.0116
3854.00,0.0116
3853.00,0.0116
3852.00,0.0117
3851.00,0.0118
3850.00,0.0118
3849.00,0.0118
3848.00,0.0117
3847.00,0.0117
3846.00,0.0117
3845.00,0.0116
3844.00,0.0116
3843.00,0.0116
3842.00,0.0116
3841.00,0.0116
3840.00,0.0116
3839.00,0.0116
3838.00,0.0116
3837.00,0.0116
3836.00,0.0116
3835.00,0.0116
3834.00,0.0116
3833.00,0.0116
3832.00,0.0116
3831.00,0.0116
3830.00,0.0116
3829.00,0.0116
3828.00,0.0116
3827.00,0.0116
3826.00,0.0116
3825.00,0.0116
3824.00,0.0115
3823.00,0.0115
3822.00,0.0115
3821.00,0.0115
3820.00,0.0115
3819.00,0.0115
3818.00,0.0115
3817.00,0.0116
3816.00,0.0116
3815.00,0.0115
3814.00,0.0115
3813.00,0.0115
3812.00,0.0115
3811.00,0.0115
3810.00,0.0115
3809.00,0.0115
3808.00,0.0114
3807.00,0.0114
3806.00,0.0114
3805.00,0.0114
3804.00,0.0114
3803.00,0.0114
3802.00,0.0114
3801.00,0.0114
3800.00,0.0114
3799.00,0.0114
3798.00,0.0114
3797.00,0.0114
3796.00,0.0114
3795.00,0.0114
3794.00,0.0114
3793.00,0.0114
3792.00,0.0114
3791.00,0.0114
3790.00,0.0114
3789.00,0.0114
3788.00,0.0114
3787.00,0.0114
3786.00,0.0114
3785.00,0.0114
3784.00,0.0114
3783.00,0.0114
3782.00,0.0113
3781.00,0.0113
3780.00,0.0113
3779.00,0.0113
3778.00,0.0113
3777.00,0.0114
3776.00,0.0114
3775.00,0.0114
3774.00,0.0113
3773.00,0.0113
3772.00,0.0113
3771.00,0.0113
3770.00,0.0113
3769.00,0.0113
3768.00,0.0113
3767.00,0.0113
3766.00,0.0113
3765.00,0.0113
3764.00,0.0113
3763.00,0.0113
3762.00,0.0113
3761.00,0.0113
3760.00,0.0113
3759.00,0.0112
3758.00,0.0112
3757.00,0.0112
3756.00,0.0112
3755.00,0.0112
3754.00,0.0112
3753.00,0.0113
3752.00,0.0113
3751.00,0.0113
3750.00,0.0113
3749.00,0.0113
3748.00,0.0112
3747.00,0.0112
3746.00,0.0112
3745.00,0.0112
3744.00,0.0112
3743.00,0.0112
3742.00,0.0112
3741.00,0.0112
3740.00,0.0112
3739.00,0.0111
3738.00,0.0111
3737.00,0.0111
3736.00,0.0111
3735.00,0.0110
3734.00,0.0110
3733.00,0.0111
