Created as New Dataset,Sample 780 By YargerLab Date Sunday, March 22 2026
cm-1,A
4000.00,0.0125
3999.00,0.0125
3998.00,0.0125
3997.00,0.0125
3996.00,0.0125
3995.00,0.0125
3994.00,0.0125
3993.00,0.0125
3992.00,0.0125
3991.00,0.0124
3990.00,0.0124
3989.00,0.0124
3988.00,0.0124
3987.00,0.0124
3986.00,0.0124
3985.00,0.0124
3984.00,0.0124
3983.00,0.0124
3982.00,0.0124
3981.00,0.0124
3980.00,0.0124
3979.00,0.0124
3978.00,0.0124
3977.00,0.0124
3976.00,0.0124
3975.00,0.0124
3974.00,0.0124
3973.00,0.0124
3972.00,0.0124
3971.00,0.0124
3970.00,0.0124
3969.00,0.0124
3968.00,0.0124
3967.00,0.0124
3966.00,0.0124
3965.00,0.0124
3964.00,0.0124
3963.00,0.0124
3962.00,0.0124
3961.00,0.0124
3960.00,0.0123
3959.00,0.0123
3958.00,0.0123
3957.00,0.0123
3956.00,0.0123
3955.00,0.0123
3954.00,0.0123
3953.00,0.0123
3952.00,0.0123
3951.00,0.0124
3950.00,0.0124
3949.00,0.0124
3948.00,0.0124
3947.00,0.0124
3946.00,0.0125
3945.00,0.0124
3944.00,0.0124
3943.00,0.0124
3942.00,0.0123
3941.00,0.0123
3940.00,0.0123
3939.00,0.0123
3938.00,0.0123
3937.00,0.0123
3936.00,0.0123
3935.00,0.0123
3934.00,0.0124
3933.00,0.0124
3932.00,0.0124
3931.00,0.0124
3930.00,0.0123
3929.00,0.0123
3928.00,0.0123
3927.00,0.0123
3926.00,0.0122
3925.00,0.0122
3924.00,0.0122
3923.00,0.0122
3922.00,0.0123
3921.00,0.0123
3920.00,0.0124
3919.00,0.0124
3918.00,0.0124
3917.00,0.0124
3916.00,0.0124
3915.00,0.0123
3914.00,0.0123
3913.00,0.0122
3912.00,0.0122
3911.00,0.0122
3910.00,0.0121
3909.00,0.0121
3908.00,0.0121
3907.00,0.0121
3906.00,0.0122
3905.00,0.0122
3904.00,0.0123
3903.00,0.0124
3902.00,0.0125
3901.00,0.0126
3900.00,0.0125
3899.00,0.0125
3898.00,0.0124
3897.00,0.0123
3896.00,0.0123
3895.00,0.0122
3894.00,0.0122
3893.00,0.0121
3892.00,0.0121
3891.00,0.0121
3890.00,0.0121
3889.00,0.0122
3888.00,0.0123
3887.00,0.0123
3886.00,0.0123
3885.00,0.0123
3884.00,0.0122
3883.00,0.0123
3882.00,0.0123
3881.00,0.0123
