Created as New Dataset,Sample 755 By YargerLab Date Tuesday, July 01 2025
cm-1,A
4000.00,0.0028
3999.00,0.0028
3998.00,0.0028
3997.00,0.0028
3996.00,0.0028
3995.00,0.0028
3994.00,0.0028
3993.00,0.0028
3992.00,0.0028
3991.00,0.0028
3990.00,0.0028
3989.00,0.0028
3988.00,0.0028
3987.00,0.0028
3986.00,0.0028
3985.00,0.0028
3984.00,0.0028
3983.00,0.0028
3982.00,0.0028
3981.00,0.0028
3980.00,0.0028
3979.00,0.0028
3978.00,0.0028
3977.00,0.0028
3976.00,0.0029
3975.00,0.0029
3974.00,0.0029
3973.00,0.0029
3972.00,0.0029
3971.00,0.0029
3970.00,0.0029
3969.00,0.0029
3968.00,0.0029
3967.00,0.0029
3966.00,0.0029
3965.00,0.0029
3964.00,0.0030
3963.00,0.0030
3962.00,0.0030
3961.00,0.0030
3960.00,0.0029
3959.00,0.0029
3958.00,0.0029
3957.00,0.0029
3956.00,0.0029
3955.00,0.0029
3954.00,0.0029
3953.00,0.0029
3952.00,0.0029
3951.00,0.0029
3950.00,0.0029
3949.00,0.0030
3948.00,0.0031
3947.00,0.0031
3946.00,0.0031
3945.00,0.0030
3944.00,0.0029
3943.00,0.0029
3942.00,0.0028
3941.00,0.0029
3940.00,0.0029
3939.00,0.0029
3938.00,0.0029
3937.00,0.0029
3936.00,0.0029
3935.00,0.0030
3934.00,0.0030
3933.00,0.0030
3932.00,0.0030
3931.00,0.0029
3930.00,0.0029
3929.00,0.0028
3928.00,0.0028
3927.00,0.0028
3926.00,0.0027
3925.00,0.0027
3924.00,0.0027
3923.00,0.0028
3922.00,0.0029
3921.00,0.0030
3920.00,0.0031
3919.00,0.0031
3918.00,0.0031
3917.00,0.0031
3916.00,0.0030
3915.00,0.0029
3914.00,0.0028
3913.00,0.0028
3912.00,0.0028
3911.00,0.0028
3910.00,0.0028
3909.00,0.0028
3908.00,0.0028
3907.00,0.0029
3906.00,0.0029
3905.00,0.0031
3904.00,0.0032
3903.00,0.0034
3902.00,0.0035
3901.00,0.0035
3900.00,0.0034
3899.00,0.0032
3898.00,0.0031
3897.00,0.0031
3896.00,0.0030
3895.00,0.0030
3894.00,0.0029
3893.00,0.0029
3892.00,0.0028
3891.00,0.0028
3890.00,0.0029
3889.00,0.0030
3888.00,0.0031
3887.00,0.0033
3886.00,0.0032
3885.00,0.0031
3884.00,0.0031
3883.00,0.0031
3882.00,0.0031
3881.00,0.0031
3880.00,0.0031
3879.00,0.0030
3878.00,0.0031
3877.00,0.0031
3876.00,0.0031
3875.00,0.0030
3874.00,0.0029
3873.00,0.0029
3872.00,0.0031
3871.00,0.0032
3870.00,0.0032
3869.00,0.0032
3868.00,0.0032
3867.00,0.0033
3866.00,0.0033
3865.00,0.0033
3864.00,0.0031
3863.00,0.0031
3862.00,0.0032
3861.00,0.0033
3860.00,0.0033
3859.00,0.0032
3858.00,0.0030
3857.00,0.0028
3856.00,0.0027
3855.00,0.0027
3854.00,0.0028
3853.00,0.0029
3852.00,0.0030
3851.00,0.0030
3850.00,0.0031
3849.00,0.0031
3848.00,0.0031
3847.00,0.0032
3846.00,0.0031
3845.00,0.0031
3844.00,0.0031
3843.00,0.0031
3842.00,0.0031
3841.00,0.0031
3840.00,0.0031
3839.00,0.0031
3838.00,0.0030
3837.00,0.0030
3836.00,0.0030
3835.00,0.0030
3834.00,0.0031
3833.00,0.0031
3832.00,0.0031
3831.00,0.0031
3830.00,0.0031
3829.00,0.0031
3828.00,0.0031
3827.00,0.0031
3826.00,0.0030
3825.00,0.0030
3824.00,0.0031
3823.00,0.0033
3822.00,0.0033
3821.00,0.0032
3820.00,0.0031
3819.00,0.0031
3818.00,0.0031
3817.00,0.0032
3816.00,0.0031
3815.00,0.0030
3814.00,0.0028
3813.00,0.0028
3812.00,0.0028
3811.00,0.0028
3810.00,0.0028
3809.00,0.0029
3808.00,0.0029
3807.00,0.0029
3806.00,0.0029
3805.00,0.0029
3804.00,0.0030
3803.00,0.0031
3802.00,0.0030
3801.00,0.0029
3800.00,0.0029
3799.00,0.0029
3798.00,0.0030
3797.00,0.0030
3796.00,0.0030
3795.00,0.0029
3794.00,0.0029
3793.00,0.0028
3792.00,0.0028
3791.00,0.0028
3790.00,0.0027
3789.00,0.0027
3788.00,0.0028
3787.00,0.0028
3786.00,0.0028
3785.00,0.0027
3784.00,0.0027
3783.00,0.0028
3782.00,0.0028
3781.00,0.0029
3780.00,0.0028
3779.00,0.0028
3778.00,0.0028
3777.00,0.0029
3776.00,0.0029
3775.00,0.0029
3774.00,0.0028
3773.00,0.0028
3772.00,0.0029
3771.00,0.0030
3770.00,0.0030
3769.00,0.0030
3768.00,0.0031
3767.00,0.0031
3766.00,0.0031
3765.00,0.0031
3764.00,0.0031
3763.00,0.0031
3762.00,0.0032
3761.00,0.0032
3760.00,0.0031
3759.00,0.0031
3758.00,0.0031
3757.00,0.0032
3756.00,0.0032
3755.00,0.0033
3754.00,0.0034
3753.00,0.0035
3752.00,0.0035
3751.00,0.0036
3750.00,0.0038
3749.00,0.0038
3748.00,0.0037
3747.00,0.0037
3746.00,0.0037
3745.00,0.0037
3744.00,0.0036
3743.00,0.0035
3742.00,0.0034
3741.00,0.0035
3740.00,0.0037
3739.00,0.0038
3738.00,0.0038
3737.00,0.0038
3736.00,0.0037
3735.00,0.0036
3734.00,0.0036
3733.00,0.0036
3732.00,0.0036
3731.00,0.0034
3730.00,0.0033
3729.00,0.0033
3728.00,0.0033
3727.00,0.0033
3726.00,0.0033
3725.00,0.0032
3724.00,0.0032
3723.00,0.0032
3722.00,0.0032
3721.00,0.0031
3720.00,0.0031
3719.00,0.0030
3718.00,0.0030
3717.00,0.0030
3716.00,0.0030
3715.00,0.0030
3714.00,0.0031
3713.00,0.0031
3712.00,0.0031
3711.00,0.0031
3710.00,0.0031
3709.00,0.0031
3708.00,0.0031
3707.00,0.0030
3706.00,0.0029
3705.00,0.0029
3704.00,0.0028
3703.00,0.0028
3702.00,0.0027
3701.00,0.0027
3700.00,0.0027
3699.00,0.0027
3698.00,0.0028
3697.00,0.0028
3696.00,0.0027
3695.00,0.0027
3694.00,0.0028
3693.00,0.0028
3692.00,0.0027
3691.00,0.0026
3690.00,0.0026
3689.00,0.0027
3688.00,0.0028
3687.00,0.0028
3686.00,0.0027
3685.00,0.0027
3684.00,0.0027
3683.00,0.0026
3682.00,0.0026
3681.00,0.0025
3680.00,0.0024
3679.00,0.0023
3678.00,0.0023
3677.00,0.0024
3676.00,0.0023
3675.00,0.0022
3674.00,0.0022
3673.00,0.0021
3672.00,0.0022
3671.00,0.0021
3670.00,0.0020
3669.00,0.0018
3668.00,0.0017
3667.00,0.0017
3666.00,0.0017
3665.00,0.0016
3664.00,0.0015
3663.00,0.0014
3662.00,0.0014
3661.00,0.0014
3660.00,0.0014
3659.00,0.0014
3658.00,0.0015
3657.00,0.0015
3656.00,0.0016
3655.00,0.0017
3654.00,0.0018
3653.00,0.0020
3652.00,0.0021
3651.00,0.0022
3650.00,0.0022
3649.00,0.0023
3648.00,0.0025
3647.00,0.0025
3646.00,0.0024
3645.00,0.0024
3644.00,0.0023
3643.00,0.0023
3642.00,0.0022
3641.00,0.0022
3640.00,0.0022
3639.00,0.0022
3638.00,0.0022
3637.00,0.0022
3636.00,0.0024
3635.00,0.0026
3634.00,0.0028
3633.00,0.0030
3632.00,0.0032
3631.00,0.0035
3630.00,0.0037
3629.00,0.0038
3628.00,0.0038
3627.00,0.0039
3626.00,0.0039
3625.00,0.0040
3624.00,0.0040
3623.00,0.0040
3622.00,0.0040
3621.00,0.0040
3620.00,0.0040
3619.00,0.0041
3618.00,0.0042
3617.00,0.0044
3616.00,0.0046
3615.00,0.0047
3614.00,0.0047
3613.00,0.0048
3612.00,0.0048
3611.00,0.0049
3610.00,0.0050
3609.00,0.0050
3608.00,0.0049
3607.00,0.0048
3606.00,0.0047
3605.00,0.0047
3604.00,0.0047
3603.00,0.0046
3602.00,0.0046
3601.00,0.0046
3600.00,0.0046
3599.00,0.0046
3598.00,0.0047
3597.00,0.0047
3596.00,0.0048
3595.00,0.0048
3594.00,0.0048
3593.00,0.0049
3592.00,0.0050
3591.00,0.0051
3590.00,0.0052
3589.00,0.0053
3588.00,0.0052
3587.00,0.0052
3586.00,0.0052
3585.00,0.0053
3584.00,0.0053
3583.00,0.0053
3582.00,0.0053
3581.00,0.0053
3580.00,0.0053
3579.00,0.0053
3578.00,0.0053
3577.00,0.0054
3576.00,0.0054
3575.00,0.0055
3574.00,0.0055
3573.00,0.0056
3572.00,0.0057
3571.00,0.0059
3570.00,0.0061
3569.00,0.0062
3568.00,0.0063
3567.00,0.0064
3566.00,0.0065
3565.00,0.0065
3564.00,0.0066
3563.00,0.0066
3562.00,0.0066
3561.00,0.0066
3560.00,0.0067
3559.00,0.0067
3558.00,0.0068
3557.00,0.0068
3556.00,0.0069
3555.00,0.0069
3554.00,0.0070
3553.00,0.0071
3552.00,0.0072
3551.00,0.0074
3550.00,0.0075
3549.00,0.0077
3548.00,0.0079
3547.00,0.0080
3546.00,0.0082
3545.00,0.0082
3544.00,0.0083
3543.00,0.0084
3542.00,0.0084
3541.00,0.0085
3540.00,0.0085
3539.00,0.0086
3538.00,0.0087
3537.00,0.0088
3536.00,0.0089
3535.00,0.0090
3534.00,0.0092
3533.00,0.0093
3532.00,0.0095
3531.00,0.0096
3530.00,0.0097
3529.00,0.0099
3528.00,0.0101
3527.00,0.0103
3526.00,0.0105
3525.00,0.0107
3524.00,0.0108
3523.00,0.0109
3522.00,0.0110
3521.00,0.0111
3520.00,0.0112
3519.00,0.0113
3518.00,0.0114
3517.00,0.0115
3516.00,0.0117
3515.00,0.0119
3514.00,0.0121
3513.00,0.0123
3512.00,0.0125
3511.00,0.0126
3510.00,0.0128
3509.00,0.0130
3508.00,0.0132
3507.00,0.0134
3506.00,0.0136
3505.00,0.0138
3504.00,0.0141
3503.00,0.0143
3502.00,0.0145
3501.00,0.0147
3500.00,0.0149
3499.00,0.0151
3498.00,0.0153
3497.00,0.0155
3496.00,0.0157
3495.00,0.0159
3494.00,0.0161
3493.00,0.0164
3492.00,0.0166
3491.00,0.0169
3490.00,0.0172
3489.00,0.0174
3488.00,0.0177
3487.00,0.0180
3486.00,0.0183
3485.00,0.0186
3484.00,0.0189
3483.00,0.0192
3482.00,0.0195
3481.00,0.0198
3480.00,0.0202
3479.00,0.0205
3478.00,0.0208
3477.00,0.0210
3476.00,0.0213
3475.00,0.0216
3474.00,0.0219
3473.00,0.0223
3472.00,0.0226
3471.00,0.0229
3470.00,0.0232
3469.00,0.0235
3468.00,0.0238
3467.00,0.0241
3466.00,0.0244
3465.00,0.0247
3464.00,0.0250
3463.00,0.0253
3462.00,0.0256
3461.00,0.0259
3460.00,0.0262
3459.00,0.0264
3458.00,0.0266
3457.00,0.0268
3456.00,0.0270
3455.00,0.0272
3454.00,0.0274
3453.00,0.0276
3452.00,0.0277
3451.00,0.0279
3450.00,0.0281
3449.00,0.0283
3448.00,0.0285
3447.00,0.0286
3446.00,0.0288
3445.00,0.0290
3444.00,0.0291
3443.00,0.0292
3442.00,0.0293
3441.00,0.0294
3440.00,0.0295
3439.00,0.0297
3438.00,0.0298
3437.00,0.0299
3436.00,0.0299
3435.00,0.0300
3434.00,0.0300
3433.00,0.0301
3432.00,0.0301
3431.00,0.0302
3430.00,0.0303
3429.00,0.0303
3428.00,0.0304
3427.00,0.0304
3426.00,0.0304
3425.00,0.0304
3424.00,0.0304
3423.00,0.0305
3422.00,0.0305
3421.00,0.0306
3420.00,0.0306
3419.00,0.0307
3418.00,0.0307
3417.00,0.0308
3416.00,0.0308
3415.00,0.0308
3414.00,0.0308
3413.00,0.0308
3412.00,0.0309
3411.00,0.0309
3410.00,0.0309
3409.00,0.0309
3408.00,0.0309
3407.00,0.0309
3406.00,0.0309
3405.00,0.0310
3404.00,0.0310
3403.00,0.0310
3402.00,0.0311
3401.00,0.0311
3400.00,0.0311
3399.00,0.0311
3398.00,0.0312
3397.00,0.0312
3396.00,0.0313
3395.00,0.0313
3394.00,0.0313
3393.00,0.0313
3392.00,0.0314
3391.00,0.0314
3390.00,0.0314
3389.00,0.0315
3388.00,0.0315
3387.00,0.0315
3386.00,0.0315
3385.00,0.0315
3384.00,0.0316
3383.00,0.0316
3382.00,0.0317
3381.00,0.0317
3380.00,0.0318
3379.00,0.0318
3378.00,0.0319
3377.00,0.0319
3376.00,0.0320
3375.00,0.0320
3374.00,0.0320
3373.00,0.0320
3372.00,0.0320
3371.00,0.0320
3370.00,0.0320
3369.00,0.0321
3368.00,0.0321
3367.00,0.0322
3366.00,0.0323
3365.00,0.0324
3364.00,0.0325
3363.00,0.0326
3362.00,0.0326
3361.00,0.0326
3360.00,0.0327
3359.00,0.0327
3358.00,0.0327
3357.00,0.0328
3356.00,0.0328
3355.00,0.0329
3354.00,0.0329
3353.00,0.0329
3352.00,0.0329
3351.00,0.0329
3350.00,0.0330
3349.00,0.0331
3348.00,0.0332
3347.00,0.0332
3346.00,0.0333
3345.00,0.0333
3344.00,0.0333
3343.00,0.0333
3342.00,0.0333
3341.00,0.0333
3340.00,0.0333
3339.00,0.0333
3338.00,0.0334
3337.00,0.0335
3336.00,0.0336
3335.00,0.0337
3334.00,0.0338
3333.00,0.0339
3332.00,0.0340
3331.00,0.0340
3330.00,0.0340
3329.00,0.0340
3328.00,0.0339
3327.00,0.0339
3326.00,0.0339
3325.00,0.0339
3324.00,0.0340
3323.00,0.0341
3322.00,0.0342
3321.00,0.0342
3320.00,0.0343
3319.00,0.0343
3318.00,0.0343
3317.00,0.0343
3316.00,0.0344
3315.00,0.0344
3314.00,0.0344
3313.00,0.0343
3312.00,0.0343
3311.00,0.0342
3310.00,0.0340
3309.00,0.0340
3308.00,0.0339
3307.00,0.0339
3306.00,0.0340
3305.00,0.0340
3304.00,0.0342
3303.00,0.0342
3302.00,0.0343
3301.00,0.0343
3300.00,0.0343
3299.00,0.0342
3298.00,0.0342
3297.00,0.0341
3296.00,0.0341
3295.00,0.0341
3294.00,0.0340
3293.00,0.0341
3292.00,0.0341
3291.00,0.0342
3290.00,0.0342
3289.00,0.0343
3288.00,0.0343
3287.00,0.0343
3286.00,0.0343
3285.00,0.0342
3284.00,0.0342
3283.00,0.0341
3282.00,0.0341
3281.00,0.0341
3280.00,0.0341
3279.00,0.0340
3278.00,0.0340
3277.00,0.0339
3276.00,0.0339
3275.00,0.0338
3274.00,0.0338
3273.00,0.0337
3272.00,0.0337
3271.00,0.0336
3270.00,0.0336
3269.00,0.0336
3268.00,0.0336
3267.00,0.0336
3266.00,0.0336
3265.00,0.0336
3264.00,0.0336
3263.00,0.0336
3262.00,0.0336
3261.00,0.0335
3260.00,0.0335
3259.00,0.0334
3258.00,0.0334
3257.00,0.0334
3256.00,0.0334
3255.00,0.0334
3254.00,0.0334
3253.00,0.0334
3252.00,0.0333
3251.00,0.0333
3250.00,0.0332
3249.00,0.0331
3248.00,0.0330
3247.00,0.0330
3246.00,0.0330
3245.00,0.0330
3244.00,0.0330
3243.00,0.0329
3242.00,0.0329
3241.00,0.0328
3240.00,0.0328
3239.00,0.0327
3238.00,0.0327
3237.00,0.0326
3236.00,0.0325
3235.00,0.0324
3234.00,0.0323
3233.00,0.0323
3232.00,0.0323
3231.00,0.0323
3230.00,0.0322
3229.00,0.0322
3228.00,0.0321
3227.00,0.0320
3226.00,0.0320
3225.00,0.0319
3224.00,0.0319
3223.00,0.0318
3222.00,0.0318
3221.00,0.0317
3220.00,0.0317
3219.00,0.0316
3218.00,0.0316
3217.00,0.0316
3216.00,0.0316
3215.00,0.0315
3214.00,0.0315
3213.00,0.0315
3212.00,0.0315
3211.00,0.0314
3210.00,0.0314
3209.00,0.0313
3208.00,0.0313
3207.00,0.0313
3206.00,0.0312
3205.00,0.0312
3204.00,0.0311
3203.00,0.0311
3202.00,0.0310
3201.00,0.0309
3200.00,0.0309
3199.00,0.0308
3198.00,0.0308
3197.00,0.0308
