Created as New Dataset,Sample 1018 By YargerLab Date Thursday, September 17 2026
cm-1,A
4000.00,0.0007
3999.00,0.0007
3998.00,0.0007
3997.00,0.0007
3996.00,0.0007
3995.00,0.0007
3994.00,0.0007
3993.00,0.0007
3992.00,0.0007
3991.00,0.0007
3990.00,0.0007
3989.00,0.0007
3988.00,0.0007
3987.00,0.0007
3986.00,0.0007
3985.00,0.0007
3984.00,0.0007
3983.00,0.0007
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0007
3978.00,0.0007
3977.00,0.0007
3976.00,0.0007
3975.00,0.0007
3974.00,0.0007
3973.00,0.0007
3972.00,0.0007
3971.00,0.0007
3970.00,0.0007
3969.00,0.0007
3968.00,0.0007
3967.00,0.0007
3966.00,0.0007
3965.00,0.0007
3964.00,0.0007
3963.00,0.0007
3962.00,0.0007
3961.00,0.0007
3960.00,0.0007
3959.00,0.0007
3958.00,0.0007
3957.00,0.0007
3956.00,0.0006
3955.00,0.0006
3954.00,0.0006
3953.00,0.0007
3952.00,0.0007
3951.00,0.0007
3950.00,0.0007
3949.00,0.0007
3948.00,0.0007
3947.00,0.0006
3946.00,0.0006
3945.00,0.0006
3944.00,0.0006
3943.00,0.0006
3942.00,0.0007
3941.00,0.0007
3940.00,0.0007
3939.00,0.0007
3938.00,0.0007
3937.00,0.0006
3936.00,0.0006
3935.00,0.0006
3934.00,0.0006
3933.00,0.0006
3932.00,0.0006
3931.00,0.0006
3930.00,0.0006
3929.00,0.0006
3928.00,0.0006
3927.00,0.0006
3926.00,0.0006
3925.00,0.0006
3924.00,0.0006
3923.00,0.0006
3922.00,0.0006
3921.00,0.0006
3920.00,0.0006
3919.00,0.0006
3918.00,0.0006
3917.00,0.0006
3916.00,0.0006
3915.00,0.0006
3914.00,0.0006
3913.00,0.0006
3912.00,0.0006
3911.00,0.0007
3910.00,0.0007
3909.00,0.0007
3908.00,0.0007
3907.00,0.0006
3906.00,0.0006
3905.00,0.0006
3904.00,0.0006
3903.00,0.0006
3902.00,0.0005
3901.00,0.0005
3900.00,0.0005
3899.00,0.0005
3898.00,0.0005
3897.00,0.0006
3896.00,0.0006
3895.00,0.0006
3894.00,0.0006
3893.00,0.0006
3892.00,0.0006
3891.00,0.0006
3890.00,0.0006
3889.00,0.0006
3888.00,0.0006
3887.00,0.0006
3886.00,0.0006
3885.00,0.0006
3884.00,0.0006
3883.00,0.0005
3882.00,0.0005
3881.00,0.0005
3880.00,0.0005
3879.00,0.0006
3878.00,0.0006
3877.00,0.0006
3876.00,0.0006
3875.00,0.0006
3874.00,0.0006
3873.00,0.0005
3872.00,0.0005
3871.00,0.0004
3870.00,0.0005
3869.00,0.0005
3868.00,0.0004
3867.00,0.0004
3866.00,0.0004
3865.00,0.0005
3864.00,0.0005
3863.00,0.0005
3862.00,0.0005
3861.00,0.0006
3860.00,0.0006
3859.00,0.0006
3858.00,0.0006
3857.00,0.0006
3856.00,0.0005
3855.00,0.0005
3854.00,0.0005
3853.00,0.0004
3852.00,0.0004
3851.00,0.0004
3850.00,0.0004
3849.00,0.0005
3848.00,0.0005
3847.00,0.0006
3846.00,0.0006
3845.00,0.0006
3844.00,0.0006
3843.00,0.0006
3842.00,0.0005
3841.00,0.0005
3840.00,0.0005
3839.00,0.0005
3838.00,0.0005
3837.00,0.0005
3836.00,0.0005
3835.00,0.0005
3834.00,0.0005
3833.00,0.0005
3832.00,0.0005
3831.00,0.0006
3830.00,0.0006
3829.00,0.0006
3828.00,0.0006
3827.00,0.0006
3826.00,0.0006
3825.00,0.0005
3824.00,0.0004
3823.00,0.0004
3822.00,0.0004
3821.00,0.0005
3820.00,0.0005
3819.00,0.0005
3818.00,0.0005
3817.00,0.0006
3816.00,0.0006
3815.00,0.0007
3814.00,0.0007
3813.00,0.0006
3812.00,0.0007
3811.00,0.0007
3810.00,0.0007
3809.00,0.0006
3808.00,0.0006
3807.00,0.0006
3806.00,0.0006
3805.00,0.0006
3804.00,0.0005
3803.00,0.0005
3802.00,0.0005
3801.00,0.0006
3800.00,0.0005
3799.00,0.0005
3798.00,0.0005
3797.00,0.0005
3796.00,0.0006
3795.00,0.0006
3794.00,0.0007
3793.00,0.0007
3792.00,0.0007
3791.00,0.0007
3790.00,0.0008
3789.00,0.0008
3788.00,0.0008
3787.00,0.0007
3786.00,0.0007
3785.00,0.0007
3784.00,0.0007
3783.00,0.0006
3782.00,0.0006
3781.00,0.0006
3780.00,0.0006
3779.00,0.0007
3778.00,0.0007
3777.00,0.0007
3776.00,0.0007
3775.00,0.0007
3774.00,0.0007
3773.00,0.0007
3772.00,0.0007
3771.00,0.0007
3770.00,0.0007
3769.00,0.0006
3768.00,0.0006
3767.00,0.0006
3766.00,0.0006
3765.00,0.0006
3764.00,0.0006
3763.00,0.0006
3762.00,0.0006
3761.00,0.0006
3760.00,0.0006
3759.00,0.0006
3758.00,0.0007
3757.00,0.0007
3756.00,0.0006
3755.00,0.0006
3754.00,0.0005
3753.00,0.0005
3752.00,0.0004
3751.00,0.0004
3750.00,0.0004
3749.00,0.0004
3748.00,0.0004
3747.00,0.0003
3746.00,0.0003
3745.00,0.0004
3744.00,0.0004
3743.00,0.0005
3742.00,0.0004
3741.00,0.0005
3740.00,0.0005
3739.00,0.0005
3738.00,0.0005
3737.00,0.0004
3736.00,0.0004
3735.00,0.0004
3734.00,0.0004
3733.00,0.0004
3732.00,0.0004
3731.00,0.0005
3730.00,0.0005
3729.00,0.0005
3728.00,0.0005
3727.00,0.0005
3726.00,0.0005
3725.00,0.0005
3724.00,0.0005
3723.00,0.0005
3722.00,0.0006
3721.00,0.0006
3720.00,0.0006
3719.00,0.0006
3718.00,0.0006
3717.00,0.0006
3716.00,0.0006
3715.00,0.0005
3714.00,0.0005
3713.00,0.0004
3712.00,0.0003
3711.00,0.0003
3710.00,0.0003
3709.00,0.0003
3708.00,0.0004
3707.00,0.0005
3706.00,0.0005
3705.00,0.0005
3704.00,0.0005
3703.00,0.0006
3702.00,0.0006
3701.00,0.0006
3700.00,0.0006
3699.00,0.0006
3698.00,0.0006
3697.00,0.0006
3696.00,0.0006
3695.00,0.0006
3694.00,0.0006
3693.00,0.0006
3692.00,0.0005
3691.00,0.0005
3690.00,0.0005
3689.00,0.0005
3688.00,0.0005
3687.00,0.0005
3686.00,0.0006
3685.00,0.0006
3684.00,0.0006
3683.00,0.0006
3682.00,0.0006
3681.00,0.0006
3680.00,0.0006
3679.00,0.0005
3678.00,0.0005
3677.00,0.0005
3676.00,0.0005
3675.00,0.0005
3674.00,0.0005
3673.00,0.0004
3672.00,0.0004
3671.00,0.0004
3670.00,0.0005
3669.00,0.0005
3668.00,0.0005
3667.00,0.0005
3666.00,0.0006
3665.00,0.0006
3664.00,0.0007
3663.00,0.0007
3662.00,0.0007
3661.00,0.0008
3660.00,0.0008
3659.00,0.0008
3658.00,0.0007
3657.00,0.0007
3656.00,0.0007
3655.00,0.0006
3654.00,0.0005
3653.00,0.0005
3652.00,0.0005
3651.00,0.0005
3650.00,0.0005
3649.00,0.0005
3648.00,0.0005
3647.00,0.0005
3646.00,0.0005
3645.00,0.0006
3644.00,0.0006
3643.00,0.0006
3642.00,0.0007
3641.00,0.0007
3640.00,0.0007
3639.00,0.0007
3638.00,0.0007
3637.00,0.0007
3636.00,0.0007
3635.00,0.0007
3634.00,0.0007
3633.00,0.0007
3632.00,0.0007
3631.00,0.0006
3630.00,0.0006
3629.00,0.0006
3628.00,0.0006
3627.00,0.0005
3626.00,0.0005
3625.00,0.0006
3624.00,0.0006
3623.00,0.0007
3622.00,0.0007
3621.00,0.0007
3620.00,0.0007
3619.00,0.0007
3618.00,0.0007
3617.00,0.0007
3616.00,0.0007
3615.00,0.0007
3614.00,0.0007
3613.00,0.0007
3612.00,0.0006
3611.00,0.0006
3610.00,0.0006
3609.00,0.0006
3608.00,0.0007
3607.00,0.0007
3606.00,0.0007
3605.00,0.0008
3604.00,0.0008
3603.00,0.0008
3602.00,0.0008
3601.00,0.0008
3600.00,0.0008
3599.00,0.0007
3598.00,0.0007
3597.00,0.0007
3596.00,0.0007
3595.00,0.0007
3594.00,0.0008
3593.00,0.0008
3592.00,0.0008
3591.00,0.0008
3590.00,0.0008
3589.00,0.0008
3588.00,0.0008
3587.00,0.0008
3586.00,0.0008
3585.00,0.0008
3584.00,0.0009
3583.00,0.0009
3582.00,0.0009
3581.00,0.0010
3580.00,0.0010
3579.00,0.0010
3578.00,0.0010
3577.00,0.0010
3576.00,0.0010
3575.00,0.0010
3574.00,0.0010
3573.00,0.0010
3572.00,0.0010
3571.00,0.0010
3570.00,0.0010
3569.00,0.0010
3568.00,0.0009
3567.00,0.0009
3566.00,0.0009
3565.00,0.0009
3564.00,0.0009
3563.00,0.0009
3562.00,0.0010
3561.00,0.0010
3560.00,0.0011
3559.00,0.0011
3558.00,0.0011
3557.00,0.0011
3556.00,0.0011
3555.00,0.0011
3554.00,0.0011
3553.00,0.0011
3552.00,0.0011
3551.00,0.0012
3550.00,0.0012
3549.00,0.0012
3548.00,0.0012
3547.00,0.0012
3546.00,0.0012
3545.00,0.0012
3544.00,0.0012
3543.00,0.0012
3542.00,0.0012
3541.00,0.0012
3540.00,0.0013
3539.00,0.0013
3538.00,0.0013
3537.00,0.0013
3536.00,0.0014
3535.00,0.0014
3534.00,0.0014
3533.00,0.0013
3532.00,0.0013
3531.00,0.0013
3530.00,0.0013
3529.00,0.0013
3528.00,0.0013
3527.00,0.0013
3526.00,0.0013
3525.00,0.0013
3524.00,0.0013
3523.00,0.0013
3522.00,0.0013
3521.00,0.0013
3520.00,0.0014
3519.00,0.0014
3518.00,0.0014
3517.00,0.0015
3516.00,0.0015
3515.00,0.0015
3514.00,0.0014
3513.00,0.0014
3512.00,0.0014
3511.00,0.0014
3510.00,0.0014
3509.00,0.0014
3508.00,0.0014
3507.00,0.0014
3506.00,0.0014
3505.00,0.0015
3504.00,0.0015
3503.00,0.0015
3502.00,0.0015
3501.00,0.0015
3500.00,0.0015
3499.00,0.0015
3498.00,0.0015
3497.00,0.0016
3496.00,0.0016
3495.00,0.0015
3494.00,0.0015
3493.00,0.0015
3492.00,0.0016
3491.00,0.0016
3490.00,0.0016
3489.00,0.0016
3488.00,0.0016
3487.00,0.0016
3486.00,0.0016
3485.00,0.0016
3484.00,0.0016
3483.00,0.0016
3482.00,0.0016
3481.00,0.0016
3480.00,0.0016
3479.00,0.0016
3478.00,0.0016
3477.00,0.0016
3476.00,0.0016
3475.00,0.0016
3474.00,0.0016
3473.00,0.0016
3472.00,0.0016
3471.00,0.0017
3470.00,0.0017
3469.00,0.0017
3468.00,0.0017
3467.00,0.0017
3466.00,0.0017
3465.00,0.0017
3464.00,0.0017
3463.00,0.0017
3462.00,0.0018
3461.00,0.0018
3460.00,0.0018
3459.00,0.0018
3458.00,0.0018
3457.00,0.0018
3456.00,0.0018
3455.00,0.0018
3454.00,0.0019
3453.00,0.0019
3452.00,0.0019
3451.00,0.0019
3450.00,0.0019
3449.00,0.0019
3448.00,0.0019
3447.00,0.0019
3446.00,0.0019
3445.00,0.0019
3444.00,0.0019
3443.00,0.0019
3442.00,0.0019
3441.00,0.0019
3440.00,0.0019
3439.00,0.0019
3438.00,0.0019
3437.00,0.0020
3436.00,0.0020
3435.00,0.0020
3434.00,0.0020
3433.00,0.0020
3432.00,0.0020
3431.00,0.0020
3430.00,0.0020
3429.00,0.0020
3428.00,0.0020
3427.00,0.0020
3426.00,0.0020
3425.00,0.0020
3424.00,0.0021
3423.00,0.0021
3422.00,0.0021
3421.00,0.0021
3420.00,0.0021
3419.00,0.0021
3418.00,0.0021
3417.00,0.0022
3416.00,0.0022
3415.00,0.0022
3414.00,0.0022
3413.00,0.0023
3412.00,0.0023
3411.00,0.0023
3410.00,0.0023
3409.00,0.0024
3408.00,0.0024
3407.00,0.0024
3406.00,0.0024
3405.00,0.0024
3404.00,0.0024
3403.00,0.0024
3402.00,0.0024
3401.00,0.0024
3400.00,0.0024
3399.00,0.0024
3398.00,0.0024
3397.00,0.0024
3396.00,0.0024
3395.00,0.0025
3394.00,0.0025
3393.00,0.0025
3392.00,0.0024
3391.00,0.0024
3390.00,0.0024
3389.00,0.0023
3388.00,0.0023
3387.00,0.0023
3386.00,0.0023
3385.00,0.0024
3384.00,0.0024
3383.00,0.0024
3382.00,0.0024
3381.00,0.0023
3380.00,0.0023
3379.00,0.0023
3378.00,0.0023
3377.00,0.0023
3376.00,0.0023
3375.00,0.0023
3374.00,0.0023
3373.00,0.0023
3372.00,0.0023
3371.00,0.0023
3370.00,0.0023
3369.00,0.0023
3368.00,0.0023
3367.00,0.0024
3366.00,0.0024
3365.00,0.0024
3364.00,0.0024
3363.00,0.0024
3362.00,0.0024
3361.00,0.0024
3360.00,0.0024
3359.00,0.0024
3358.00,0.0024
3357.00,0.0024
3356.00,0.0024
3355.00,0.0025
3354.00,0.0025
3353.00,0.0025
3352.00,0.0025
3351.00,0.0025
3350.00,0.0025
3349.00,0.0025
3348.00,0.0025
3347.00,0.0025
3346.00,0.0025
3345.00,0.0025
3344.00,0.0025
3343.00,0.0025
3342.00,0.0025
3341.00,0.0025
3340.00,0.0025
3339.00,0.0025
3338.00,0.0025
3337.00,0.0025
3336.00,0.0025
3335.00,0.0025
3334.00,0.0025
3333.00,0.0025
3332.00,0.0025
3331.00,0.0025
3330.00,0.0025
3329.00,0.0025
3328.00,0.0025
3327.00,0.0025
3326.00,0.0025
3325.00,0.0026
3324.00,0.0026
3323.00,0.0026
3322.00,0.0026
3321.00,0.0026
3320.00,0.0026
3319.00,0.0026
3318.00,0.0026
3317.00,0.0026
3316.00,0.0026
3315.00,0.0026
3314.00,0.0026
3313.00,0.0026
3312.00,0.0026
3311.00,0.0026
3310.00,0.0026
3309.00,0.0026
3308.00,0.0027
3307.00,0.0027
3306.00,0.0027
3305.00,0.0027
3304.00,0.0027
3303.00,0.0026
3302.00,0.0026
3301.00,0.0026
3300.00,0.0026
3299.00,0.0026
3298.00,0.0026
3297.00,0.0026
3296.00,0.0026
3295.00,0.0026
3294.00,0.0026
3293.00,0.0026
3292.00,0.0026
3291.00,0.0026
3290.00,0.0026
3289.00,0.0026
3288.00,0.0026
3287.00,0.0026
3286.00,0.0026
3285.00,0.0026
3284.00,0.0026
3283.00,0.0026
3282.00,0.0026
3281.00,0.0026
3280.00,0.0026
3279.00,0.0026
3278.00,0.0026
3277.00,0.0026
3276.00,0.0026
3275.00,0.0026
3274.00,0.0026
3273.00,0.0025
3272.00,0.0025
3271.00,0.0025
3270.00,0.0025
3269.00,0.0025
3268.00,0.0026
3267.00,0.0026
3266.00,0.0026
3265.00,0.0026
3264.00,0.0026
3263.00,0.0026
3262.00,0.0025
3261.00,0.0025
3260.00,0.0025
3259.00,0.0025
3258.00,0.0025
3257.00,0.0025
3256.00,0.0025
3255.00,0.0025
3254.00,0.0025
