Created as New Dataset,Sample 673 By YargerLab Date Thursday, June 12 2025
cm-1,A
4000.00,0.0029
3999.00,0.0029
3998.00,0.0029
3997.00,0.0029
3996.00,0.0029
3995.00,0.0029
3994.00,0.0029
3993.00,0.0029
3992.00,0.0029
3991.00,0.0028
3990.00,0.0028
3989.00,0.0028
3988.00,0.0028
3987.00,0.0028
3986.00,0.0028
3985.00,0.0028
3984.00,0.0028
3983.00,0.0028
3982.00,0.0028
3981.00,0.0029
3980.00,0.0029
3979.00,0.0029
3978.00,0.0029
3977.00,0.0029
3976.00,0.0029
3975.00,0.0029
3974.00,0.0029
3973.00,0.0028
3972.00,0.0028
3971.00,0.0028
3970.00,0.0028
3969.00,0.0028
3968.00,0.0028
3967.00,0.0028
3966.00,0.0028
3965.00,0.0028
3964.00,0.0028
3963.00,0.0028
3962.00,0.0028
3961.00,0.0029
3960.00,0.0028
3959.00,0.0028
3958.00,0.0028
3957.00,0.0028
3956.00,0.0028
3955.00,0.0028
3954.00,0.0028
3953.00,0.0028
3952.00,0.0028
3951.00,0.0028
3950.00,0.0028
3949.00,0.0028
3948.00,0.0028
3947.00,0.0027
3946.00,0.0027
3945.00,0.0027
3944.00,0.0027
3943.00,0.0027
3942.00,0.0028
3941.00,0.0028
3940.00,0.0028
3939.00,0.0028
3938.00,0.0028
3937.00,0.0028
3936.00,0.0028
3935.00,0.0027
3934.00,0.0027
3933.00,0.0027
3932.00,0.0028
3931.00,0.0028
3930.00,0.0028
3929.00,0.0028
3928.00,0.0028
3927.00,0.0028
3926.00,0.0027
3925.00,0.0027
3924.00,0.0027
3923.00,0.0027
3922.00,0.0027
3921.00,0.0027
3920.00,0.0027
3919.00,0.0027
3918.00,0.0027
3917.00,0.0027
3916.00,0.0027
3915.00,0.0027
3914.00,0.0027
3913.00,0.0027
3912.00,0.0027
3911.00,0.0027
3910.00,0.0027
3909.00,0.0027
3908.00,0.0027
3907.00,0.0027
3906.00,0.0027
3905.00,0.0026
3904.00,0.0026
3903.00,0.0026
3902.00,0.0026
3901.00,0.0026
3900.00,0.0026
3899.00,0.0026
3898.00,0.0026
3897.00,0.0026
3896.00,0.0027
3895.00,0.0027
3894.00,0.0027
3893.00,0.0027
3892.00,0.0027
3891.00,0.0027
3890.00,0.0027
3889.00,0.0026
3888.00,0.0026
3887.00,0.0026
3886.00,0.0026
3885.00,0.0026
3884.00,0.0026
3883.00,0.0026
3882.00,0.0026
3881.00,0.0026
3880.00,0.0027
3879.00,0.0026
3878.00,0.0026
3877.00,0.0026
3876.00,0.0026
3875.00,0.0026
3874.00,0.0026
3873.00,0.0026
3872.00,0.0026
3871.00,0.0026
3870.00,0.0026
3869.00,0.0026
3868.00,0.0026
3867.00,0.0026
3866.00,0.0026
3865.00,0.0026
3864.00,0.0026
3863.00,0.0026
3862.00,0.0026
3861.00,0.0026
3860.00,0.0026
3859.00,0.0026
3858.00,0.0026
3857.00,0.0026
3856.00,0.0026
3855.00,0.0025
3854.00,0.0025
3853.00,0.0025
3852.00,0.0024
3851.00,0.0025
3850.00,0.0025
3849.00,0.0026
3848.00,0.0026
3847.00,0.0026
3846.00,0.0026
3845.00,0.0026
3844.00,0.0026
3843.00,0.0026
3842.00,0.0026
3841.00,0.0026
3840.00,0.0026
3839.00,0.0026
3838.00,0.0026
3837.00,0.0026
3836.00,0.0026
3835.00,0.0025
3834.00,0.0025
3833.00,0.0026
3832.00,0.0026
3831.00,0.0026
3830.00,0.0027
3829.00,0.0027
3828.00,0.0027
3827.00,0.0027
3826.00,0.0027
3825.00,0.0026
3824.00,0.0026
3823.00,0.0026
3822.00,0.0026
3821.00,0.0026
3820.00,0.0026
3819.00,0.0026
3818.00,0.0026
3817.00,0.0026
3816.00,0.0027
3815.00,0.0027
3814.00,0.0027
3813.00,0.0027
3812.00,0.0027
3811.00,0.0027
3810.00,0.0027
3809.00,0.0027
3808.00,0.0027
3807.00,0.0027
3806.00,0.0027
3805.00,0.0027
3804.00,0.0026
3803.00,0.0026
3802.00,0.0027
3801.00,0.0027
3800.00,0.0026
3799.00,0.0026
3798.00,0.0026
3797.00,0.0027
3796.00,0.0027
3795.00,0.0027
3794.00,0.0027
3793.00,0.0027
3792.00,0.0027
3791.00,0.0027
3790.00,0.0027
3789.00,0.0027
3788.00,0.0027
3787.00,0.0027
3786.00,0.0027
3785.00,0.0027
3784.00,0.0027
3783.00,0.0027
3782.00,0.0027
3781.00,0.0027
3780.00,0.0027
3779.00,0.0027
3778.00,0.0027
3777.00,0.0027
3776.00,0.0027
3775.00,0.0027
3774.00,0.0027
3773.00,0.0027
3772.00,0.0027
3771.00,0.0027
3770.00,0.0027
3769.00,0.0026
3768.00,0.0026
3767.00,0.0026
3766.00,0.0027
3765.00,0.0027
3764.00,0.0027
3763.00,0.0027
3762.00,0.0027
3761.00,0.0027
3760.00,0.0027
3759.00,0.0027
3758.00,0.0027
3757.00,0.0027
3756.00,0.0026
3755.00,0.0026
3754.00,0.0026
3753.00,0.0026
3752.00,0.0026
3751.00,0.0025
3750.00,0.0025
3749.00,0.0024
3748.00,0.0024
3747.00,0.0023
3746.00,0.0024
3745.00,0.0024
3744.00,0.0025
3743.00,0.0025
3742.00,0.0025
3741.00,0.0025
3740.00,0.0025
3739.00,0.0025
3738.00,0.0025
3737.00,0.0024
3736.00,0.0024
3735.00,0.0024
3734.00,0.0024
3733.00,0.0024
3732.00,0.0024
3731.00,0.0025
3730.00,0.0025
3729.00,0.0025
3728.00,0.0026
3727.00,0.0026
3726.00,0.0026
3725.00,0.0026
3724.00,0.0026
3723.00,0.0025
3722.00,0.0026
3721.00,0.0026
3720.00,0.0026
3719.00,0.0026
3718.00,0.0026
3717.00,0.0026
3716.00,0.0026
3715.00,0.0026
3714.00,0.0026
3713.00,0.0025
3712.00,0.0025
3711.00,0.0025
3710.00,0.0024
3709.00,0.0025
3708.00,0.0025
3707.00,0.0025
3706.00,0.0025
3705.00,0.0025
3704.00,0.0026
3703.00,0.0026
3702.00,0.0026
3701.00,0.0026
3700.00,0.0026
3699.00,0.0026
3698.00,0.0026
3697.00,0.0026
3696.00,0.0026
3695.00,0.0026
3694.00,0.0026
3693.00,0.0026
3692.00,0.0025
3691.00,0.0025
3690.00,0.0024
3689.00,0.0024
3688.00,0.0024
3687.00,0.0024
3686.00,0.0024
3685.00,0.0024
3684.00,0.0024
3683.00,0.0024
3682.00,0.0024
3681.00,0.0023
3680.00,0.0022
3679.00,0.0021
3678.00,0.0020
3677.00,0.0020
3676.00,0.0019
3675.00,0.0018
3674.00,0.0018
3673.00,0.0017
3672.00,0.0017
3671.00,0.0017
3670.00,0.0018
3669.00,0.0018
3668.00,0.0017
3667.00,0.0017
3666.00,0.0017
3665.00,0.0017
3664.00,0.0018
3663.00,0.0018
3662.00,0.0018
3661.00,0.0018
3660.00,0.0017
3659.00,0.0017
3658.00,0.0017
3657.00,0.0017
3656.00,0.0018
3655.00,0.0018
3654.00,0.0017
3653.00,0.0017
3652.00,0.0018
3651.00,0.0018
3650.00,0.0018
3649.00,0.0018
3648.00,0.0018
3647.00,0.0019
3646.00,0.0019
3645.00,0.0020
3644.00,0.0020
3643.00,0.0020
3642.00,0.0021
3641.00,0.0021
3640.00,0.0021
3639.00,0.0021
3638.00,0.0020
3637.00,0.0020
3636.00,0.0021
3635.00,0.0021
3634.00,0.0022
3633.00,0.0022
3632.00,0.0023
3631.00,0.0023
3630.00,0.0023
3629.00,0.0023
3628.00,0.0023
3627.00,0.0023
3626.00,0.0023
3625.00,0.0024
3624.00,0.0025
3623.00,0.0025
3622.00,0.0025
3621.00,0.0025
3620.00,0.0025
3619.00,0.0025
3618.00,0.0025
3617.00,0.0025
3616.00,0.0025
3615.00,0.0025
3614.00,0.0025
3613.00,0.0025
3612.00,0.0025
3611.00,0.0025
3610.00,0.0025
3609.00,0.0026
3608.00,0.0026
3607.00,0.0026
3606.00,0.0026
3605.00,0.0026
3604.00,0.0027
3603.00,0.0027
3602.00,0.0027
3601.00,0.0027
3600.00,0.0027
3599.00,0.0027
3598.00,0.0027
3597.00,0.0027
3596.00,0.0027
3595.00,0.0027
3594.00,0.0027
3593.00,0.0028
3592.00,0.0028
3591.00,0.0027
3590.00,0.0027
3589.00,0.0027
3588.00,0.0027
3587.00,0.0027
3586.00,0.0027
3585.00,0.0028
3584.00,0.0028
3583.00,0.0028
3582.00,0.0028
3581.00,0.0028
3580.00,0.0028
3579.00,0.0028
3578.00,0.0028
3577.00,0.0028
3576.00,0.0028
3575.00,0.0028
3574.00,0.0028
3573.00,0.0028
3572.00,0.0028
3571.00,0.0028
3570.00,0.0028
3569.00,0.0027
3568.00,0.0027
3567.00,0.0027
3566.00,0.0027
3565.00,0.0027
3564.00,0.0027
3563.00,0.0027
3562.00,0.0027
3561.00,0.0027
3560.00,0.0027
3559.00,0.0027
3558.00,0.0027
3557.00,0.0027
3556.00,0.0027
3555.00,0.0027
3554.00,0.0027
3553.00,0.0027
3552.00,0.0027
3551.00,0.0027
3550.00,0.0027
3549.00,0.0027
3548.00,0.0027
3547.00,0.0028
3546.00,0.0028
3545.00,0.0028
3544.00,0.0028
3543.00,0.0028
3542.00,0.0029
3541.00,0.0029
3540.00,0.0029
3539.00,0.0029
3538.00,0.0029
3537.00,0.0029
3536.00,0.0029
3535.00,0.0029
3534.00,0.0029
3533.00,0.0029
3532.00,0.0029
3531.00,0.0029
3530.00,0.0029
3529.00,0.0029
3528.00,0.0029
3527.00,0.0029
3526.00,0.0029
3525.00,0.0029
3524.00,0.0029
3523.00,0.0029
3522.00,0.0029
3521.00,0.0029
3520.00,0.0029
3519.00,0.0029
3518.00,0.0029
3517.00,0.0030
3516.00,0.0030
3515.00,0.0030
3514.00,0.0030
3513.00,0.0030
3512.00,0.0030
3511.00,0.0030
3510.00,0.0030
3509.00,0.0030
3508.00,0.0030
3507.00,0.0030
3506.00,0.0030
3505.00,0.0030
3504.00,0.0030
3503.00,0.0030
3502.00,0.0030
3501.00,0.0030
3500.00,0.0030
3499.00,0.0030
3498.00,0.0030
3497.00,0.0030
3496.00,0.0030
3495.00,0.0031
3494.00,0.0031
3493.00,0.0031
3492.00,0.0031
3491.00,0.0031
3490.00,0.0031
3489.00,0.0031
3488.00,0.0030
3487.00,0.0030
3486.00,0.0030
3485.00,0.0030
3484.00,0.0030
3483.00,0.0031
3482.00,0.0031
3481.00,0.0031
3480.00,0.0031
3479.00,0.0031
3478.00,0.0031
3477.00,0.0031
3476.00,0.0031
3475.00,0.0031
3474.00,0.0031
3473.00,0.0031
3472.00,0.0031
3471.00,0.0031
3470.00,0.0031
3469.00,0.0031
3468.00,0.0031
3467.00,0.0031
3466.00,0.0031
3465.00,0.0031
3464.00,0.0031
3463.00,0.0031
3462.00,0.0031
3461.00,0.0031
3460.00,0.0032
3459.00,0.0032
3458.00,0.0032
3457.00,0.0032
3456.00,0.0031
3455.00,0.0031
3454.00,0.0031
3453.00,0.0031
3452.00,0.0032
3451.00,0.0032
3450.00,0.0032
3449.00,0.0032
3448.00,0.0032
3447.00,0.0031
3446.00,0.0031
3445.00,0.0031
3444.00,0.0032
3443.00,0.0032
3442.00,0.0032
3441.00,0.0032
3440.00,0.0032
3439.00,0.0032
3438.00,0.0032
3437.00,0.0032
3436.00,0.0032
3435.00,0.0032
3434.00,0.0031
3433.00,0.0031
3432.00,0.0032
3431.00,0.0032
3430.00,0.0032
3429.00,0.0032
3428.00,0.0031
3427.00,0.0031
3426.00,0.0031
3425.00,0.0031
3424.00,0.0031
3423.00,0.0031
3422.00,0.0031
3421.00,0.0031
