Created as New Dataset,Sample 780 By YargerLab Date Monday, July 07 2025
cm-1,A
4000.00,0.0067
3999.00,0.0067
3998.00,0.0067
3997.00,0.0067
3996.00,0.0068
3995.00,0.0068
3994.00,0.0068
3993.00,0.0067
3992.00,0.0067
3991.00,0.0067
3990.00,0.0067
3989.00,0.0067
3988.00,0.0066
3987.00,0.0066
3986.00,0.0066
3985.00,0.0066
3984.00,0.0066
3983.00,0.0067
3982.00,0.0067
3981.00,0.0067
3980.00,0.0067
3979.00,0.0067
3978.00,0.0067
3977.00,0.0067
3976.00,0.0067
3975.00,0.0066
3974.00,0.0066
3973.00,0.0066
3972.00,0.0066
3971.00,0.0067
3970.00,0.0067
3969.00,0.0067
3968.00,0.0067
3967.00,0.0067
3966.00,0.0067
3965.00,0.0066
3964.00,0.0066
3963.00,0.0066
3962.00,0.0066
3961.00,0.0066
3960.00,0.0066
3959.00,0.0066
3958.00,0.0066
3957.00,0.0066
3956.00,0.0066
3955.00,0.0065
3954.00,0.0065
3953.00,0.0065
3952.00,0.0066
3951.00,0.0066
3950.00,0.0066
3949.00,0.0065
3948.00,0.0065
3947.00,0.0065
3946.00,0.0065
3945.00,0.0066
3944.00,0.0066
3943.00,0.0066
3942.00,0.0065
3941.00,0.0065
3940.00,0.0065
3939.00,0.0065
3938.00,0.0065
3937.00,0.0065
3936.00,0.0065
3935.00,0.0065
3934.00,0.0065
3933.00,0.0066
3932.00,0.0066
3931.00,0.0066
3930.00,0.0066
3929.00,0.0065
3928.00,0.0065
3927.00,0.0065
3926.00,0.0065
3925.00,0.0065
3924.00,0.0065
3923.00,0.0065
3922.00,0.0065
3921.00,0.0065
3920.00,0.0065
3919.00,0.0065
3918.00,0.0065
3917.00,0.0065
3916.00,0.0065
3915.00,0.0065
3914.00,0.0065
3913.00,0.0065
3912.00,0.0065
3911.00,0.0065
3910.00,0.0065
3909.00,0.0065
3908.00,0.0066
3907.00,0.0066
3906.00,0.0066
3905.00,0.0066
3904.00,0.0066
3903.00,0.0065
3902.00,0.0065
3901.00,0.0065
3900.00,0.0065
3899.00,0.0065
3898.00,0.0065
3897.00,0.0065
3896.00,0.0065
3895.00,0.0066
3894.00,0.0066
3893.00,0.0066
3892.00,0.0066
3891.00,0.0066
3890.00,0.0066
3889.00,0.0066
3888.00,0.0066
3887.00,0.0066
3886.00,0.0066
3885.00,0.0065
3884.00,0.0065
3883.00,0.0065
3882.00,0.0065
3881.00,0.0065
3880.00,0.0065
3879.00,0.0065
3878.00,0.0065
3877.00,0.0065
3876.00,0.0065
3875.00,0.0065
3874.00,0.0064
3873.00,0.0064
3872.00,0.0064
3871.00,0.0064
3870.00,0.0064
3869.00,0.0064
3868.00,0.0064
3867.00,0.0065
3866.00,0.0065
3865.00,0.0065
3864.00,0.0065
3863.00,0.0065
3862.00,0.0064
3861.00,0.0064
3860.00,0.0063
3859.00,0.0064
3858.00,0.0064
3857.00,0.0064
3856.00,0.0065
3855.00,0.0065
3854.00,0.0065
3853.00,0.0065
3852.00,0.0065
3851.00,0.0065
3850.00,0.0065
3849.00,0.0065
3848.00,0.0065
3847.00,0.0065
3846.00,0.0065
3845.00,0.0065
3844.00,0.0065
3843.00,0.0065
3842.00,0.0065
3841.00,0.0065
3840.00,0.0065
3839.00,0.0065
3838.00,0.0065
3837.00,0.0065
3836.00,0.0065
3835.00,0.0066
3834.00,0.0066
3833.00,0.0066
3832.00,0.0066
3831.00,0.0066
3830.00,0.0065
3829.00,0.0065
3828.00,0.0065
3827.00,0.0065
3826.00,0.0065
3825.00,0.0065
3824.00,0.0066
3823.00,0.0066
3822.00,0.0066
3821.00,0.0066
3820.00,0.0066
3819.00,0.0065
3818.00,0.0065
3817.00,0.0065
3816.00,0.0066
3815.00,0.0066
3814.00,0.0067
3813.00,0.0067
3812.00,0.0067
3811.00,0.0067
3810.00,0.0066
3809.00,0.0066
3808.00,0.0066
3807.00,0.0066
3806.00,0.0065
3805.00,0.0065
3804.00,0.0065
3803.00,0.0064
3802.00,0.0064
3801.00,0.0064
3800.00,0.0065
3799.00,0.0065
3798.00,0.0065
3797.00,0.0065
3796.00,0.0065
3795.00,0.0065
3794.00,0.0065
3793.00,0.0065
3792.00,0.0065
3791.00,0.0065
3790.00,0.0065
3789.00,0.0066
3788.00,0.0066
3787.00,0.0065
3786.00,0.0065
3785.00,0.0065
3784.00,0.0064
3783.00,0.0064
3782.00,0.0064
3781.00,0.0065
3780.00,0.0065
3779.00,0.0065
3778.00,0.0065
3777.00,0.0065
3776.00,0.0065
3775.00,0.0065
3774.00,0.0065
3773.00,0.0065
3772.00,0.0065
3771.00,0.0065
3770.00,0.0065
3769.00,0.0066
3768.00,0.0066
3767.00,0.0066
3766.00,0.0065
3765.00,0.0065
3764.00,0.0065
3763.00,0.0065
3762.00,0.0065
3761.00,0.0065
3760.00,0.0066
3759.00,0.0066
3758.00,0.0065
3757.00,0.0065
3756.00,0.0065
3755.00,0.0065
3754.00,0.0065
3753.00,0.0065
3752.00,0.0065
3751.00,0.0065
3750.00,0.0065
3749.00,0.0065
3748.00,0.0066
3747.00,0.0066
3746.00,0.0066
3745.00,0.0066
3744.00,0.0065
3743.00,0.0064
3742.00,0.0064
3741.00,0.0063
3740.00,0.0063
3739.00,0.0063
3738.00,0.0063
3737.00,0.0064
3736.00,0.0064
3735.00,0.0064
3734.00,0.0064
3733.00,0.0064
3732.00,0.0064
3731.00,0.0065
3730.00,0.0065
3729.00,0.0065
3728.00,0.0065
3727.00,0.0065
3726.00,0.0065
3725.00,0.0065
3724.00,0.0065
3723.00,0.0064
3722.00,0.0064
3721.00,0.0064
3720.00,0.0065
3719.00,0.0065
3718.00,0.0065
3717.00,0.0065
3716.00,0.0065
3715.00,0.0066
3714.00,0.0066
3713.00,0.0066
3712.00,0.0065
3711.00,0.0065
3710.00,0.0064
3709.00,0.0064
3708.00,0.0064
3707.00,0.0064
3706.00,0.0064
3705.00,0.0064
3704.00,0.0064
3703.00,0.0065
3702.00,0.0065
3701.00,0.0065
3700.00,0.0066
3699.00,0.0066
3698.00,0.0066
3697.00,0.0066
3696.00,0.0067
3695.00,0.0067
3694.00,0.0068
3693.00,0.0068
3692.00,0.0069
3691.00,0.0069
3690.00,0.0070
3689.00,0.0071
3688.00,0.0072
3687.00,0.0072
3686.00,0.0073
3685.00,0.0073
3684.00,0.0074
3683.00,0.0074
3682.00,0.0074
3681.00,0.0075
3680.00,0.0075
3679.00,0.0076
3678.00,0.0076
3677.00,0.0077
3676.00,0.0078
3675.00,0.0079
3674.00,0.0080
3673.00,0.0080
3672.00,0.0081
3671.00,0.0081
3670.00,0.0082
3669.00,0.0083
3668.00,0.0084
3667.00,0.0085
3666.00,0.0086
3665.00,0.0087
3664.00,0.0088
3663.00,0.0089
3662.00,0.0090
3661.00,0.0091
3660.00,0.0092
3659.00,0.0093
3658.00,0.0094
3657.00,0.0095
3656.00,0.0096
3655.00,0.0097
3654.00,0.0098
3653.00,0.0098
3652.00,0.0100
3651.00,0.0101
3650.00,0.0102
3649.00,0.0103
3648.00,0.0104
3647.00,0.0105
3646.00,0.0106
3645.00,0.0107
3644.00,0.0109
3643.00,0.0110
3642.00,0.0112
3641.00,0.0114
3640.00,0.0115
3639.00,0.0117
3638.00,0.0118
