Created as New Dataset,Sample 817 By YargerLab Date Friday, July 11 2025
cm-1,A
4000.00,0.0016
3999.00,0.0016
3998.00,0.0016
3997.00,0.0016
3996.00,0.0016
3995.00,0.0016
3994.00,0.0016
3993.00,0.0016
3992.00,0.0016
3991.00,0.0016
3990.00,0.0016
3989.00,0.0016
3988.00,0.0016
3987.00,0.0016
3986.00,0.0016
3985.00,0.0015
3984.00,0.0015
3983.00,0.0015
3982.00,0.0015
3981.00,0.0016
3980.00,0.0016
3979.00,0.0016
3978.00,0.0016
3977.00,0.0016
3976.00,0.0016
3975.00,0.0016
3974.00,0.0016
3973.00,0.0016
3972.00,0.0016
3971.00,0.0016
3970.00,0.0016
3969.00,0.0016
3968.00,0.0016
3967.00,0.0016
3966.00,0.0016
3965.00,0.0016
3964.00,0.0016
3963.00,0.0016
3962.00,0.0016
3961.00,0.0015
3960.00,0.0015
3959.00,0.0015
3958.00,0.0015
3957.00,0.0015
3956.00,0.0016
3955.00,0.0016
3954.00,0.0016
3953.00,0.0015
3952.00,0.0015
3951.00,0.0015
3950.00,0.0015
3949.00,0.0015
3948.00,0.0015
3947.00,0.0015
3946.00,0.0015
3945.00,0.0015
3944.00,0.0015
3943.00,0.0015
3942.00,0.0015
3941.00,0.0015
3940.00,0.0015
3939.00,0.0015
3938.00,0.0015
3937.00,0.0015
3936.00,0.0015
3935.00,0.0015
3934.00,0.0016
3933.00,0.0016
3932.00,0.0015
3931.00,0.0015
3930.00,0.0015
3929.00,0.0015
3928.00,0.0015
3927.00,0.0015
3926.00,0.0015
3925.00,0.0015
3924.00,0.0015
3923.00,0.0015
3922.00,0.0014
3921.00,0.0014
3920.00,0.0014
3919.00,0.0014
3918.00,0.0014
3917.00,0.0015
3916.00,0.0015
3915.00,0.0015
3914.00,0.0014
3913.00,0.0015
3912.00,0.0015
3911.00,0.0015
3910.00,0.0015
3909.00,0.0015
3908.00,0.0015
3907.00,0.0015
3906.00,0.0015
3905.00,0.0015
3904.00,0.0015
3903.00,0.0014
3902.00,0.0013
3901.00,0.0013
3900.00,0.0013
3899.00,0.0013
3898.00,0.0013
3897.00,0.0013
3896.00,0.0014
3895.00,0.0014
3894.00,0.0014
3893.00,0.0014
3892.00,0.0014
3891.00,0.0014
3890.00,0.0014
3889.00,0.0014
3888.00,0.0014
3887.00,0.0014
3886.00,0.0014
3885.00,0.0014
3884.00,0.0013
3883.00,0.0013
3882.00,0.0013
3881.00,0.0013
3880.00,0.0014
3879.00,0.0014
3878.00,0.0013
3877.00,0.0013
3876.00,0.0014
3875.00,0.0014
3874.00,0.0014
3873.00,0.0013
3872.00,0.0013
3871.00,0.0013
3870.00,0.0013
3869.00,0.0013
3868.00,0.0012
3867.00,0.0012
3866.00,0.0012
3865.00,0.0013
3864.00,0.0013
3863.00,0.0013
3862.00,0.0013
3861.00,0.0013
3860.00,0.0014
3859.00,0.0014
3858.00,0.0014
3857.00,0.0014
3856.00,0.0014
3855.00,0.0014
3854.00,0.0014
3853.00,0.0013
3852.00,0.0012
3851.00,0.0012
3850.00,0.0012
3849.00,0.0013
3848.00,0.0013
3847.00,0.0014
3846.00,0.0015
3845.00,0.0015
3844.00,0.0015
3843.00,0.0015
3842.00,0.0014
3841.00,0.0014
3840.00,0.0014
3839.00,0.0013
3838.00,0.0013
3837.00,0.0013
3836.00,0.0013
3835.00,0.0013
3834.00,0.0013
3833.00,0.0014
3832.00,0.0014
3831.00,0.0014
3830.00,0.0014
3829.00,0.0014
3828.00,0.0014
3827.00,0.0014
3826.00,0.0015
3825.00,0.0015
3824.00,0.0014
3823.00,0.0014
3822.00,0.0014
3821.00,0.0014
3820.00,0.0014
3819.00,0.0013
3818.00,0.0012
3817.00,0.0013
3816.00,0.0013
3815.00,0.0013
3814.00,0.0013
3813.00,0.0013
3812.00,0.0014
3811.00,0.0014
3810.00,0.0014
3809.00,0.0015
3808.00,0.0015
3807.00,0.0015
3806.00,0.0014
3805.00,0.0014
3804.00,0.0013
3803.00,0.0013
3802.00,0.0013
3801.00,0.0013
3800.00,0.0013
3799.00,0.0013
3798.00,0.0013
3797.00,0.0013
3796.00,0.0014
3795.00,0.0014
3794.00,0.0014
3793.00,0.0014
3792.00,0.0014
3791.00,0.0014
3790.00,0.0014
3789.00,0.0014
3788.00,0.0014
3787.00,0.0014
3786.00,0.0014
3785.00,0.0015
3784.00,0.0015
3783.00,0.0015
3782.00,0.0015
3781.00,0.0015
3780.00,0.0015
3779.00,0.0015
3778.00,0.0015
3777.00,0.0015
3776.00,0.0015
3775.00,0.0015
3774.00,0.0015
3773.00,0.0015
3772.00,0.0015
3771.00,0.0015
3770.00,0.0014
3769.00,0.0014
3768.00,0.0014
3767.00,0.0014
3766.00,0.0014
3765.00,0.0014
3764.00,0.0015
3763.00,0.0015
3762.00,0.0015
3761.00,0.0015
3760.00,0.0015
3759.00,0.0014
3758.00,0.0014
3757.00,0.0014
3756.00,0.0014
3755.00,0.0014
3754.00,0.0014
3753.00,0.0014
3752.00,0.0014
3751.00,0.0015
3750.00,0.0014
3749.00,0.0014
3748.00,0.0013
3747.00,0.0013
3746.00,0.0013
3745.00,0.0013
3744.00,0.0013
3743.00,0.0012
3742.00,0.0012
3741.00,0.0012
3740.00,0.0012
3739.00,0.0013
3738.00,0.0013
3737.00,0.0014
3736.00,0.0013
3735.00,0.0013
3734.00,0.0012
3733.00,0.0012
3732.00,0.0012
3731.00,0.0013
3730.00,0.0013
3729.00,0.0013
3728.00,0.0014
3727.00,0.0014
3726.00,0.0014
3725.00,0.0014
3724.00,0.0013
3723.00,0.0014
3722.00,0.0014
3721.00,0.0014
3720.00,0.0015
3719.00,0.0015
3718.00,0.0015
3717.00,0.0015
3716.00,0.0015
3715.00,0.0015
3714.00,0.0015
3713.00,0.0014
3712.00,0.0014
3711.00,0.0014
3710.00,0.0013
3709.00,0.0014
3708.00,0.0014
3707.00,0.0015
3706.00,0.0015
3705.00,0.0015
3704.00,0.0015
3703.00,0.0016
3702.00,0.0016
3701.00,0.0016
3700.00,0.0016
3699.00,0.0016
3698.00,0.0016
3697.00,0.0016
3696.00,0.0016
3695.00,0.0016
3694.00,0.0016
3693.00,0.0016
3692.00,0.0017
3691.00,0.0017
3690.00,0.0018
3689.00,0.0019
3688.00,0.0019
3687.00,0.0019
3686.00,0.0020
3685.00,0.0021
3684.00,0.0021
3683.00,0.0022
3682.00,0.0022
3681.00,0.0023
3680.00,0.0023
3679.00,0.0023
3678.00,0.0022
3677.00,0.0023
3676.00,0.0023
3675.00,0.0024
3674.00,0.0024
3673.00,0.0024
3672.00,0.0025
3671.00,0.0026
3670.00,0.0027
3669.00,0.0027
3668.00,0.0027
3667.00,0.0028
3666.00,0.0028
3665.00,0.0029
3664.00,0.0031
3663.00,0.0032
3662.00,0.0032
3661.00,0.0033
3660.00,0.0033
3659.00,0.0033
3658.00,0.0034
3657.00,0.0034
3656.00,0.0035
3655.00,0.0036
3654.00,0.0036
3653.00,0.0035
3652.00,0.0035
3651.00,0.0036
3650.00,0.0037
3649.00,0.0038
3648.00,0.0040
3647.00,0.0042
3646.00,0.0043
3645.00,0.0044
3644.00,0.0045
3643.00,0.0046
3642.00,0.0047
3641.00,0.0048
3640.00,0.0048
3639.00,0.0049
3638.00,0.0050
3637.00,0.0051
3636.00,0.0052
3635.00,0.0054
3634.00,0.0055
3633.00,0.0055
3632.00,0.0055
3631.00,0.0056
3630.00,0.0057
3629.00,0.0060
3628.00,0.0062
3627.00,0.0063
3626.00,0.0063
3625.00,0.0064
3624.00,0.0065
3623.00,0.0066
3622.00,0.0067
3621.00,0.0068
3620.00,0.0071
3619.00,0.0073
3618.00,0.0075
3617.00,0.0076
3616.00,0.0077
3615.00,0.0078
3614.00,0.0080
3613.00,0.0082
3612.00,0.0083
3611.00,0.0084
3610.00,0.0086
3609.00,0.0087
3608.00,0.0089
3607.00,0.0091
3606.00,0.0092
3605.00,0.0093
3604.00,0.0094
3603.00,0.0095
3602.00,0.0097
3601.00,0.0098
3600.00,0.0100
3599.00,0.0101
3598.00,0.0102
3597.00,0.0103
3596.00,0.0105
3595.00,0.0107
3594.00,0.0109
3593.00,0.0110
3592.00,0.0111
3591.00,0.0111
3590.00,0.0113
3589.00,0.0115
3588.00,0.0118
3587.00,0.0122
3586.00,0.0124
3585.00,0.0126
3584.00,0.0127
3583.00,0.0128
3582.00,0.0129
3581.00,0.0131
3580.00,0.0133
3579.00,0.0135
3578.00,0.0137
3577.00,0.0139
3576.00,0.0141
3575.00,0.0143
3574.00,0.0145
3573.00,0.0146
3572.00,0.0147
3571.00,0.0148
3570.00,0.0149
3569.00,0.0151
3568.00,0.0155
3567.00,0.0159
3566.00,0.0163
3565.00,0.0166
3564.00,0.0168
3563.00,0.0169
3562.00,0.0171
3561.00,0.0173
3560.00,0.0175
3559.00,0.0177
3558.00,0.0179
3557.00,0.0181
3556.00,0.0183
3555.00,0.0184
3554.00,0.0187
3553.00,0.0190
3552.00,0.0193
3551.00,0.0195
3550.00,0.0196
3549.00,0.0198
3548.00,0.0200
3547.00,0.0203
3546.00,0.0207
3545.00,0.0210
3544.00,0.0213
3543.00,0.0215
3542.00,0.0217
3541.00,0.0219
3540.00,0.0220
3539.00,0.0222
3538.00,0.0225
3537.00,0.0228
3536.00,0.0231
3535.00,0.0233
3534.00,0.0235
3533.00,0.0237
3532.00,0.0239
3531.00,0.0242
3530.00,0.0245
3529.00,0.0249
3528.00,0.0253
3527.00,0.0257
3526.00,0.0260
3525.00,0.0264
3524.00,0.0267
3523.00,0.0270
3522.00,0.0273
3521.00,0.0275
3520.00,0.0277
3519.00,0.0279
3518.00,0.0281
3517.00,0.0282
3516.00,0.0283
3515.00,0.0284
3514.00,0.0284
3513.00,0.0285
3512.00,0.0286
3511.00,0.0287
3510.00,0.0289
3509.00,0.0291
3508.00,0.0292
3507.00,0.0293
3506.00,0.0294
3505.00,0.0295
3504.00,0.0297
3503.00,0.0299
3502.00,0.0302
3501.00,0.0303
3500.00,0.0305
3499.00,0.0306
3498.00,0.0307
3497.00,0.0309
3496.00,0.0311
3495.00,0.0313
3494.00,0.0315
3493.00,0.0317
3492.00,0.0318
3491.00,0.0320
3490.00,0.0322
3489.00,0.0324
3488.00,0.0326
3487.00,0.0328
3486.00,0.0330
3485.00,0.0332
3484.00,0.0333
3483.00,0.0335
3482.00,0.0338
3481.00,0.0340
3480.00,0.0343
3479.00,0.0344
3478.00,0.0346
3477.00,0.0348
3476.00,0.0349
3475.00,0.0352
3474.00,0.0354
3473.00,0.0356
3472.00,0.0358
3471.00,0.0360
3470.00,0.0362
3469.00,0.0364
3468.00,0.0366
3467.00,0.0368
3466.00,0.0369
3465.00,0.0371
3464.00,0.0373
3463.00,0.0375
3462.00,0.0377
3461.00,0.0380
3460.00,0.0382
3459.00,0.0384
3458.00,0.0385
3457.00,0.0387
3456.00,0.0389
3455.00,0.0391
3454.00,0.0392
3453.00,0.0394
3452.00,0.0395
3451.00,0.0397
3450.00,0.0398
3449.00,0.0400
3448.00,0.0402
3447.00,0.0404
3446.00,0.0406
3445.00,0.0408
3444.00,0.0409
3443.00,0.0410
3442.00,0.0412
3441.00,0.0413
3440.00,0.0415
3439.00,0.0416
3438.00,0.0418
3437.00,0.0419
3436.00,0.0420
3435.00,0.0421
3434.00,0.0422
3433.00,0.0423
3432.00,0.0425
3431.00,0.0426
3430.00,0.0428
3429.00,0.0429
3428.00,0.0430
3427.00,0.0432
3426.00,0.0432
3425.00,0.0433
3424.00,0.0434
3423.00,0.0435
3422.00,0.0436
3421.00,0.0437
3420.00,0.0439
3419.00,0.0440
3418.00,0.0441
3417.00,0.0442
3416.00,0.0443
3415.00,0.0444
3414.00,0.0444
3413.00,0.0445
3412.00,0.0446
3411.00,0.0447
3410.00,0.0448
3409.00,0.0449
3408.00,0.0449
3407.00,0.0449
3406.00,0.0449
3405.00,0.0449
3404.00,0.0450
3403.00,0.0450
3402.00,0.0450
3401.00,0.0450
3400.00,0.0449
3399.00,0.0449
3398.00,0.0448
3397.00,0.0447
3396.00,0.0447
3395.00,0.0446
3394.00,0.0446
3393.00,0.0446
3392.00,0.0446
3391.00,0.0445
3390.00,0.0445
3389.00,0.0444
3388.00,0.0443
3387.00,0.0443
3386.00,0.0442
3385.00,0.0442
3384.00,0.0441
3383.00,0.0441
3382.00,0.0440
3381.00,0.0440
3380.00,0.0439
3379.00,0.0439
3378.00,0.0438
3377.00,0.0438
3376.00,0.0437
3375.00,0.0436
3374.00,0.0436
3373.00,0.0435
3372.00,0.0435
3371.00,0.0434
3370.00,0.0433
3369.00,0.0432
3368.00,0.0431
3367.00,0.0431
3366.00,0.0431
3365.00,0.0430
3364.00,0.0430
3363.00,0.0429
3362.00,0.0428
3361.00,0.0428
3360.00,0.0427
3359.00,0.0427
3358.00,0.0426
3357.00,0.0426
3356.00,0.0426
3355.00,0.0425
3354.00,0.0424
3353.00,0.0422
3352.00,0.0421
3351.00,0.0420
3350.00,0.0419
3349.00,0.0419
3348.00,0.0419
3347.00,0.0419
3346.00,0.0418
3345.00,0.0417
3344.00,0.0416
3343.00,0.0415
3342.00,0.0414
3341.00,0.0413
3340.00,0.0412
3339.00,0.0411
3338.00,0.0410
3337.00,0.0410
3336.00,0.0410
3335.00,0.0410
3334.00,0.0410
3333.00,0.0410
3332.00,0.0409
3331.00,0.0408
3330.00,0.0407
3329.00,0.0406
3328.00,0.0405
3327.00,0.0403
3326.00,0.0402
3325.00,0.0402
3324.00,0.0402
3323.00,0.0402
3322.00,0.0402
3321.00,0.0401
3320.00,0.0401
3319.00,0.0400
3318.00,0.0400
3317.00,0.0399
3316.00,0.0398
3315.00,0.0398
3314.00,0.0397
3313.00,0.0395
3312.00,0.0394
3311.00,0.0392
3310.00,0.0391
3309.00,0.0389
3308.00,0.0388
3307.00,0.0387
3306.00,0.0387
3305.00,0.0388
3304.00,0.0389
3303.00,0.0390
3302.00,0.0390
3301.00,0.0390
3300.00,0.0390
3299.00,0.0388
3298.00,0.0387
3297.00,0.0386
3296.00,0.0384
3295.00,0.0383
3294.00,0.0383
3293.00,0.0382
3292.00,0.0383
3291.00,0.0383
3290.00,0.0384
3289.00,0.0385
3288.00,0.0384
3287.00,0.0384
3286.00,0.0383
3285.00,0.0383
3284.00,0.0382
3283.00,0.0382
3282.00,0.0381
3281.00,0.0380
3280.00,0.0379
3279.00,0.0378
3278.00,0.0376
3277.00,0.0375
3276.00,0.0373
3275.00,0.0372
3274.00,0.0370
3273.00,0.0369
3272.00,0.0368
3271.00,0.0367
3270.00,0.0367
3269.00,0.0368
3268.00,0.0368
3267.00,0.0368
3266.00,0.0367
