Created as New Dataset,Sample 854 By YargerLab Date Monday, July 21 2025
cm-1,A
4000.00,0.0185
3999.00,0.0185
3998.00,0.0185
3997.00,0.0185
3996.00,0.0185
3995.00,0.0185
3994.00,0.0185
3993.00,0.0185
3992.00,0.0185
3991.00,0.0185
3990.00,0.0184
3989.00,0.0184
3988.00,0.0184
3987.00,0.0185
3986.00,0.0185
3985.00,0.0185
3984.00,0.0185
3983.00,0.0185
3982.00,0.0185
3981.00,0.0185
3980.00,0.0184
3979.00,0.0184
3978.00,0.0184
3977.00,0.0183
3976.00,0.0183
3975.00,0.0183
3974.00,0.0183
3973.00,0.0183
3972.00,0.0184
3971.00,0.0184
3970.00,0.0184
3969.00,0.0184
3968.00,0.0184
3967.00,0.0184
3966.00,0.0183
3965.00,0.0183
3964.00,0.0183
3963.00,0.0183
3962.00,0.0183
3961.00,0.0183
3960.00,0.0183
3959.00,0.0182
3958.00,0.0182
3957.00,0.0182
3956.00,0.0182
3955.00,0.0182
3954.00,0.0182
3953.00,0.0182
3952.00,0.0182
3951.00,0.0182
3950.00,0.0182
3949.00,0.0181
3948.00,0.0181
3947.00,0.0181
3946.00,0.0181
3945.00,0.0181
3944.00,0.0181
3943.00,0.0181
3942.00,0.0181
3941.00,0.0181
3940.00,0.0181
3939.00,0.0181
3938.00,0.0180
3937.00,0.0180
3936.00,0.0180
3935.00,0.0180
3934.00,0.0180
3933.00,0.0180
3932.00,0.0180
3931.00,0.0180
3930.00,0.0180
3929.00,0.0180
3928.00,0.0180
3927.00,0.0180
3926.00,0.0180
3925.00,0.0180
3924.00,0.0180
3923.00,0.0180
3922.00,0.0180
3921.00,0.0180
3920.00,0.0180
3919.00,0.0179
3918.00,0.0179
3917.00,0.0179
3916.00,0.0179
3915.00,0.0179
3914.00,0.0179
3913.00,0.0179
3912.00,0.0179
3911.00,0.0179
3910.00,0.0179
3909.00,0.0179
3908.00,0.0179
3907.00,0.0179
3906.00,0.0178
3905.00,0.0178
3904.00,0.0178
3903.00,0.0177
3902.00,0.0177
3901.00,0.0177
3900.00,0.0177
3899.00,0.0178
3898.00,0.0178
3897.00,0.0178
3896.00,0.0178
3895.00,0.0177
3894.00,0.0177
3893.00,0.0177
3892.00,0.0177
3891.00,0.0177
3890.00,0.0177
3889.00,0.0176
3888.00,0.0176
3887.00,0.0176
3886.00,0.0176
3885.00,0.0176
3884.00,0.0176
3883.00,0.0176
3882.00,0.0176
3881.00,0.0176
3880.00,0.0176
3879.00,0.0176
3878.00,0.0176
3877.00,0.0176
3876.00,0.0176
3875.00,0.0176
3874.00,0.0176
3873.00,0.0176
3872.00,0.0175
3871.00,0.0175
