Created as New Dataset,Sample 890 By YargerLab Date Wednesday, July 23 2025
cm-1,A
4000.00,0.0067
3999.00,0.0067
3998.00,0.0067
3997.00,0.0067
3996.00,0.0067
3995.00,0.0067
3994.00,0.0067
3993.00,0.0067
3992.00,0.0067
3991.00,0.0067
3990.00,0.0068
3989.00,0.0068
3988.00,0.0068
3987.00,0.0067
3986.00,0.0067
3985.00,0.0067
3984.00,0.0067
3983.00,0.0067
3982.00,0.0067
3981.00,0.0067
3980.00,0.0067
3979.00,0.0067
3978.00,0.0067
3977.00,0.0067
3976.00,0.0067
3975.00,0.0067
3974.00,0.0067
3973.00,0.0068
3972.00,0.0068
3971.00,0.0068
3970.00,0.0068
3969.00,0.0068
3968.00,0.0068
3967.00,0.0068
3966.00,0.0068
3965.00,0.0068
3964.00,0.0068
3963.00,0.0068
3962.00,0.0068
3961.00,0.0069
3960.00,0.0069
3959.00,0.0069
3958.00,0.0069
3957.00,0.0069
3956.00,0.0068
3955.00,0.0068
3954.00,0.0068
3953.00,0.0068
3952.00,0.0068
3951.00,0.0068
3950.00,0.0068
3949.00,0.0068
3948.00,0.0067
3947.00,0.0067
3946.00,0.0067
3945.00,0.0067
3944.00,0.0067
3943.00,0.0067
3942.00,0.0067
3941.00,0.0067
3940.00,0.0067
3939.00,0.0068
3938.00,0.0068
3937.00,0.0068
3936.00,0.0068
3935.00,0.0068
3934.00,0.0068
3933.00,0.0068
3932.00,0.0068
3931.00,0.0068
3930.00,0.0068
3929.00,0.0068
3928.00,0.0068
3927.00,0.0069
3926.00,0.0069
3925.00,0.0069
3924.00,0.0069
3923.00,0.0069
3922.00,0.0068
3921.00,0.0068
3920.00,0.0067
3919.00,0.0067
3918.00,0.0067
3917.00,0.0067
3916.00,0.0068
3915.00,0.0068
3914.00,0.0068
3913.00,0.0068
3912.00,0.0068
3911.00,0.0068
3910.00,0.0068
3909.00,0.0068
3908.00,0.0068
3907.00,0.0067
3906.00,0.0067
3905.00,0.0066
3904.00,0.0065
3903.00,0.0064
3902.00,0.0064
3901.00,0.0064
3900.00,0.0064
3899.00,0.0065
3898.00,0.0065
3897.00,0.0066
3896.00,0.0066
3895.00,0.0066
3894.00,0.0066
3893.00,0.0066
3892.00,0.0065
3891.00,0.0065
3890.00,0.0065
3889.00,0.0065
3888.00,0.0064
3887.00,0.0064
3886.00,0.0064
3885.00,0.0064
3884.00,0.0064
3883.00,0.0064
3882.00,0.0064
3881.00,0.0064
3880.00,0.0064
3879.00,0.0064
3878.00,0.0064
3877.00,0.0064
3876.00,0.0063
3875.00,0.0064
3874.00,0.0064
3873.00,0.0065
3872.00,0.0064
3871.00,0.0063
3870.00,0.0063
3869.00,0.0063
3868.00,0.0063
3867.00,0.0063
3866.00,0.0063
3865.00,0.0063
3864.00,0.0063
3863.00,0.0063
3862.00,0.0063
3861.00,0.0063
3860.00,0.0062
3859.00,0.0063
3858.00,0.0063
3857.00,0.0064
3856.00,0.0064
3855.00,0.0064
3854.00,0.0064
3853.00,0.0064
3852.00,0.0064
3851.00,0.0063
3850.00,0.0063
3849.00,0.0063
3848.00,0.0063
3847.00,0.0063
3846.00,0.0063
3845.00,0.0063
3844.00,0.0063
3843.00,0.0063
3842.00,0.0063
3841.00,0.0062
3840.00,0.0062
3839.00,0.0062
3838.00,0.0062
3837.00,0.0062
3836.00,0.0062
3835.00,0.0063
3834.00,0.0062
3833.00,0.0062
3832.00,0.0062
3831.00,0.0062
3830.00,0.0062
3829.00,0.0062
3828.00,0.0062
3827.00,0.0063
3826.00,0.0063
3825.00,0.0063
3824.00,0.0062
3823.00,0.0062
3822.00,0.0061
3821.00,0.0062
3820.00,0.0062
3819.00,0.0062
3818.00,0.0061
3817.00,0.0061
3816.00,0.0062
3815.00,0.0063
3814.00,0.0063
3813.00,0.0063
3812.00,0.0063
3811.00,0.0063
3810.00,0.0063
3809.00,0.0063
3808.00,0.0063
3807.00,0.0063
3806.00,0.0062
3805.00,0.0062
3804.00,0.0061
3803.00,0.0061
3802.00,0.0061
3801.00,0.0061
3800.00,0.0061
3799.00,0.0061
3798.00,0.0061
3797.00,0.0061
3796.00,0.0061
3795.00,0.0062
3794.00,0.0063
3793.00,0.0063
3792.00,0.0063
3791.00,0.0064
3790.00,0.0064
3789.00,0.0064
3788.00,0.0064
3787.00,0.0064
3786.00,0.0064
3785.00,0.0064
3784.00,0.0064
3783.00,0.0064
3782.00,0.0064
3781.00,0.0063
3780.00,0.0063
3779.00,0.0063
3778.00,0.0063
3777.00,0.0063
3776.00,0.0063
3775.00,0.0063
3774.00,0.0063
3773.00,0.0063
3772.00,0.0063
3771.00,0.0062
3770.00,0.0062
3769.00,0.0062
3768.00,0.0062
3767.00,0.0062
3766.00,0.0062
3765.00,0.0062
3764.00,0.0062
3763.00,0.0062
3762.00,0.0062
3761.00,0.0061
3760.00,0.0061
3759.00,0.0061
3758.00,0.0061
3757.00,0.0061
3756.00,0.0061
3755.00,0.0060
3754.00,0.0060
3753.00,0.0059
3752.00,0.0059
3751.00,0.0058
3750.00,0.0058
3749.00,0.0057
3748.00,0.0058
3747.00,0.0058
3746.00,0.0057
3745.00,0.0057
3744.00,0.0057
3743.00,0.0058
3742.00,0.0058
3741.00,0.0057
3740.00,0.0056
3739.00,0.0056
3738.00,0.0055
3737.00,0.0055
3736.00,0.0055
3735.00,0.0056
3734.00,0.0056
3733.00,0.0056
3732.00,0.0056
3731.00,0.0057
3730.00,0.0057
3729.00,0.0057
3728.00,0.0057
3727.00,0.0057
3726.00,0.0057
3725.00,0.0058
3724.00,0.0058
3723.00,0.0058
3722.00,0.0058
3721.00,0.0058
3720.00,0.0058
3719.00,0.0059
3718.00,0.0059
3717.00,0.0059
3716.00,0.0060
3715.00,0.0059
3714.00,0.0059
3713.00,0.0058
3712.00,0.0058
3711.00,0.0057
3710.00,0.0057
3709.00,0.0057
3708.00,0.0057
3707.00,0.0058
3706.00,0.0058
3705.00,0.0058
3704.00,0.0059
3703.00,0.0059
3702.00,0.0059
3701.00,0.0059
3700.00,0.0059
3699.00,0.0059
3698.00,0.0059
3697.00,0.0059
3696.00,0.0059
3695.00,0.0059
3694.00,0.0059
3693.00,0.0058
3692.00,0.0058
3691.00,0.0058
3690.00,0.0058
3689.00,0.0058
3688.00,0.0058
3687.00,0.0058
3686.00,0.0058
3685.00,0.0058
3684.00,0.0058
3683.00,0.0058
3682.00,0.0058
3681.00,0.0057
3680.00,0.0057
3679.00,0.0056
3678.00,0.0055
3677.00,0.0055
3676.00,0.0054
3675.00,0.0054
3674.00,0.0053
3673.00,0.0053
3672.00,0.0052
3671.00,0.0052
3670.00,0.0053
3669.00,0.0054
3668.00,0.0054
3667.00,0.0055
3666.00,0.0055
3665.00,0.0056
3664.00,0.0056
3663.00,0.0056
3662.00,0.0057
3661.00,0.0057
3660.00,0.0057
3659.00,0.0057
3658.00,0.0056
3657.00,0.0055
3656.00,0.0055
3655.00,0.0054
3654.00,0.0054
3653.00,0.0054
3652.00,0.0053
3651.00,0.0053
3650.00,0.0053
3649.00,0.0052
3648.00,0.0052
3647.00,0.0052
3646.00,0.0052
3645.00,0.0053
3644.00,0.0054
3643.00,0.0055
3642.00,0.0056
3641.00,0.0057
3640.00,0.0057
3639.00,0.0057
3638.00,0.0057
