Created as New Dataset,Sample 930 By YargerLab Date Saturday, July 26 2025
cm-1,A
4000.00,0.0081
3999.00,0.0081
3998.00,0.0081
3997.00,0.0081
3996.00,0.0081
3995.00,0.0080
3994.00,0.0080
3993.00,0.0080
3992.00,0.0080
3991.00,0.0080
3990.00,0.0081
3989.00,0.0081
3988.00,0.0081
3987.00,0.0081
3986.00,0.0081
3985.00,0.0081
3984.00,0.0081
3983.00,0.0081
3982.00,0.0081
3981.00,0.0081
3980.00,0.0081
3979.00,0.0081
3978.00,0.0081
3977.00,0.0081
3976.00,0.0082
3975.00,0.0082
3974.00,0.0082
3973.00,0.0082
3972.00,0.0082
3971.00,0.0082
3970.00,0.0082
3969.00,0.0082
3968.00,0.0082
3967.00,0.0082
3966.00,0.0082
3965.00,0.0082
3964.00,0.0081
3963.00,0.0081
3962.00,0.0081
3961.00,0.0081
3960.00,0.0081
3959.00,0.0081
3958.00,0.0081
3957.00,0.0081
3956.00,0.0081
3955.00,0.0081
3954.00,0.0081
3953.00,0.0081
3952.00,0.0081
3951.00,0.0081
3950.00,0.0080
3949.00,0.0080
3948.00,0.0080
3947.00,0.0080
3946.00,0.0080
3945.00,0.0080
3944.00,0.0080
3943.00,0.0081
3942.00,0.0081
3941.00,0.0081
3940.00,0.0081
3939.00,0.0081
3938.00,0.0081
3937.00,0.0081
3936.00,0.0081
3935.00,0.0081
3934.00,0.0081
3933.00,0.0080
3932.00,0.0080
3931.00,0.0080
3930.00,0.0080
3929.00,0.0080
3928.00,0.0081
3927.00,0.0081
3926.00,0.0081
3925.00,0.0081
3924.00,0.0081
3923.00,0.0080
3922.00,0.0080
3921.00,0.0080
3920.00,0.0080
3919.00,0.0080
3918.00,0.0080
3917.00,0.0080
3916.00,0.0080
3915.00,0.0080
3914.00,0.0080
3913.00,0.0080
3912.00,0.0080
3911.00,0.0080
3910.00,0.0080
3909.00,0.0080
3908.00,0.0080
3907.00,0.0080
3906.00,0.0080
3905.00,0.0080
3904.00,0.0080
3903.00,0.0080
3902.00,0.0080
3901.00,0.0080
3900.00,0.0080
3899.00,0.0080
3898.00,0.0080
3897.00,0.0080
3896.00,0.0080
3895.00,0.0080
3894.00,0.0080
3893.00,0.0080
3892.00,0.0080
3891.00,0.0080
3890.00,0.0080
3889.00,0.0079
3888.00,0.0079
3887.00,0.0079
3886.00,0.0079
3885.00,0.0079
3884.00,0.0079
3883.00,0.0079
3882.00,0.0079
3881.00,0.0079
3880.00,0.0079
3879.00,0.0079
3878.00,0.0079
3877.00,0.0079
3876.00,0.0079
3875.00,0.0079
3874.00,0.0079
3873.00,0.0079
3872.00,0.0079
3871.00,0.0079
3870.00,0.0078
3869.00,0.0078
3868.00,0.0078
3867.00,0.0078
3866.00,0.0078
3865.00,0.0078
3864.00,0.0078
3863.00,0.0079
3862.00,0.0079
3861.00,0.0079
3860.00,0.0079
3859.00,0.0079
3858.00,0.0079
3857.00,0.0079
3856.00,0.0079
3855.00,0.0079
3854.00,0.0079
3853.00,0.0079
3852.00,0.0079
3851.00,0.0079
3850.00,0.0079
3849.00,0.0079
3848.00,0.0079
3847.00,0.0079
3846.00,0.0079
3845.00,0.0079
3844.00,0.0079
3843.00,0.0079
3842.00,0.0079
3841.00,0.0079
3840.00,0.0079
3839.00,0.0079
3838.00,0.0079
3837.00,0.0078
3836.00,0.0078
3835.00,0.0078
3834.00,0.0078
3833.00,0.0079
3832.00,0.0079
3831.00,0.0078
3830.00,0.0078
3829.00,0.0078
3828.00,0.0078
3827.00,0.0078
3826.00,0.0078
3825.00,0.0078
3824.00,0.0078
3823.00,0.0078
3822.00,0.0078
3821.00,0.0078
3820.00,0.0078
3819.00,0.0078
3818.00,0.0078
3817.00,0.0078
3816.00,0.0077
3815.00,0.0077
3814.00,0.0078
3813.00,0.0078
3812.00,0.0078
3811.00,0.0078
3810.00,0.0078
3809.00,0.0078
3808.00,0.0078
3807.00,0.0078
3806.00,0.0078
3805.00,0.0077
3804.00,0.0077
3803.00,0.0077
3802.00,0.0077
3801.00,0.0077
3800.00,0.0077
3799.00,0.0078
3798.00,0.0078
3797.00,0.0078
3796.00,0.0078
3795.00,0.0077
3794.00,0.0077
3793.00,0.0078
3792.00,0.0078
3791.00,0.0078
3790.00,0.0078
3789.00,0.0078
3788.00,0.0078
3787.00,0.0078
3786.00,0.0078
3785.00,0.0078
3784.00,0.0078
3783.00,0.0078
3782.00,0.0078
3781.00,0.0078
3780.00,0.0078
3779.00,0.0078
3778.00,0.0078
3777.00,0.0078
3776.00,0.0078
3775.00,0.0078
3774.00,0.0078
3773.00,0.0078
3772.00,0.0077
3771.00,0.0077
3770.00,0.0077
3769.00,0.0077
3768.00,0.0077
3767.00,0.0077
3766.00,0.0077
3765.00,0.0077
3764.00,0.0077
3763.00,0.0077
3762.00,0.0078
3761.00,0.0078
3760.00,0.0078
3759.00,0.0078
3758.00,0.0078
3757.00,0.0078
3756.00,0.0078
3755.00,0.0078
3754.00,0.0078
3753.00,0.0078
3752.00,0.0078
3751.00,0.0078
3750.00,0.0078
3749.00,0.0078
3748.00,0.0077
3747.00,0.0077
3746.00,0.0077
3745.00,0.0076
3744.00,0.0076
3743.00,0.0076
3742.00,0.0077
3741.00,0.0077
3740.00,0.0077
3739.00,0.0077
3738.00,0.0077
3737.00,0.0076
3736.00,0.0076
3735.00,0.0076
3734.00,0.0076
3733.00,0.0075
3732.00,0.0076
3731.00,0.0076
3730.00,0.0076
3729.00,0.0076
3728.00,0.0075
3727.00,0.0075
3726.00,0.0075
3725.00,0.0075
3724.00,0.0075
3723.00,0.0075
3722.00,0.0075
3721.00,0.0075
3720.00,0.0075
3719.00,0.0075
3718.00,0.0076
3717.00,0.0076
3716.00,0.0076
3715.00,0.0076
3714.00,0.0076
3713.00,0.0076
3712.00,0.0075
3711.00,0.0075
3710.00,0.0075
3709.00,0.0075
3708.00,0.0075
3707.00,0.0075
3706.00,0.0075
3705.00,0.0075
3704.00,0.0075
3703.00,0.0074
3702.00,0.0074
3701.00,0.0074
3700.00,0.0074
3699.00,0.0074
3698.00,0.0074
3697.00,0.0074
3696.00,0.0074
3695.00,0.0075
3694.00,0.0075
3693.00,0.0074
3692.00,0.0074
3691.00,0.0074
3690.00,0.0074
3689.00,0.0074
3688.00,0.0074
3687.00,0.0074
3686.00,0.0075
3685.00,0.0075
3684.00,0.0075
3683.00,0.0075
3682.00,0.0075
3681.00,0.0075
3680.00,0.0075
3679.00,0.0075
3678.00,0.0075
3677.00,0.0075
3676.00,0.0075
3675.00,0.0075
3674.00,0.0075
3673.00,0.0075
3672.00,0.0075
3671.00,0.0075
3670.00,0.0075
3669.00,0.0075
3668.00,0.0075
3667.00,0.0075
3666.00,0.0076
3665.00,0.0076
3664.00,0.0077
3663.00,0.0077
3662.00,0.0077
3661.00,0.0077
3660.00,0.0077
3659.00,0.0077
3658.00,0.0077
3657.00,0.0077
3656.00,0.0077
3655.00,0.0077
3654.00,0.0077
3653.00,0.0077
3652.00,0.0078
3651.00,0.0078
3650.00,0.0079
3649.00,0.0079
3648.00,0.0079
3647.00,0.0078
3646.00,0.0078
3645.00,0.0079
3644.00,0.0079
3643.00,0.0080
3642.00,0.0080
3641.00,0.0081
3640.00,0.0081
3639.00,0.0081
3638.00,0.0081
3637.00,0.0080
3636.00,0.0080
3635.00,0.0081
3634.00,0.0081
3633.00,0.0081
3632.00,0.0082
3631.00,0.0082
3630.00,0.0082
3629.00,0.0082
3628.00,0.0082
3627.00,0.0083
3626.00,0.0083
3625.00,0.0084
3624.00,0.0085
3623.00,0.0085
3622.00,0.0086
3621.00,0.0086
3620.00,0.0086
3619.00,0.0087
3618.00,0.0087
3617.00,0.0087
3616.00,0.0087
3615.00,0.0087
3614.00,0.0088
3613.00,0.0088
3612.00,0.0088
3611.00,0.0089
3610.00,0.0089
3609.00,0.0089
3608.00,0.0089
3607.00,0.0090
3606.00,0.0090
3605.00,0.0090
3604.00,0.0090
3603.00,0.0090
3602.00,0.0091
3601.00,0.0091
3600.00,0.0092
3599.00,0.0092
3598.00,0.0092
3597.00,0.0093
3596.00,0.0093
3595.00,0.0093
3594.00,0.0094
3593.00,0.0094
3592.00,0.0094
3591.00,0.0094
3590.00,0.0095
3589.00,0.0095
3588.00,0.0096
3587.00,0.0096
3586.00,0.0097
3585.00,0.0097
3584.00,0.0097
3583.00,0.0098
3582.00,0.0098
3581.00,0.0099
3580.00,0.0099
3579.00,0.0100
3578.00,0.0101
3577.00,0.0101
3576.00,0.0102
3575.00,0.0102
3574.00,0.0102
3573.00,0.0103
3572.00,0.0103
3571.00,0.0103
3570.00,0.0104
3569.00,0.0104
3568.00,0.0105
3567.00,0.0106
3566.00,0.0106
3565.00,0.0107
3564.00,0.0108
3563.00,0.0108
3562.00,0.0109
3561.00,0.0109
3560.00,0.0110
3559.00,0.0111
3558.00,0.0111
3557.00,0.0112
3556.00,0.0112
3555.00,0.0113
3554.00,0.0113
3553.00,0.0114
3552.00,0.0115
3551.00,0.0115
3550.00,0.0116
3549.00,0.0117
3548.00,0.0117
3547.00,0.0118
3546.00,0.0119
3545.00,0.0120
3544.00,0.0121
3543.00,0.0122
3542.00,0.0122
3541.00,0.0123
3540.00,0.0124
3539.00,0.0125
3538.00,0.0126
3537.00,0.0126
3536.00,0.0127
3535.00,0.0128
3534.00,0.0129
3533.00,0.0130
3532.00,0.0131
3531.00,0.0132
3530.00,0.0132
3529.00,0.0133
3528.00,0.0134
3527.00,0.0135
3526.00,0.0136
3525.00,0.0137
3524.00,0.0138
3523.00,0.0139
3522.00,0.0140
3521.00,0.0141
3520.00,0.0142
3519.00,0.0143
3518.00,0.0144
3517.00,0.0145
3516.00,0.0147
3515.00,0.0148
3514.00,0.0149
3513.00,0.0150
3512.00,0.0151
3511.00,0.0153
3510.00,0.0154
3509.00,0.0155
3508.00,0.0157
3507.00,0.0158
3506.00,0.0159
3505.00,0.0160
3504.00,0.0162
3503.00,0.0164
3502.00,0.0165
3501.00,0.0167
3500.00,0.0168
3499.00,0.0170
3498.00,0.0171
3497.00,0.0173
3496.00,0.0174
3495.00,0.0175
3494.00,0.0177
3493.00,0.0179
3492.00,0.0181
3491.00,0.0182
3490.00,0.0184
3489.00,0.0186
3488.00,0.0188
3487.00,0.0189
3486.00,0.0191
3485.00,0.0193
3484.00,0.0194
3483.00,0.0196
3482.00,0.0198
3481.00,0.0200
3480.00,0.0202
3479.00,0.0204
3478.00,0.0205
3477.00,0.0207
3476.00,0.0209
3475.00,0.0211
3474.00,0.0213
3473.00,0.0215
3472.00,0.0218
3471.00,0.0220
3470.00,0.0222
3469.00,0.0224
3468.00,0.0226
3467.00,0.0228
3466.00,0.0230
3465.00,0.0232
3464.00,0.0235
3463.00,0.0237
3462.00,0.0239
3461.00,0.0241
3460.00,0.0243
3459.00,0.0245
3458.00,0.0247
3457.00,0.0249
3456.00,0.0251
3455.00,0.0253
3454.00,0.0255
3453.00,0.0258
3452.00,0.0260
3451.00,0.0262
3450.00,0.0265
3449.00,0.0267
3448.00,0.0269
3447.00,0.0271
3446.00,0.0274
3445.00,0.0276
3444.00,0.0279
3443.00,0.0281
3442.00,0.0284
3441.00,0.0286
3440.00,0.0289
3439.00,0.0291
3438.00,0.0294
3437.00,0.0297
3436.00,0.0300
3435.00,0.0303
3434.00,0.0306
3433.00,0.0309
3432.00,0.0312
3431.00,0.0315
3430.00,0.0318
3429.00,0.0321
3428.00,0.0325
3427.00,0.0328
3426.00,0.0331
3425.00,0.0335
3424.00,0.0338
3423.00,0.0342
3422.00,0.0345
3421.00,0.0348
3420.00,0.0352
3419.00,0.0355
3418.00,0.0359
3417.00,0.0362
3416.00,0.0366
3415.00,0.0369
