Created as New Dataset,Sample 943 By YargerLab Date Monday, July 28 2025
cm-1,A
4000.00,0.0029
3999.00,0.0029
3998.00,0.0029
3997.00,0.0029
3996.00,0.0029
3995.00,0.0029
3994.00,0.0029
3993.00,0.0029
3992.00,0.0029
3991.00,0.0029
3990.00,0.0029
3989.00,0.0029
3988.00,0.0029
3987.00,0.0029
3986.00,0.0029
3985.00,0.0029
3984.00,0.0029
3983.00,0.0029
3982.00,0.0029
3981.00,0.0029
3980.00,0.0029
3979.00,0.0029
3978.00,0.0029
3977.00,0.0029
3976.00,0.0029
3975.00,0.0029
3974.00,0.0029
3973.00,0.0029
3972.00,0.0029
3971.00,0.0029
3970.00,0.0029
3969.00,0.0029
3968.00,0.0029
3967.00,0.0029
3966.00,0.0029
3965.00,0.0029
3964.00,0.0029
3963.00,0.0029
3962.00,0.0029
3961.00,0.0029
3960.00,0.0029
3959.00,0.0029
3958.00,0.0029
3957.00,0.0029
3956.00,0.0029
3955.00,0.0029
3954.00,0.0029
3953.00,0.0029
3952.00,0.0029
3951.00,0.0029
3950.00,0.0029
3949.00,0.0029
3948.00,0.0029
3947.00,0.0029
3946.00,0.0029
3945.00,0.0029
3944.00,0.0029
3943.00,0.0030
3942.00,0.0030
3941.00,0.0030
3940.00,0.0029
3939.00,0.0029
3938.00,0.0029
3937.00,0.0029
3936.00,0.0029
3935.00,0.0029
3934.00,0.0029
3933.00,0.0029
3932.00,0.0029
3931.00,0.0029
3930.00,0.0029
3929.00,0.0029
3928.00,0.0029
3927.00,0.0029
3926.00,0.0029
3925.00,0.0029
3924.00,0.0029
3923.00,0.0029
3922.00,0.0029
3921.00,0.0029
3920.00,0.0029
3919.00,0.0029
3918.00,0.0029
3917.00,0.0029
3916.00,0.0029
3915.00,0.0029
3914.00,0.0029
3913.00,0.0029
3912.00,0.0029
3911.00,0.0029
3910.00,0.0029
3909.00,0.0029
3908.00,0.0029
3907.00,0.0029
3906.00,0.0029
3905.00,0.0029
3904.00,0.0030
3903.00,0.0029
3902.00,0.0029
3901.00,0.0029
3900.00,0.0029
3899.00,0.0029
3898.00,0.0029
3897.00,0.0029
3896.00,0.0029
3895.00,0.0029
3894.00,0.0029
3893.00,0.0029
3892.00,0.0029
3891.00,0.0029
3890.00,0.0029
3889.00,0.0029
3888.00,0.0029
3887.00,0.0029
3886.00,0.0028
3885.00,0.0028
3884.00,0.0028
3883.00,0.0028
3882.00,0.0029
3881.00,0.0029
3880.00,0.0029
3879.00,0.0029
3878.00,0.0029
3877.00,0.0029
3876.00,0.0029
3875.00,0.0029
3874.00,0.0029
3873.00,0.0029
3872.00,0.0029
3871.00,0.0029
3870.00,0.0028
3869.00,0.0028
3868.00,0.0028
3867.00,0.0028
3866.00,0.0028
3865.00,0.0029
3864.00,0.0029
3863.00,0.0029
3862.00,0.0029
3861.00,0.0029
3860.00,0.0029
3859.00,0.0029
3858.00,0.0029
3857.00,0.0029
3856.00,0.0029
3855.00,0.0029
3854.00,0.0028
3853.00,0.0028
3852.00,0.0028
3851.00,0.0028
3850.00,0.0028
3849.00,0.0029
3848.00,0.0029
3847.00,0.0029
3846.00,0.0029
3845.00,0.0029
3844.00,0.0029
3843.00,0.0029
3842.00,0.0028
3841.00,0.0028
3840.00,0.0028
3839.00,0.0029
3838.00,0.0029
3837.00,0.0029
3836.00,0.0029
3835.00,0.0029
3834.00,0.0029
3833.00,0.0029
3832.00,0.0029
3831.00,0.0029
3830.00,0.0029
3829.00,0.0029
3828.00,0.0029
3827.00,0.0029
3826.00,0.0029
3825.00,0.0029
3824.00,0.0029
3823.00,0.0029
3822.00,0.0029
3821.00,0.0029
3820.00,0.0029
3819.00,0.0028
3818.00,0.0028
3817.00,0.0028
3816.00,0.0028
3815.00,0.0028
3814.00,0.0029
3813.00,0.0029
3812.00,0.0029
3811.00,0.0029
3810.00,0.0029
3809.00,0.0029
3808.00,0.0029
3807.00,0.0029
3806.00,0.0029
3805.00,0.0029
3804.00,0.0029
3803.00,0.0028
3802.00,0.0028
3801.00,0.0028
3800.00,0.0028
3799.00,0.0028
3798.00,0.0028
3797.00,0.0028
3796.00,0.0029
3795.00,0.0029
3794.00,0.0029
3793.00,0.0029
3792.00,0.0030
3791.00,0.0030
3790.00,0.0029
3789.00,0.0029
3788.00,0.0029
3787.00,0.0029
3786.00,0.0029
3785.00,0.0029
3784.00,0.0029
3783.00,0.0029
3782.00,0.0029
3781.00,0.0029
3780.00,0.0029
3779.00,0.0029
3778.00,0.0029
3777.00,0.0029
3776.00,0.0029
3775.00,0.0029
3774.00,0.0030
3773.00,0.0030
3772.00,0.0030
3771.00,0.0030
3770.00,0.0030
3769.00,0.0029
3768.00,0.0029
3767.00,0.0029
3766.00,0.0029
3765.00,0.0029
3764.00,0.0030
3763.00,0.0030
3762.00,0.0030
3761.00,0.0030
3760.00,0.0030
3759.00,0.0030
3758.00,0.0030
3757.00,0.0030
3756.00,0.0030
3755.00,0.0030
3754.00,0.0030
3753.00,0.0030
3752.00,0.0029
3751.00,0.0029
3750.00,0.0029
3749.00,0.0029
3748.00,0.0029
3747.00,0.0029
3746.00,0.0029
3745.00,0.0029
3744.00,0.0029
3743.00,0.0029
3742.00,0.0029
3741.00,0.0029
3740.00,0.0029
3739.00,0.0029
3738.00,0.0028
3737.00,0.0028
3736.00,0.0028
3735.00,0.0028
3734.00,0.0028
3733.00,0.0028
3732.00,0.0028
3731.00,0.0028
3730.00,0.0028
3729.00,0.0028
3728.00,0.0028
3727.00,0.0029
3726.00,0.0029
3725.00,0.0029
3724.00,0.0029
3723.00,0.0029
3722.00,0.0029
3721.00,0.0029
3720.00,0.0029
3719.00,0.0029
3718.00,0.0029
3717.00,0.0029
3716.00,0.0029
3715.00,0.0029
3714.00,0.0029
3713.00,0.0029
3712.00,0.0029
3711.00,0.0029
3710.00,0.0029
3709.00,0.0028
3708.00,0.0028
3707.00,0.0028
3706.00,0.0027
3705.00,0.0028
3704.00,0.0028
3703.00,0.0028
3702.00,0.0028
3701.00,0.0028
3700.00,0.0028
3699.00,0.0028
3698.00,0.0028
3697.00,0.0028
3696.00,0.0028
3695.00,0.0028
3694.00,0.0028
3693.00,0.0028
3692.00,0.0028
3691.00,0.0028
3690.00,0.0028
3689.00,0.0028
3688.00,0.0028
3687.00,0.0029
3686.00,0.0029
3685.00,0.0029
3684.00,0.0030
3683.00,0.0030
3682.00,0.0031
3681.00,0.0031
3680.00,0.0031
3679.00,0.0031
3678.00,0.0031
3677.00,0.0031
3676.00,0.0031
3675.00,0.0031
3674.00,0.0031
3673.00,0.0031
3672.00,0.0031
3671.00,0.0031
3670.00,0.0031
3669.00,0.0031
3668.00,0.0031
3667.00,0.0031
3666.00,0.0032
3665.00,0.0032
3664.00,0.0032
3663.00,0.0032
3662.00,0.0032
3661.00,0.0032
3660.00,0.0032
3659.00,0.0032
3658.00,0.0032
3657.00,0.0032
3656.00,0.0033
3655.00,0.0033
3654.00,0.0033
3653.00,0.0034
3652.00,0.0034
3651.00,0.0034
3650.00,0.0034
3649.00,0.0035
3648.00,0.0035
3647.00,0.0035
3646.00,0.0035
3645.00,0.0035
3644.00,0.0035
3643.00,0.0035
3642.00,0.0036
3641.00,0.0036
3640.00,0.0037
3639.00,0.0037
3638.00,0.0037
3637.00,0.0038
3636.00,0.0038
3635.00,0.0038
3634.00,0.0038
3633.00,0.0039
3632.00,0.0039
3631.00,0.0039
3630.00,0.0039
3629.00,0.0040
3628.00,0.0040
3627.00,0.0041
3626.00,0.0041
3625.00,0.0041
3624.00,0.0042
3623.00,0.0042
3622.00,0.0042
3621.00,0.0043
3620.00,0.0043
3619.00,0.0043
3618.00,0.0043
3617.00,0.0044
3616.00,0.0044
3615.00,0.0045
3614.00,0.0046
3613.00,0.0047
3612.00,0.0047
3611.00,0.0047
3610.00,0.0048
3609.00,0.0048
3608.00,0.0049
3607.00,0.0049
3606.00,0.0050
3605.00,0.0051
3604.00,0.0051
3603.00,0.0051
3602.00,0.0052
3601.00,0.0053
3600.00,0.0053
3599.00,0.0054
3598.00,0.0054
3597.00,0.0055
3596.00,0.0055
3595.00,0.0056
3594.00,0.0056
3593.00,0.0057
3592.00,0.0058
3591.00,0.0058
3590.00,0.0059
3589.00,0.0059
3588.00,0.0060
3587.00,0.0061
3586.00,0.0061
3585.00,0.0062
3584.00,0.0063
3583.00,0.0064
3582.00,0.0064
3581.00,0.0065
3580.00,0.0066
3579.00,0.0066
3578.00,0.0067
3577.00,0.0068
3576.00,0.0069
3575.00,0.0070
3574.00,0.0071
3573.00,0.0071
3572.00,0.0072
3571.00,0.0072
3570.00,0.0073
3569.00,0.0073
3568.00,0.0073
3567.00,0.0074
3566.00,0.0075
3565.00,0.0076
3564.00,0.0077
3563.00,0.0078
3562.00,0.0079
3561.00,0.0080
3560.00,0.0080
3559.00,0.0081
3558.00,0.0082
3557.00,0.0083
3556.00,0.0083
3555.00,0.0084
3554.00,0.0085
3553.00,0.0086
3552.00,0.0086
3551.00,0.0087
3550.00,0.0088
3549.00,0.0088
3548.00,0.0089
3547.00,0.0090
3546.00,0.0091
3545.00,0.0091
3544.00,0.0092
3543.00,0.0092
3542.00,0.0093
3541.00,0.0094
3540.00,0.0094
3539.00,0.0095
3538.00,0.0095
3537.00,0.0096
3536.00,0.0097
3535.00,0.0098
3534.00,0.0098
3533.00,0.0098
3532.00,0.0099
3531.00,0.0099
3530.00,0.0100
3529.00,0.0100
3528.00,0.0101
3527.00,0.0101
3526.00,0.0102
3525.00,0.0103
3524.00,0.0103
3523.00,0.0104
3522.00,0.0104
3521.00,0.0105
3520.00,0.0105
3519.00,0.0106
3518.00,0.0106
3517.00,0.0106
3516.00,0.0107
3515.00,0.0107
3514.00,0.0108
3513.00,0.0108
3512.00,0.0108
3511.00,0.0109
3510.00,0.0109
3509.00,0.0110
3508.00,0.0110
3507.00,0.0110
3506.00,0.0110
3505.00,0.0111
3504.00,0.0111
3503.00,0.0112
3502.00,0.0112
3501.00,0.0113
3500.00,0.0113
3499.00,0.0113
3498.00,0.0114
3497.00,0.0114
3496.00,0.0114
3495.00,0.0115
3494.00,0.0116
3493.00,0.0117
3492.00,0.0117
3491.00,0.0118
3490.00,0.0118
3489.00,0.0118
3488.00,0.0119
3487.00,0.0119
3486.00,0.0119
3485.00,0.0120
3484.00,0.0120
3483.00,0.0120
3482.00,0.0121
3481.00,0.0122
3480.00,0.0122
3479.00,0.0123
3478.00,0.0123
3477.00,0.0124
3476.00,0.0124
3475.00,0.0124
3474.00,0.0125
3473.00,0.0125
3472.00,0.0126
3471.00,0.0127
3470.00,0.0128
3469.00,0.0129
3468.00,0.0129
3467.00,0.0130
3466.00,0.0130
3465.00,0.0131
3464.00,0.0131
3463.00,0.0132
3462.00,0.0132
3461.00,0.0133
3460.00,0.0134
3459.00,0.0134
3458.00,0.0134
3457.00,0.0135
3456.00,0.0135
3455.00,0.0136
3454.00,0.0137
3453.00,0.0137
3452.00,0.0138
3451.00,0.0138
3450.00,0.0139
3449.00,0.0140
3448.00,0.0140
3447.00,0.0141
3446.00,0.0142
3445.00,0.0142
3444.00,0.0143
3443.00,0.0143
3442.00,0.0144
3441.00,0.0144
3440.00,0.0145
3439.00,0.0145
3438.00,0.0146
3437.00,0.0147
3436.00,0.0148
3435.00,0.0148
3434.00,0.0149
3433.00,0.0149
3432.00,0.0150
3431.00,0.0151
3430.00,0.0151
3429.00,0.0152
3428.00,0.0153
3427.00,0.0153
3426.00,0.0154
3425.00,0.0155
3424.00,0.0155
3423.00,0.0156
3422.00,0.0157
3421.00,0.0158
