Created as New Dataset,Sample 967 By YargerLab Date Wednesday, July 30 2025
cm-1,A
4000.00,0.0030
3999.00,0.0031
3998.00,0.0031
3997.00,0.0031
3996.00,0.0031
3995.00,0.0031
3994.00,0.0031
3993.00,0.0031
3992.00,0.0031
3991.00,0.0031
3990.00,0.0031
3989.00,0.0031
3988.00,0.0031
3987.00,0.0031
3986.00,0.0031
3985.00,0.0031
3984.00,0.0031
3983.00,0.0031
3982.00,0.0031
3981.00,0.0031
3980.00,0.0031
3979.00,0.0031
3978.00,0.0031
3977.00,0.0031
3976.00,0.0031
3975.00,0.0031
3974.00,0.0031
3973.00,0.0031
3972.00,0.0031
3971.00,0.0031
3970.00,0.0031
3969.00,0.0031
3968.00,0.0031
3967.00,0.0031
3966.00,0.0031
3965.00,0.0031
3964.00,0.0031
3963.00,0.0031
3962.00,0.0031
3961.00,0.0030
3960.00,0.0030
3959.00,0.0031
3958.00,0.0031
3957.00,0.0031
3956.00,0.0031
3955.00,0.0031
3954.00,0.0031
3953.00,0.0031
3952.00,0.0031
3951.00,0.0031
3950.00,0.0031
3949.00,0.0031
3948.00,0.0031
3947.00,0.0031
3946.00,0.0031
3945.00,0.0031
3944.00,0.0031
3943.00,0.0031
3942.00,0.0031
3941.00,0.0031
3940.00,0.0031
3939.00,0.0031
3938.00,0.0031
3937.00,0.0031
3936.00,0.0031
3935.00,0.0032
3934.00,0.0031
3933.00,0.0031
3932.00,0.0031
3931.00,0.0031
3930.00,0.0031
3929.00,0.0032
3928.00,0.0032
3927.00,0.0031
3926.00,0.0031
3925.00,0.0031
3924.00,0.0031
3923.00,0.0031
3922.00,0.0032
3921.00,0.0032
3920.00,0.0032
3919.00,0.0032
3918.00,0.0032
3917.00,0.0032
3916.00,0.0031
3915.00,0.0031
3914.00,0.0031
3913.00,0.0031
3912.00,0.0031
3911.00,0.0031
3910.00,0.0031
3909.00,0.0031
3908.00,0.0032
3907.00,0.0032
3906.00,0.0032
3905.00,0.0033
3904.00,0.0033
3903.00,0.0033
3902.00,0.0033
3901.00,0.0032
3900.00,0.0032
3899.00,0.0031
3898.00,0.0031
3897.00,0.0031
3896.00,0.0031
3895.00,0.0031
3894.00,0.0032
3893.00,0.0032
3892.00,0.0032
3891.00,0.0032
3890.00,0.0032
3889.00,0.0033
3888.00,0.0032
3887.00,0.0032
3886.00,0.0031
3885.00,0.0031
3884.00,0.0032
3883.00,0.0032
3882.00,0.0032
3881.00,0.0032
3880.00,0.0032
3879.00,0.0032
3878.00,0.0032
3877.00,0.0032
3876.00,0.0031
3875.00,0.0031
3874.00,0.0032
3873.00,0.0032
3872.00,0.0033
3871.00,0.0033
3870.00,0.0033
3869.00,0.0033
3868.00,0.0033
3867.00,0.0033
3866.00,0.0032
3865.00,0.0032
3864.00,0.0032
3863.00,0.0032
3862.00,0.0032
3861.00,0.0032
3860.00,0.0032
3859.00,0.0032
3858.00,0.0033
3857.00,0.0033
3856.00,0.0034
3855.00,0.0034
3854.00,0.0033
3853.00,0.0033
3852.00,0.0034
3851.00,0.0034
3850.00,0.0033
3849.00,0.0032
3848.00,0.0032
3847.00,0.0032
3846.00,0.0032
3845.00,0.0032
3844.00,0.0032
3843.00,0.0032
3842.00,0.0033
3841.00,0.0033
3840.00,0.0033
3839.00,0.0033
3838.00,0.0033
3837.00,0.0033
3836.00,0.0033
3835.00,0.0033
3834.00,0.0033
3833.00,0.0032
3832.00,0.0032
3831.00,0.0032
3830.00,0.0032
3829.00,0.0032
3828.00,0.0032
3827.00,0.0032
3826.00,0.0033
3825.00,0.0033
3824.00,0.0034
3823.00,0.0033
3822.00,0.0033
3821.00,0.0033
3820.00,0.0034
3819.00,0.0034
3818.00,0.0034
3817.00,0.0033
3816.00,0.0033
3815.00,0.0033
3814.00,0.0033
3813.00,0.0032
3812.00,0.0032
3811.00,0.0032
3810.00,0.0032
3809.00,0.0032
3808.00,0.0032
3807.00,0.0032
3806.00,0.0032
3805.00,0.0033
3804.00,0.0033
3803.00,0.0033
3802.00,0.0032
3801.00,0.0032
3800.00,0.0033
3799.00,0.0033
3798.00,0.0032
3797.00,0.0032
3796.00,0.0031
3795.00,0.0032
3794.00,0.0031
3793.00,0.0031
3792.00,0.0031
3791.00,0.0031
3790.00,0.0031
3789.00,0.0031
3788.00,0.0032
3787.00,0.0032
3786.00,0.0031
3785.00,0.0031
3784.00,0.0032
3783.00,0.0032
3782.00,0.0032
3781.00,0.0032
3780.00,0.0032
3779.00,0.0032
3778.00,0.0032
3777.00,0.0032
3776.00,0.0032
3775.00,0.0032
3774.00,0.0032
3773.00,0.0032
3772.00,0.0032
3771.00,0.0031
3770.00,0.0031
3769.00,0.0031
3768.00,0.0031
3767.00,0.0032
3766.00,0.0031
3765.00,0.0031
3764.00,0.0032
3763.00,0.0032
3762.00,0.0032
3761.00,0.0032
3760.00,0.0032
3759.00,0.0032
3758.00,0.0032
3757.00,0.0033
3756.00,0.0033
3755.00,0.0034
3754.00,0.0034
3753.00,0.0035
3752.00,0.0035
3751.00,0.0035
3750.00,0.0035
3749.00,0.0035
3748.00,0.0035
3747.00,0.0034
3746.00,0.0033
3745.00,0.0032
3744.00,0.0032
3743.00,0.0033
3742.00,0.0033
3741.00,0.0033
3740.00,0.0032
3739.00,0.0033
3738.00,0.0033
3737.00,0.0033
3736.00,0.0033
3735.00,0.0033
3734.00,0.0032
3733.00,0.0032
3732.00,0.0032
3731.00,0.0031
3730.00,0.0031
3729.00,0.0031
3728.00,0.0031
3727.00,0.0031
3726.00,0.0031
3725.00,0.0031
3724.00,0.0031
3723.00,0.0031
3722.00,0.0030
3721.00,0.0030
3720.00,0.0030
3719.00,0.0030
3718.00,0.0031
3717.00,0.0031
3716.00,0.0031
3715.00,0.0032
3714.00,0.0032
3713.00,0.0032
3712.00,0.0032
3711.00,0.0032
3710.00,0.0032
3709.00,0.0032
3708.00,0.0032
3707.00,0.0031
3706.00,0.0031
3705.00,0.0030
3704.00,0.0030
3703.00,0.0030
3702.00,0.0030
3701.00,0.0030
3700.00,0.0030
3699.00,0.0030
3698.00,0.0030
3697.00,0.0030
3696.00,0.0030
3695.00,0.0030
3694.00,0.0030
3693.00,0.0031
3692.00,0.0031
3691.00,0.0031
3690.00,0.0031
3689.00,0.0031
3688.00,0.0031
3687.00,0.0031
3686.00,0.0031
3685.00,0.0030
3684.00,0.0030
3683.00,0.0030
3682.00,0.0030
3681.00,0.0030
3680.00,0.0031
3679.00,0.0032
3678.00,0.0032
3677.00,0.0032
3676.00,0.0032
3675.00,0.0032
3674.00,0.0033
3673.00,0.0033
3672.00,0.0033
3671.00,0.0032
3670.00,0.0032
3669.00,0.0032
3668.00,0.0032
3667.00,0.0031
3666.00,0.0031
3665.00,0.0030
3664.00,0.0030
3663.00,0.0031
3662.00,0.0031
3661.00,0.0031
3660.00,0.0032
3659.00,0.0032
3658.00,0.0033
3657.00,0.0032
3656.00,0.0032
3655.00,0.0033
3654.00,0.0033
3653.00,0.0034
3652.00,0.0034
3651.00,0.0035
3650.00,0.0035
3649.00,0.0034
3648.00,0.0034
3647.00,0.0034
3646.00,0.0034
3645.00,0.0033
3644.00,0.0033
3643.00,0.0033
3642.00,0.0033
3641.00,0.0033
3640.00,0.0033
3639.00,0.0034
3638.00,0.0034
3637.00,0.0034
3636.00,0.0034
3635.00,0.0034
3634.00,0.0035
3633.00,0.0036
3632.00,0.0036
3631.00,0.0036
3630.00,0.0036
3629.00,0.0035
3628.00,0.0035
3627.00,0.0036
3626.00,0.0036
3625.00,0.0035
3624.00,0.0035
3623.00,0.0036
3622.00,0.0036
3621.00,0.0037
3620.00,0.0037
3619.00,0.0037
3618.00,0.0037
3617.00,0.0037
3616.00,0.0037
3615.00,0.0036
3614.00,0.0037
3613.00,0.0037
3612.00,0.0037
3611.00,0.0038
3610.00,0.0038
3609.00,0.0038
3608.00,0.0038
3607.00,0.0038
3606.00,0.0038
3605.00,0.0038
3604.00,0.0038
3603.00,0.0039
3602.00,0.0039
3601.00,0.0039
3600.00,0.0040
3599.00,0.0040
3598.00,0.0040
3597.00,0.0040
3596.00,0.0039
3595.00,0.0039
3594.00,0.0039
3593.00,0.0040
3592.00,0.0040
3591.00,0.0041
3590.00,0.0041
3589.00,0.0041
3588.00,0.0041
3587.00,0.0041
3586.00,0.0041
3585.00,0.0041
3584.00,0.0041
3583.00,0.0041
3582.00,0.0041
3581.00,0.0041
3580.00,0.0042
3579.00,0.0042
3578.00,0.0042
3577.00,0.0043
3576.00,0.0043
3575.00,0.0043
3574.00,0.0044
3573.00,0.0044
3572.00,0.0045
3571.00,0.0045
3570.00,0.0046
3569.00,0.0046
3568.00,0.0046
3567.00,0.0046
3566.00,0.0046
3565.00,0.0045
3564.00,0.0045
3563.00,0.0045
3562.00,0.0046
3561.00,0.0046
3560.00,0.0046
3559.00,0.0046
3558.00,0.0046
3557.00,0.0047
3556.00,0.0047
3555.00,0.0048
3554.00,0.0048
3553.00,0.0048
3552.00,0.0048
3551.00,0.0048
3550.00,0.0049
3549.00,0.0049
3548.00,0.0050
3547.00,0.0050
3546.00,0.0050
3545.00,0.0050
3544.00,0.0050
3543.00,0.0050
3542.00,0.0050
3541.00,0.0051
3540.00,0.0051
3539.00,0.0052
3538.00,0.0052
3537.00,0.0052
3536.00,0.0052
3535.00,0.0052
3534.00,0.0053
3533.00,0.0053
3532.00,0.0053
3531.00,0.0054
3530.00,0.0054
3529.00,0.0054
3528.00,0.0054
3527.00,0.0054
3526.00,0.0055
3525.00,0.0055
3524.00,0.0055
3523.00,0.0055
3522.00,0.0055
3521.00,0.0055
3520.00,0.0055
3519.00,0.0055
3518.00,0.0056
3517.00,0.0056
3516.00,0.0056
3515.00,0.0056
3514.00,0.0057
3513.00,0.0057
3512.00,0.0057
3511.00,0.0057
3510.00,0.0057
3509.00,0.0058
3508.00,0.0058
3507.00,0.0058
3506.00,0.0058
3505.00,0.0058
3504.00,0.0059
3503.00,0.0058
3502.00,0.0058
3501.00,0.0058
3500.00,0.0058
3499.00,0.0059
3498.00,0.0059
3497.00,0.0059
3496.00,0.0059
3495.00,0.0060
3494.00,0.0060
3493.00,0.0060
3492.00,0.0060
3491.00,0.0060
3490.00,0.0060
3489.00,0.0060
3488.00,0.0060
3487.00,0.0061
3486.00,0.0061
3485.00,0.0061
3484.00,0.0061
3483.00,0.0061
3482.00,0.0061
3481.00,0.0061
3480.00,0.0061
3479.00,0.0061
3478.00,0.0062
3477.00,0.0062
3476.00,0.0062
3475.00,0.0062
3474.00,0.0062
3473.00,0.0062
3472.00,0.0062
3471.00,0.0062
3470.00,0.0062
3469.00,0.0063
3468.00,0.0063
3467.00,0.0063
3466.00,0.0063
3465.00,0.0063
3464.00,0.0063
3463.00,0.0063
3462.00,0.0063
3461.00,0.0063
3460.00,0.0063
3459.00,0.0063
3458.00,0.0063
