Created as New Dataset,Sample 016 By YargerLab Date Thursday, August 07 2025
cm-1,A
4000.00,0.0105
3999.00,0.0105
3998.00,0.0105
3997.00,0.0105
3996.00,0.0105
3995.00,0.0105
3994.00,0.0105
3993.00,0.0105
3992.00,0.0105
3991.00,0.0105
3990.00,0.0105
3989.00,0.0105
3988.00,0.0105
3987.00,0.0105
3986.00,0.0105
3985.00,0.0105
3984.00,0.0105
3983.00,0.0105
3982.00,0.0105
3981.00,0.0105
3980.00,0.0105
3979.00,0.0105
3978.00,0.0105
3977.00,0.0105
3976.00,0.0105
3975.00,0.0105
3974.00,0.0105
3973.00,0.0105
3972.00,0.0105
3971.00,0.0105
3970.00,0.0105
3969.00,0.0105
3968.00,0.0105
3967.00,0.0106
3966.00,0.0106
3965.00,0.0106
3964.00,0.0106
3963.00,0.0105
3962.00,0.0105
3961.00,0.0105
3960.00,0.0105
3959.00,0.0105
3958.00,0.0105
3957.00,0.0105
3956.00,0.0105
3955.00,0.0105
3954.00,0.0105
3953.00,0.0105
3952.00,0.0104
3951.00,0.0104
3950.00,0.0105
3949.00,0.0105
3948.00,0.0105
3947.00,0.0105
3946.00,0.0105
3945.00,0.0105
3944.00,0.0105
3943.00,0.0105
3942.00,0.0105
3941.00,0.0105
3940.00,0.0105
3939.00,0.0105
3938.00,0.0105
3937.00,0.0105
3936.00,0.0105
3935.00,0.0105
3934.00,0.0105
3933.00,0.0105
3932.00,0.0105
3931.00,0.0105
3930.00,0.0105
3929.00,0.0105
3928.00,0.0105
3927.00,0.0105
3926.00,0.0105
3925.00,0.0105
3924.00,0.0105
3923.00,0.0105
3922.00,0.0104
3921.00,0.0104
3920.00,0.0104
3919.00,0.0104
3918.00,0.0104
3917.00,0.0105
3916.00,0.0105
3915.00,0.0105
3914.00,0.0105
3913.00,0.0105
3912.00,0.0105
3911.00,0.0105
3910.00,0.0105
3909.00,0.0105
3908.00,0.0105
3907.00,0.0105
3906.00,0.0105
3905.00,0.0104
3904.00,0.0104
3903.00,0.0104
3902.00,0.0104
3901.00,0.0105
3900.00,0.0105
3899.00,0.0105
3898.00,0.0105
3897.00,0.0105
3896.00,0.0105
3895.00,0.0105
3894.00,0.0105
3893.00,0.0105
3892.00,0.0104
3891.00,0.0104
3890.00,0.0104
3889.00,0.0104
3888.00,0.0105
3887.00,0.0105
3886.00,0.0105
3885.00,0.0105
3884.00,0.0104
3883.00,0.0104
3882.00,0.0104
3881.00,0.0104
3880.00,0.0104
3879.00,0.0104
3878.00,0.0104
3877.00,0.0104
3876.00,0.0104
3875.00,0.0104
3874.00,0.0104
3873.00,0.0104
3872.00,0.0104
3871.00,0.0104
3870.00,0.0105
3869.00,0.0105
3868.00,0.0105
3867.00,0.0104
3866.00,0.0104
3865.00,0.0104
3864.00,0.0104
3863.00,0.0104
3862.00,0.0104
3861.00,0.0104
3860.00,0.0104
3859.00,0.0104
3858.00,0.0104
3857.00,0.0104
3856.00,0.0104
3855.00,0.0104
3854.00,0.0104
3853.00,0.0104
3852.00,0.0104
3851.00,0.0104
3850.00,0.0104
3849.00,0.0104
3848.00,0.0104
3847.00,0.0104
3846.00,0.0104
3845.00,0.0104
3844.00,0.0104
3843.00,0.0104
3842.00,0.0104
3841.00,0.0104
3840.00,0.0104
3839.00,0.0104
3838.00,0.0104
