Created as New Dataset,Sample 309 By YargerLab Date Sunday, August 18 2024
cm-1,A
4000.00,0.0094
3999.00,0.0094
3998.00,0.0094
3997.00,0.0094
3996.00,0.0094
3995.00,0.0094
3994.00,0.0093
3993.00,0.0093
3992.00,0.0093
3991.00,0.0093
3990.00,0.0094
3989.00,0.0094
3988.00,0.0094
3987.00,0.0094
3986.00,0.0094
3985.00,0.0094
3984.00,0.0094
3983.00,0.0093
3982.00,0.0093
3981.00,0.0094
3980.00,0.0094
3979.00,0.0094
3978.00,0.0094
3977.00,0.0094
3976.00,0.0094
3975.00,0.0094
3974.00,0.0093
3973.00,0.0093
3972.00,0.0093
3971.00,0.0093
3970.00,0.0094
3969.00,0.0094
3968.00,0.0093
3967.00,0.0093
3966.00,0.0093
3965.00,0.0093
3964.00,0.0093
3963.00,0.0093
3962.00,0.0093
3961.00,0.0093
3960.00,0.0093
3959.00,0.0093
3958.00,0.0093
3957.00,0.0093
3956.00,0.0093
3955.00,0.0093
3954.00,0.0093
3953.00,0.0093
3952.00,0.0093
3951.00,0.0093
3950.00,0.0093
3949.00,0.0093
3948.00,0.0093
3947.00,0.0093
3946.00,0.0093
3945.00,0.0093
3944.00,0.0093
3943.00,0.0093
3942.00,0.0093
3941.00,0.0093
3940.00,0.0093
3939.00,0.0093
3938.00,0.0093
3937.00,0.0093
3936.00,0.0093
3935.00,0.0093
3934.00,0.0093
3933.00,0.0093
3932.00,0.0093
3931.00,0.0093
3930.00,0.0093
3929.00,0.0092
3928.00,0.0092
3927.00,0.0092
3926.00,0.0092
3925.00,0.0093
3924.00,0.0093
3923.00,0.0093
3922.00,0.0093
3921.00,0.0093
3920.00,0.0093
3919.00,0.0093
3918.00,0.0093
3917.00,0.0093
3916.00,0.0093
3915.00,0.0092
3914.00,0.0092
3913.00,0.0092
3912.00,0.0092
3911.00,0.0092
3910.00,0.0092
3909.00,0.0092
3908.00,0.0092
3907.00,0.0092
3906.00,0.0092
3905.00,0.0092
3904.00,0.0092
3903.00,0.0092
3902.00,0.0092
3901.00,0.0092
3900.00,0.0092
3899.00,0.0092
3898.00,0.0092
3897.00,0.0092
3896.00,0.0092
3895.00,0.0092
3894.00,0.0092
3893.00,0.0092
3892.00,0.0092
3891.00,0.0092
3890.00,0.0092
3889.00,0.0092
3888.00,0.0092
3887.00,0.0092
3886.00,0.0092
3885.00,0.0092
3884.00,0.0092
3883.00,0.0091
3882.00,0.0091
3881.00,0.0091
3880.00,0.0091
3879.00,0.0091
3878.00,0.0091
3877.00,0.0091
3876.00,0.0091
3875.00,0.0091
3874.00,0.0091
3873.00,0.0091
3872.00,0.0091
3871.00,0.0091
3870.00,0.0091
3869.00,0.0091
3868.00,0.0091
3867.00,0.0091
3866.00,0.0091
3865.00,0.0091
3864.00,0.0091
3863.00,0.0091
3862.00,0.0091
3861.00,0.0091
3860.00,0.0091
3859.00,0.0091
3858.00,0.0091
3857.00,0.0091
3856.00,0.0091
3855.00,0.0091
3854.00,0.0091
3853.00,0.0090
3852.00,0.0090
3851.00,0.0090
3850.00,0.0090
3849.00,0.0090
3848.00,0.0090
3847.00,0.0090
3846.00,0.0090
3845.00,0.0090
3844.00,0.0090
3843.00,0.0090
3842.00,0.0090
3841.00,0.0090
3840.00,0.0090
3839.00,0.0090
3838.00,0.0090
3837.00,0.0090
3836.00,0.0090
3835.00,0.0090
3834.00,0.0090
3833.00,0.0090
3832.00,0.0090
3831.00,0.0090
3830.00,0.0090
3829.00,0.0090
3828.00,0.0089
3827.00,0.0089
3826.00,0.0089
3825.00,0.0090
3824.00,0.0090
3823.00,0.0090
3822.00,0.0089
3821.00,0.0089
3820.00,0.0089
3819.00,0.0089
3818.00,0.0089
3817.00,0.0089
3816.00,0.0089
3815.00,0.0089
3814.00,0.0089
3813.00,0.0089
3812.00,0.0089
3811.00,0.0089
3810.00,0.0089
3809.00,0.0089
3808.00,0.0089
3807.00,0.0089
3806.00,0.0089
3805.00,0.0089
3804.00,0.0089
3803.00,0.0088
3802.00,0.0088
3801.00,0.0088
3800.00,0.0088
3799.00,0.0088
3798.00,0.0088
3797.00,0.0088
3796.00,0.0088
3795.00,0.0089
3794.00,0.0089
3793.00,0.0089
3792.00,0.0089
3791.00,0.0089
3790.00,0.0089
3789.00,0.0088
3788.00,0.0088
3787.00,0.0088
3786.00,0.0088
3785.00,0.0088
3784.00,0.0088
3783.00,0.0088
3782.00,0.0088
3781.00,0.0088
3780.00,0.0088
3779.00,0.0088
3778.00,0.0088
3777.00,0.0088
3776.00,0.0088
3775.00,0.0088
3774.00,0.0088
3773.00,0.0088
3772.00,0.0088
3771.00,0.0088
3770.00,0.0088
3769.00,0.0088
3768.00,0.0088
3767.00,0.0087
3766.00,0.0087
3765.00,0.0087
3764.00,0.0087
3763.00,0.0087
3762.00,0.0087
3761.00,0.0087
3760.00,0.0087
3759.00,0.0087
3758.00,0.0087
3757.00,0.0087
3756.00,0.0087
3755.00,0.0087
3754.00,0.0087
3753.00,0.0087
3752.00,0.0087
3751.00,0.0088
3750.00,0.0088
3749.00,0.0088
3748.00,0.0088
3747.00,0.0087
3746.00,0.0087
3745.00,0.0087
3744.00,0.0087
3743.00,0.0087
3742.00,0.0086
3741.00,0.0086
3740.00,0.0086
3739.00,0.0086
3738.00,0.0086
3737.00,0.0086
3736.00,0.0086
3735.00,0.0086
3734.00,0.0085
3733.00,0.0085
3732.00,0.0085
3731.00,0.0085
3730.00,0.0085
3729.00,0.0085
3728.00,0.0085
3727.00,0.0086
3726.00,0.0086
3725.00,0.0086
3724.00,0.0086
3723.00,0.0085
