Created as New Dataset,Sample 335 By YargerLab Date Monday, August 19 2024
cm-1,A
4000.00,0.0096
3999.00,0.0096
3998.00,0.0096
3997.00,0.0096
3996.00,0.0097
3995.00,0.0097
3994.00,0.0097
3993.00,0.0097
3992.00,0.0097
3991.00,0.0096
3990.00,0.0096
3989.00,0.0096
3988.00,0.0096
3987.00,0.0096
3986.00,0.0097
3985.00,0.0097
3984.00,0.0097
3983.00,0.0097
3982.00,0.0097
3981.00,0.0097
3980.00,0.0097
3979.00,0.0097
3978.00,0.0097
3977.00,0.0097
3976.00,0.0097
3975.00,0.0097
3974.00,0.0097
3973.00,0.0097
3972.00,0.0097
3971.00,0.0096
3970.00,0.0096
3969.00,0.0096
3968.00,0.0096
3967.00,0.0097
3966.00,0.0097
3965.00,0.0097
3964.00,0.0097
3963.00,0.0097
3962.00,0.0097
3961.00,0.0097
3960.00,0.0096
3959.00,0.0096
3958.00,0.0096
3957.00,0.0097
3956.00,0.0097
3955.00,0.0097
3954.00,0.0097
3953.00,0.0097
3952.00,0.0097
3951.00,0.0097
3950.00,0.0097
3949.00,0.0097
3948.00,0.0097
3947.00,0.0097
3946.00,0.0097
3945.00,0.0097
3944.00,0.0097
3943.00,0.0097
3942.00,0.0096
3941.00,0.0096
3940.00,0.0096
3939.00,0.0096
3938.00,0.0096
3937.00,0.0096
3936.00,0.0096
3935.00,0.0096
3934.00,0.0097
3933.00,0.0097
3932.00,0.0097
3931.00,0.0097
3930.00,0.0096
3929.00,0.0096
3928.00,0.0096
3927.00,0.0096
3926.00,0.0096
3925.00,0.0096
3924.00,0.0096
3923.00,0.0096
3922.00,0.0097
3921.00,0.0097
3920.00,0.0097
3919.00,0.0097
3918.00,0.0097
3917.00,0.0096
3916.00,0.0096
3915.00,0.0096
3914.00,0.0096
3913.00,0.0096
3912.00,0.0096
3911.00,0.0096
3910.00,0.0096
3909.00,0.0096
3908.00,0.0096
3907.00,0.0096
3906.00,0.0096
3905.00,0.0096
3904.00,0.0096
3903.00,0.0097
3902.00,0.0097
3901.00,0.0097
3900.00,0.0096
3899.00,0.0096
3898.00,0.0096
3897.00,0.0096
3896.00,0.0096
3895.00,0.0096
3894.00,0.0096
3893.00,0.0096
3892.00,0.0096
3891.00,0.0095
3890.00,0.0095
3889.00,0.0095
3888.00,0.0096
3887.00,0.0096
3886.00,0.0096
3885.00,0.0096
3884.00,0.0096
3883.00,0.0096
3882.00,0.0096
3881.00,0.0095
3880.00,0.0096
3879.00,0.0096
3878.00,0.0096
3877.00,0.0095
3876.00,0.0095
3875.00,0.0095
3874.00,0.0095
3873.00,0.0095
3872.00,0.0095
3871.00,0.0095
3870.00,0.0096
3869.00,0.0096
3868.00,0.0095
3867.00,0.0095
3866.00,0.0095
3865.00,0.0095
3864.00,0.0095
3863.00,0.0095
3862.00,0.0095
3861.00,0.0095
3860.00,0.0095
3859.00,0.0095
3858.00,0.0095
3857.00,0.0095
3856.00,0.0095
3855.00,0.0095
3854.00,0.0095
3853.00,0.0095
3852.00,0.0095
3851.00,0.0095
3850.00,0.0095
3849.00,0.0095
3848.00,0.0095
3847.00,0.0095
3846.00,0.0095
3845.00,0.0095
3844.00,0.0095
3843.00,0.0095
3842.00,0.0095
3841.00,0.0095
3840.00,0.0095
3839.00,0.0095
3838.00,0.0095
3837.00,0.0095
3836.00,0.0094
3835.00,0.0094
3834.00,0.0094
3833.00,0.0094
3832.00,0.0094
3831.00,0.0094
3830.00,0.0094
3829.00,0.0094
3828.00,0.0094
3827.00,0.0095
3826.00,0.0095
3825.00,0.0094
3824.00,0.0094
3823.00,0.0095
3822.00,0.0095
3821.00,0.0094
3820.00,0.0094
3819.00,0.0094
3818.00,0.0094
3817.00,0.0094
3816.00,0.0094
3815.00,0.0094
3814.00,0.0094
3813.00,0.0094
3812.00,0.0094
3811.00,0.0094
3810.00,0.0093
3809.00,0.0093
3808.00,0.0094
3807.00,0.0094
3806.00,0.0094
3805.00,0.0094
3804.00,0.0094
3803.00,0.0094
3802.00,0.0094
3801.00,0.0094
3800.00,0.0094
3799.00,0.0094
3798.00,0.0093
3797.00,0.0093
3796.00,0.0093
3795.00,0.0093
3794.00,0.0093
3793.00,0.0093
3792.00,0.0093
3791.00,0.0093
3790.00,0.0093
3789.00,0.0093
3788.00,0.0093
3787.00,0.0093
3786.00,0.0093
3785.00,0.0093
3784.00,0.0093
3783.00,0.0093
3782.00,0.0093
3781.00,0.0093
3780.00,0.0093
3779.00,0.0093
3778.00,0.0093
3777.00,0.0093
3776.00,0.0093
3775.00,0.0093
3774.00,0.0093
3773.00,0.0093
3772.00,0.0093
3771.00,0.0093
3770.00,0.0093
3769.00,0.0093
3768.00,0.0093
3767.00,0.0093
3766.00,0.0093
3765.00,0.0093
3764.00,0.0093
3763.00,0.0093
3762.00,0.0093
3761.00,0.0093
3760.00,0.0093
3759.00,0.0093
3758.00,0.0093
3757.00,0.0093
3756.00,0.0093
3755.00,0.0093
3754.00,0.0093
3753.00,0.0093
3752.00,0.0093
3751.00,0.0093
3750.00,0.0093
3749.00,0.0093
3748.00,0.0093
3747.00,0.0093
3746.00,0.0093
3745.00,0.0093
3744.00,0.0093
3743.00,0.0093
3742.00,0.0092
3741.00,0.0092
3740.00,0.0093
3739.00,0.0093
3738.00,0.0093
3737.00,0.0093
3736.00,0.0092
3735.00,0.0092
3734.00,0.0092
3733.00,0.0092
3732.00,0.0091
3731.00,0.0091
3730.00,0.0091
3729.00,0.0091
3728.00,0.0091
3727.00,0.0091
3726.00,0.0091
3725.00,0.0091
3724.00,0.0091
3723.00,0.0091
3722.00,0.0091
3721.00,0.0091
3720.00,0.0091
3719.00,0.0091
3718.00,0.0090
3717.00,0.0090
3716.00,0.0090
3715.00,0.0090
3714.00,0.0090
3713.00,0.0090
3712.00,0.0090
3711.00,0.0090
3710.00,0.0090
3709.00,0.0090
3708.00,0.0090
3707.00,0.0090
3706.00,0.0090
3705.00,0.0090
3704.00,0.0090
3703.00,0.0090
3702.00,0.0089
3701.00,0.0089
3700.00,0.0089
3699.00,0.0089
3698.00,0.0090
3697.00,0.0090
3696.00,0.0090
3695.00,0.0090
3694.00,0.0090
3693.00,0.0090
3692.00,0.0090
3691.00,0.0090
3690.00,0.0090
3689.00,0.0090
3688.00,0.0090
3687.00,0.0090
3686.00,0.0090
3685.00,0.0090
3684.00,0.0090
3683.00,0.0090
3682.00,0.0090
3681.00,0.0091
3680.00,0.0091
3679.00,0.0091
3678.00,0.0091
3677.00,0.0092
3676.00,0.0092
3675.00,0.0092
3674.00,0.0092
3673.00,0.0092
3672.00,0.0092
3671.00,0.0092
3670.00,0.0092
3669.00,0.0092
3668.00,0.0092
3667.00,0.0092
3666.00,0.0093
3665.00,0.0093
3664.00,0.0093
3663.00,0.0094
3662.00,0.0094
3661.00,0.0094
3660.00,0.0095
3659.00,0.0095
3658.00,0.0095
3657.00,0.0096
3656.00,0.0096
3655.00,0.0096
3654.00,0.0097
3653.00,0.0097
3652.00,0.0097
3651.00,0.0098
3650.00,0.0099
3649.00,0.0099
3648.00,0.0100
3647.00,0.0100
3646.00,0.0100
3645.00,0.0100
3644.00,0.0100
3643.00,0.0100
3642.00,0.0101
3641.00,0.0101
3640.00,0.0101
3639.00,0.0102
3638.00,0.0102
3637.00,0.0103
3636.00,0.0103
3635.00,0.0104
3634.00,0.0104
3633.00,0.0105
3632.00,0.0105
3631.00,0.0106
3630.00,0.0106
3629.00,0.0107
3628.00,0.0107
3627.00,0.0108
3626.00,0.0108
3625.00,0.0109
3624.00,0.0109
3623.00,0.0110
3622.00,0.0110
3621.00,0.0111
3620.00,0.0111
3619.00,0.0112
3618.00,0.0112
3617.00,0.0113
3616.00,0.0114
3615.00,0.0114
3614.00,0.0115
3613.00,0.0115
3612.00,0.0116
3611.00,0.0117
3610.00,0.0117
3609.00,0.0118
3608.00,0.0118
3607.00,0.0118
3606.00,0.0119
3605.00,0.0119
3604.00,0.0120
3603.00,0.0121
3602.00,0.0121
3601.00,0.0122
3600.00,0.0122
3599.00,0.0123
3598.00,0.0123
3597.00,0.0124
3596.00,0.0124
3595.00,0.0125
3594.00,0.0126
3593.00,0.0126
3592.00,0.0127
3591.00,0.0127
3590.00,0.0128
3589.00,0.0129
3588.00,0.0129
3587.00,0.0130
3586.00,0.0131
3585.00,0.0131
3584.00,0.0132
3583.00,0.0133
3582.00,0.0133
3581.00,0.0134
3580.00,0.0134
3579.00,0.0135
3578.00,0.0135
3577.00,0.0136
3576.00,0.0137
3575.00,0.0137
3574.00,0.0138
3573.00,0.0139
3572.00,0.0139
3571.00,0.0140
3570.00,0.0140
3569.00,0.0141
3568.00,0.0142
3567.00,0.0143
3566.00,0.0144
3565.00,0.0145
3564.00,0.0146
3563.00,0.0146
3562.00,0.0147
3561.00,0.0147
3560.00,0.0148
3559.00,0.0149
3558.00,0.0149
3557.00,0.0150
3556.00,0.0150
3555.00,0.0151
3554.00,0.0152
3553.00,0.0152
3552.00,0.0153
3551.00,0.0154
3550.00,0.0155
3549.00,0.0156
3548.00,0.0157
3547.00,0.0157
3546.00,0.0158
3545.00,0.0159
3544.00,0.0160
3543.00,0.0160
3542.00,0.0161
3541.00,0.0161
3540.00,0.0162
3539.00,0.0162
3538.00,0.0163
3537.00,0.0164
3536.00,0.0164
3535.00,0.0165
3534.00,0.0166
3533.00,0.0167
3532.00,0.0167
3531.00,0.0168
