x	y
-6.9053729951302	-25657344
-6.905009794046887	-4210688
-6.904646592963569	14413824
-6.904283391880252	21381120
-6.903920190796935	13697024
-6.903556989713621	-4857856
-6.903193788630304	-25960448
-6.902830587546987	-41299968
-6.90246738646367	-47235072
-6.902104185380356	-46374912
-6.901740984297039	-44654592
-6.9013777832137215	-46014464
-6.901014582130408	-48799744
-6.900651381047091	-46944256
-6.900288179963773	-35000320
-6.899924978880456	-13197312
-6.8995617777971425	11366400
-6.899198576713825	28368896
-6.898835375630508	30367744
-6.898472174547191	17584128
-6.898108973463877	-1880064
-6.89774577238056	-16789504
-6.897382571297243	-20000768
-6.897019370213929	-13328384
-6.896656169130612	-6144000
-6.896292968047295	-8073216
-6.895929766963977	-21110784
-6.895566565880664	-37789696
-6.8952033647973465	-47386624
-6.894840163714029	-45039616
-6.894476962630716	-35590144
-6.894113761547398	-28741632
-6.893750560464081	-30072832
-6.893387359380764	-36696064
-6.89302415829745	-41201664
-6.892660957214133	-39321600
-6.892297756130816	-33230848
-6.891934555047499	-27561984
-6.891571353964185	-23523328
-6.891208152880868	-18292736
-6.8908449517975505	-10231808
-6.890481750714237	-3162112
-6.89011854963092	-3493888
-6.889755348547602	-12591104
-6.889392147464285	-23347200
-6.8890289463809715	-26234880
-6.888665745297654	-19447808
-6.888302544214337	-11640832
-6.88793934313102	-12853248
-6.887576142047706	-22384640
-6.887212940964389	-27217920
-6.886849739881072	-14839808
-6.886486538797758	11771904
-6.886123337714441	33120256
-6.885760136631124	29450240
-6.885396935547806	-303104
-6.885033734464493	-35643392
-6.8846705333811755	-51523584
-6.884307332297858	-39755776
-6.883944131214541	-14934016
-6.883580930131227	-155648
-6.88321772904791	-6918144
-6.882854527964593	-27680768
-6.882491326881279	-45961216
-6.882128125797962	-51757056
-6.881764924714645	-47333376
-6.881401723631328	-40439808
-6.881038522548014	-34799616
-6.880675321464697	-28323840
-6.8803121203813795	-18771968
-6.879948919298062	-8417280
-6.879585718214749	-1990656
-6.879222517131431	-1404928
-6.878859316048114	-4468736
-6.8784961149648005	-9048064
-6.878132913881483	-16506880
-6.877769712798166	-28839936
-6.877406511714849	-42450944
-6.877043310631535	-47312896
-6.876680109548218	-35053568
-6.876316908464901	-8790016
-6.875953707381587	16498688
-6.87559050629827	25477120
-6.875227305214953	15396864
-6.874864104131635	-2174976
-6.874500903048322	-12578816
-6.8741377019650045	-10817536
-6.873774500881687	-3567616
-6.87341129979837	-155648
-6.873048098715056	-3551232
-6.872684897631739	-10641408
-6.872321696548422	-19169280
-6.871958495465108	-30994432
-6.871595294381791	-46903296
-6.871232093298474	-60260352
-6.870868892215157	-59772928
-6.870505691131843	-41271296
-6.870142490048526	-15843328
-6.8697792889652085	-2867200
-6.869416087881891	-12181504
-6.869052886798578	-33021952
-6.86868968571526	-42582016
-6.868326484631943	-27566080
-6.8679632835486295	2367488
-6.867600082465312	22945792
-6.867236881381995	17608704
-6.866873680298678	-8073216
-6.866510479215364	-33308672
-6.866147278132047	-41893888
-6.86578407704873	-34672640
-6.8654208759654125	-23855104
-6.865057674882099	-18243584
-6.864694473798782	-16310272
-6.864331272715464	-12836864
-6.863968071632151	-8491008
-6.8636048705488335	-9261056
-6.863241669465516	-16539648
-6.862878468382199	-21491712
-6.862515267298885	-13234176
-6.862152066215568	6680576
-6.861788865132251	20946944
-6.861425664048934	11415552
-6.86106246296562	-21102592
-6.860699261882303	-53424128
-6.860336060798986	-59138048
-6.859972859715672	-33013760
-6.859609658632355	3198976
-6.8592464575490375	19836928
-6.85888325646572	4964352
-6.858520055382407	-27521024
-6.858156854299089	-53260288
-6.857793653215772	-59289600
-6.8574304521324585	-51245056
-6.857067251049141	-41955328
-6.856704049965824	-36524032
-6.856340848882507	-30212096
-6.855977647799193	-18804736
-6.855614446715876	-7434240
-6.855251245632559	-6549504
-6.8548880445492415	-19542016
-6.854524843465928	-36519936
-6.854161642382611	-41709568
-6.853798441299293	-27267072
-6.85343524021598	262144
-6.8530720391326625	26095616
-6.852708838049345	38502400
-6.852345636966028	34598912
-6.851982435882714	18137088
-6.851619234799397	-4472832
-6.85125603371608	-25092096
-6.850892832632763	-33914880
-6.850529631549449	-23932928
-6.850166430466132	1757184
-6.849803229382815	28340224
-6.849440028299501	38805504
-6.849076827216184	28164096
-6.8487136261328665	8331264
-6.848350425049549	-2859008
-6.847987223966236	1323008
-6.847624022882918	10711040
-6.847260821799601	9875456
-6.846897620716284	-4759552
-6.84653441963297	-20971520
-6.846171218549653	-24453120
-6.845808017466336	-15695872
-6.845444816383022	-11108352
-6.845081615299705	-26279936
-6.844718414216388	-58429440
-6.8443552131330705	-86622208
-6.843992012049757	-90030080
-6.84362881096644	-66027520
-6.843265609883122	-30588928
-6.842902408799805	-2564096
-6.8425392077164915	11223040
-6.842176006633174	15822848
-6.841812805549857	16834560
-6.841449604466543	13033472
-6.841086403383226	1204224
-6.840723202299909	-14536704
-6.840360001216592	-22634496
-6.839996800133278	-15306752
-6.839633599049961	1462272
-6.839270397966644	12218368
-6.83890719688333	7753728
-6.838543995800013	-4521984
-6.8381807947166955	-8028160
-6.837817593633378	4689920
-6.837454392550065	22421504
-6.837091191466747	25833472
-6.83672799038343	7897088
-6.836364789300113	-17428480
-6.836001588216799	-28180480
-6.835638387133482	-16191488
-6.835275186050165	4669440
-6.834911984966851	12263424
-6.834548783883534	-2174976
-6.834185582800217	-26292224
-6.8338223817168995	-39657472
-6.833459180633586	-33308672
-6.833095979550269	-16351232
-6.832732778466951	-4677632
-6.832369577383634	-5292032
-6.8320063763003205	-12025856
-6.831643175217003	-14761984
-6.831279974133686	-10133504
-6.830916773050372	-2453504
-6.830553571967055	3792896
-6.830190370883738	9371648
-6.829827169800421	17301504
-6.829463968717107	26193920
-6.82910076763379	29401088
-6.828737566550473	21852160
-6.828374365467155	6610944
-6.828011164383842	-7102464
-6.8276479633005245	-12996608
-6.827284762217207	-13934592
-6.826921561133894	-18239488
-6.826558360050576	-30232576
-6.826195158967259	-45260800
-6.825831957883942	-54435840
-6.825468756800628	-53239808
-6.825105555717311	-44441600
-6.824742354633994	-33210368
-6.824379153550677	-21237760
-6.824015952467363	-7454720
-6.823652751384046	6373376
-6.8232895503007285	13598720
-6.822926349217415	8847360
-6.822563148134098	-3760128
-6.82219994705078	-10829824
-6.821836745967463	-872448
-6.8214735448841495	23658496
-6.821110343800832	46428160
-6.820747142717515	50876416
-6.820383941634201	34844672
-6.820020740550884	12029952
-6.819657539467567	-884736
-6.81929433838425	1490944
-6.818931137300936	11202560
-6.818567936217619	17326080
-6.818204735134302	16748544
-6.817841534050984	14397440
-6.817478332967671	14426112
-6.8171151318843535	13803520
-6.816751930801036	5980160
-6.816388729717723	-10018816
-6.816025528634405	-26136576
-6.815662327551088	-32190464
-6.815299126467771	-26013696
-6.814935925384457	-15773696
-6.81457272430114	-11870208
-6.814209523217823	-16965632
-6.813846322134506	-24571904
-6.813483121051192	-26857472
-6.813119919967875	-22679552
-6.8127567188845575	-17166336
-6.812393517801244	-14381056
-6.812030316717927	-12177408
-6.811667115634609	-5406720
-6.811303914551292	6246400
-6.8109407134679785	15560704
-6.810577512384661	14196736
-6.810214311301344	2052096
-6.809851110218027	-10600448
-6.809487909134713	-11313152
-6.809124708051396	3596288
-6.808761506968079	25788416
-6.808398305884765	42049536
-6.808035104801448	44752896
-6.807671903718131	35917824
-6.807308702634813	22536192
-6.8069455015515	9256960
-6.8065823004681825	-4059136
-6.806219099384865	-18673664
-6.805855898301548	-32481280
-6.805492697218234	-40263680
-6.805129496134917	-38420480
-6.8047662950516	-29159424
-6.804403093968286	-19525632
-6.804039892884969	-16109568
-6.803676691801652	-20148224
-6.803313490718335	-27250688
-6.802950289635021	-31563776
-6.802587088551704	-30388224
-6.8022238874683865	-25403392
-6.801860686385073	-19820544
-6.801497485301756	-14446592
-6.801134284218438	-6561792
-6.800771083135121	6914048
-6.8004078820518075	24416256
-6.80004468096849	37888000
-6.799681479885173	37117952
-6.799318278801856	18075648
-6.798955077718542	-11751424
-6.798591876635225	-36945920
-6.798228675551908	-45293568
-6.797865474468594	-37593088
-6.797502273385277	-26861568
-6.79713907230196	-26456064
-6.796775871218642	-37249024
-6.796412670135329	-46030848
-6.7960494690520115	-37355520
-6.795686267968694	-8294400
-6.795323066885377	27684864
-6.794959865802063	51556352
-6.794596664718746	53825536
-6.794233463635429	39989248
-6.793870262552115	22401024
-6.793507061468798	8302592
-6.793143860385481	-3424256
-6.792780659302164	-14966784
-6.79241745821885	-22016000
-6.792054257135533	-16343040
-6.7916910560522155	3321856
-6.791327854968898	25055232
-6.790964653885585	31379456
-6.790601452802267	15388672
-6.79023825171895	-10928128
-6.7898750506356365	-26333184
-6.789511849552319	-19873792
-6.789148648469002	-1744896
-6.788785447385685	5906432
-6.788422246302371	-10178560
-6.788059045219054	-41758720
-6.787695844135737	-66445312
-6.7873326430524195	-67538944
-6.786969441969106	-47316992
-6.786606240885789	-22532096
-6.786243039802471	-8458240
-6.785879838719158	-7540736
-6.7855166376358405	-11767808
-6.785153436552523	-13406208
-6.784790235469206	-11857920
-6.784427034385892	-11124736
-6.784063833302575	-13422592
-6.783700632219258	-17092608
-6.783337431135944	-20312064
-6.782974230052627	-24453120
-6.78261102896931	-31916032
-6.782247827885993	-41189376
-6.781884626802679	-45895680
-6.781521425719362	-40345600
-6.7811582246360445	-25870336
-6.780795023552727	-10485760
-6.780431822469414	-1662976
-6.780068621386096	180224
-6.779705420302779	487424
-6.7793422192194654	3387392
-6.778979018136148	7155712
-6.778615817052831	7540736
-6.778252615969514	4694016
-6.7778894148862	4706304
-6.777526213802883	12775424
-6.777163012719566	25636864
-6.7767998116362484	32870400
-6.776436610552935	27394048
-6.776073409469618	14524416
-6.7757102083863	8839168
-6.775347007302987	20455424
-6.7749838062196694	44011520
-6.774620605136352	62214144
-6.774257404053035	61263872
-6.773894202969721	43323392
-6.773531001886404	23789568
-6.773167800803087	16232448
-6.77280459971977	19812352
-6.772441398636456	21135360
-6.772078197553139	7593984
-6.771714996469822	-21278720
-6.771351795386508	-54521856
-6.770988594303191	-79753216
-6.7706253932198734	-91336704
-6.770262192136556	-89759744
-6.7698989910532426	-75968512
-6.769535789969925	-49352704
-6.769172588886608	-12206080
-6.768809387803294	25534464
-6.768446186719977	48984064
-6.76808298563666	48201728
-6.767719784553343	26677248
-6.767356583470029	-147456
-6.766993382386712	-15798272
-6.766630181303395	-13869056
-6.766266980220077	-753664
-6.765903779136764	11038720
-6.7655405780534466	12365824
-6.765177376970129	2510848
-6.764814175886816	-12156928
-6.764450974803498	-23232512
-6.764087773720181	-25464832
-6.763724572636864	-19705856
-6.76336137155355	-12533760
-6.762998170470233	-11993088
-6.762634969386916	-21168128
-6.762271768303599	-34349056
-6.761908567220285	-40415232
-6.761545366136968	-32366592
-6.7611821650536506	-15155200
-6.760818963970337	-3203072
-6.76045576288702	-7888896
-6.760092561803702	-25747456
-6.759729360720385	-39600128
-6.7593661596370715	-33480704
-6.759002958553754	-8175616
-6.758639757470437	17899520
-6.75827655638712	24608768
-6.757913355303806	8437760
-6.757550154220489	-14110720
-6.757186953137172	-21569536
-6.756823752053858	-6496256
-6.756460550970541	19365888
-6.756097349887224	37904384
-6.755734148803906	41615360
-6.755370947720593	38023168
-6.7550077466372755	38498304
-6.754644545553958	44613632
-6.754281344470641	46702592
-6.753918143387327	35667968
-6.75355494230401	14581760
-6.753191741220693	-2834432
-6.752828540137379	-5472256
-6.752465339054062	4153344
-6.752102137970745	12607488
-6.751738936887428	9048064
-6.751375735804114	-4575232
-6.751012534720797	-16695296
-6.7506493336374795	-18415616
-6.750286132554166	-11694080
-6.749922931470849	-5320704
-6.749559730387531	-4239360
-6.749196529304214	-4575232
-6.7488333282209005	311296
-6.748470127137583	9834496
-6.748106926054266	14032896
-6.747743724970949	2699264
-6.747380523887635	-23175168
-6.747017322804318	-49524736
-6.746654121721001	-59539456
-6.746290920637687	-47173632
-6.74592771955437	-21835776
-6.745564518471053	-1048576
-6.745201317387735	2105344
-6.744838116304422	-13340672
-6.7444749152211045	-37269504
-6.744111714137787	-55099392
-6.74374851305447	-55025664
-6.743385311971156	-33345536
-6.743022110887839	2961408
-6.742658909804522	37683200
-6.742295708721208	52850688
-6.741932507637891	40034304
-6.741569306554574	7671808
-6.741206105471257	-23064576
-6.740842904387943	-33193984
-6.740479703304626	-20307968
-6.7401165022213085	315392
-6.739753301137991	9814016
-6.739390100054678	2764800
-6.73902689897136	-8458240
-6.738663697888043	-6434816
-6.7383004968047295	13520896
-6.737937295721412	37404672
-6.737574094638095	44187648
-6.737210893554778	24424448
-6.736847692471464	-11526144
-6.736484491388147	-42393600
-6.73612129030483	-53051392
-6.7357580892215125	-44220416
-6.735394888138199	-27680768
-6.735031687054882	-13819904
-6.734668485971564	-4096000
-6.734305284888251	5959680
-6.7339420838049335	18714624
-6.733578882721616	30253056
-6.733215681638299	33861632
-6.732852480554985	26046464
-6.732489279471668	9166848
-6.732126078388351	-10821632
-6.731762877305037	-27836416
-6.73139967622172	-37228544
-6.731036475138403	-36278272
-6.730673274055086	-25849856
-6.730310072971772	-12173312
-6.729946871888455	-4952064
-6.7295836708051375	-10473472
-6.72922046972182	-24743936
-6.728857268638507	-34582528
-6.728494067555189	-28217344
-6.728130866471872	-6955008
-6.7277676653885585	13684736
-6.727404464305241	16363520
-6.727041263221924	-2404352
-6.726678062138607	-28192768
-6.726314861055293	-40759296
-6.725951659971976	-31875072
-6.725588458888659	-12267520
-6.7252252578053415	-1482752
-6.724862056722028	-10379264
-6.724498855638711	-32518144
-6.724135654555393	-51511296
-6.72377245347208	-55914496
-6.7234092523887625	-47353856
-6.723046051305445	-35721216
-6.722682850222128	-28475392
-6.722319649138814	-25444352
-6.721956448055497	-22876160
-6.72159324697218	-20140032
-6.721230045888863	-20848640
-6.720866844805549	-27680768
-6.720503643722232	-38023168
-6.720140442638915	-46186496
-6.719777241555601	-49553408
-6.719414040472284	-51154944
-6.7190508393889665	-54980608
-6.718687638305649	-59547648
-6.718324437222336	-57790464
-6.717961236139018	-44634112
-6.717598035055701	-24416256
-6.717234833972384	-9355264
-6.71687163288907	-9306112
-6.716508431805753	-22843392
-6.716145230722436	-38531072
-6.715782029639122	-45178880
-6.715418828555805	-40374272
-6.715055627472488	-29192192
-6.7146924263891705	-15695872
-6.714329225305857	2002944
-6.71396602422254	27176960
-6.713602823139222	55832576
-6.713239622055909	75194368
-6.7128764209725915	73351168
-6.712513219889274	51150848
-6.712150018805957	23478272
-6.711786817722643	7073792
-6.711423616639326	5955584
-6.711060415556009	9072640
-6.710697214472692	2928640
-6.710334013389378	-13348864
-6.709970812306061	-25747456
-6.709607611222744	-18632704
-6.70924441013943	9310208
-6.708881209056113	42090496
-6.7085180079727955	59408384
-6.708154806889478	53121024
-6.707791605806165	32088064
-6.707428404722847	12087296
-6.70706520363953	1605632
-6.706702002556213	-2879488
-6.706338801472899	-9297920
-6.705975600389582	-19259392
-6.705612399306265	-25612288
-6.705249198222951	-20246528
-6.704885997139634	-3547136
-6.704522796056317	14274560
-6.7041595949729995	21438464
-6.703796393889686	14602240
-6.703433192806369	1531904
-6.703069991723051	-5644288
-6.702706790639734	-389120
-6.7023435895564205	13561856
-6.701980388473103	26025984
-6.701617187389786	28864512
-6.701253986306472	22052864
-6.700890785223155	12718080
-6.700527584139838	8491008
-6.700164383056521	10952704
-6.699801181973207	14589952
-6.69943798088989	12185600
-6.699074779806573	2002944
-6.698711578723255	-9760768
-6.698348377639942	-13934592
-6.6979851765566245	-6737920
-6.697621975473307	6111232
-6.697258774389994	14036992
-6.696895573306676	11337728
-6.696532372223359	2953216
-6.696169171140042	290816
-6.695805970056728	10338304
-6.695442768973411	28311552
-6.695079567890094	41181184
-6.69471636680678	39268352
-6.694353165723463	25079808
-6.693989964640146	11182080
-6.6936267635568285	9334784
-6.693263562473515	21196800
-6.692900361390198	38658048
-6.69253716030688	51924992
-6.692173959223563	56561664
-6.6918107581402495	53342208
-6.691447557056932	43642880
-6.691084355973615	27426816
-6.690721154890301	6598656
-6.690357953806984	-11575296
-6.689994752723667	-17399808
-6.68963155164035	-7376896
-6.689268350557036	10137600
-6.688905149473719	19628032
-6.688541948390402	10776576
-6.688178747307084	-12746752
-6.687815546223771	-36663296
-6.6874523451404535	-48332800
-6.687089144057136	-46047232
-6.686725942973823	-36904960
-6.686362741890505	-27131904
-6.685999540807188	-16125952
-6.685636339723871	-450560
-6.685273138640557	17723392
-6.68490993755724	28856320
-6.684546736473923	24498176
-6.684183535390606	7536640
-6.683820334307292	-7655424
-6.683457133223975	-7258112
-6.6830939321406575	8691712
-6.682730731057344	25038848
-6.682367529974027	24256512
-6.682004328890709	1789952
-6.681641127807392	-29941760
-6.6812779267240785	-51916800
-6.680914725640761	-53272576
-6.680551524557444	-37691392
-6.680188323474127	-17719296
-6.679825122390813	-3997696
-6.679461921307496	929792
-6.679098720224179	974848
-6.678735519140865	724992
-6.678372318057548	1331200
-6.678009116974231	172032
-6.677645915890913	-6791168
-6.6772827148076	-21598208
-6.6769195137242825	-41091072
