[Measurement conditions]
Sample identification,2022_12_28_CBN
Comment - 1,"New CBN Sample"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,28/Dec/2022 13:33
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,1.995000000,60.000056720
Scan step size,0.0108664
No. of points, 5338
Scan type,CONTINUOUS
Time per step,18.870
[Scan points]
Angle, TimePerStep, Intensity, ESD
2.000433220, 18.870, 170834.0, 413.3207
2.011299660, 18.870, 169484.0, 411.6843
2.022166100, 18.870, 166528.0, 408.0784
2.033032540, 18.870, 163856.0, 404.7913
2.043898980, 18.870, 161161.0, 401.4486
2.054765420, 18.870, 158915.0, 398.6414
2.065631860, 18.870, 156043.0, 395.0228
2.076498300, 18.870, 153165.0, 391.3630
2.087364740, 18.870, 150717.0, 388.2229
2.098231180, 18.870, 147857.0, 384.5218
2.109097620, 18.870, 144469.0, 380.0908
2.119964060, 18.870, 142785.0, 377.8690
2.130830500, 18.870, 140053.0, 374.2366
2.141696940, 18.870, 136209.0, 369.0650
2.152563380, 18.870, 134439.0, 366.6592
2.163429820, 18.870, 131090.0, 362.0635
2.174296260, 18.870, 129030.0, 359.2075
2.185162700, 18.870, 126589.0, 355.7935
2.196029140, 18.870, 122992.0, 350.7022
2.206895580, 18.870, 120183.0, 346.6742
2.217762020, 18.870, 117199.0, 342.3434
2.228628460, 18.870, 114404.0, 338.2366
2.239494900, 18.870, 110955.0, 333.0991
2.250361340, 18.870, 108727.0, 329.7378
2.261227780, 18.870, 105583.0, 324.9354
2.272094220, 18.870, 103392.0, 321.5463
2.282960660, 18.870, 99564.0, 315.5376
2.293827100, 18.870, 96808.0, 311.1398
2.304693540, 18.870, 93284.0, 305.4243
2.315559980, 18.870, 90605.0, 301.0066
2.326426420, 18.870, 87137.0, 295.1898
2.337292860, 18.870, 83814.0, 289.5065
2.348159300, 18.870, 80552.0, 283.8168
2.359025740, 18.870, 76696.0, 276.9404
2.369892180, 18.870, 74319.0, 272.6151
2.380758620, 18.870, 70040.0, 264.6507
2.391625060, 18.870, 66734.0, 258.3292
2.402491500, 18.870, 63076.0, 251.1494
2.413357940, 18.870, 60225.0, 245.4078
2.424224380, 18.870, 58117.0, 241.0747
2.435090820, 18.870, 56112.0, 236.8797
2.445957260, 18.870, 54627.0, 233.7242
