[Measurement conditions]
Sample identification,
Comment - 1,"amorphous CBDa, Cyd, 9/1/21"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,04/Apr/2023 13:08
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,2.995000000,60.000344240
Scan step size,0.0108664
No. of points, 5246
Scan type,CONTINUOUS
Time per step,58.395
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.000433220, 58.395, 105156.0, 324.2777
3.011299660, 58.395, 103409.0, 321.5727
3.022166100, 58.395, 102479.0, 320.1234
3.033032540, 58.395, 101397.0, 318.4290
3.043898980, 58.395, 100078.0, 316.3511
3.054765420, 58.395, 98857.0, 314.4153
3.065631860, 58.395, 98044.0, 313.1198
3.076498300, 58.395, 96544.0, 310.7153
3.087364740, 58.395, 96138.0, 310.0613
3.098231180, 58.395, 94798.0, 307.8928
3.109097620, 58.395, 93464.0, 305.7188
3.119964060, 58.395, 92355.0, 303.8997
3.130830500, 58.395, 90920.0, 301.5294
3.141696940, 58.395, 88962.0, 298.2650
3.152563380, 58.395, 88187.0, 296.9630
3.163429820, 58.395, 86974.0, 294.9135
3.174296260, 58.395, 85832.0, 292.9710
3.185162700, 58.395, 84397.0, 290.5116
3.196029140, 58.395, 82988.0, 288.0764
3.206895580, 58.395, 81948.0, 286.2656
3.217762020, 58.395, 80889.0, 284.4099
3.228628460, 58.395, 79537.0, 282.0230
3.239494900, 58.395, 78286.0, 279.7964
3.250361340, 58.395, 76795.0, 277.1191
3.261227780, 58.395, 76509.0, 276.6026
3.272094220, 58.395, 74347.0, 272.6665
3.282960660, 58.395, 73649.0, 271.3835
3.293827100, 58.395, 72467.0, 269.1970
3.304693540, 58.395, 71608.0, 267.5967
3.315559980, 58.395, 70317.0, 265.1735
3.326426420, 58.395, 69471.0, 263.5735
3.337292860, 58.395, 67862.0, 260.5034
3.348159300, 58.395, 67755.0, 260.2979
3.359025740, 58.395, 65941.0, 256.7898
3.369892180, 58.395, 65440.0, 255.8124
3.380758620, 58.395, 64397.0, 253.7656
