[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,04/Apr/2023 09:01
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,2.020000000,70.000448640
Scan step size,0.0108664
No. of points, 6256
Scan type,CONTINUOUS
Time per step,29.070
[Scan points]
Angle, TimePerStep, Intensity, ESD
2.025433220, 29.070, 258185.0, 508.1191
2.036299660, 29.070, 254650.0, 504.6286
2.047166100, 29.070, 251424.0, 501.4220
2.058032540, 29.070, 246178.0, 496.1633
2.068898980, 29.070, 242622.0, 492.5667
2.079765420, 29.070, 238144.0, 488.0000
2.090631860, 29.070, 234686.0, 484.4440
2.101498300, 29.070, 229896.0, 479.4747
2.112364740, 29.070, 225822.0, 475.2073
2.123231180, 29.070, 221780.0, 470.9352
2.134097620, 29.070, 217281.0, 466.1341
2.144964060, 29.070, 213078.0, 461.6037
2.155830500, 29.070, 208706.0, 456.8435
2.166696940, 29.070, 204338.0, 452.0376
2.177563380, 29.070, 200587.0, 447.8694
2.188429820, 29.070, 196215.0, 442.9616
2.199296260, 29.070, 191332.0, 437.4151
2.210162700, 29.070, 187012.0, 432.4488
2.221029140, 29.070, 182691.0, 427.4237
2.231895580, 29.070, 177174.0, 420.9204
2.242762020, 29.070, 173638.0, 416.6989
2.253628460, 29.070, 169075.0, 411.1873
2.264494900, 29.070, 164475.0, 405.5552
2.275361340, 29.070, 159749.0, 399.6861
2.286227780, 29.070, 155434.0, 394.2512
2.297094220, 29.070, 151360.0, 389.0501
2.307960660, 29.070, 145799.0, 381.8364
2.318827100, 29.070, 140904.0, 375.3718
2.329693540, 29.070, 136720.0, 369.7567
2.340559980, 29.070, 131045.0, 362.0014
2.351426420, 29.070, 125613.0, 354.4192
2.362292860, 29.070, 120393.0, 346.9769
2.373159300, 29.070, 115410.0, 339.7205
2.384025740, 29.070, 109925.0, 331.5494
2.394892180, 29.070, 104975.0, 323.9985
2.405758620, 29.070, 99070.0, 314.7539
2.416625060, 29.070, 94855.0, 307.9854
2.427491500, 29.070, 90342.0, 300.5695
2.438357940, 29.070, 86965.0, 294.8983
2.449224380, 29.070, 85049.0, 291.6316
2.460090820, 29.070, 82686.0, 287.5517
2.470957260, 29.070, 82685.0, 287.5500
2.481823700, 29.070, 81116.0, 284.8087
2.492690140, 29.070, 80933.0, 284.4873
2.503556580, 29.070, 80079.0, 282.9823
2.514423020, 29.070, 79403.0, 281.7854
2.525289460, 29.070, 78823.0, 280.7543
2.536155900, 29.070, 77982.0, 279.2526
2.547022340, 29.070, 78320.0, 279.8571
2.557888780, 29.070, 76946.0, 277.3914
2.568755220, 29.070, 77041.0, 277.5626
2.579621660, 29.070, 75736.0, 275.2017
2.590488100, 29.070, 75579.0, 274.9164
2.601354540, 29.070, 75035.0, 273.9252
2.612220980, 29.070, 74401.0, 272.7655
2.623087420, 29.070, 73754.0, 271.5769
2.633953860, 29.070, 73675.0, 271.4314
2.644820300, 29.070, 72707.0, 269.6424
2.655686740, 29.070, 71956.0, 268.2462
2.666553180, 29.070, 71192.0, 266.8183
2.677419620, 29.070, 70987.0, 266.4339
2.688286060, 29.070, 70592.0, 265.6916
2.699152500, 29.070, 69591.0, 263.8011
2.710018940, 29.070, 69600.0, 263.8181
2.720885380, 29.070, 68713.0, 262.1316
2.731751820, 29.070, 68265.0, 261.2757
2.742618260, 29.070, 67745.0, 260.2787
2.753484700, 29.070, 67045.0, 258.9305
2.764351140, 29.070, 66713.0, 258.2886
2.775217580, 29.070, 65467.0, 255.8652
2.786084020, 29.070, 64660.0, 254.2833
2.796950460, 29.070, 64388.0, 253.7479
2.807816900, 29.070, 64209.0, 253.3949
2.818683340, 29.070, 63078.0, 251.1533
2.829549780, 29.070, 62558.0, 250.1160
2.840416220, 29.070, 61707.0, 248.4089
2.851282660, 29.070, 61409.0, 247.8084
2.862149100, 29.070, 60499.0, 245.9654
2.873015540, 29.070, 60017.0, 244.9837
2.883881980, 29.070, 59586.0, 244.1024
2.894748420, 29.070, 58700.0, 242.2808
2.905614860, 29.070, 58366.0, 241.5906
2.916481300, 29.070, 57728.0, 240.2665
2.927347740, 29.070, 57202.0, 239.1694
2.938214180, 29.070, 56400.0, 237.4868
2.949080620, 29.070, 56362.0, 237.4068
2.959947060, 29.070, 55353.0, 235.2722
2.970813500, 29.070, 54925.0, 234.3608
2.981679940, 29.070, 53793.0, 231.9332
2.992546380, 29.070, 53431.0, 231.1515
3.003412820, 29.070, 52620.0, 229.3905
3.014279260, 29.070, 52319.0, 228.7335
3.025145700, 29.070, 51300.0, 226.4950
3.036012140, 29.070, 50692.0, 225.1488
3.046878580, 29.070, 50468.0, 224.6508
3.057745020, 29.070, 49329.0, 222.1013
3.068611460, 29.070, 49346.0, 222.1396
3.079477900, 29.070, 48025.0, 219.1461
3.090344340, 29.070, 47876.0, 218.8059
3.101210780, 29.070, 47603.0, 218.1811
3.112077220, 29.070, 46408.0, 215.4252
3.122943660, 29.070, 45872.0, 214.1775
3.133810100, 29.070, 45466.0, 213.2276
3.144676540, 29.070, 44495.0, 210.9384
3.155542980, 29.070, 44372.0, 210.6466
3.166409420, 29.070, 43976.0, 209.7046
3.177275860, 29.070, 42766.0, 206.7994
3.188142300, 29.070, 42146.0, 205.2949
3.199008740, 29.070, 41618.0, 204.0049
3.209875180, 29.070, 41200.0, 202.9778
3.220741620, 29.070, 40348.0, 200.8681
3.231608060, 29.070, 40136.0, 200.3397
3.242474500, 29.070, 39547.0, 198.8643
3.253340940, 29.070, 38629.0, 196.5426
3.264207380, 29.070, 38108.0, 195.2127
