[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,04/Apr/2023 10:50
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,2.995000000,60.000344240
Scan step size,0.0108664
No. of points, 5246
Scan type,CONTINUOUS
Time per step,58.395
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.000433220, 58.395, 107356.0, 327.6523
3.011299660, 58.395, 106862.0, 326.8975
3.022166100, 58.395, 105693.0, 325.1046
3.033032540, 58.395, 103351.0, 321.4825
3.043898980, 58.395, 102684.0, 320.4434
3.054765420, 58.395, 100618.0, 317.2034
3.065631860, 58.395, 100280.0, 316.6702
3.076498300, 58.395, 99228.0, 315.0048
3.087364740, 58.395, 97773.0, 312.6867
3.098231180, 58.395, 97016.0, 311.4739
3.109097620, 58.395, 95491.0, 309.0162
3.119964060, 58.395, 94021.0, 306.6284
3.130830500, 58.395, 92930.0, 304.8442
3.141696940, 58.395, 91321.0, 302.1936
3.152563380, 58.395, 90053.0, 300.0883
3.163429820, 58.395, 89459.0, 299.0970
3.174296260, 58.395, 88499.0, 297.4878
3.185162700, 58.395, 86621.0, 294.3145
3.196029140, 58.395, 85833.0, 292.9727
3.206895580, 58.395, 84224.0, 290.2137
3.217762020, 58.395, 82953.0, 288.0156
3.228628460, 58.395, 81798.0, 286.0035
3.239494900, 58.395, 80515.0, 283.7517
3.250361340, 58.395, 79584.0, 282.1064
3.261227780, 58.395, 78045.0, 279.3654
3.272094220, 58.395, 76807.0, 277.1408
3.282960660, 58.395, 75661.0, 275.0654
3.293827100, 58.395, 75715.0, 275.1636
3.304693540, 58.395, 73951.0, 271.9393
3.315559980, 58.395, 72850.0, 269.9074
3.326426420, 58.395, 72036.0, 268.3952
3.337292860, 58.395, 70626.0, 265.7555
3.348159300, 58.395, 69305.0, 263.2584
3.359025740, 58.395, 68785.0, 262.2689
3.369892180, 58.395, 67303.0, 259.4282
3.380758620, 58.395, 66797.0, 258.4512
3.391625060, 58.395, 65841.0, 256.5950
3.402491500, 58.395, 64725.0, 254.4111
3.413357940, 58.395, 63613.0, 252.2162
3.424224380, 58.395, 62180.0, 249.3592
3.435090820, 58.395, 61565.0, 248.1230
3.445957260, 58.395, 60538.0, 246.0447
3.456823700, 58.395, 59287.0, 243.4892
3.467690140, 58.395, 58681.0, 242.2416
3.478556580, 58.395, 57897.0, 240.6180
3.489423020, 58.395, 57029.0, 238.8075
3.500289460, 58.395, 56027.0, 236.7002
3.511155900, 58.395, 54954.0, 234.4227
3.522022340, 58.395, 54717.0, 233.9167
3.532888780, 58.395, 53556.0, 231.4217
3.543755220, 58.395, 52534.0, 229.2030
3.554621660, 58.395, 52446.0, 229.0109
3.565488100, 58.395, 51022.0, 225.8805
3.576354540, 58.395, 50129.0, 223.8951
3.587220980, 58.395, 49349.0, 222.1463
3.598087420, 58.395, 48778.0, 220.8574
3.608953860, 58.395, 47720.0, 218.4491
3.619820300, 58.395, 46989.0, 216.7695
3.630686740, 58.395, 46416.0, 215.4437
3.641553180, 58.395, 45193.0, 212.5865
3.652419620, 58.395, 44656.0, 211.3197
3.663286060, 58.395, 44338.0, 210.5659
3.674152500, 58.395, 43557.0, 208.7031
3.685018940, 58.395, 42454.0, 206.0437
3.695885380, 58.395, 41572.0, 203.8921
3.706751820, 58.395, 41061.0, 202.6351
3.717618260, 58.395, 40637.0, 201.5862
3.728484700, 58.395, 39723.0, 199.3063
3.739351140, 58.395, 39315.0, 198.2801
3.750217580, 58.395, 38311.0, 195.7320
3.761084020, 58.395, 37621.0, 193.9613
3.771950460, 58.395, 36933.0, 192.1796
3.782816900, 58.395, 36400.0, 190.7878
3.793683340, 58.395, 35606.0, 188.6955
3.804549780, 58.395, 35171.0, 187.5393
3.815416220, 58.395, 34568.0, 185.9247
3.826282660, 58.395, 33831.0, 183.9321
3.837149100, 58.395, 33152.0, 182.0769
3.848015540, 58.395, 32648.0, 180.6876
3.858881980, 58.395, 31933.0, 178.6981
3.869748420, 58.395, 31488.0, 177.4486
3.880614860, 58.395, 30915.0, 175.8266
3.891481300, 58.395, 30478.0, 174.5795
3.902347740, 58.395, 29598.0, 172.0407
3.913214180, 58.395, 29276.0, 171.1023
3.924080620, 58.395, 28546.0, 168.9556
3.934947060, 58.395, 27984.0, 167.2842
3.945813500, 58.395, 27815.0, 166.7783
3.956679940, 58.395, 27185.0, 164.8787
3.967546380, 58.395, 26234.0, 161.9691
3.978412820, 58.395, 26119.0, 161.6137
3.989279260, 58.395, 25357.0, 159.2388
4.000145700, 58.395, 25194.0, 158.7262
4.011012140, 58.395, 24375.0, 156.1249
4.021878580, 58.395, 24113.0, 155.2836
4.032745020, 58.395, 23507.0, 153.3199
4.043611460, 58.395, 23135.0, 152.1019
4.054477900, 58.395, 22177.0, 148.9194
4.065344340, 58.395, 22342.0, 149.4724
4.076210780, 58.395, 21479.0, 146.5572
4.087077220, 58.395, 21415.0, 146.3386
4.097943660, 58.395, 20734.0, 143.9931
4.108810100, 58.395, 20675.0, 143.7880
4.119676540, 58.395, 19865.0, 140.9433
4.130542980, 58.395, 19688.0, 140.3139
4.141409420, 58.395, 19257.0, 138.7696
4.152275860, 58.395, 18738.0, 136.8868
4.163142300, 58.395, 18069.0, 134.4210
4.174008740, 58.395, 17918.0, 133.8581
4.184875180, 58.395, 17817.0, 133.4803
4.195741620, 58.395, 17372.0, 131.8029
4.206608060, 58.395, 16924.0, 130.0923
4.217474500, 58.395, 16670.0, 129.1124
4.228340940, 58.395, 16296.0, 127.6558
4.239207380, 58.395, 16129.0, 127.0000
4.250073820, 58.395, 15655.0, 125.1199
4.260940260, 58.395, 15352.0, 123.9032
4.271806700, 58.395, 15076.0, 122.7844
4.282673140, 58.395, 14754.0, 121.4660
4.293539580, 58.395, 14427.0, 120.1124
4.304406020, 58.395, 14051.0, 118.5369
4.315272460, 58.395, 13735.0, 117.1964
4.326138900, 58.395, 13427.0, 115.8749
4.337005340, 58.395, 13190.0, 114.8477
4.347871780, 58.395, 12901.0, 113.5826
4.358738220, 58.395, 12635.0, 112.4055
4.369604660, 58.395, 12631.0, 112.3877
4.380471100, 58.395, 12341.0, 111.0901
4.391337540, 58.395, 12197.0, 110.4400
4.402203980, 58.395, 11645.0, 107.9120
4.413070420, 58.395, 11559.0, 107.5128
4.423936860, 58.395, 11137.0, 105.5320
4.434803300, 58.395, 11000.0, 104.8809
4.445669740, 58.395, 10621.0, 103.0582
4.456536180, 58.395, 10879.0, 104.3024
4.467402620, 58.395, 10403.0, 101.9951
4.478269060, 58.395, 10245.0, 101.2176
4.489135500, 58.395, 10016.0, 100.0800
4.500001940, 58.395, 9997.0, 99.9850
4.510868380, 58.395, 9567.0, 97.8110
4.521734820, 58.395, 9586.0, 97.9081
4.532601260, 58.395, 9414.0, 97.0258
4.543467700, 58.395, 9171.0, 95.7653
4.554334140, 58.395, 8931.0, 94.5040
4.565200580, 58.395, 8636.0, 92.9301
4.576067020, 58.395, 8643.0, 92.9677
4.586933460, 58.395, 8506.0, 92.2280
4.597799900, 58.395, 8286.0, 91.0275
4.608666340, 58.395, 8158.0, 90.3216
4.619532780, 58.395, 8051.0, 89.7274
4.630399220, 58.395, 7981.0, 89.3364
4.641265660, 58.395, 7788.0, 88.2496
4.652132100, 58.395, 7787.0, 88.2440
4.662998540, 58.395, 7703.0, 87.7667
4.673864980, 58.395, 7722.0, 87.8749
4.684731420, 58.395, 7414.0, 86.1046
4.695597860, 58.395, 7359.0, 85.7846
4.706464300, 58.395, 7319.0, 85.5512
4.717330740, 58.395, 7174.0, 84.6995
4.728197180, 58.395, 7132.0, 84.4512
4.739063620, 58.395, 6939.0, 83.3007
4.749930060, 58.395, 6929.0, 83.2406
4.760796500, 58.395, 6843.0, 82.7224
4.771662940, 58.395, 6695.0, 81.8230
4.782529380, 58.395, 6895.0, 83.0361
4.793395820, 58.395, 6639.0, 81.4801
4.804262260, 58.395, 6665.0, 81.6395
4.815128700, 58.395, 6678.0, 81.7190
4.825995140, 58.395, 6530.0, 80.8084
4.836861580, 58.395, 6458.0, 80.3617
4.847728020, 58.395, 6389.0, 79.9312
4.858594460, 58.395, 6229.0, 78.9240
4.869460900, 58.395, 6360.0, 79.7496
4.880327340, 58.395, 6268.0, 79.1707
4.891193780, 58.395, 6358.0, 79.7371
4.902060220, 58.395, 6154.0, 78.4474
4.912926660, 58.395, 6174.0, 78.5748
4.923793100, 58.395, 6072.0, 77.9230
4.934659540, 58.395, 6056.0, 77.8203
4.945525980, 58.395, 6041.0, 77.7239
4.956392420, 58.395, 6001.0, 77.4661
4.967258860, 58.395, 5970.0, 77.2658
4.978125300, 58.395, 5987.0, 77.3757
4.988991740, 58.395, 5885.0, 76.7138
4.999858180, 58.395, 5879.0, 76.6746
