[Measurement conditions]
Sample identification,2025_06_07_aHIF_Lyoph_3_60_22min_XRD
Comment - 1,"alpha HIF lyophilized powder XRD"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,07/Jun/2025 16:34
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,2.995000000,60.000344240
Scan step size,0.0108664
No. of points, 5246
Scan type,CONTINUOUS
Time per step,58.395
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.000433220, 58.395, 135534.0, 368.1494
3.011299660, 58.395, 133644.0, 365.5735
3.022166100, 58.395, 132247.0, 363.6578
3.033032540, 58.395, 130174.0, 360.7963
3.043898980, 58.395, 129350.0, 359.6526
3.054765420, 58.395, 127739.0, 357.4059
3.065631860, 58.395, 126109.0, 355.1183
3.076498300, 58.395, 124640.0, 353.0439
3.087364740, 58.395, 122904.0, 350.5767
3.098231180, 58.395, 121028.0, 347.8908
3.109097620, 58.395, 119681.0, 345.9494
3.119964060, 58.395, 117496.0, 342.7769
3.130830500, 58.395, 116083.0, 340.7096
3.141696940, 58.395, 114609.0, 338.5395
3.152563380, 58.395, 113408.0, 336.7610
3.163429820, 58.395, 111423.0, 333.8008
3.174296260, 58.395, 110204.0, 331.9699
3.185162700, 58.395, 108376.0, 329.2051
3.196029140, 58.395, 107724.0, 328.2133
3.206895580, 58.395, 105878.0, 325.3890
3.217762020, 58.395, 103929.0, 322.3802
3.228628460, 58.395, 103276.0, 321.3658
3.239494900, 58.395, 101223.0, 318.1556
3.250361340, 58.395, 99413.0, 315.2983
3.261227780, 58.395, 98238.0, 313.4294
3.272094220, 58.395, 97076.0, 311.5702
3.282960660, 58.395, 96148.0, 310.0774
3.293827100, 58.395, 94122.0, 306.7931
3.304693540, 58.395, 93031.0, 305.0098
3.315559980, 58.395, 91283.0, 302.1308
3.326426420, 58.395, 90238.0, 300.3964
3.337292860, 58.395, 89231.0, 298.7156
3.348159300, 58.395, 87826.0, 296.3545
3.359025740, 58.395, 86306.0, 293.7788
3.369892180, 58.395, 84833.0, 291.2611
