[Measurement conditions]
Sample identification,2025_06_12_aFEL_DSC_3_60_22m_pXRD
Comment - 1,"Felodipine heated in DSC (#22, A2 Tray) to 165C.  Glassy FEL verification before Raman."
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,12/Jun/2025 13:32
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,2.995000000,60.000344240
Scan step size,0.0108664
No. of points, 5246
Scan type,CONTINUOUS
Time per step,58.395
[Scan points]
Angle, TimePerStep, Intensity, ESD
3.000433220, 58.395, 134532.0, 366.7860
3.011299660, 58.395, 132917.0, 364.5778
3.022166100, 58.395, 131612.0, 362.7837
3.033032540, 58.395, 129907.0, 360.4261
3.043898980, 58.395, 127862.0, 357.5780
3.054765420, 58.395, 126708.0, 355.9607
3.065631860, 58.395, 125066.0, 353.6467
3.076498300, 58.395, 123798.0, 351.8494
3.087364740, 58.395, 122442.0, 349.9171
3.098231180, 58.395, 121127.0, 348.0330
3.109097620, 58.395, 119444.0, 345.6067
3.119964060, 58.395, 117824.0, 343.2550
3.130830500, 58.395, 116681.0, 341.5860
3.141696940, 58.395, 114738.0, 338.7300
3.152563380, 58.395, 112954.0, 336.0863
3.163429820, 58.395, 111081.0, 333.2882
3.174296260, 58.395, 110029.0, 331.7062
3.185162700, 58.395, 108225.0, 328.9757
3.196029140, 58.395, 106948.0, 327.0291
3.206895580, 58.395, 105155.0, 324.2761
3.217762020, 58.395, 103942.0, 322.4004
3.228628460, 58.395, 102521.0, 320.1890
3.239494900, 58.395, 100505.0, 317.0252
3.250361340, 58.395, 99458.0, 315.3696
3.261227780, 58.395, 97460.0, 312.1858
3.272094220, 58.395, 96573.0, 310.7620
3.282960660, 58.395, 95106.0, 308.3926
3.293827100, 58.395, 93778.0, 306.2319
3.304693540, 58.395, 92012.0, 303.3348
3.315559980, 58.395, 91047.0, 301.7400
3.326426420, 58.395, 90422.0, 300.7025
3.337292860, 58.395, 88574.0, 297.6138
3.348159300, 58.395, 86903.0, 294.7931
3.359025740, 58.395, 86381.0, 293.9064
3.369892180, 58.395, 84689.0, 291.0137
3.380758620, 58.395, 84080.0, 289.9655
3.391625060, 58.395, 82455.0, 287.1498
3.402491500, 58.395, 81444.0, 285.3840
3.413357940, 58.395, 79774.0, 282.4429
3.424224380, 58.395, 78312.0, 279.8428
3.435090820, 58.395, 77504.0, 278.3954
3.445957260, 58.395, 76592.0, 276.7526
3.456823700, 58.395, 75310.0, 274.4267
3.467690140, 58.395, 73768.0, 271.6027
3.478556580, 58.395, 73213.0, 270.5790
3.489423020, 58.395, 71569.0, 267.5238
3.500289460, 58.395, 70685.0, 265.8665
3.511155900, 58.395, 69770.0, 264.1401
3.522022340, 58.395, 68434.0, 261.5989
3.532888780, 58.395, 67334.0, 259.4880
